holder,shares,dateReported,change
VANGUARD GROUP INC,9092987,2025-09-30,-98520
WELLINGTON MANAGEMENT GROUP LLP,6477929,2025-09-30,211696
"BlackRock, Inc.",5680781,2025-09-30,-105063
MORGAN STANLEY,3370742,2025-09-30,237281
STATE STREET CORP,3154742,2025-09-30,54990
NORDEA INVESTMENT MANAGEMENT AB,2364312,2025-09-30,1559124
"GEODE CAPITAL MANAGEMENT, LLC",2027098,2025-09-30,26237
Impax Asset Management Group plc,1960819,2025-09-30,-5636
VAN ECK ASSOCIATES CORP,1913157,2025-09-30,146618
Invesco Ltd.,1809788,2025-09-30,250447
PRIMECAP MANAGEMENT CO/CA/,1730580,2025-09-30,1237129
Amundi,1517903,2025-09-30,239215
FIRST TRUST ADVISORS LP,1002457,2025-09-30,58595
"Champlain Investment Partners, LLC",941927,2025-09-30,-64422
FENIMORE ASSET MANAGEMENT INC,874679,2025-09-30,2027
FLOSSBACH VON STORCH AG,791020,2025-09-30,150228
NORTHERN TRUST CORP,765995,2025-09-30,-6699
Pictet Asset Management Holding SA,739327,2025-09-30,79481
"Fisher Asset Management, LLC",724802,2025-09-30,17579
UBS ASSET MANAGEMENT AMERICAS INC,693067,2025-09-30,-157068
Alecta Tjanstepension Omsesidigt,689900,2025-09-30,0
GOLDMAN SACHS GROUP INC,685276,2025-09-30,195941
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,658989,2025-09-30,-2122
"T. Rowe Price Investment Management, Inc.",636943,2025-09-30,-852354
DIMENSIONAL FUND ADVISORS LP,620175,2025-09-30,17591
Bank of New York Mellon Corp,616079,2025-09-30,-38070
UBS Group AG,608296,2025-09-30,-89624
MIRAE ASSET GLOBAL ETFS HOLDINGS Ltd.,510386,2025-09-30,6991
Legal & General Group Plc,496455,2025-09-30,19225
SNYDER CAPITAL MANAGEMENT L P,489700,2025-09-30,-8198
Findlay Park Partners LLP,444899,2025-09-30,-8000
"VOLORIDGE INVESTMENT MANAGEMENT, LLC",422936,2025-09-30,191014
JPMORGAN CHASE & CO,407052,2025-09-30,-75763
"WEITZ INVESTMENT MANAGEMENT, INC.",406475,2025-09-30,250
BANK OF AMERICA CORP /DE/,401656,2025-09-30,-72
WESTFIELD CAPITAL MANAGEMENT CO LP,398283,2025-09-30,-40381
DEUTSCHE BANK AG\,389216,2025-09-30,8634
Boston Trust Walden Corp,382246,2025-09-30,729
PRICE T ROWE ASSOCIATES INC /MD/,374124,2025-09-30,-1640644
BARCLAYS PLC,353884,2025-09-30,-979285
DODGE & COX,344342,2025-09-30,344342
DEPRINCE RACE & ZOLLO INC,344200,2025-09-30,47152
CITADEL ADVISORS LLC,336945,2025-09-30,246464
STATE FARM MUTUAL AUTOMOBILE INSURANCE CO,335939,2025-09-30,0
"TWO SIGMA INVESTMENTS, LP",329337,2025-09-30,269109
SCHRODER INVESTMENT MANAGEMENT GROUP,316222,2025-09-30,1062
Qube Research & Technologies Ltd,311552,2025-09-30,-341112
JOHNSON INVESTMENT COUNSEL INC,302897,2025-09-30,-7846
Squarepoint Ops LLC,290131,2025-09-30,25639
Allianz Asset Management GmbH,288572,2025-09-30,-156379
"Ensign Peak Advisors, Inc",273683,2025-09-30,-29183
Robeco Schweiz AG,271089,2025-09-30,33752
MILLENNIUM MANAGEMENT LLC,270233,2025-09-30,-339639
Premier Fund Managers Ltd,261588,2025-09-30,-39727
HSBC HOLDINGS PLC,253997,2025-09-30,3847
"D. E. Shaw & Co., Inc.",250789,2025-09-30,168678
Maren Capital LLC,248908,2025-09-30,12908
"ADAGE CAPITAL PARTNERS GP, L.L.C.",244476,2025-09-30,175290
KING LUTHER CAPITAL MANAGEMENT CORP,238057,2025-09-30,-368940
"CI Private Wealth, LLC",222858,2025-09-30,1066
"TWO SIGMA ADVISERS, LP",221000,2025-09-30,57300
BAMCO INC /NY/,218922,2025-09-30,-2069
Swiss National Bank,217800,2025-09-30,-10200
BROWN ADVISORY INC,198795,2025-09-30,-9310
"ARROWSTREET CAPITAL, LIMITED PARTNERSHIP",193981,2025-09-30,82818
GABELLI FUNDS LLC,190900,2025-09-30,-2500
CALIFORNIA PUBLIC EMPLOYEES RETIREMENT SYSTEM,178764,2025-09-30,-5644
"Sumitomo Mitsui Trust Holdings, Inc.",174571,2025-09-30,1273
"GAMCO INVESTORS, INC. ET AL",174399,2025-09-30,-750
"CIBC Private Wealth Group, LLC",172312,2025-09-30,-4712
RHUMBLINE ADVISERS,170659,2025-09-30,-7314
RENAISSANCE TECHNOLOGIES LLC,170425,2025-09-30,161900
Evelyn Partners Investment Management LLP,169727,2025-09-30,-7274
"Nuveen, LLC",163056,2025-09-30,-814
FIL Ltd,162887,2025-09-30,-217176
"NUANCE INVESTMENTS, LLC",162594,2025-09-30,82223
ASR Vermogensbeheer N.V.,159934,2025-09-30,18544
AE Wealth Management LLC,158841,2025-09-30,6409
BLI - Banque de Luxembourg Investments,154800,2025-09-30,61800
Universal- Beteiligungs- und Servicegesellschaft mbH,154106,2025-09-30,557
"Mitsubishi UFJ Kokusai Asset Management Co., Ltd.",153619,2025-09-30,11826
SEI INVESTMENTS CO,152141,2025-09-30,8694
"BNP PARIBAS ARBITRAGE, SNC",150633,2025-09-30,50840
Zurcher Kantonalbank (Zurich Cantonalbank),149842,2025-09-30,-21615
COMERICA BANK,140050,2025-09-30,-1958
CALIFORNIA STATE TEACHERS RETIREMENT SYSTEM,136167,2025-09-30,-37
"NICHOLAS COMPANY, INC.",132563,2025-09-30,29010
AMERIPRISE FINANCIAL INC,128236,2025-09-30,-9703
Lombard Odier Asset Management (Europe) Ltd,126989,2025-09-30,86821
MOUNTAIN PACIFIC INVESTMENT ADVISERS INC/ID,121238,2025-09-30,-120105
AQR CAPITAL MANAGEMENT LLC,118218,2025-09-30,77360
GREAT WEST LIFE ASSURANCE CO /CAN/,116814,2025-09-30,3517
DF DENT & CO INC,116241,2025-09-30,-16544
CITIGROUP INC,114638,2025-09-30,15309
Northwest & Ethical Investments L.P.,113506,2025-09-30,0
DekaBank Deutsche Girozentrale,112957,2025-09-30,0
Port Capital LLC,109791,2025-09-30,-71644
"Russell Investments Group, Ltd.",109700,2025-09-30,33899
HARVEY INVESTMENT CO LLC,109344,2025-09-30,21608
Thematics Asset Management,108154,2025-09-30,11000
BNP Paribas Asset Management Holding S.A.,100481,2025-09-30,-2890
"Clarkston Capital Partners, LLC",100035,2025-09-30,0
GENEVA CAPITAL MANAGEMENT LLC,99415,2025-09-30,-5104
"RMB Capital Management, LLC",97632,2025-09-30,-5157
"EVENTIDE ASSET MANAGEMENT, LLC",96382,2025-09-30,-5373
ROYAL BANK OF CANADA,91016,2025-09-30,8304
"Sone Capital Management, LLC",90772,2025-09-30,-137320
SPEECE THORSON CAPITAL GROUP INC,89429,2025-09-30,-1055
ALLIANCEBERNSTEIN L.P.,88902,2025-09-30,-1365
PRINCIPAL FINANCIAL GROUP INC,88010,2025-09-30,-4374
PUBLIC EMPLOYEES RETIREMENT ASSOCIATION OF COLORADO,81713,2025-09-30,-18609
NEW YORK STATE COMMON RETIREMENT FUND,80559,2025-09-30,6865
ENVESTNET ASSET MANAGEMENT INC,72770,2025-09-30,-28249
Regents Gate Capital LLP,72303,2025-09-30,3193
Distillate Capital Partners LLC,70045,2025-09-30,-1289
DANSKE BANK A/S,69900,2025-09-30,19800
TD ASSET MANAGEMENT INC,68826,2025-09-30,-61575
"ExodusPoint Capital Management, LP",68130,2025-09-30,68130
"Redwood Grove Capital, LLC",66100,2025-09-30,66100
abrdn plc,64375,2025-09-30,-745
Candriam S.C.A.,64246,2025-09-30,-1397
Numerai GP LLC,62313,2025-09-30,10114
"Holocene Advisors, LP",62159,2025-09-30,-17380
STATE BOARD OF ADMINISTRATION OF FLORIDA RETIREMENT SYSTEM,61173,2025-09-30,-1267
AEGON ASSET MANAGEMENT UK PLC,61029,2025-09-30,-1457
AVIVA PLC,59403,2025-09-30,3677
FMR LLC,59240,2025-09-30,-5135
"GW&K Investment Management, LLC",58734,2025-09-30,-318147
"St. James Investment Company, LLC",57984,2025-09-30,57984
STATE OF WISCONSIN INVESTMENT BOARD,57073,2025-09-30,931
"MANUFACTURERS LIFE INSURANCE COMPANY, THE",56323,2025-09-30,13390
VICTORY CAPITAL MANAGEMENT INC,55459,2025-09-30,-177
Swedbank AB,55396,2025-09-30,0
Assenagon Asset Management S.A.,55047,2025-09-30,40309
NEW YORK STATE TEACHERS RETIREMENT SYSTEM,53778,2025-09-30,-27
Quantbot Technologies LP,53190,2025-09-30,23685
MIROVA,52948,2025-09-30,3337
Raiffeisen Bank International AG,51195,2025-09-30,678
"Glenmede Investment Management, LP",50216,2025-09-30,46591
BANK OF MONTREAL /CAN/,49681,2025-09-30,9118
RAYMOND JAMES FINANCIAL INC,48395,2025-09-30,-26452
NATIONAL BANK OF CANADA /FI/,47042,2025-09-30,-5744
ICICI Prudential Asset Management Co Ltd,46041,2025-09-30,21500
DUFF & PHELPS INVESTMENT MANAGEMENT CO,45641,2025-09-30,-7605
Sienna Gestion,45053,2025-09-30,45053
"MARSHALL WACE, LLP",43626,2025-09-30,17174
TORONTO DOMINION BANK,43332,2025-09-30,12676
PRUDENTIAL FINANCIAL INC,43302,2025-09-30,123
VAN LANSCHOT KEMPEN INVESTMENT MANAGEMENT N.V.,42559,2025-09-30,-1965
PRUDENTIAL PLC,42001,2025-09-30,-2967
APG Asset Management N.V.,41700,2025-09-30,0
DnB Asset Management AS,40583,2025-09-30,20035
ROYAL LONDON ASSET MANAGEMENT LTD,38601,2025-09-30,0
"Chevy Chase Trust Holdings, LLC",38422,2025-09-30,-1482
NORTHSTAR ASSET MANAGEMENT INC,37430,2025-09-30,-1907
FJARDE AP-FONDEN /FOURTH SWEDISH NATIONAL PENSION FUND,37207,2025-09-30,1789
MACQUARIE GROUP LTD,36491,2025-09-30,-9080
Korea Investment CORP,35427,2025-09-30,-427
Treasurer of the State of North Carolina,33980,2025-09-30,-1328
Trexquant Investment LP,33897,2025-09-30,33897
Verition Fund Management LLC,33837,2025-09-30,-11163
"Jump Financial, LLC",33348,2025-09-30,33348
"Asset Management One Co., Ltd.",33214,2025-09-30,-118
Mitsubishi UFJ Trust & Banking Corp,32401,2025-09-30,-276
Y-Intercept (Hong Kong) Ltd,32202,2025-09-30,-6683
"BOOTHBAY FUND MANAGEMENT, LLC",30247,2025-09-30,27857
Neuberger Berman Group LLC,30160,2025-09-30,-1742
WINTON GROUP Ltd,29382,2025-09-30,29382
B. Metzler seel. Sohn & Co. AG,29382,2025-09-30,7305
"NISA INVESTMENT ADVISORS, LLC",28562,2025-09-30,-6248
"PNC FINANCIAL SERVICES GROUP, INC.",28288,2025-09-30,1105
Mn Services Vermogensbeheer B.V.,27890,2025-09-30,0
KLP KAPITALFORVALTNING AS,27100,2025-09-30,0
CREDIT AGRICOLE S A,26795,2025-09-30,26795
ECOFI INVESTISSEMENTS SA,26100,2025-09-30,-28300
"NATIXIS ADVISORS, L.P.",25976,2025-09-30,-11571
State of New Jersey Common Pension Fund D,25528,2025-09-30,1639
Covea Finance,25400,2025-09-30,0
Vontobel Holding Ltd.,25151,2025-09-30,-456
NOMURA ASSET MANAGEMENT CO LTD,24788,2025-09-30,130
Aquatic Capital Management LLC,24643,2025-09-30,-3687
"Resona Asset Management Co.,Ltd.",24184,2025-09-30,-2653
VOYA INVESTMENT MANAGEMENT LLC,24173,2025-09-30,-2465
SAWGRASS ASSET MANAGEMENT LLC,24053,2025-09-30,24053
Lansforsakringar Fondforvaltning AB (publ),23779,2025-09-30,0
PUBLIC EMPLOYEES RETIREMENT SYSTEM OF OHIO,23613,2025-09-30,146
Handelsbanken Fonder AB,23500,2025-09-30,3400
TRUIST FINANCIAL CORP,22501,2025-09-30,-20732
Arizona State Retirement System,22384,2025-09-30,304
Baader Bank Aktiengesellschaft,21809,2025-09-30,21809
IFM Investors Pty Ltd,21381,2025-09-30,1006
"Gotham Asset Management, LLC",21305,2025-09-30,10365
