holder,shares,dateReported,change
VANGUARD GROUP INC,13721979,2025-09-30,464130
"BlackRock, Inc.",12775834,2025-09-30,-179459
STATE STREET CORP,5265240,2025-09-30,-60842
FMR LLC,4435708,2025-09-30,1663081
"GEODE CAPITAL MANAGEMENT, LLC",2895785,2025-09-30,37937
MORGAN STANLEY,2574895,2025-09-30,404025
WELLINGTON MANAGEMENT GROUP LLP,2503177,2025-09-30,-465642
"SAMLYN CAPITAL, LLC",2140326,2025-09-30,-46905
"Hill City Capital, LP",2090000,2025-09-30,-60000
BNP Paribas Asset Management Holding S.A.,2041734,2025-09-30,-196693
Amundi,2025835,2025-09-30,564032
Invesco Ltd.,1956692,2025-09-30,-165095
UBS Group AG,1945154,2025-09-30,-395913
UBS ASSET MANAGEMENT AMERICAS INC,1484836,2025-09-30,-506056
NORTHERN TRUST CORP,1349531,2025-09-30,34313
SCHRODER INVESTMENT MANAGEMENT GROUP,1326197,2025-09-30,-23887
DIMENSIONAL FUND ADVISORS LP,1246362,2025-09-30,-91325
PRICE T ROWE ASSOCIATES INC /MD/,1236301,2025-09-30,-3797160
DEUTSCHE BANK AG\,1195986,2025-09-30,-74172
Clean Energy Transition LLP,1117228,2025-09-30,363274
BANK OF AMERICA CORP /DE/,1110128,2025-09-30,-38376
MILLENNIUM MANAGEMENT LLC,1076982,2025-09-30,61681
Mirova US LLC,911917,2025-09-30,-33014
Pictet Asset Management Holding SA,835778,2025-09-30,150817
VIKING GLOBAL INVESTORS LP,767996,2025-09-30,-1498054
Capital Research Global Investors,755532,2025-09-30,-270803
"Nuveen, LLC",707531,2025-09-30,-218900
Castle Hook Partners LP,678775,2025-09-30,678775
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,665054,2025-09-30,-128902
JPMORGAN CHASE & CO,661461,2025-09-30,-37561
Legal & General Group Plc,658885,2025-09-30,-65783
Bank of New York Mellon Corp,656769,2025-09-30,-10063
HSBC HOLDINGS PLC,638529,2025-09-30,93382
CANADA PENSION PLAN INVESTMENT BOARD,633571,2025-09-30,63450
Handelsbanken Fonder AB,622800,2025-09-30,-83776
