holder,shares,dateReported,change
VANGUARD GROUP INC,19040440,2025-09-30,293515
"BlackRock, Inc.",12277966,2025-09-30,-162268
STATE STREET CORP,6549164,2025-09-30,-66688
Bank of New York Mellon Corp,4552916,2025-09-30,-492643
"GEODE CAPITAL MANAGEMENT, LLC",4251688,2025-09-30,36543
MORGAN STANLEY,2313138,2025-09-30,-347095
Invesco Ltd.,2108763,2025-09-30,-75021
NORTHERN TRUST CORP,1697882,2025-09-30,-17379
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,1067643,2025-09-30,46642
Legal & General Group Plc,958210,2025-09-30,-13257
UBS ASSET MANAGEMENT AMERICAS INC,906744,2025-09-30,-133344
FMR LLC,880306,2025-09-30,535507
UBS Group AG,873530,2025-09-30,339774
GOLDMAN SACHS GROUP INC,860791,2025-09-30,26990
DIMENSIONAL FUND ADVISORS LP,846134,2025-09-30,49540
BANK OF AMERICA CORP /DE/,823624,2025-09-30,-19498
NORDEA INVESTMENT MANAGEMENT AB,790872,2025-09-30,26629
PRICE T ROWE ASSOCIATES INC /MD/,772187,2025-09-30,429050
ROYAL BANK OF CANADA,706369,2025-09-30,181987
DEUTSCHE BANK AG\,625528,2025-09-30,117366
JPMORGAN CHASE & CO,617464,2025-09-30,84754
BARCLAYS PLC,579632,2025-09-30,-159315
CAISSE DE DEPOT ET PLACEMENT DU QUEBEC,565901,2025-09-30,123781
Swedbank AB,542711,2025-09-30,109760
CAPTRUST FINANCIAL ADVISORS,537623,2025-09-30,27565
"Tandem Investment Advisors, Inc.",505216,2025-09-30,7315
FIL Ltd,466991,2025-09-30,73058
FIRST TRUST ADVISORS LP,445198,2025-09-30,329588
Swiss National Bank,422700,2025-09-30,-21900
Amundi,391141,2025-09-30,-28790
LOS ANGELES CAPITAL MANAGEMENT LLC,384788,2025-09-30,-288065
"Sumitomo Mitsui Trust Holdings, Inc.",377056,2025-09-30,4222
ALLIANCEBERNSTEIN L.P.,367932,2025-09-30,81854
VICTORY CAPITAL MANAGEMENT INC,360517,2025-09-30,-43814
AustralianSuper Pty Ltd,357485,2025-09-30,46079
Allianz Asset Management GmbH,357421,2025-09-30,110647
WELCH & FORBES LLC,329836,2025-09-30,-1742
RHUMBLINE ADVISERS,318937,2025-09-30,11696
"MARSHALL WACE, LLP",310987,2025-09-30,298412
AMERICAN CAPITAL MANAGEMENT INC,310853,2025-09-30,-7063
"Nuveen, LLC",308978,2025-09-30,-14507
"Mitsubishi UFJ Kokusai Asset Management Co., Ltd.",289606,2025-09-30,9730
CALIFORNIA PUBLIC EMPLOYEES RETIREMENT SYSTEM,287061,2025-09-30,15837
Stephens Investment Management Group LLC,285019,2025-09-30,-39260
HSBC HOLDINGS PLC,279532,2025-09-30,12047
abrdn plc,276973,2025-09-30,-19579
FRANKLIN RESOURCES INC,267753,2025-09-30,53002
BLI - Banque de Luxembourg Investments,250287,2025-09-30,-39600
Squarepoint Ops LLC,249595,2025-09-30,-296773
National Pension Service,240834,2025-09-30,7961
Giverny Capital Inc.,235418,2025-09-30,235418
CALIFORNIA STATE TEACHERS RETIREMENT SYSTEM,233536,2025-09-30,1018
BLAIR WILLIAM & CO/IL,223843,2025-09-30,-12441
AQR CAPITAL MANAGEMENT LLC,222111,2025-09-30,35565
VAUGHAN DAVID INVESTMENTS LLC/IL,204137,2025-09-30,-4092
BANK OF MONTREAL /CAN/,203480,2025-09-30,-128166
Aviso Financial Inc.,201382,2025-09-30,3017
BNP Paribas Asset Management Holding S.A.,193938,2025-09-30,-41123
CITADEL ADVISORS LLC,192594,2025-09-30,-174802
PRINCIPAL FINANCIAL GROUP INC,176502,2025-09-30,-3296
Dundas Partners LLP,175117,2025-09-30,22933
GREAT WEST LIFE ASSURANCE CO /CAN/,166407,2025-09-30,-218
Bellevue Group AG,164834,2025-09-30,-968
DANSKE BANK A/S,161546,2025-09-30,-27266
MACKENZIE FINANCIAL CORP,159896,2025-09-30,-90810
AMERIPRISE FINANCIAL INC,158783,2025-09-30,-144705
Aware Super Pty Ltd as trustee of Aware Super,158557,2025-09-30,0
"Baird Financial Group, Inc.",158447,2025-09-30,-40912
