holder,shares,dateReported,change
VANGUARD GROUP INC,5839743,2025-09-30,27989
"BlackRock, Inc.",3856066,2025-09-30,199934
WELLINGTON MANAGEMENT GROUP LLP,3190467,2025-09-30,-577338
"Allspring Global Investments Holdings, LLC",2177941,2025-09-30,-113185
STATE STREET CORP,1831153,2025-09-30,-27634
"ARIEL INVESTMENTS, LLC",1490098,2025-09-30,74750
HARRIS ASSOCIATES L P,1473084,2025-09-30,310149
"GEODE CAPITAL MANAGEMENT, LLC",1266746,2025-09-30,34516
Invesco Ltd.,1249178,2025-09-30,12035
BANK OF AMERICA CORP /DE/,1163348,2025-09-30,137335
DIMENSIONAL FUND ADVISORS LP,1130905,2025-09-30,120207
EARNEST PARTNERS LLC,1006724,2025-09-30,8467
MACKENZIE FINANCIAL CORP,995387,2025-09-30,-6662
"D. E. Shaw & Co., Inc.",959537,2025-09-30,352518
NATIONAL BANK OF CANADA /FI/,946769,2025-09-30,511901
Neuberger Berman Group LLC,849512,2025-09-30,154798
MORGAN STANLEY,834789,2025-09-30,79926
NOMURA HOLDINGS INC,806275,2025-09-30,-762994
"ARROWSTREET CAPITAL, LIMITED PARTNERSHIP",769437,2025-09-30,190828
SEI INVESTMENTS CO,749723,2025-09-30,35035
AMERIPRISE FINANCIAL INC,613604,2025-09-30,575039
COOKE & BIELER LP,603877,2025-09-30,5100
UBS Group AG,592756,2025-09-30,-142513
Van Berkom & Associates Inc.,496911,2025-09-30,9962
NORTHERN TRUST CORP,476464,2025-09-30,-721
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,476042,2025-09-30,-69707
MILLENNIUM MANAGEMENT LLC,465098,2025-09-30,-42224
"FULLER & THALER ASSET MANAGEMENT, INC.",449901,2025-09-30,4093
"Clearbridge Investments, LLC",415999,2025-09-30,63511
Bank of New York Mellon Corp,415125,2025-09-30,29076
FMR LLC,413533,2025-09-30,335214
JPMORGAN CHASE & CO,317179,2025-09-30,40073
"Gotham Asset Management, LLC",315755,2025-09-30,46594
Amundi,310174,2025-09-30,83917
Boston Trust Walden Corp,307242,2025-09-30,82051
LSV ASSET MANAGEMENT,297800,2025-09-30,281900
"Alyeska Investment Group, L.P.",292177,2025-09-30,-535
Burgundy Asset Management Ltd.,278329,2025-09-30,-1841
PRIMECAP MANAGEMENT CO/CA/,270540,2025-09-30,-60
Iron Triangle Partners LP,268000,2025-09-30,-52000
ROYAL BANK OF CANADA,267920,2025-09-30,-24906
AQR CAPITAL MANAGEMENT LLC,265083,2025-09-30,238327
Quantinno Capital Management LP,245578,2025-09-30,89493
GOLDMAN SACHS GROUP INC,239212,2025-09-30,-139833
MACQUARIE GROUP LTD,230091,2025-09-30,227433
Walleye Capital LLC,226000,2025-09-30,221782
DEUTSCHE BANK AG\,220089,2025-09-30,-319600
ALLIANCEBERNSTEIN L.P.,219975,2025-09-30,153868
UBS ASSET MANAGEMENT AMERICAS INC,208260,2025-09-30,-75467
"Connor, Clark & Lunn Investment Management Ltd.",180564,2025-09-30,-10704
SNYDER CAPITAL MANAGEMENT L P,177908,2025-09-30,-3199
MIZUHO MARKETS AMERICAS LLC,170000,2025-09-30,170000
"Nuveen, LLC",152277,2025-09-30,-650
BARCLAYS PLC,151359,2025-09-30,-28519
BALYASNY ASSET MANAGEMENT L.P.,151355,2025-09-30,-282871
"LAKEWOOD CAPITAL MANAGEMENT, LP",140240,2025-09-30,0
