date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,dividend,recordDate,adjDividend,paymentDate,declarationDate
2026-01-02,181.92,181.92,177.36,178.35,178.35,937500,937500,-3.57,-1.96,179.8875,"January 02, 26",-0.0196,,,,,
2025-12-31,183.86,184.97,182.38,182.48,182.48,453020,453020,-1.38,-0.75057,183.4225,"December 31, 25",-0.0075057,,,,,
2025-12-30,186.06,186.9,184.51,184.55,184.55,346948,346948,-1.51,-0.81157,185.505,"December 30, 25",-0.0081157,,,,,
2025-12-29,186.13,186.85,185.43,186.42,186.42,453812,453812,0.29,0.15581,186.2075,"December 29, 25",0.0015581,,,,,
2025-12-26,184.74,186.38,184.65,186.13,186.13,330639,330639,1.39,0.75241,185.475,"December 26, 25",0.0075241,,,,,
2025-12-24,184.96,185.74,184.69,185.18,185.18,238818,238818,0.22,0.11894,185.1425,"December 24, 25",0.0011894,,,,,
2025-12-23,184.6,185.57,183,185.31,185.31,449500,449500,0.71,0.38462,184.62,"December 23, 25",0.0038462,,,,,
2025-12-22,184.4,186.5,183.26,185.33,185.33,668649,668649,0.93,0.50434,184.8725,"December 22, 25",0.0050434,,,,,
2025-12-19,183.38,185.01,182,184.5,184.5,2207111,2207111,1.12,0.61075,183.7225,"December 19, 25",0.0061075,,,,,
2025-12-18,188.01,188.4,183.46,184.38,184.38,1090200,1090200,-3.63,-1.93,186.0625,"December 18, 25",-0.0193,,,,,
2025-12-17,186.87,189.77,186.87,188.09,188.09,676840,676840,1.22,0.65286,187.9,"December 17, 25",0.0065286,,,,,
2025-12-16,188.64,189.46,186.59,186.91,186.91,783632,783632,-1.73,-0.91709,187.9,"December 16, 25",-0.0091709,,,,,
2025-12-15,188.09,189.95,185.64,187.65,187.65,864400,864400,-0.44,-0.23393,187.8325,"December 15, 25",-0.0023393,,,,,
2025-12-12,187.33,189.35,186.79,187.5,187.5,659320,659320,0.17,0.09074895,187.7425,"December 12, 25",0.0009074895,,,,,
2025-12-11,184.56,189.67,182.59,187.18,187.18,817234,817234,2.62,1.42,186,"December 11, 25",0.0142,,,,,
2025-12-10,179.98,185.84,179.97,184.92,184.92,914255,914255,4.94,2.74,182.6775,"December 10, 25",0.0274,,,,,
2025-12-09,180.61,182.13,180.03,180.17,180.17,643127,643127,-0.44,-0.24362,180.735,"December 09, 25",-0.0024362,,,,,
2025-12-08,182.68,185.86,179.47,180.99,180.99,1155600,1155600,-1.69,-0.92511,182.25,"December 08, 25",-0.0092511,,,,,
2025-12-05,179.98,182,178.41,181.71,181.71,813913,813913,1.73,0.96122,180.525,"December 05, 25",0.0096122,,,,,
2025-12-04,176.72,181.25,175.67,180.34,180.34,1082400,1082400,3.62,2.05,178.495,"December 04, 25",0.0205,,,,,
2025-12-03,172.69,176.85,171.91,176.13,176.13,979525,979525,3.44,1.99,174.395,"December 03, 25",0.0199,,,,,
2025-12-02,173.14,173.87,171.86,172.68,172.68,960029,960029,-0.46,-0.26568,172.8875,"December 02, 25",-0.0026568,0.58,2025-12-02,0.58,2025-12-23,2025-11-12
2025-12-01,173.53,175.9,172.99,174.2,173.62,773625,773625,0.67,0.3861,174.155,"December 01, 25",0.003861,,,,,
2025-11-28,174.42,175,173.85,174.48,173.9,404213,404213,0.06,0.03439972,174.4375,"November 28, 25",0.0003439972,,,,,
