date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,recordDate,paymentDate,declarationDate,dividend,adjDividend
2026-01-05,163.41,169.4,163.41,169.28,169.28,136768,136768,5.87,3.59219,167.36,"January 05, 26",0.0359219,,,,,
2026-01-02,160.23,163.76,159.64,163.6,163.6,1428618,1428618,3.37,2.1,161.8075,"January 02, 26",0.021,2026-01-02,2026-01-16,2025-12-03,0.54,0.54
2025-12-31,162.9,163.6,160.55,160.59,160.05,740600,740600,-2.31,-1.42,161.91,"December 31, 25",-0.0142,,,,,
2025-12-30,163.93,163.94,162.55,162.55,162,779500,779500,-1.38,-0.84182,163.2425,"December 30, 25",-0.0084182,,,,,
2025-12-29,165.28,166.04,163.66,164.09,163.54,604728,604728,-1.19,-0.71999,164.7675,"December 29, 25",-0.0071999,,,,,
2025-12-26,165.61,166.87,164.73,165.3,164.74,571900,571900,-0.31,-0.18719,165.6275,"December 26, 25",-0.0018719,,,,,
2025-12-24,166.02,166.59,164.7,165.8,165.24,411100,411100,-0.22,-0.13251,165.7775,"December 24, 25",-0.0013251,,,,,
2025-12-23,166.4,167.62,164.91,165.77,165.21,1272133,1272133,-0.63,-0.37861,166.175,"December 23, 25",-0.0037861,,,,,
2025-12-22,163.65,166.16,162.72,166,165.44,1357540,1357540,2.35,1.44,164.6325,"December 22, 25",0.0144,,,,,
2025-12-19,160.72,163.74,160.72,163.01,162.46,4065200,4065200,2.29,1.42,162.0475,"December 19, 25",0.0142,,,,,
2025-12-18,161.41,163.58,160.17,160.22,159.68,1605500,1605500,-1.19,-0.73725,161.345,"December 18, 25",-0.0073725,,,,,
2025-12-17,162.07,163.99,160.84,161.01,160.47,1529800,1529800,-1.06,-0.65404,161.9775,"December 17, 25",-0.0065404,,,,,
2025-12-16,163,163.46,161.53,161.96,161.42,1301000,1301000,-1.04,-0.63804,162.4875,"December 16, 25",-0.0063804,,,,,
2025-12-15,164.56,164.72,161.9,162.83,162.28,1339019,1339019,-1.73,-1.05,163.5025,"December 15, 25",-0.0105,,,,,
2025-12-12,165.04,165.8,162.54,163.85,163.3,972148,972148,-1.19,-0.72104,164.3075,"December 12, 25",-0.0072104,,,,,
2025-12-11,165.45,166.84,163.3,163.91,163.36,1439000,1439000,-1.54,-0.93079,164.875,"December 11, 25",-0.0093079,,,,,
2025-12-10,165.21,167.68,164.78,166.94,166.38,1736104,1736104,1.73,1.05,166.1525,"December 10, 25",0.0105,,,,,
2025-12-09,164.35,167.16,164.35,164.93,164.38,1181900,1181900,0.58,0.35291,165.1975,"December 09, 25",0.0035291,,,,,
