holder,shares,dateReported,change
VANGUARD GROUP INC,5805036,2025-09-30,234916
"BlackRock, Inc.",4238241,2025-09-30,-41274
STATE STREET CORP,1947850,2025-09-30,34178
"T. Rowe Price Investment Management, Inc.",1843690,2025-09-30,181699
PRINCIPAL FINANCIAL GROUP INC,1410640,2025-09-30,144612
"GEODE CAPITAL MANAGEMENT, LLC",1215078,2025-09-30,8672
MORGAN STANLEY,1050997,2025-09-30,-37301
VAN ECK ASSOCIATES CORP,850103,2025-09-30,301885
MASSACHUSETTS FINANCIAL SERVICES CO /MA/,848386,2025-09-30,-190095
FRANKLIN RESOURCES INC,840505,2025-09-30,-133978
APG Asset Management N.V.,705880,2025-09-30,-68423
Invesco Ltd.,608881,2025-09-30,-218240
WELLINGTON MANAGEMENT GROUP LLP,600776,2025-09-30,252488
"Holocene Advisors, LP",567481,2025-09-30,-8618
Artisan Partners Limited Partnership,526928,2025-09-30,-171688
NORTHERN TRUST CORP,498432,2025-09-30,1957
"WILLIAM BLAIR INVESTMENT MANAGEMENT, LLC",459114,2025-09-30,100640
JPMORGAN CHASE & CO,432567,2025-09-30,-210
BLAIR WILLIAM & CO/IL,424708,2025-09-30,-60
JANUS HENDERSON GROUP PLC,412559,2025-09-30,9232
BANK OF AMERICA CORP /DE/,373610,2025-09-30,23862
GOLDMAN SACHS GROUP INC,353078,2025-09-30,-9812
Neuberger Berman Group LLC,346195,2025-09-30,-12912
UBS ASSET MANAGEMENT AMERICAS INC,329060,2025-09-30,-30650
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,321080,2025-09-30,12297
Swedbank AB,312450,2025-09-30,0
"TWO SIGMA INVESTMENTS, LP",290511,2025-09-30,190210
"RGM Capital, LLC",289870,2025-09-30,1607
RIVERBRIDGE PARTNERS LLC,268627,2025-09-30,-13254
Handelsbanken Fonder AB,266551,2025-09-30,-1500
Bank of New York Mellon Corp,256837,2025-09-30,8104
DF DENT & CO INC,252725,2025-09-30,124745
EULAV Asset Management,249082,2025-09-30,0
RAYMOND JAMES FINANCIAL INC,244033,2025-09-30,-13748
GENEVA CAPITAL MANAGEMENT LLC,235647,2025-09-30,-2601
"FEDERATED HERMES, INC.",232226,2025-09-30,-4908
TCW GROUP INC,227175,2025-09-30,29443
UBS Group AG,211971,2025-09-30,44248
DEUTSCHE BANK AG\,211543,2025-09-30,17121
Legal & General Group Plc,208425,2025-09-30,3618
ROYAL BANK OF CANADA,203322,2025-09-30,50303
DIMENSIONAL FUND ADVISORS LP,179367,2025-09-30,17420
ENVESTNET ASSET MANAGEMENT INC,172932,2025-09-30,8126
Woodline Partners LP,165543,2025-09-30,160878
PRICE T ROWE ASSOCIATES INC /MD/,162111,2025-09-30,-27615
BROWN CAPITAL MANAGEMENT LLC,162087,2025-09-30,-77303
TD ASSET MANAGEMENT INC,151542,2025-09-30,12666
MACQUARIE GROUP LTD,145016,2025-09-30,-26924
Seilern Investment Management Ltd,136534,2025-09-30,-8979
WELLS FARGO & COMPANY/MN,135468,2025-09-30,-14906
Stephens Investment Management Group LLC,134976,2025-09-30,-6737
"Russell Investments Group, Ltd.",133350,2025-09-30,33473
CALIFORNIA PUBLIC EMPLOYEES RETIREMENT SYSTEM,131915,2025-09-30,-26128
"Nuveen, LLC",129616,2025-09-30,6259
Amundi,126546,2025-09-30,-13909
Swiss National Bank,124300,2025-09-30,-6100
"RMB Capital Management, LLC",120439,2025-09-30,5097
"Allspring Global Investments Holdings, LLC",114625,2025-09-30,15143
"Sumitomo Mitsui Trust Holdings, Inc.",110929,2025-09-30,2077
Fiera Capital Corp,107555,2025-09-30,-2404
"TimesSquare Capital Management, LLC",103789,2025-09-30,-4708
RHUMBLINE ADVISERS,103094,2025-09-30,6461
ARGENT CAPITAL MANAGEMENT LLC,102756,2025-09-30,-74
FMR LLC,101530,2025-09-30,-991769
Hudson Way Capital Management LLC,101252,2025-09-30,-14650
Premier Fund Managers Ltd,100562,2025-09-30,224
SEI INVESTMENTS CO,97865,2025-09-30,-15074
"Conestoga Capital Advisors, LLC",94110,2025-09-30,-316
Sandhill Capital Partners LLC,89735,2025-09-30,-362
"Mitsubishi UFJ Kokusai Asset Management Co., Ltd.",86629,2025-09-30,3959
RENAISSANCE TECHNOLOGIES LLC,86600,2025-09-30,51916
BARCLAYS PLC,85466,2025-09-30,-30306
Qube Research & Technologies Ltd,83489,2025-09-30,-37784
"BNP PARIBAS ARBITRAGE, SNC",80444,2025-09-30,20213
"Quantum Capital Management, LLC / NJ",74449,2025-09-30,-283
"Baird Financial Group, Inc.",70062,2025-09-30,-17769
National Pension Service,67643,2025-09-30,79
CITIGROUP INC,67014,2025-09-30,-4964
CALIFORNIA STATE TEACHERS RETIREMENT SYSTEM,66857,2025-09-30,-1067
HSBC HOLDINGS PLC,66042,2025-09-30,-2939
Skandinaviska Enskilda Banken AB (publ),64363,2025-09-30,-392
"TWO SIGMA ADVISERS, LP",64300,2025-09-30,42800
"ASSETMARK, INC",63795,2025-09-30,27120
HM PAYSON & CO,61552,2025-09-30,-1298
"Praesidium Investment Management Company, LLC",56477,2025-09-30,-925
"Sone Capital Management, LLC",54769,2025-09-30,54769
CYPRESS FUNDS LLC,53589,2025-09-30,0
"Capital Investment Services of America, Inc.",53405,2025-09-30,4
"GAMCO INVESTORS, INC. ET AL",52405,2025-09-30,0
"EVENTIDE ASSET MANAGEMENT, LLC",51938,2025-09-30,13716
Zurcher Kantonalbank (Zurich Cantonalbank),51866,2025-09-30,1677
NEW YORK STATE COMMON RETIREMENT FUND,51855,2025-09-30,-77478
PUBLIC EMPLOYEES RETIREMENT ASSOCIATION OF COLORADO,51789,2025-09-30,-55
KING LUTHER CAPITAL MANAGEMENT CORP,49997,2025-09-30,-1140
"Two Creeks Capital Management, LP",47983,2025-09-30,479
ALLIANCEBERNSTEIN L.P.,44959,2025-09-30,88
KAYNE ANDERSON RUDNICK INVESTMENT MANAGEMENT LLC,44723,2025-09-30,-204
GENERAL AMERICAN INVESTORS CO INC,44381,2025-09-30,3000
AQR CAPITAL MANAGEMENT LLC,42508,2025-09-30,-26169
STATE BOARD OF ADMINISTRATION OF FLORIDA RETIREMENT SYSTEM,42088,2025-09-30,-1454
Empire Life Investments Inc.,41243,2025-09-30,201
Montanaro Asset Management Ltd,40575,2025-09-30,2500
Squarepoint Ops LLC,40397,2025-09-30,-98770
"ADAGE CAPITAL PARTNERS GP, L.L.C.",39400,2025-09-30,-100
STATE OF WISCONSIN INVESTMENT BOARD,37282,2025-09-30,9
MILLENNIUM MANAGEMENT LLC,36234,2025-09-30,14594
STIFEL FINANCIAL CORP,36033,2025-09-30,-437
NEW YORK STATE TEACHERS RETIREMENT SYSTEM,35513,2025-09-30,-5
Thematics Asset Management,35170,2025-09-30,-3808
