date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,paymentDate,recordDate,dividend,adjDividend,declarationDate
2026-01-02,288.55,289.19,283.02,284.9,284.9,682252,682252,-3.65,-1.26,286.415,"January 02, 26",-0.0126,,,,,
2025-12-31,290.52,293.69,289.85,290.19,290.19,422437,422437,-0.33,-0.11359,291.0625,"December 31, 25",-0.0011359,,,,,
2025-12-30,291.69,293.85,290,291.4,291.4,391337,391337,-0.29,-0.09942062,291.735,"December 30, 25",-0.0009942062,,,,,
2025-12-29,293.34,295.36,291.17,293.43,293.43,475641,475641,0.09,0.03068112,293.325,"December 29, 25",0.0003068112,,,,,
2025-12-26,290,292.7,288.5,292.13,292.13,327900,327900,2.13,0.73448,290.8325,"December 26, 25",0.0073448,,,,,
2025-12-24,291.32,292.96,287.69,290.09,290.09,228546,228546,-1.23,-0.42222,290.515,"December 24, 25",-0.0042222,,,,,
2025-12-23,291.59,291.72,288.89,290.88,290.88,421628,421628,-0.71,-0.24349,290.77,"December 23, 25",-0.0024349,,,,,
2025-12-22,288.54,295.43,288.5,290.94,290.94,716100,716100,2.4,0.83177,290.8525,"December 22, 25",0.0083177,,,,,
2025-12-19,277.55,289.64,275.9,288.54,288.54,2270600,2270600,10.99,3.96,282.9075,"December 19, 25",0.0396,,,,,
2025-12-18,302.69,306.1,268.26,273.39,273.39,2253800,2253800,-29.3,-9.68,287.61,"December 18, 25",-0.0968,,,,,
2025-12-17,297.05,300.28,294.81,296.13,296.13,878310,878310,-0.92,-0.30971,297.0675,"December 17, 25",-0.0030971,,,,,
2025-12-16,292.76,293.55,290.14,293,293,756316,756316,0.24,0.08197841,292.3625,"December 16, 25",0.0008197841,,,,,
2025-12-15,292.27,293.39,288.73,292.03,292.03,706100,706100,-0.24,-0.08211585,291.605,"December 15, 25",-0.0008211585,,,,,
2025-12-12,292.65,294.66,289.68,292.47,292.47,634722,634722,-0.18,-0.06150692,292.365,"December 12, 25",-0.0006150692,,,,,
2025-12-11,291.08,297.91,290.72,291.55,291.55,615040,615040,0.47,0.16147,292.815,"December 11, 25",0.0016147,,,,,
2025-12-10,288.04,290.19,284.23,288.2,288.2,709400,709400,0.16,0.05554784,287.665,"December 10, 25",0.0005554784,,,,,
2025-12-09,286.47,290.44,286.23,287.56,287.56,816900,816900,1.09,0.38049,287.675,"December 09, 25",0.0038049,,,,,
2025-12-08,288.16,290,282.45,286.89,286.89,870339,870339,-1.27,-0.44073,286.875,"December 08, 25",-0.0044073,,,,,
2025-12-05,278.29,291.62,278.01,290.63,290.63,1489423,1489423,12.34,4.43,284.6375,"December 05, 25",0.0443,,,,,
2025-12-04,281.62,284.12,277.21,278.92,278.92,352232,352232,-2.7,-0.95874,280.4675,"December 04, 25",-0.0095874,,,,,
2025-12-03,278.13,282.65,276.35,279.15,279.15,496953,496953,1.02,0.36673,279.07,"December 03, 25",0.0036673,,,,,
2025-12-02,276.76,279.12,273,278.28,278.28,615800,615800,1.52,0.54921,276.79,"December 02, 25",0.0054921,,,,,
2025-12-01,275,281.85,273.46,277.13,277.13,876124,876124,2.13,0.77455,276.86,"December 01, 25",0.0077455,,,,,
2025-11-28,278.73,280.24,276.96,277.27,277.27,273100,273100,-1.46,-0.5238,278.3,"November 28, 25",-0.005238,2025-12-18,2025-11-28,1.1,1.1,2025-11-03
2025-11-26,276.79,280.21,276.79,277.41,276.31,451300,451300,0.62,0.224,277.8,"November 26, 25",0.00224,,,,,
2025-11-25,276.15,280.88,274.6,278.73,277.62,653847,653847,2.58,0.93427,277.59,"November 25, 25",0.0093427,,,,,
2025-11-24,273.68,275.9,270.84,271.76,270.68,3959808,3959808,-1.92,-0.70155,273.045,"November 24, 25",-0.0070155,,,,,
2025-11-21,275.09,279.69,273.29,277.02,275.92,946318,946318,1.93,0.70159,276.2725,"November 21, 25",0.0070159,,,,,
2025-11-20,267.1,275.12,267.1,273.05,271.97,638839,638839,5.95,2.23,270.5925,"November 20, 25",0.0223,,,,,
2025-11-19,272,274,266.46,267.02,265.96,571700,571700,-4.98,-1.83,269.87,"November 19, 25",-0.0183,,,,,
2025-11-18,274.26,275.24,269.2,272.11,271.03,828300,828300,-2.15,-0.78393,272.7025,"November 18, 25",-0.0078393,,,,,
2025-11-17,272.26,274.74,270.52,273.65,272.56,1138339,1138339,1.39,0.51054,272.7925,"November 17, 25",0.0051054,,,,,
2025-11-14,277.37,280.19,271.38,273.91,272.82,677773,677773,-3.46,-1.25,275.7125,"November 14, 25",-0.0125,,,,,
2025-11-13,269.46,281.98,268.25,277.94,276.84,944910,944910,8.48,3.15,274.4075,"November 13, 25",0.0315,,,,,
2025-11-12,274,274,268.01,271.88,270.8,490705,490705,-2.12,-0.77372,271.9725,"November 12, 25",-0.0077372,,,,,
2025-11-11,268,274,266.22,271.56,270.48,707100,707100,3.56,1.33,269.945,"November 11, 25",0.0133,,,,,
2025-11-10,261.99,266.58,258.46,265.09,264.04,688500,688500,3.1,1.18,263.03,"November 10, 25",0.0118,,,,,
2025-11-07,255.12,264.78,254.04,262.6,261.56,753673,753673,7.48,2.93,259.135,"November 07, 25",0.0293,,,,,
2025-11-06,258.16,258.68,250.5,253.62,252.61,1405600,1405600,-4.54,-1.76,255.24,"November 06, 25",-0.0176,,,,,
2025-11-05,263.18,264,259.78,261.14,260.1,693760,693760,-2.04,-0.77513,262.025,"November 05, 25",-0.0077513,,,,,
2025-11-04,265.63,266.43,258.15,264.58,263.53,814218,814218,-1.05,-0.39529,263.6975,"November 04, 25",-0.0039529,,,,,
2025-11-03,266.29,267.95,260,264.57,263.52,888560,888560,-1.72,-0.64591,264.7025,"November 03, 25",-0.0064591,,,,,
2025-10-31,267.65,269.2,265.11,266.8,265.74,1474048,1474048,-0.85,-0.31758,267.19,"October 31, 25",-0.0031758,,,,,
2025-10-30,268.65,275,266.13,269.04,267.97,1050063,1050063,0.39,0.14517,269.705,"October 30, 25",0.0014517,,,,,
2025-10-29,287.06,287.06,266.62,266.89,265.83,1219692,1219692,-20.17,-7.03,276.9075,"October 29, 25",-0.0703,,,,,
2025-10-28,290,293.85,287.03,288.4,287.26,601700,601700,-1.6,-0.55172,289.82,"October 28, 25",-0.0055172,,,,,
2025-10-27,287.57,291.86,285.65,290.33,289.18,728200,728200,2.76,0.95977,288.8525,"October 27, 25",0.0095977,,,,,
2025-10-24,289.62,289.62,284.75,285.3,284.17,793226,793226,-4.32,-1.49,287.3225,"October 24, 25",-0.0149,,,,,
2025-10-23,289.92,292.21,286.38,286.84,285.7,739800,739800,-3.08,-1.06,288.8375,"October 23, 25",-0.0106,,,,,
2025-10-22,292.54,294.95,289.2,289.92,288.77,672600,672600,-2.62,-0.8956,291.6525,"October 22, 25",-0.008956,,,,,
2025-10-21,289.9,296.8,285.5,294.11,292.94,919368,919368,4.21,1.45,291.5775,"October 21, 25",0.0145,,,,,
2025-10-20,285.84,292.43,285.84,290.41,289.26,821625,821625,4.57,1.6,288.63,"October 20, 25",0.016,,,,,
2025-10-17,278.86,289.48,277.08,286.67,285.53,796006,796006,7.81,2.8,283.0225,"October 17, 25",0.028,,,,,
2025-10-16,284,284.3,275.24,278.01,276.91,543274,543274,-5.99,-2.11,280.3875,"October 16, 25",-0.0211,,,,,
2025-10-15,285.98,291.5,283.2,283.95,282.82,481899,481899,-2.03,-0.70984,286.1575,"October 15, 25",-0.0070984,,,,,
2025-10-14,285,289.46,281.04,285.75,284.62,946371,946371,0.75,0.26316,285.3125,"October 14, 25",0.0026316,,,,,
2025-10-13,284.33,288.87,283.89,285.99,284.85,629260,629260,1.66,0.58383,285.77,"October 13, 25",0.0058383,,,,,
2025-10-10,285,289.3,281,283.13,282.01,1170724,1170724,-1.87,-0.65614,284.6075,"October 10, 25",-0.0065614,,,,,
2025-10-09,285.45,287.64,280.54,283.08,281.96,1141415,1141415,-2.37,-0.83027,284.1775,"October 09, 25",-0.0083027,,,,,
2025-10-08,278.91,281.61,273.85,281.47,280.35,688143,688143,2.56,0.91786,278.96,"October 08, 25",0.0091786,,,,,
2025-10-07,276.55,280.05,274.13,276.93,275.83,604370,604370,0.38,0.13741,276.915,"October 07, 25",0.0013741,,,,,
2025-10-06,283.34,283.74,272.5,275.01,273.92,1113349,1113349,-8.33,-2.94,278.6475,"October 06, 25",-0.0294,,,,,
2025-10-03,281.7,283.52,280.03,282.33,281.21,543249,543249,0.63,0.22364,281.895,"October 03, 25",0.0022364,,,,,
2025-10-02,286,289.54,280.2,281.88,280.76,766110,766110,-4.12,-1.44,284.405,"October 02, 25",-0.0144,,,,,
2025-10-01,287.13,289.13,282,286.73,285.59,725094,725094,-0.4,-0.13931,286.2475,"October 01, 25",-0.0013931,,,,,
2025-09-30,290,290.39,284.16,286.49,285.35,592616,592616,-3.51,-1.21,287.76,"September 30, 25",-0.0121,,,,,
2025-09-29,291.02,292.11,287.3,290.67,289.52,656280,656280,-0.35,-0.12027,290.275,"September 29, 25",-0.0012027,,,,,
2025-09-26,285.24,292.02,284.42,289.69,288.54,546792,546792,4.45,1.56,287.8425,"September 26, 25",0.0156,,,,,
2025-09-25,286.9,287.69,282.01,283.86,282.73,670815,670815,-3.04,-1.06,285.115,"September 25, 25",-0.0106,,,,,
2025-09-24,288,291.22,284.39,286.16,285.02,934690,934690,-1.84,-0.63889,287.4425,"September 24, 25",-0.0063889,,,,,
2025-09-23,296.4,296.77,286.52,288.41,287.27,1100088,1100088,-7.99,-2.7,292.025,"September 23, 25",-0.027,,,,,
2025-09-22,294.5,301.75,293.86,295.63,294.46,1391754,1391754,1.13,0.3837,296.435,"September 22, 25",0.003837,,,,,
2025-09-19,304.5,304.75,288.84,289.15,288,1781606,1781606,-15.35,-5.04,296.81,"September 19, 25",-0.0504,,,,,
2025-09-18,338.53,338.53,297.86,301.23,300.03,2608100,2608100,-37.3,-11.02,319.0375,"September 18, 25",-0.1102,,,,,
2025-09-17,345.94,348.39,332.8,336.04,334.71,1082500,1082500,-9.9,-2.86,340.7925,"September 17, 25",-0.0286,,,,,
2025-09-16,344.14,346.28,341.79,345.19,343.82,639778,639778,1.05,0.30511,344.35,"September 16, 25",0.0030511,,,,,
2025-09-15,363.33,364.83,343.6,344.43,343.06,843072,843072,-18.9,-5.2,354.0475,"September 15, 25",-0.052,,,,,
