symbol,date,calendarYear,period,revenueGrowth,grossProfitGrowth,ebitgrowth,operatingIncomeGrowth,netIncomeGrowth,epsgrowth,epsdilutedGrowth,weightedAverageSharesGrowth,weightedAverageSharesDilutedGrowth,dividendsperShareGrowth,operatingCashFlowGrowth,freeCashFlowGrowth,tenYRevenueGrowthPerShare,fiveYRevenueGrowthPerShare,threeYRevenueGrowthPerShare,tenYOperatingCFGrowthPerShare,fiveYOperatingCFGrowthPerShare,threeYOperatingCFGrowthPerShare,tenYNetIncomeGrowthPerShare,fiveYNetIncomeGrowthPerShare,threeYNetIncomeGrowthPerShare,tenYShareholdersEquityGrowthPerShare,fiveYShareholdersEquityGrowthPerShare,threeYShareholdersEquityGrowthPerShare,tenYDividendperShareGrowthPerShare,fiveYDividendperShareGrowthPerShare,threeYDividendperShareGrowthPerShare,receivablesGrowth,inventoryGrowth,assetGrowth,bookValueperShareGrowth,debtGrowth,rdexpenseGrowth,sgaexpensesGrowth
HLT,2024-12-31,2024,FY,0.09174401563263312,0.04539249146757679,0.09090909090909091,0.0651685393258427,0.3453111305872042,0.4252873563218392,0.4212962962962961,-0.05534351145038168,-0.0625,0.004986574606827791,0.03442959917780062,0.06827545615067687,0.4114841032184346,0.37085540124050487,1.1762518062448952,0.9549354128843337,0.6866088631984584,19.818348623853208,2.025747295690936,1.0204083972528923,3.22039911308204,-2.040452598063973,-7.966419380527265,-4.117351345365962,0,0.011275546159267184,0,0.06455951580363148,0,0.07278748133238101,-0.6638786673724895,0.18606719367588934,0,0.01715686274509804
HLT,2023-12-31,2023,FY,0.1666476689843839,0.08598962194217939,0.003257328990228013,0.06255969436485195,-0.09083665338645418,-0.046052631578947366,-0.04635761589403972,-0.04727272727272727,-0.04693140794223827,0.3482902004592565,0.15764425936942297,0.0759974667511083,0.2335719735196447,0.3246794767400998,1.51241543590498,0.08674934255225605,0.7873300690368298,1.9059494544356752,2.225894427480916,0.7214639702649772,2.6871670314418403,-1.6346574648370316,-5.937033291309347,-0.6745734924944924,0,0.006199654168951209,2.977280988731371,0.12057272042200452,0,-0.007155750386797318,-1.2435830587188366,0.04426787741203178,0,0.06806282722513089
HLT,2022-12-31,2022,FY,0.5157221838286109,0.6302114803625377,1.2455590386624869,1.0732673267326733,2.0609756097560976,2.1020408163265305,2.1027397260273974,-0.014336917562724014,-0.014234875444839857,0,14.422018348623853,51.63333333333333,0.055826691241914576,0.13087407996817188,-0.03133497480090793,0.6906354919999999,1.1434238488783943,0.2675959012086178,2.980212961931818,0.36403891311640374,0.4866783613662161,-1.5346508027118644,-1.6266198666198664,-1.3860731799321009,0,-0.25683916083916086,-0.25367864693446085,0.24250936329588016,0,0.004598147788355676,-0.3601598401598401,-0.008694762684124386,0,-0.056790123456790124
HLT,2021-12-31,2021,FY,0.3438588344555375,1.8387650085763294,2.933333333333333,3.416267942583732,1.5734265734265733,1.5653846153846154,1.565891472868217,0.007220216606498195,0.007168458781362007,-1,-0.846045197740113,-0.9512987012987013,-0.27486414857147046,-0.4147344808177808,-0.2965251568150664,-0.8972245517041213,-0.9047801657613168,-0.9059875194562252,0.7831877559607293,0.43054606837606835,-0.41911088592392426,-1.483615290063549,-1.1641343397939388,-2.6128511861782746,0,-1,-1,0.3852140077821012,0,-0.0784243509400179,0.4528068423566187,-0.15927072583419333,0,0.3022508038585209
HLT,2020-12-31,2020,FY,-0.5443292424883622,-0.7605749486652977,-1.2985524728588662,-1.252263126131563,-1.811577752553916,-1.8469055374592835,-1.8486842105263157,-0.03484320557491289,-0.03793103448275862,-0.7469985727478801,-0.4884393063583815,-0.4775233248515691,-0.3674801893960004,-0.5466335811281524,-0.44881940768945167,0.007055501380335512,-0.3973766702474245,-0.1037554503258474,-7.618525129597247,-1.6042468441636581,-1.7715107836998947,0,-1.2953912118563555,-1.8411273573728448,0,-0.6388848899701773,-0.7480699805609553,-0.3885804916732752,0,0.12021127231396671,-2.261962308021783,0.2690166975881262,0,-0.2947845804988662
HLT,2019-12-31,2019,FY,0.06130698405569279,0.08174144824522435,0.14423740510697033,0.15712290502793297,0.1531413612565445,0.21343873517786563,0.21600000000000003,-0.04966887417218543,-0.04918032786885246,-5.7751169461166396e-05,0.10278884462151394,0.07572992700729927,0.3397409922609043,0.02963748178047391,-0.07088293768942612,0.9000022316048373,0.15909233939220807,0.17532864218866961,6.870982758955792,0.4975919224078569,1.988245033235057,0,-1.116038805894309,-1.0936754181261457,0,0,-0.2881218288531932,0.09652173913043478,0,0.06873883529832082,-1.8900877948871655,0.2583081570996979,0,-0.004514672686230248
HLT,2018-12-31,2018,FY,-0.025601750547045953,0.1467142129393785,0.3125,0.26501766784452296,-0.2952029520295203,-0.24251497005988026,-0.24698795180722888,-0.06790123456790123,-0.0672782874617737,-0.0041772796739685085,0.3582251082251082,0.5307262569832403,0.19965060498100584,-0.06877701724847532,-0.1401355506030297,0.6373318143747566,-0.3919705367358968,-0.020218499838475207,5.48666343781043,0.873925033112583,-0.4077916401766004,0,-0.8714496282708447,-0.8998073814569536,0,0,0.4274068331413763,0.14427860696517414,0,-0.02187587363712608,-0.7114944546397511,0.10299909118448955,0,0.009111617312072893
HLT,2017-12-31,2017,FY,-0.21632513075538026,0.16291469194312796,0.2631578947368421,0.30414746543778803,2.2071005917159763,2.1509433962264146,2.1619047619047613,-0.015295063156877592,-0.009189008386451484,-0.2850943538574676,-0.31555555555555553,-0.20178372352285395,0.1475727183217344,-0.06636228564754929,-0.11805051074927524,0.12363919172113284,-0.21124536666666674,-0.31452628965348955,7.5786553725887345,1.917961447916667,0.6322389953772495,0,-0.14677010546139357,-0.558141869855967,0,0,0,0.30859375,-1,-0.4541223150585632,-0.6397281211676998,-0.38938216796152425,0,0.07334963325183375
HLT,2016-12-31,2016,FY,0.03468772178850248,-0.0117096018735363,-0.03956043956043956,-0.035555555555555556,-0.7592592592592593,-0.7511737089201878,-0.7535211267605634,0.001114309430739451,0.0011112326582498474,1.005012172838653,-0.03156384505021521,-0.08934010152284264,0.4419506934133474,0.23898611427126026,0.11930725506720928,0.6165710282246651,0.07934916204806829,-0.39968013447836864,1.6339817088007373,0.24650844553714643,-0.2390719345617129,0,1.9464601415566083,0.26318855510261013,0,0,0,-0.3030852994555354,0.2239819004524887,0.019248716752216517,-0.018233967623199256,0.02512562814070352,0,-0.2383612662942272
HLT,2015-12-31,2015,FY,0.0733193677394782,-0.38825214899713467,-0.48441926345609065,-0.4620442319187089,1.0861812778603268,1.088235294117647,1.088235294117647,0.0010152284263959391,0.0030425963488843813,0,0.020497803806734993,0.021784232365145227,0.3951624652261531,0.3951624652261531,0.13507081023068096,0.6711193404905373,0.6711193404905373,0.17306616961789373,9.953346622369187,9.953346622369187,2.725693804167435,0,0,1.4295746712118287,0,0,0,-0.0018115942028985507,0.09405940594059406,-0.0156555023923445,0.2611295084943989,-0.09793020868970236,0,0.09368635437881874
HLT,2014-12-31,2014,FY,0.07878787878787878,0.13819812474520995,0.33915022761760244,0.5181488203266787,0.6216867469879518,0.5111111111111111,0.5111111111111111,0.06807228915662651,0.0691566265060241,0,-0.3498334126606378,-0.44115942028985505,0.30117737161645664,0.30117737161645664,0.11802761564651602,0.6392155888124834,0.6392155888124834,0.09446844048908434,4.255759356861832,4.255759356861832,1.4872414277402137,0,0,1.3786084631354687,0,0,0,0.29577464788732394,0.020202020202020204,-0.016452074391988557,0.03217000459548893,-0.08103434724514659,0,-0.34358288770053474
