holder,shares,dateReported,change
VANGUARD GROUP INC,94539827,2025-09-30,-486439
"COHEN & STEERS, INC.",70898474,2025-09-30,1033049
"BlackRock, Inc.",60978042,2025-09-30,175133
STATE STREET CORP,36621403,2025-09-30,462379
FMR LLC,18159608,2025-09-30,-272995
PRINCIPAL FINANCIAL GROUP INC,17446124,2025-09-30,-774772
APG Asset Management US Inc.,17083708,2025-09-30,-138861
"GEODE CAPITAL MANAGEMENT, LLC",16731146,2025-09-30,875414
Daiwa Securities Group Inc.,14487603,2025-09-30,1168113
Invesco Ltd.,12622824,2025-09-30,877491
DIMENSIONAL FUND ADVISORS LP,8283693,2025-09-30,-193429
MORGAN STANLEY,7692293,2025-09-30,808631
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,7069239,2025-09-30,116603
JPMORGAN CHASE & CO,6884278,2025-09-30,1516886
UBS ASSET MANAGEMENT AMERICAS INC,6557960,2025-09-30,-522893
CANADA PENSION PLAN INVESTMENT BOARD,6435148,2025-09-30,-3980700
NORTHERN TRUST CORP,6430270,2025-09-30,626
CENTERSQUARE INVESTMENT MANAGEMENT LLC,6375385,2025-09-30,-529379
Resolution Capital Ltd,5720473,2025-09-30,-711399
PGGM Investments,5672720,2025-09-30,653539
Legal & General Group Plc,5380130,2025-09-30,-211723
UBS Group AG,4976669,2025-09-30,2455909
"Nuveen, LLC",4598371,2025-09-30,-229207
"Russell Investments Group, Ltd.",3542137,2025-09-30,81556
GOLDMAN SACHS GROUP INC,3493314,2025-09-30,-330560
CBRE INVESTMENT MANAGEMENT LISTED REAL ASSETS LLC,3338310,2025-09-30,-2720146
AMERIPRISE FINANCIAL INC,3310459,2025-09-30,177859
Amundi,3296876,2025-09-30,2071407
Bank of New York Mellon Corp,3265971,2025-09-30,-214810
MACQUARIE GROUP LTD,3228660,2025-09-30,1326505
Engineers Gate Manager LP,3147363,2025-09-30,3070961
SEI INVESTMENTS CO,3047235,2025-09-30,-349695
HSBC HOLDINGS PLC,2959697,2025-09-30,235407
BARCLAYS PLC,2657290,2025-09-30,1321292
"BNP PARIBAS ARBITRAGE, SNC",2519825,2025-09-30,639909
AQR CAPITAL MANAGEMENT LLC,2513862,2025-09-30,798085
BANK OF AMERICA CORP /DE/,2503678,2025-09-30,540854
"Sumitomo Mitsui Trust Holdings, Inc.",2339473,2025-09-30,128561
Qube Research & Technologies Ltd,2201501,2025-09-30,946424
VAN LANSCHOT KEMPEN INVESTMENT MANAGEMENT N.V.,1932889,2025-09-30,212607
Universal- Beteiligungs- und Servicegesellschaft mbH,1931634,2025-09-30,-434176
CALIFORNIA PUBLIC EMPLOYEES RETIREMENT SYSTEM,1778234,2025-09-30,757873
DEUTSCHE BANK AG\,1722108,2025-09-30,32372
Swiss National Bank,1678216,2025-09-30,-84200
ROYAL BANK OF CANADA,1570477,2025-09-30,690402
"Mitsubishi UFJ Kokusai Asset Management Co., Ltd.",1563587,2025-09-30,19926
Neuberger Berman Group LLC,1473994,2025-09-30,66133
CITADEL ADVISORS LLC,1473232,2025-09-30,-346896
ALLIANCEBERNSTEIN L.P.,1439456,2025-09-30,-1619
RENAISSANCE TECHNOLOGIES LLC,1378883,2025-09-30,159800
FIRST TRUST ADVISORS LP,1365927,2025-09-30,-94711
"D. E. Shaw & Co., Inc.",1339149,2025-09-30,765471
abrdn plc,1285775,2025-09-30,-264508
GREAT WEST LIFE ASSURANCE CO /CAN/,1241233,2025-09-30,57152
"ARROWSTREET CAPITAL, LIMITED PARTNERSHIP",1227997,2025-09-30,471169
HEITMAN REAL ESTATE SECURITIES LLC,1180948,2025-09-30,1180948
RHUMBLINE ADVISERS,1169148,2025-09-30,-48294
"Asset Management One Co., Ltd.",1153734,2025-09-30,-50609
"MARSHALL WACE, LLP",1152410,2025-09-30,-1546728
PRUDENTIAL FINANCIAL INC,1070290,2025-09-30,-93590
NOMURA ASSET MANAGEMENT CO LTD,1008524,2025-09-30,321
PUBLIC EMPLOYEES RETIREMENT SYSTEM OF OHIO,1001946,2025-09-30,-13611
STRS OHIO,983834,2025-09-30,106271
CALIFORNIA STATE TEACHERS RETIREMENT SYSTEM,950639,2025-09-30,-8521
National Pension Service,948863,2025-09-30,7374
PRICE T ROWE ASSOCIATES INC /MD/,815808,2025-09-30,-3721
CITIGROUP INC,804303,2025-09-30,-177306
"VOLORIDGE INVESTMENT MANAGEMENT, LLC",721535,2025-09-30,528762
"Investure, LLC",649916,2025-09-30,0
Korea Investment CORP,645242,2025-09-30,-33663
State of New Jersey Common Pension Fund D,637920,2025-09-30,-5000
Swedbank AB,636001,2025-09-30,20160
"Prana Capital Management, LP",630430,2025-09-30,347254
Presima Securities ULC,613481,2025-09-30,-166290
Allianz Asset Management GmbH,595461,2025-09-30,-222768
STATE BOARD OF ADMINISTRATION OF FLORIDA RETIREMENT SYSTEM,577087,2025-09-30,-40197
Capital World Investors,553255,2025-09-30,0
"PNC FINANCIAL SERVICES GROUP, INC.",549283,2025-09-30,-8274
Utah Retirement Systems,535872,2025-09-30,0
WHITTIER TRUST CO,516299,2025-09-30,16615
Hazelview Securities Inc.,510720,2025-09-30,-432361
ENVESTNET ASSET MANAGEMENT INC,501205,2025-09-30,8225
VICTORY CAPITAL MANAGEMENT INC,490590,2025-09-30,19281
WELLS FARGO & COMPANY/MN,484904,2025-09-30,10762
Adelante Capital Management LLC,478893,2025-09-30,11440
Carlyle Group Inc.,477500,2025-09-30,0
LASALLE INVESTMENT MANAGEMENT SECURITIES LLC,473333,2025-09-30,59936
NEW YORK STATE TEACHERS RETIREMENT SYSTEM,469995,2025-09-30,13621
"NFJ INVESTMENT GROUP, LLC",458708,2025-09-30,-284349
DekaBank Deutsche Girozentrale,456798,2025-09-30,0
CIBC Asset Management Inc,452675,2025-09-30,369831
"Cubist Systematic Strategies, LLC",451056,2025-09-30,-15097
Handelsbanken Fonder AB,447613,2025-09-30,4185
Retirement Systems of Alabama,444768,2025-09-30,-2014
AVIVA PLC,439988,2025-09-30,3377
Andra AP-fonden,437600,2025-09-30,316900
"Masterton Capital Management, LP",435579,2025-09-30,188300
BANK OF MONTREAL /CAN/,426280,2025-09-30,21683
Robeco Institutional Asset Management B.V.,408013,2025-09-30,100166
"Point72 Asset Management, L.P.",403071,2025-09-30,33174
STATE OF WISCONSIN INVESTMENT BOARD,397994,2025-09-30,7788
MILLENNIUM MANAGEMENT LLC,391643,2025-09-30,-197372
Zurcher Kantonalbank (Zurich Cantonalbank),389052,2025-09-30,-32367
CHILTON CAPITAL MANAGEMENT LLC,387026,2025-09-30,874
