date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,recordDate,adjDividend,dividend,declarationDate,paymentDate
2025-12-02,188.89,189.13,186.3,186.97,186.97,590300,590300,-1.92,-1.02,187.8225,"December 02, 25",-0.0102,,,,,
2025-12-01,193.14,193.14,188,188.57,188.57,941859,941859,-4.56,-2.37,190.7125,"December 01, 25",-0.0237,,,,,
2025-11-28,194.09,195.4,193.67,194.27,194.27,313105,313105,0.18,0.09274048,194.3575,"November 28, 25",0.0009274048,,,,,
2025-11-26,192.51,195.95,192.51,194.79,194.79,756200,756200,2.28,1.18,193.94,"November 26, 25",0.0118,,,,,
2025-11-25,194.34,195.36,193.2,193.3,193.3,772000,772000,-1.04,-0.53514,194.05,"November 25, 25",-0.0053514,,,,,
2025-11-24,194.84,195.34,191.97,193.09,193.09,1372234,1372234,-1.75,-0.89817,193.81,"November 24, 25",-0.0089817,,,,,
2025-11-21,196.46,198.39,194.74,195.02,195.02,1111505,1111505,-1.44,-0.73297,196.1525,"November 21, 25",-0.0073297,,,,,
2025-11-20,196.14,196.95,194.35,195.25,195.25,731403,731403,-0.89,-0.45376,195.6725,"November 20, 25",-0.0045376,,,,,
2025-11-19,198.56,199.09,194.81,196.09,196.09,630700,630700,-2.47,-1.24,197.1375,"November 19, 25",-0.0124,,,,,
2025-11-18,197.48,198.54,194.98,197.7,197.7,778541,778541,0.22,0.1114,197.175,"November 18, 25",0.001114,,,,,
2025-11-17,198.35,198.35,195.09,195.78,195.78,725200,725200,-2.57,-1.3,196.8925,"November 17, 25",-0.013,,,,,
2025-11-14,195.13,197.55,192.99,197.21,197.21,821969,821969,2.08,1.07,195.72,"November 14, 25",0.0107,,,,,
2025-11-13,200.25,200.53,193.72,193.95,193.95,1169605,1169605,-6.3,-3.15,197.1125,"November 13, 25",-0.0315,2025-11-13,1.11,1.11,2025-11-02,2025-12-11
2025-11-12,202,203.26,200.64,201.63,200.52,781333,781333,-0.37,-0.18317,201.8825,"November 12, 25",-0.0018317,,,,,
2025-11-11,200.74,207.29,199.48,202.84,201.72,967700,967700,2.1,1.05,202.5875,"November 11, 25",0.0105,,,,,
2025-11-10,195.5,200.56,195.1,199.42,198.32,717613,717613,3.92,2.01,197.645,"November 10, 25",0.0201,,,,,
2025-11-07,195.78,197.58,194.87,197.4,196.31,798300,798300,1.62,0.82746,196.4075,"November 07, 25",0.0082746,,,,,
2025-11-06,195.01,199.45,194.6,194.75,193.68,999279,999279,-0.26,-0.13333,195.9525,"November 06, 25",-0.0013333,,,,,
2025-11-05,196.37,198.92,195.47,195.79,194.71,978600,978600,-0.58,-0.29536,196.6375,"November 05, 25",-0.0029536,,,,,
2025-11-04,195.83,200,195.37,196.2,195.12,1447270,1447270,0.37,0.18894,196.85,"November 04, 25",0.0018894,,,,,
2025-11-03,189.29,193.88,188.84,193.52,192.45,1854096,1854096,4.23,2.23,191.3825,"November 03, 25",0.0223,,,,,
2025-10-31,188.85,192.56,188.64,191.48,190.43,1330869,1330869,2.63,1.39,190.3825,"October 31, 25",0.0139,,,,,
2025-10-30,190.06,194.19,189.79,191.14,190.09,1320196,1320196,1.08,0.56824,191.295,"October 30, 25",0.0056824,,,,,
2025-10-29,194.01,194.01,189.82,190.42,189.37,1342900,1342900,-3.59,-1.85,192.065,"October 29, 25",-0.0185,,,,,
2025-10-28,195.26,196.56,187.44,193.4,192.34,3275751,3275751,-1.86,-0.95258,193.165,"October 28, 25",-0.0095258,,,,,
2025-10-27,197.2,198.8,196.14,197.3,196.21,1133200,1133200,0.1,0.05070994,197.36,"October 27, 25",0.0005070994,,,,,
2025-10-24,197.08,199.87,195.93,198.68,197.59,878327,878327,1.6,0.81185,197.89,"October 24, 25",0.0081185,,,,,
2025-10-23,198,198.46,194.38,196.1,195.02,1018749,1018749,-1.9,-0.9596,196.735,"October 23, 25",-0.009596,,,,,
2025-10-22,197.53,199.94,196.56,197.38,196.29,610900,610900,-0.15,-0.07593783,197.8525,"October 22, 25",-0.0007593783,,,,,
2025-10-21,196.99,198.27,195.74,197.67,196.58,570134,570134,0.68,0.3452,197.1675,"October 21, 25",0.003452,,,,,
2025-10-20,196.48,198,194.71,197.76,196.67,627113,627113,1.28,0.65147,196.7375,"October 20, 25",0.0065147,,,,,
2025-10-17,197.25,197.73,192.69,196.26,195.18,713436,713436,-0.99,-0.5019,195.9825,"October 17, 25",-0.005019,,,,,
2025-10-16,194.41,199.49,194.02,197.42,196.33,908700,908700,3.01,1.55,196.335,"October 16, 25",0.0155,,,,,
2025-10-15,190.88,196.44,190.69,194.45,193.38,1164900,1164900,3.57,1.87,193.115,"October 15, 25",0.0187,,,,,
2025-10-14,188.3,192.47,188.3,191.07,190.02,1267844,1267844,2.77,1.47,190.035,"October 14, 25",0.0147,,,,,
2025-10-13,187.69,188.93,185.45,188.12,187.08,997951,997951,0.43,0.2291,187.5475,"October 13, 25",0.002291,,,,,
2025-10-10,189.11,189.67,185.7,189.1,188.06,844000,844000,-0.005,-0.00528793,188.395,"October 10, 25",-5.28793e-05,,,,,
2025-10-09,188.82,189.19,186.97,187.49,186.46,819343,819343,-1.33,-0.70437,188.1175,"October 09, 25",-0.0070437,,,,,
2025-10-08,187.14,188.92,186.51,187.61,186.58,958600,958600,0.47,0.25115,187.545,"October 08, 25",0.0025115,,,,,
2025-10-07,189.67,189.92,187.15,188.53,187.49,895902,895902,-1.14,-0.60104,188.8175,"October 07, 25",-0.0060104,,,,,
2025-10-06,190.87,191.18,187.79,188.66,187.62,1072155,1072155,-2.21,-1.16,189.625,"October 06, 25",-0.0116,,,,,
2025-10-03,190.75,192.62,190.25,192.09,191.03,1144100,1144100,1.34,0.70249,191.4275,"October 03, 25",0.0070249,,,,,
2025-10-02,190.54,192.68,188.94,191.7,190.64,841900,841900,1.16,0.6088,190.965,"October 02, 25",0.006088,,,,,
2025-10-01,194.12,194.38,189.63,191.79,190.73,1237500,1237500,-2.33,-1.2,192.48,"October 01, 25",-0.012,,,,,
2025-09-30,195.5,196.13,192.85,193.35,192.28,1307019,1307019,-2.15,-1.1,194.4575,"September 30, 25",-0.011,,,,,
2025-09-29,195.5,196.96,193.54,196.1,195.02,925867,925867,0.6,0.30691,195.525,"September 29, 25",0.0030691,,,,,
2025-09-26,195.33,196.62,193.95,194.22,193.15,1248239,1248239,-1.11,-0.56827,195.03,"September 26, 25",-0.0056827,,,,,
2025-09-25,196.16,197.83,194.88,195.43,194.35,966238,966238,-0.73,-0.37215,196.075,"September 25, 25",-0.0037215,,,,,
2025-09-24,198.4,198.89,195.21,195.23,194.15,1408532,1408532,-3.17,-1.6,196.9325,"September 24, 25",-0.016,,,,,
2025-09-23,199.26,199.3,196.97,198.82,197.72,899894,899894,-0.44,-0.22082,198.5875,"September 23, 25",-0.0022082,,,,,
2025-09-22,197.72,200.26,196.79,198,196.91,1733756,1733756,0.28,0.14161,198.1925,"September 22, 25",0.0014161,,,,,
2025-09-19,199.35,200.52,198.4,199.1,198,1832400,1832400,-0.25,-0.12541,199.3425,"September 19, 25",-0.0012541,,,,,
2025-09-18,197.09,200.05,197.04,198.82,197.72,1119800,1119800,1.73,0.87777,198.25,"September 18, 25",0.0087777,,,,,
2025-09-17,198.1,203.69,198.1,199.38,198.28,1458626,1458626,1.28,0.64614,199.8175,"September 17, 25",0.0064614,,,,,
2025-09-16,198.16,199.84,197.19,199.18,198.08,1746499,1746499,1.02,0.51474,198.5925,"September 16, 25",0.0051474,,,,,
2025-09-15,200.04,201.77,195.34,198.05,196.96,1480200,1480200,-1.99,-0.9948,198.8,"September 15, 25",-0.009948,,,,,
2025-09-12,198.13,200.75,197.87,199.97,198.87,1334436,1334436,1.84,0.92868,199.18,"September 12, 25",0.0092868,,,,,
2025-09-11,195,199.84,193.29,199.44,198.34,1602930,1602930,4.44,2.28,196.8925,"September 11, 25",0.0228,,,,,
2025-09-10,191.18,194.34,190.54,193.57,192.5,1517540,1517540,2.39,1.25,192.4075,"September 10, 25",0.0125,,,,,
2025-09-09,191.35,192.19,188.8,191.47,190.42,2326300,2326300,0.12,0.06271231,190.9525,"September 09, 25",0.0006271231,,,,,
2025-09-08,193.84,193.9,186.81,191.35,190.3,2436410,2436410,-2.49,-1.28,191.475,"September 08, 25",-0.0128,,,,,
2025-09-05,198.28,199.64,196.51,197.74,196.65,1863233,1863233,-0.54,-0.27234,198.0425,"September 05, 25",-0.0027234,,,,,
2025-09-04,200.69,201.34,192.95,195.17,194.09,2126032,2126032,-5.52,-2.75,197.5375,"September 04, 25",-0.0275,,,,,
2025-09-03,201.93,204.58,198.6,199.31,198.21,1438429,1438429,-2.62,-1.3,201.105,"September 03, 25",-0.013,,,,,
2025-09-02,202.65,206.2,201.6,202,200.89,1276551,1276551,-0.65,-0.32075,203.1125,"September 02, 25",-0.0032075,,,,,
2025-08-29,207.3,208.7,204.62,204.85,203.72,1350800,1350800,-2.45,-1.18,206.3675,"August 29, 25",-0.0118,,,,,
2025-08-28,208.2,210.55,203.57,206.04,204.9,1811749,1811749,-2.16,-1.04,207.09,"August 28, 25",-0.0104,,,,,
2025-08-27,217.02,218.65,207.94,208.13,206.98,1234200,1234200,-8.88,-4.1,212.935,"August 27, 25",-0.041,,,,,
2025-08-26,218.98,218.98,214.08,218.84,217.63,1325325,1325325,-0.14,-0.06393278,217.72,"August 26, 25",-0.0006393278,,,,,
2025-08-25,221.04,222.75,221.04,221.57,220.35,530117,530117,0.53,0.23978,221.6,"August 25, 25",0.0023978,,,,,
2025-08-22,222.69,225.33,221.71,222.87,221.64,513500,513500,0.18,0.08082985,223.15,"August 22, 25",0.0008082985,,,,,
2025-08-21,219.68,222.65,218.94,220.89,219.67,526306,526306,1.21,0.5508,220.54,"August 21, 25",0.005508,2025-08-21,1.11,1.11,2025-08-03,2025-09-18
2025-08-20,221.97,225.22,221.5,223.71,221.37,941700,941700,1.74,0.78389,223.1,"August 20, 25",0.0078389,,,,,
2025-08-19,216.36,220.43,216.12,220.26,217.96,743200,743200,3.9,1.8,218.2925,"August 19, 25",0.018,,,,,
2025-08-18,220.13,220.83,215.01,215.15,212.9,850296,850296,-4.98,-2.26,217.78,"August 18, 25",-0.0226,,,,,
2025-08-15,217.91,221.01,217.81,219.94,217.64,791328,791328,2.03,0.93158,219.1675,"August 15, 25",0.0093158,,,,,
2025-08-14,219.04,219.04,214.65,216.91,214.64,921900,921900,-2.13,-0.97243,217.41,"August 14, 25",-0.0097243,,,,,
2025-08-13,218.3,220.65,218.12,219.39,217.1,929609,929609,1.09,0.49931,219.115,"August 13, 25",0.0049931,,,,,
2025-08-12,219.47,219.86,216.93,217.99,215.71,621976,621976,-1.48,-0.67435,218.5625,"August 12, 25",-0.0067435,,,,,
2025-08-11,220.31,221.39,218.02,219.11,216.82,602844,602844,-1.2,-0.54469,219.7075,"August 11, 25",-0.0054469,,,,,
2025-08-08,223.14,224.23,219.62,220.85,218.54,569133,569133,-2.29,-1.03,221.96,"August 08, 25",-0.0103,,,,,
2025-08-07,219.68,223.47,217.99,223.14,220.81,754416,754416,3.46,1.58,221.07,"August 07, 25",0.0158,,,,,
2025-08-06,219.81,223.28,219.5,219.77,217.47,987914,987914,-0.04,-0.01819753,220.59,"August 06, 25",-0.0001819753,,,,,
2025-08-05,223.25,223.25,215.51,219.16,216.87,2174022,2174022,-4.09,-1.83,220.2925,"August 05, 25",-0.0183,,,,,
2025-08-04,228.15,231.34,227.75,230.4,227.99,944690,944690,2.25,0.98619,229.41,"August 04, 25",0.0098619,,,,,
2025-08-01,234.64,234.64,227.08,228.57,226.18,1083126,1083126,-6.07,-2.59,231.2325,"August 01, 25",-0.0259,,,,,
2025-07-31,224.51,227.49,223.47,224.72,222.37,859200,859200,0.21,0.09353704,225.0475,"July 31, 25",0.0009353704,,,,,
2025-07-30,227.97,231.76,225.76,226.98,224.61,778500,778500,-0.99,-0.43427,228.1175,"July 30, 25",-0.0043427,,,,,
2025-07-29,227.38,229.18,223.07,228.92,226.53,977133,977133,1.54,0.67728,227.1375,"July 29, 25",0.0067728,,,,,
2025-07-28,232.21,233.41,226.45,226.75,224.38,634500,634500,-5.46,-2.35,229.705,"July 28, 25",-0.0235,,,,,
2025-07-25,235.45,235.7,232.22,233.92,231.47,500400,500400,-1.53,-0.64982,234.3225,"July 25, 25",-0.0064982,,,,,
2025-07-24,237.18,240.14,234.44,235.12,232.66,894000,894000,-2.06,-0.86854,236.72,"July 24, 25",-0.0086854,,,,,
2025-07-23,243.16,243.16,235.52,236.91,234.43,980510,980510,-6.25,-2.57,239.6875,"July 23, 25",-0.0257,,,,,
2025-07-22,236.64,240.15,234.53,239.35,236.85,960700,960700,2.71,1.15,237.6675,"July 22, 25",0.0115,,,,,
2025-07-21,234.9,236.73,233.97,234.37,231.92,403300,403300,-0.53,-0.22563,234.9925,"July 21, 25",-0.0022563,,,,,
2025-07-18,233.14,235.34,231.97,233.9,231.45,395600,395600,0.76,0.32598,233.5875,"July 18, 25",0.0032598,,,,,
2025-07-17,232.91,234.32,232,232.86,230.42,445900,445900,-0.05,-0.02146752,233.0225,"July 17, 25",-0.0002146752,,,,,
2025-07-16,230.97,234.02,229.9,233.89,231.44,1058400,1058400,2.92,1.26,232.195,"July 16, 25",0.0126,,,,,
2025-07-15,231.76,232.36,229.17,230.03,227.62,610633,610633,-1.73,-0.74646,230.83,"July 15, 25",-0.0074646,,,,,
2025-07-14,229.7,233.44,229.04,232.34,229.91,461200,461200,2.64,1.15,231.13,"July 14, 25",0.0115,,,,,
2025-07-11,231.81,231.81,227.56,228.8,226.41,678942,678942,-3.01,-1.3,229.995,"July 11, 25",-0.013,,,,,
2025-07-10,233.11,235.23,230,232.79,230.36,583300,583300,-0.32,-0.13727,232.7825,"July 10, 25",-0.0013727,,,,,
2025-07-09,232.88,234.54,230.13,234.27,231.82,725227,725227,1.39,0.59687,232.955,"July 09, 25",0.0059687,,,,,
2025-07-08,231.67,235.62,231.67,234.24,231.79,650120,650120,2.57,1.11,233.3,"July 08, 25",0.0111,,,,,
2025-07-07,233.92,235.87,231.38,233.59,231.15,695000,695000,-0.33,-0.14107,233.69,"July 07, 25",-0.0014107,,,,,
2025-07-03,235.86,235.86,230.73,233.93,231.48,524800,524800,-1.93,-0.81828,234.095,"July 03, 25",-0.0081828,,,,,
2025-07-02,238.14,240.4,236.07,237.59,235.1,728228,728228,-0.55,-0.23096,238.05,"July 02, 25",-0.0023096,,,,,
2025-07-01,234.39,239.32,233.83,238.74,236.24,846711,846711,4.35,1.86,236.57,"July 01, 25",0.0186,,,,,
2025-06-30,230.35,234.92,228.41,234.84,232.38,621431,621431,4.49,1.95,232.13,"June 30, 25",0.0195,,,,,
2025-06-27,230.36,233.04,229.28,230.8,228.39,780100,780100,0.44,0.19101,230.87,"June 27, 25",0.0019101,,,,,
2025-06-26,233.16,233.89,228.73,230.7,228.29,700713,700713,-2.46,-1.06,231.62,"June 26, 25",-0.0106,,,,,
2025-06-25,235.64,235.64,231.22,232.68,230.25,493919,493919,-2.96,-1.26,233.795,"June 25, 25",-0.0126,,,,,
2025-06-24,233.72,237.42,231.82,236.6,234.13,598833,598833,2.88,1.23,234.89,"June 24, 25",0.0123,,,,,
2025-06-23,230.25,235.65,229.26,234.12,231.67,573920,573920,3.87,1.68,232.32,"June 23, 25",0.0168,,,,,
2025-06-20,229.81,230.56,226.74,229.31,226.91,937500,937500,-0.5,-0.21757,229.105,"June 20, 25",-0.0021757,,,,,
2025-06-18,228.2,228.81,226.05,228.32,225.93,595905,595905,0.12,0.05258545,227.845,"June 18, 25",0.0005258545,,,,,
2025-06-17,229.38,230.71,227.21,228.52,226.13,821700,821700,-0.86,-0.37492,228.955,"June 17, 25",-0.0037492,,,,,
2025-06-16,227.54,232.09,226.78,230.12,227.71,1147400,1147400,2.58,1.13,229.1325,"June 16, 25",0.0113,,,,,
2025-06-13,227.96,228.98,226.07,227.83,225.45,592608,592608,-0.125,-0.05702755,227.71,"June 13, 25",-0.0005702755,,,,,
2025-06-12,226.25,228.11,224.99,228.07,225.68,643700,643700,1.82,0.80442,226.855,"June 12, 25",0.0080442,,,,,
2025-06-11,225.82,228.12,223.06,224.75,222.4,745500,745500,-1.07,-0.47383,225.4375,"June 11, 25",-0.0047383,,,,,
2025-06-10,226.08,227.65,224.62,226.16,223.79,546900,546900,0.08,0.0353857,226.1275,"June 10, 25",0.000353857,,,,,
2025-06-09,225.49,226.45,222.47,224.99,222.64,610917,610917,-0.5,-0.22174,224.85,"June 09, 25",-0.0022174,,,,,
2025-06-06,228.36,229.78,225.52,225.68,223.32,482447,482447,-2.68,-1.17,227.335,"June 06, 25",-0.0117,,,,,
2025-06-05,230.41,231.28,228.56,229.65,227.25,674715,674715,-0.76,-0.32985,229.975,"June 05, 25",-0.0032985,,,,,
2025-06-04,229.9,232.47,228.26,230.75,228.34,427900,427900,0.85,0.36973,230.345,"June 04, 25",0.0036973,,,,,
2025-06-03,229.69,230.37,226.24,229.48,227.08,627200,627200,-0.21,-0.09142758,228.945,"June 03, 25",-0.0009142758,,,,,
2025-06-02,229.99,231.84,227.83,231.06,228.64,522832,522832,1.07,0.46524,230.18,"June 02, 25",0.0046524,,,,,
2025-05-30,230.58,232.6,228.14,231.89,229.46,1256500,1256500,1.31,0.56813,230.8025,"May 30, 25",0.0056813,,,,,
2025-05-29,227.89,230.37,226.63,230.24,227.83,512421,512421,2.35,1.03,228.7825,"May 29, 25",0.0103,,,,,
2025-05-28,230.66,230.66,226.36,229.03,226.63,673747,673747,-1.63,-0.70667,229.1775,"May 28, 25",-0.0070667,,,,,
2025-05-27,230.23,232.45,228.53,231.01,228.59,573207,573207,0.78,0.33879,230.555,"May 27, 25",0.0033879,,,,,
2025-05-23,229.49,231.11,227.56,229.52,227.12,400822,400822,0.03,0.01307247,229.42,"May 23, 25",0.0001307247,,,,,
2025-05-22,231.07,231.07,225.39,228.27,225.88,705300,705300,-2.8,-1.21,228.95,"May 22, 25",-0.0121,2025-05-22,1.11,1.11,2025-04-28,2025-06-17
2025-05-21,233.67,235.51,231.51,231.9,228.38,594130,594130,-1.77,-0.75748,233.1475,"May 21, 25",-0.0075748,,,,,
2025-05-20,232.02,236.09,232.02,233.78,230.23,648249,648249,1.76,0.75856,233.4775,"May 20, 25",0.0075856,,,,,
2025-05-19,234.34,235.6,232.09,235.51,231.93,544505,544505,1.17,0.49927,234.385,"May 19, 25",0.0049927,,,,,
2025-05-16,229.44,233.27,229.17,233.08,229.54,1084700,1084700,3.64,1.59,231.24,"May 16, 25",0.0159,,,,,
2025-05-15,224.99,229.66,224.18,229.09,225.61,929809,929809,4.1,1.82,226.98,"May 15, 25",0.0182,,,,,
2025-05-14,224.63,225.11,220.82,222.73,219.35,1526100,1526100,-1.9,-0.84584,223.3225,"May 14, 25",-0.0084584,,,,,
2025-05-13,229.8,229.8,223.71,225.82,222.39,1067350,1067350,-3.98,-1.73,227.2825,"May 13, 25",-0.0173,,,,,
2025-05-12,234.4,235.43,227.97,229.67,226.18,1065229,1065229,-4.73,-2.02,231.8675,"May 12, 25",-0.0202,,,,,
2025-05-09,235.39,240.7,233.73,239.69,236.05,670645,670645,4.3,1.83,237.3775,"May 09, 25",0.0183,,,,,
2025-05-08,240.09,240.91,236.34,236.62,233.03,925120,925120,-3.47,-1.45,238.49,"May 08, 25",-0.0145,,,,,
2025-05-07,243,244.19,240.28,240.31,236.66,860649,860649,-2.69,-1.11,241.945,"May 07, 25",-0.0111,,,,,
2025-05-06,242.21,245.16,241.04,242.83,239.14,739700,739700,0.62,0.25598,242.81,"May 06, 25",0.0025598,,,,,
2025-05-05,242.7,244.7,240.4,241.95,238.28,700900,700900,-0.75,-0.30902,242.4375,"May 05, 25",-0.0030902,,,,,
2025-05-02,242.07,242.66,238.26,241.96,238.29,758612,758612,-0.11,-0.0454414,241.2375,"May 02, 25",-0.000454414,,,,,
2025-05-01,241.26,242.78,239.24,240.74,237.09,740441,740441,-0.52,-0.21554,241.005,"May 01, 25",-0.0021554,,,,,
2025-04-30,236.73,244.19,236.73,243.4,239.71,1201154,1201154,6.68,2.82,240.2625,"April 30, 25",0.0282,,,,,
2025-04-29,234.08,239.06,229.81,238.5,234.88,1703329,1703329,4.42,1.89,235.3625,"April 29, 25",0.0189,,,,,
2025-04-28,221.59,224.32,221.18,223.28,219.89,882344,882344,1.69,0.76267,222.5925,"April 28, 25",0.0076267,,,,,
2025-04-25,221.79,223.8,219.38,222.09,218.72,856214,856214,0.3,0.13526,221.765,"April 25, 25",0.0013526,,,,,
2025-04-24,226.76,226.76,221.87,222.84,219.46,883225,883225,-3.92,-1.73,224.5575,"April 24, 25",-0.0173,,,,,
2025-04-23,229.15,230.52,220,223.9,220.5,1823500,1823500,-5.25,-2.29,225.8925,"April 23, 25",-0.0229,,,,,
2025-04-22,226.68,231.92,225.55,231.42,227.91,1111259,1111259,4.74,2.09,228.8925,"April 22, 25",0.0209,,,,,
2025-04-21,229.46,230.11,222.32,225.55,222.13,982300,982300,-3.91,-1.7,226.86,"April 21, 25",-0.017,,,,,
2025-04-17,226.35,231.29,226.35,229.06,225.58,1308133,1308133,2.71,1.2,228.2625,"April 17, 25",0.012,,,,,
2025-04-16,221.88,228.75,221.88,225.67,222.24,1622587,1622587,3.79,1.71,224.545,"April 16, 25",0.0171,,,,,
2025-04-15,225.88,227.35,223.71,224.87,221.46,747400,747400,-1.01,-0.44714,225.4525,"April 15, 25",-0.0044714,,,,,
2025-04-14,218.41,225.46,217.74,224.73,221.32,860600,860600,6.32,2.89,221.585,"April 14, 25",0.0289,,,,,
2025-04-11,212.36,220.01,210.41,219.18,215.85,1118100,1118100,6.82,3.21,215.49,"April 11, 25",0.0321,,,,,
2025-04-10,213.29,218.48,206.56,212.2,208.98,1530556,1530556,-1.09,-0.51104,212.6325,"April 10, 25",-0.0051104,,,,,
2025-04-09,207.06,215.8,201.42,212.14,208.92,1931133,1931133,5.08,2.45,209.105,"April 09, 25",0.0245,,,,,
2025-04-08,217.21,217.21,206.41,208.57,205.4,1736700,1736700,-8.64,-3.98,212.35,"April 08, 25",-0.0398,,,,,
2025-04-07,203.45,219.91,203,214.43,211.17,1982319,1982319,10.98,5.4,210.1975,"April 07, 25",0.054,,,,,
2025-04-04,231.6,234.42,219.76,219.91,216.57,2220141,2220141,-11.69,-5.05,226.4225,"April 04, 25",-0.0505,,,,,
2025-04-03,224.74,234.85,224.43,230.87,227.37,1610247,1610247,6.13,2.73,228.7225,"April 03, 25",0.0273,,,,,
2025-04-02,219.37,220.7,217.34,219.34,216.01,708043,708043,-0.03,-0.01367553,219.1875,"April 02, 25",-0.0001367553,,,,,
2025-04-01,219.86,222.3,217.6,220.42,217.07,670943,670943,0.56,0.25471,220.045,"April 01, 25",0.0025471,,,,,
2025-03-31,218.75,222.79,217.86,220.01,216.67,1209500,1209500,1.26,0.576,219.8525,"March 31, 25",0.00576,,,,,
2025-03-28,218.26,218.26,215.61,216.84,213.55,533800,533800,-1.42,-0.6506,217.2425,"March 28, 25",-0.006506,,,,,
2025-03-27,215.17,217.68,214.51,216.38,213.1,558115,558115,1.21,0.56235,215.935,"March 27, 25",0.0056235,,,,,
2025-03-26,215.28,216.37,213.41,214.7,211.44,394500,394500,-0.58,-0.26942,214.94,"March 26, 25",-0.0026942,,,,,
2025-03-25,217.25,217.25,213.46,214.31,211.06,809400,809400,-2.94,-1.35,215.5675,"March 25, 25",-0.0135,,,,,
2025-03-24,220.66,222.27,217.62,218.69,215.37,747347,747347,-1.97,-0.89278,219.81,"March 24, 25",-0.0089278,,,,,
2025-03-21,221.41,223.16,219.09,221.64,218.28,1208709,1208709,0.23,0.10388,221.325,"March 21, 25",0.0010388,,,,,
2025-03-20,220.06,221.61,218.46,220.97,217.62,632846,632846,0.91,0.41352,220.275,"March 20, 25",0.0041352,,,,,
2025-03-19,221.19,223.18,217.73,219.79,216.45,794500,794500,-1.4,-0.63294,220.4725,"March 19, 25",-0.0063294,,,,,
2025-03-18,220.37,223.77,218.95,223.15,219.76,750946,750946,2.78,1.26,221.56,"March 18, 25",0.0126,,,,,
2025-03-17,219.22,223.65,218.91,220.9,217.55,927000,927000,1.68,0.76635,220.67,"March 17, 25",0.0076635,,,,,
2025-03-14,215.38,219.51,214.47,218.23,214.92,1282831,1282831,2.85,1.32,216.8975,"March 14, 25",0.0132,,,,,
2025-03-13,216.37,216.98,212.01,214.56,211.3,939300,939300,-1.81,-0.83653,214.98,"March 13, 25",-0.0083653,2025-03-13,1.11,1.11,2025-02-24,2025-03-27
2025-03-12,218.55,219.69,213.7,216.48,212.1,755400,755400,-2.07,-0.94715,217.105,"March 12, 25",-0.0094715,,,,,
2025-03-11,224.41,226.5,220.01,220.42,215.96,1536439,1536439,-3.99,-1.78,222.835,"March 11, 25",-0.0178,,,,,
