date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,recordDate,adjDividend,dividend,declarationDate,paymentDate
2026-01-02,192.19,193.87,191.1,192.48,192.48,380800,380800,0.29,0.15089,192.41,"January 02, 26",0.0015089,,,,,
2025-12-31,194.38,195.26,193.42,193.43,193.43,366318,366318,-0.95,-0.48873,194.1225,"December 31, 25",-0.0048873,,,,,
2025-12-30,193.76,195.52,192.71,194.76,194.76,477300,477300,1,0.5161,194.1875,"December 30, 25",0.005161,,,,,
2025-12-29,193.17,194.46,192.7,193.69,193.69,563572,563572,0.52,0.26919,193.505,"December 29, 25",0.0026919,,,,,
2025-12-26,192.29,193.69,191.64,192.6,192.6,348112,348112,0.31,0.16121,192.555,"December 26, 25",0.0016121,,,,,
2025-12-24,191.99,193.03,191.36,192.6,192.6,242445,242445,0.61,0.31772,192.245,"December 24, 25",0.0031772,,,,,
2025-12-23,191.21,191.97,188.78,191.91,191.91,700025,700025,0.7,0.36609,190.9675,"December 23, 25",0.0036609,,,,,
2025-12-22,188.63,191.52,186.12,190.63,190.63,673100,673100,2,1.06,189.225,"December 22, 25",0.0106,,,,,
2025-12-19,189.22,191.39,188.38,190.01,190.01,1526800,1526800,0.79,0.4175,189.75,"December 19, 25",0.004175,,,,,
2025-12-18,191.33,192.18,189.22,190.36,190.36,956100,956100,-0.97,-0.50698,190.7725,"December 18, 25",-0.0050698,,,,,
2025-12-17,189.5,192.52,189.37,190.95,190.95,755007,755007,1.45,0.76517,190.585,"December 17, 25",0.0076517,,,,,
2025-12-16,193.55,193.6,189.81,189.98,189.98,698413,698413,-3.57,-1.84,191.735,"December 16, 25",-0.0184,,,,,
2025-12-15,192.71,193.44,190.27,193.13,193.13,911913,911913,0.42,0.21794,192.3875,"December 15, 25",0.0021794,,,,,
2025-12-12,191.38,194.16,190.12,191.66,191.66,1008700,1008700,0.28,0.14631,191.83,"December 12, 25",0.0014631,,,,,
2025-12-11,190.73,194.05,189.09,192.83,192.83,693830,693830,2.1,1.1,191.675,"December 11, 25",0.011,,,,,
2025-12-10,190.03,191.85,189.02,189.22,189.22,824016,824016,-0.81,-0.42625,190.03,"December 10, 25",-0.0042625,,,,,
2025-12-09,192.24,193.13,188.75,189.29,189.29,636800,636800,-2.95,-1.53,190.8525,"December 09, 25",-0.0153,,,,,
2025-12-08,189.24,192.04,187.61,190.98,190.98,852345,852345,1.74,0.91947,189.9675,"December 08, 25",0.0091947,,,,,
2025-12-05,189.4,190.6,188.82,189.58,189.58,716040,716040,0.18,0.09503696,189.6,"December 05, 25",0.0009503696,,,,,
2025-12-04,186.25,190.45,186.25,190,190,760617,760617,3.75,2.01,188.2375,"December 04, 25",0.0201,,,,,
2025-12-03,186.98,187.95,185.13,187.34,187.34,837667,837667,0.36,0.19253,186.85,"December 03, 25",0.0019253,,,,,
