symbol,date,stockPrice,numberOfShares,marketCapitalization,minusCashAndCashEquivalents,addTotalDebt,enterpriseValue
ERIE,2024-12-31,412.23,46189044,19040509608,274838000,7513000,18773184608
ERIE,2023-12-31,334.92,46188982,15469613851,144055000,0,15325558851
ERIE,2022-12-31,248.72,46188916,11488107187,142090000,122496000,11468513187
ERIE,2021-12-31,192.66,46188806,8898735363,183702000,93832000,8808865363
ERIE,2020-12-31,245.6,52313367,12848162935,161240000,95864000,12782786935
ERIE,2019-12-31,166,52289640,8680080240,336739000,119775000,8463116240
ERIE,2018-12-31,133.31,52289437,6970704846,266417000,99730000,6804017846
ERIE,2017-12-31,121.84,52393351,6383605885,215721000,74728000,6242612885
ERIE,2016-12-31,112.45,52460362,5899167706,189072000,24766000,5734861706
ERIE,2015-12-31,95.64,52455855,5016877972,182889000,0,4833988972
ERIE,2014-12-31,90.77,52830205,4795397707,514000000,0,4281397707
ERIE,2013-12-31,73.12,52922077,3869662270,452000000,0,3417662270
ERIE,2012-12-31,69.22,53511705,3704080220,400000000,0,3304080220
ERIE,2011-12-31,78.16,54985716,4297683562,185000000,0,4112683562
ERIE,2010-12-31,65.47,56816007,3719743978,430000000,0,3289743978
ERIE,2009-12-31,39.02,57368206,2238507398,76505000,0,2162002398
ERIE,2008-12-31,37.63,57947049,2180547453,61073000,0,2119474453
ERIE,2007-12-31,51.89,62079377,3221298872,31070000,0,3190228872
ERIE,2006-12-31,57.98,65214387,3781130158,60241000,0,3720889158
ERIE,2005-12-31,53.2,69216060,3682294392,31666000,0,3650628392
ERIE,2004-12-31,52.57,70413673,3701646789,50061000,0,3651585789
ERIE,2003-12-31,42.38,70997106,3008857352,87192000,0,2921665352
ERIE,2002-12-31,36.26,71081099,2577400649,85712000,0,2491688649
ERIE,2001-12-31,38.49,71342000,2745953580,88213000,0,2657740580
ERIE,2000-12-31,29.81,71954000,2144948740,38778000,0,2106170740
ERIE,1999-12-31,32.38,73487000,2379509060,24214000,0,2355295060
ERIE,1998-12-31,31.25,74400000,2325000000,53580043,0,2271419957
ERIE,1997-12-31,29.5,74579245,2200087727,53148495,0,2146939232
ERIE,1996-12-31,31,74561957,2311420667,18719624,0,2292701043
ERIE,1995-12-31,20.33,74246664,1509434679,56856983,0,1452577696
ERIE,1994-12-31,16.17,75075000,1213962750,0,0,1213962750
ERIE,1993-12-31,16.17,226500000,3662505000,0,2400000,3664905000
