holder,shares,dateReported,change
"Insight Wealth Strategies, LLC",0,2025-12-31,-3367
VANGUARD GROUP INC,42313220,2025-09-30,-101337
"BlackRock, Inc.",32462832,2025-09-30,-463655
Artisan Partners Limited Partnership,23638106,2025-09-30,-195184
BAMCO INC /NY/,18759655,2025-09-30,-967575
STATE STREET CORP,16768197,2025-09-30,-176993
"WCM INVESTMENT MANAGEMENT, LLC",13525402,2025-09-30,171693
"GEODE CAPITAL MANAGEMENT, LLC",10693691,2025-09-30,191688
JPMORGAN CHASE & CO,8190927,2025-09-30,360626
PRINCIPAL FINANCIAL GROUP INC,5148391,2025-09-30,-687377
NORTHERN TRUST CORP,4874135,2025-09-30,-935
"Madison Asset Management, LLC",4707947,2025-09-30,-117288
MORGAN STANLEY,4255950,2025-09-30,-57688
DIMENSIONAL FUND ADVISORS LP,4134929,2025-09-30,-22567
Invesco Ltd.,4065356,2025-09-30,-22158
ROYAL BANK OF CANADA,3779451,2025-09-30,80855
"Allspring Global Investments Holdings, LLC",3771627,2025-09-30,-761906
Egerton Capital (UK) LLP,3507882,2025-09-30,-733084
Polar Capital Holdings Plc,3380500,2025-09-30,-9500
UBS ASSET MANAGEMENT AMERICAS INC,3330602,2025-09-30,-955725
FIRST TRUST ADVISORS LP,2835648,2025-09-30,2279147
Legal & General Group Plc,2823079,2025-09-30,-2875
GOLDMAN SACHS GROUP INC,2789652,2025-09-30,324024
UBS Group AG,2738518,2025-09-30,987398
MARSHFIELD ASSOCIATES,2724635,2025-09-30,141223
"Nuveen, LLC",2562278,2025-09-30,-1430239
DEUTSCHE BANK AG\,2335401,2025-09-30,516048
COOKE & BIELER LP,2323991,2025-09-30,2323991
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,2078216,2025-09-30,6014
ENVESTNET ASSET MANAGEMENT INC,2071692,2025-09-30,47383
Amundi,2009450,2025-09-30,302126
"MANUFACTURERS LIFE INSURANCE COMPANY, THE",2005606,2025-09-30,1786302
"NATIXIS ADVISORS, L.P.",1951019,2025-09-30,168922
Swedbank AB,1899260,2025-09-30,201474
"TWO SIGMA INVESTMENTS, LP",1895222,2025-09-30,1003004
Capital International Investors,1891641,2025-09-30,-6612322
Bank of New York Mellon Corp,1875743,2025-09-30,-12199
High Ground Investment Management LLP,1714668,2025-09-30,58151
