date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,paymentDate,dividend,declarationDate,recordDate,adjDividend
2026-01-05,212.77,215.585,209.14,212.9,212.9,526629,526629,0.13,0.06109884,212.54,"January 05, 26",0.0006109884,,,,,
2026-01-02,205.49,211.73,204.15,211.71,211.71,1673338,1673338,6.22,3.03,208.27,"January 02, 26",0.0303,,,,,
2025-12-31,208.04,208.34,204.83,205.02,205.02,1211632,1211632,-3.02,-1.45,206.5575,"December 31, 25",-0.0145,,,,,
2025-12-30,209.29,209.48,207.13,207.81,207.81,1043463,1043463,-1.48,-0.70715,208.4275,"December 30, 25",-0.0070715,,,,,
2025-12-29,210.5,211.36,208.88,209.49,209.49,1760811,1760811,-1.01,-0.47981,210.0575,"December 29, 25",-0.0047981,,,,,
2025-12-26,211.57,212.52,210.02,211.22,211.22,953900,953900,-0.35,-0.16543,211.3325,"December 26, 25",-0.0016543,,,,,
2025-12-24,210.59,212.46,209.74,212.17,212.17,835706,835706,1.58,0.75027,211.24,"December 24, 25",0.0075027,,,,,
2025-12-23,208.04,210.43,207.9,209.57,209.57,1479300,1479300,1.53,0.73544,208.985,"December 23, 25",0.0073544,,,,,
2025-12-22,205,209.24,201.42,208.17,208.17,1919534,1919534,3.17,1.55,205.9575,"December 22, 25",0.0155,,,,,
2025-12-19,198.97,203.8,198.5,203.49,203.49,3462500,3462500,4.52,2.27,201.19,"December 19, 25",0.0227,,,,,
2025-12-18,193.7,200.06,193.58,198,198,2899900,2899900,4.3,2.22,196.335,"December 18, 25",0.0222,,,,,
2025-12-17,195.2,197.91,191.05,191.19,191.19,2645145,2645145,-4.01,-2.05,193.8375,"December 17, 25",-0.0205,,,,,
2025-12-16,194.67,196.22,192.51,195.18,195.18,3017500,3017500,0.51,0.26198,194.645,"December 16, 25",0.0026198,,,,,
2025-12-15,198.2,201.21,195.74,197.24,197.24,2231616,2231616,-0.96,-0.48436,198.0975,"December 15, 25",-0.0048436,,,,,
2025-12-12,198.18,201.66,195.7,198.31,198.31,2466520,2466520,0.13,0.06559693,198.4625,"December 12, 25",0.0006559693,,,,,
2025-12-11,191.65,196.25,189.19,195.89,195.89,1971008,1971008,4.24,2.21,193.245,"December 11, 25",0.0221,,,,,
2025-12-10,191.97,194.37,190.32,192.39,192.39,2296003,2296003,0.42,0.21878,192.2625,"December 10, 25",0.0021878,,,,,
2025-12-09,193.6,195.05,191.25,191.36,191.36,2234724,2234724,-2.24,-1.16,192.815,"December 09, 25",-0.0116,,,,,
2025-12-08,191.69,194.69,190.81,193.64,193.64,2661624,2661624,1.95,1.02,192.7075,"December 08, 25",0.0102,,,,,
2025-12-05,197,197.16,188.83,190.98,190.98,2754339,2754339,-6.02,-3.06,193.4925,"December 05, 25",-0.0306,,,,,
2025-12-04,193.95,197.75,193.2,196.27,196.27,1976940,1976940,2.32,1.2,195.2925,"December 04, 25",0.012,,,,,
2025-12-03,196.65,196.88,192.05,194.29,194.29,1851496,1851496,-2.36,-1.2,194.9675,"December 03, 25",-0.012,,,,,
2025-12-02,200.66,201.22,194.97,196.26,196.26,2551835,2551835,-4.4,-2.19,198.2775,"December 02, 25",-0.0219,,,,,
2025-12-01,203,203.57,198.5,198.74,198.74,1832500,1832500,-4.26,-2.1,200.9525,"December 01, 25",-0.021,,,,,
2025-11-28,206.15,207.77,202.68,204.59,204.59,688614,688614,-1.56,-0.75673,205.2975,"November 28, 25",-0.0075673,,,,,
2025-11-26,204.2,207.44,204.2,204.63,204.63,1968376,1968376,0.43,0.21058,205.1175,"November 26, 25",0.0021058,,,,,
2025-11-25,201.97,204.4,198.73,203.68,203.68,3035722,3035722,1.71,0.84666,202.195,"November 25, 25",0.0084666,,,,,
2025-11-24,197.61,201.17,196.98,200.12,200.12,3086400,3086400,2.51,1.27,198.97,"November 24, 25",0.0127,,,,,
2025-11-21,197,198.65,192.76,197.28,197.28,2927913,2927913,0.28,0.14213,196.4225,"November 21, 25",0.0014213,,,,,
2025-11-20,206.72,207.85,197.57,197.92,197.92,2487357,2487357,-8.8,-4.26,202.515,"November 20, 25",-0.0426,,,,,
