date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,recordDate,declarationDate,adjDividend,dividend,paymentDate
2026-01-05,630.39,642.23,628.7,640.38,640.38,129475,129475,9.99,1.58473,637.1,"January 05, 26",0.0158473,,,,,
2026-01-02,619.25,635.2,617.08,634.44,634.44,480211,480211,15.19,2.45,626.4925,"January 02, 26",0.0245,,,,,
2025-12-31,631.09,631.25,622.54,622.66,622.66,273915,273915,-8.43,-1.34,626.885,"December 31, 25",-0.0134,,,,,
2025-12-30,635.06,638.83,631.03,631.42,631.42,247900,247900,-3.64,-0.57317,634.085,"December 30, 25",-0.0057317,,,,,
2025-12-29,645.13,646.49,632.3,637.27,637.27,286500,286500,-7.86,-1.22,640.2975,"December 29, 25",-0.0122,,,,,
2025-12-26,642.43,646.02,640.53,645.01,645.01,244340,244340,2.58,0.4016,643.4975,"December 26, 25",0.004016,,,,,
2025-12-24,640.05,643.33,638.01,643.14,643.14,134600,134600,3.09,0.48277,641.1325,"December 24, 25",0.0048277,,,,,
2025-12-23,634.34,639.22,632.22,638.78,638.78,261503,261503,4.44,0.69994,636.14,"December 23, 25",0.0069994,,,,,
2025-12-22,639.49,639.49,629.66,632.51,632.51,457218,457218,-6.98,-1.09,635.2875,"December 22, 25",-0.0109,,,,,
2025-12-19,628.09,637.56,626.02,633.94,633.94,890600,890600,5.85,0.9314,631.4025,"December 19, 25",0.009314,,,,,
2025-12-18,626.45,634.22,623.02,627.38,627.38,536600,536600,0.93,0.14846,627.7675,"December 18, 25",0.0014846,,,,,
2025-12-17,625.89,631.1,610.32,619.01,619.01,607300,607300,-6.88,-1.1,621.58,"December 17, 25",-0.011,,,,,
2025-12-16,636.34,638.48,625.38,629.49,629.49,622444,622444,-6.85,-1.08,632.4225,"December 16, 25",-0.0108,,,,,
2025-12-15,629.58,636.05,625.27,633.88,633.88,439415,439415,4.3,0.683,631.195,"December 15, 25",0.00683,,,,,
2025-12-12,634.26,638.26,621.59,628.25,628.25,441717,441717,-6.01,-0.94756,630.59,"December 12, 25",-0.0094756,,,,,
2025-12-11,622.71,636.08,622.69,632.08,632.08,310715,310715,9.37,1.5,628.39,"December 11, 25",0.015,,,,,
2025-12-10,611.24,625.61,606.56,623.41,623.41,305300,305300,12.17,1.99,616.705,"December 10, 25",0.0199,,,,,
2025-12-09,620.91,626.84,610.85,612.01,612.01,348524,348524,-8.9,-1.43,617.6525,"December 09, 25",-0.0143,,,,,
2025-12-08,625,634.57,615.97,622.2,622.2,510100,510100,-2.8,-0.448,624.435,"December 08, 25",-0.00448,,,,,
2025-12-05,617.32,625.76,611.18,624.37,624.37,354900,354900,7.05,1.14,619.6575,"December 05, 25",0.0114,,,,,
2025-12-04,613.72,619.53,609.06,618.78,618.78,309800,309800,5.06,0.82448,615.2725,"December 04, 25",0.0082448,,,,,
2025-12-03,609.41,616.69,607.2,615.87,615.87,280824,280824,6.46,1.06,612.2925,"December 03, 25",0.0106,,,,,
2025-12-02,618.4,618.4,606.24,607.99,607.99,305608,305608,-10.41,-1.68,612.7575,"December 02, 25",-0.0168,,,,,
2025-12-01,618.69,623.88,614.39,615.25,615.25,387100,387100,-3.44,-0.55601,618.0525,"December 01, 25",-0.0055601,2025-12-01,2025-11-13,0.83,0.83,2025-12-31
2025-11-28,624.92,626.85,620.21,623.24,622.41,112700,112700,-1.68,-0.26883,623.805,"November 28, 25",-0.0026883,,,,,
2025-11-26,615.75,626.82,615.75,622.5,621.67,445345,445345,6.75,1.1,620.205,"November 26, 25",0.011,,,,,
