holder,shares,dateReported,change
VANGUARD GROUP INC,31146773,2025-09-30,-683756
"BlackRock, Inc.",22239020,2025-09-30,-242456
STATE STREET CORP,13786818,2025-09-30,319763
Capital International Investors,9568128,2025-09-30,50296
Fundsmith LLP,6794644,2025-09-30,-29645
"GEODE CAPITAL MANAGEMENT, LLC",6348277,2025-09-30,58070
JPMORGAN CHASE & CO,6136330,2025-09-30,175960
MORGAN STANLEY,4794102,2025-09-30,738549
STIFEL FINANCIAL CORP,4495492,2025-09-30,190337
MASSACHUSETTS FINANCIAL SERVICES CO /MA/,4284694,2025-09-30,-765295
Invesco Ltd.,3653852,2025-09-30,143739
"Allspring Global Investments Holdings, LLC",3317338,2025-09-30,48259
NORTHERN TRUST CORP,3180315,2025-09-30,-21997
FUNDSMITH INVESTMENT SERVICES LTD.,2806229,2025-09-30,-108408
CITADEL ADVISORS LLC,2366537,2025-09-30,-1650143
UBS ASSET MANAGEMENT AMERICAS INC,2361701,2025-09-30,-656209
Legal & General Group Plc,2016984,2025-09-30,-46214
DIMENSIONAL FUND ADVISORS LP,1994347,2025-09-30,336223
ProShare Advisors LLC,1767767,2025-09-30,176037
Neuberger Berman Group LLC,1755336,2025-09-30,-595887
BANK OF AMERICA CORP /DE/,1603332,2025-09-30,-232980
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,1500889,2025-09-30,4755
GOLDMAN SACHS GROUP INC,1434761,2025-09-30,-195713
"Point72 Asset Management, L.P.",1400838,2025-09-30,1400838
Amundi,1392989,2025-09-30,-56656
Bank of New York Mellon Corp,1344753,2025-09-30,-21812
WELLS FARGO & COMPANY/MN,1329655,2025-09-30,7197
LORING WOLCOTT & COOLIDGE FIDUCIARY ADVISORS LLP/MA,1218746,2025-09-30,-37992
"REIK & CO., LLC",1195603,2025-09-30,-9947
Saturna Capital CORP,1191945,2025-09-30,-7695
AQR CAPITAL MANAGEMENT LLC,1127644,2025-09-30,231638
UBS Group AG,1075587,2025-09-30,-496413
FMR LLC,1058604,2025-09-30,-50215
DEUTSCHE BANK AG\,1053781,2025-09-30,-183870
THRIVENT FINANCIAL FOR LUTHERANS,862917,2025-09-30,-33389
Candlestick Capital Management LP,861651,2025-09-30,861651
ROYAL BANK OF CANADA,860687,2025-09-30,187947
AMERICAN CENTURY COMPANIES INC,848405,2025-09-30,-650916
WESTWOOD HOLDINGS GROUP INC,788285,2025-09-30,-42590
"Ensign Peak Advisors, Inc",779846,2025-09-30,-15812
MILLENNIUM MANAGEMENT LLC,776505,2025-09-30,214044
"Bank Julius Baer & Co. Ltd, Zurich",756862,2025-09-30,5542
CALIFORNIA PUBLIC EMPLOYEES RETIREMENT SYSTEM,743774,2025-09-30,-141407
"Tandem Investment Advisors, Inc.",714900,2025-09-30,3720
BALYASNY ASSET MANAGEMENT L.P.,711270,2025-09-30,-589541
Swiss National Bank,709900,2025-09-30,-35000
BARCLAYS PLC,697715,2025-09-30,35616
"Sumitomo Mitsui Trust Holdings, Inc.",688376,2025-09-30,17143
S&CO INC,649385,2025-09-30,-350
"COMPASS CAPITAL MANAGEMENT, INC",609030,2025-09-30,33866
CITIGROUP INC,596087,2025-09-30,95423
ACADIAN ASSET MANAGEMENT LLC,587457,2025-09-30,39856
Qube Research & Technologies Ltd,586939,2025-09-30,486850
"Nuveen, LLC",569582,2025-09-30,-55641
AMI ASSET MANAGEMENT CORP,565744,2025-09-30,-15536
"CBOE Vest Financial, LLC",563653,2025-09-30,40634
LGT CAPITAL PARTNERS LTD.,561892,2025-09-30,88007
"Pensionmark Financial Group, LLC",558279,2025-09-30,23
"Mitsubishi UFJ Kokusai Asset Management Co., Ltd.",551227,2025-09-30,29264
HSBC HOLDINGS PLC,543280,2025-09-30,-63227
RAYMOND JAMES FINANCIAL INC,541752,2025-09-30,-133105
"PNC FINANCIAL SERVICES GROUP, INC.",517685,2025-09-30,5675
Ceredex Value Advisors LLC,512655,2025-09-30,46004
ROYAL LONDON ASSET MANAGEMENT LTD,511858,2025-09-30,10911
NOMURA ASSET MANAGEMENT CO LTD,500073,2025-09-30,46360
FIRST TRUST ADVISORS LP,461310,2025-09-30,435094
LONDON CO OF VIRGINIA,460586,2025-09-30,-11684
RHUMBLINE ADVISERS,447373,2025-09-30,-7644
WELCH & FORBES LLC,443675,2025-09-30,-4798
CALIFORNIA STATE TEACHERS RETIREMENT SYSTEM,423111,2025-09-30,-8745
