date,label,adjDividend,dividend,recordDate,paymentDate,declarationDate,open,adjClose,change,vwap,close,unadjustedVolume,low,changeOverTime,high,changePercent,volume
2026-02-17,"February 17, 26",0.7,0.7,2026-02-17,2026-03-03,2025-05-15,,,,,,,,,,,
2026-01-02,"January 02, 26",,,,,,89.2,92.64,3.44,90.89,92.64,1465800,88.7,0.0386,93.02,3.86,1465800
2025-12-31,"December 31, 25",,,,,,89.5,89.08,-0.42,89.4175,89.08,757700,89.05,-0.0046927,90.04,-0.46927,757700
2025-12-30,"December 30, 25",,,,,,90.24,89.68,-0.56,89.89,89.68,944017,89.4,-0.0062057,90.24,-0.62057,944017
2025-12-29,"December 29, 25",,,,,,88.96,89.36,0.4,89.135,89.36,1352256,88.73,0.0044964,89.49,0.44964,1352256
2025-12-26,"December 26, 25",,,,,,88.67,89.08,0.41,88.8225,89.08,810046,88.37,0.0046239,89.17,0.46239,810046
2025-12-24,"December 24, 25",,,,,,89.11,88.69,-0.42,88.87,88.69,591016,88.52,-0.0047133,89.16,-0.47133,591016
2025-12-23,"December 23, 25",,,,,,89.97,88.55,-1.42,89.2325,88.55,1212240,88.24,-0.0158,90.17,-1.58,1212240
2025-12-22,"December 22, 25",,,,,,91.95,89.79,-2.16,90.7775,89.79,1424918,89.09,-0.0235,92.28,-2.35,1424918
2025-12-19,"December 19, 25",,,,,,91.38,91.47,0.09,91.4225,91.47,3071800,90.81,0.0009848982,92.03,0.09848982,3071800
2025-12-18,"December 18, 25",,,,,,92.81,91.72,-1.09,92.5325,91.72,1391209,91.67,-0.0117,93.93,-1.17,1391209
2025-12-17,"December 17, 25",,,,,,92.7,92.91,0.21,92.82,92.91,1436800,92.18,0.0022654,93.49,0.22654,1436800
2025-12-16,"December 16, 25",,,,,,94.94,92.26,-2.68,93.485,92.26,1627237,91.8,-0.0282,94.94,-2.82,1627237
2025-12-15,"December 15, 25",,,,,,91.97,92.59,0.62,91.9,92.59,1229021,90.11,0.0067413,92.93,0.67413,1229021
2025-12-12,"December 12, 25",,,,,,93.2,92.84,-0.36,92.915,92.84,1345100,91.64,-0.0038627,93.98,-0.38627,1345100
2025-12-11,"December 11, 25",,,,,,91.45,93.27,1.82,92.475,93.27,1101400,91.25,0.0199,93.93,1.99,1101400
2025-12-10,"December 10, 25",,,,,,91.66,91.5,-0.16,91.4275,91.5,1068590,90.12,-0.0017456,92.43,-0.17456,1068590
2025-12-09,"December 09, 25",,,,,,91.6,91.45,-0.15,91.6825,91.45,1066948,91.02,-0.0016376,92.66,-0.16376,1066948
2025-12-08,"December 08, 25",,,,,,93.46,91.91,-1.55,92.65,91.91,1062100,91.63,-0.0166,93.6,-1.66,1062100
2025-12-05,"December 05, 25",,,,,,94.3,93.63,-0.67,94.085,93.63,919300,93.61,-0.007105,94.8,-0.7105,919300
2025-12-04,"December 04, 25",,,,,,95.75,94.39,-1.36,94.6325,94.39,1084200,92.4,-0.0142,95.99,-1.42,1084200
2025-12-03,"December 03, 25",,,,,,96.7,95.29,-1.41,96.12,95.29,1034400,95.14,-0.0146,97.35,-1.46,1034400
2025-12-02,"December 02, 25",,,,,,97.12,96.05,-1.07,96.5,96.05,1409340,95.58,-0.011,97.25,-1.1,1409340
2025-12-01,"December 01, 25",,,,,,96.4,96.42,0.02,96.4375,96.42,1479534,95.53,0.0002074689,97.4,0.02074689,1479534
2025-11-28,"November 28, 25",,,,,,96.47,96.07,-0.4,96.405,96.07,514512,95.99,-0.0041464,97.09,-0.41464,514512
2025-11-26,"November 26, 25",,,,,,96.52,96.48,-0.04,96.5875,96.48,1115908,96.04,-0.0004144219,97.31,-0.04144219,1115908
2025-11-25,"November 25, 25",,,,,,93.63,96.51,2.88,94.99,96.51,1442107,93.31,0.0308,96.51,3.08,1442107
2025-11-24,"November 24, 25",,,,,,94.5,93.51,-0.99,94.1,93.51,1666332,93.48,-0.0105,94.91,-1.05,1666332
2025-11-21,"November 21, 25",,,,,,92.91,94.58,1.67,93.845,94.58,1372512,92.56,0.018,95.33,1.8,1372512
2025-11-20,"November 20, 25",,,,,,93.46,92.8,-0.66,93.3925,92.8,1838973,92.7,-0.0070618,94.61,-0.70618,1838973
2025-11-19,"November 19, 25",,,,,,96.28,93.15,-3.13,94.3125,93.15,2610602,91.09,-0.0325,96.73,-3.25,2610602
