date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,recordDate,declarationDate,paymentDate,adjDividend,dividend
2026-01-02,145.01,146.95,144.16,146.61,146.61,2047345,2047345,1.6,1.1,145.6825,"January 02, 26",0.011,,,,,
2025-12-31,146.13,146.25,144.69,144.76,144.76,1389131,1389131,-1.37,-0.93752,145.4575,"December 31, 25",-0.0093752,,,,,
2025-12-30,147.09,147.95,146,146.06,146.06,1466215,1466215,-1.03,-0.70025,146.775,"December 30, 25",-0.0070025,,,,,
2025-12-29,148.51,149.03,146.9,147.27,147.27,1291028,1291028,-1.24,-0.83496,147.9275,"December 29, 25",-0.0083496,,,,,
2025-12-26,148.8,149.04,147.98,148.52,148.52,1308400,1308400,-0.28,-0.18817,148.585,"December 26, 25",-0.0018817,,,,,
2025-12-24,148.31,149.45,147.33,148.85,148.85,884300,884300,0.54,0.3641,148.485,"December 24, 25",0.003641,,,,,
2025-12-23,148.45,149.66,148.1,148.37,148.37,2173849,2173849,-0.08,-0.0538902,148.645,"December 23, 25",-0.000538902,,,,,
2025-12-22,147.22,150.45,147.2,148.89,148.89,2753700,2753700,1.67,1.13,148.44,"December 22, 25",0.0113,,,,,
2025-12-19,146.62,147.96,146,146.34,146.34,5163418,5163418,-0.28,-0.19097,146.73,"December 19, 25",-0.0019097,,,,,
2025-12-18,148.56,149.43,146.25,146.3,146.3,2653785,2653785,-2.26,-1.52,147.635,"December 18, 25",-0.0152,,,,,
2025-12-17,147.65,150.63,145.56,146.4,146.4,3479937,3479937,-1.25,-0.8466,147.56,"December 17, 25",-0.008466,,,,,
2025-12-16,147,148.72,146.3,147.15,147.15,2325347,2325347,0.15,0.10204,147.2925,"December 16, 25",0.0010204,,,,,
2025-12-15,149.48,149.56,146.52,146.83,146.83,2585736,2585736,-2.65,-1.77,148.0975,"December 15, 25",-0.0177,,,,,
2025-12-12,151.86,151.86,146.93,148.05,148.05,3744411,3744411,-3.81,-2.51,149.675,"December 12, 25",-0.0251,,,,,
2025-12-11,149.08,150.98,148.01,150.33,150.33,4427500,4427500,1.25,0.83848,149.6,"December 11, 25",0.0083848,,,,,
2025-12-10,143.12,149.6,143.12,149.08,149.08,5073760,5073760,5.96,4.16,146.23,"December 10, 25",0.0416,,,,,
2025-12-09,137.81,145.99,137.51,143.89,143.89,5025847,5025847,6.08,4.41,141.3,"December 09, 25",0.0441,,,,,
2025-12-08,137.91,137.92,135.24,137.38,137.38,2556203,2556203,-0.53,-0.38431,137.1125,"December 08, 25",-0.0038431,,,,,
2025-12-05,136.3,138.64,135.95,138.13,138.13,1976923,1976923,1.83,1.34,137.255,"December 05, 25",0.0134,,,,,
2025-12-04,135.25,136.85,134.03,136.75,136.75,2680204,2680204,1.5,1.11,135.72,"December 04, 25",0.0111,,,,,
2025-12-03,132.02,135.56,131.08,134.5,134.5,4833300,4833300,2.48,1.88,133.29,"December 03, 25",0.0188,,,,,
2025-12-02,131.56,133.47,131.01,132.08,132.08,1588400,1588400,0.52,0.39526,132.03,"December 02, 25",0.0039526,,,,,
2025-12-01,130.19,132.32,129.04,131.39,131.39,2755560,2755560,1.2,0.92173,130.735,"December 01, 25",0.0092173,,,,,
2025-11-28,131.69,133.15,130.3,131.85,131.85,1392328,1392328,0.16,0.1215,131.7475,"November 28, 25",0.001215,,,,,
2025-11-26,131,132.32,130.27,130.27,130.27,2637923,2637923,-0.73,-0.55725,130.965,"November 26, 25",-0.0055725,,,,,
2025-11-25,130.2,131.08,127.37,130.62,130.62,3437866,3437866,0.42,0.32258,129.8175,"November 25, 25",0.0032258,,,,,
2025-11-24,129.9,131,128.99,130.1,130.1,3577100,3577100,0.2,0.15396,129.9975,"November 24, 25",0.0015396,,,,,
2025-11-21,127.76,130.76,125.95,130.02,130.02,3214424,3214424,2.26,1.77,128.6225,"November 21, 25",0.0177,,,,,
2025-11-20,131.82,132.68,126.69,126.76,126.76,3965700,3965700,-5.06,-3.84,129.4875,"November 20, 25",-0.0384,,,,,
2025-11-19,124.65,127.47,124.19,127.2,127.2,2819967,2819967,2.55,2.05,125.8775,"November 19, 25",0.0205,,,,,
2025-11-18,123.03,126.01,122.49,124.32,124.32,2859500,2859500,1.29,1.05,123.9625,"November 18, 25",0.0105,,,,,
2025-11-17,130,130.24,123.61,124.34,124.34,4110246,4110246,-5.66,-4.35,127.0475,"November 17, 25",-0.0435,2025-11-17,2025-11-04,2025-11-28,0.51,0.51
2025-11-14,126.14,132.14,125.59,130.6,130.09,3498532,3498532,4.46,3.54,128.6175,"November 14, 25",0.0354,,,,,
