date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,declarationDate,paymentDate,recordDate,adjDividend,dividend
2025-11-20,102.78,104.32,102.75,103.76,102.73,1492547,1492547,0.98,0.95349,103.4025,"November 20, 25",0.0095349,,,,,
2025-11-19,102.28,102.65,101.6,102.16,101.14,1057438,1057438,-0.12,-0.11732,102.1725,"November 19, 25",-0.0011732,,,,,
2025-11-18,102.2,102.57,101.47,102.03,101.01,1160747,1160747,-0.17,-0.16634,102.0675,"November 18, 25",-0.0016634,,,,,
2025-11-17,103.09,103.78,101.78,102.15,101.13,1294000,1294000,-0.94,-0.91182,102.7,"November 17, 25",-0.0091182,,,,,
2025-11-14,102.1,102.81,101.26,102.66,101.64,1363800,1363800,0.56,0.54848,102.2075,"November 14, 25",0.0054848,,,,,
2025-11-13,102.24,102.93,101.56,101.76,100.75,1031114,1031114,-0.48,-0.46948,102.1225,"November 13, 25",-0.0046948,,,,,
2025-11-12,103.06,103.64,102.23,102.69,101.67,1402254,1402254,-0.37,-0.35901,102.905,"November 12, 25",-0.0035901,,,,,
2025-11-11,102.9,103.93,101.81,103.68,102.65,1415520,1415520,0.78,0.75802,103.08,"November 11, 25",0.0075802,,,,,
2025-11-10,101.3,102.46,101.04,102.4,101.38,1295444,1295444,1.1,1.09,101.8,"November 10, 25",0.0109,,,,,
2025-11-07,99.5,102.33,99.44,101.78,100.77,2274681,2274681,2.28,2.29,100.7625,"November 07, 25",0.0229,,,,,
2025-11-06,101.24,101.89,99.25,99.29,98.3,2260800,2260800,-1.95,-1.93,100.4175,"November 06, 25",-0.0193,,,,,
2025-11-05,101.5,102.16,100.78,101.82,100.81,1960419,1960419,0.32,0.31527,101.565,"November 05, 25",0.0031527,,,,,
2025-11-04,98.92,101.47,98.9,101.4,100.39,2318711,2318711,2.48,2.51,100.1725,"November 04, 25",0.0251,,,,,
2025-11-03,98.31,100.05,97.88,99.99,98.99,1300500,1300500,1.68,1.71,99.0575,"November 03, 25",0.0171,,,,,
2025-10-31,99.26,100.53,98.78,99.48,98.49,1067440,1067440,0.22,0.22164,99.5125,"October 31, 25",0.0022164,,,,,
2025-10-30,98.02,99.59,97.39,99.35,98.36,2434975,2434975,1.33,1.36,98.5875,"October 30, 25",0.0136,,,,,
2025-10-29,100.67,100.8,97.17,97.58,96.61,2364500,2364500,-3.09,-3.07,99.055,"October 29, 25",-0.0307,,,,,
2025-10-28,103.53,103.78,101.11,101.42,100.41,1164400,1164400,-2.11,-2.04,102.46,"October 28, 25",-0.0204,,,,,
2025-10-27,104.79,104.93,103.52,104.16,103.12,838613,838613,-0.63,-0.6012,104.35,"October 27, 25",-0.006012,,,,,
2025-10-24,105.5,105.96,104.99,105.06,104.01,1804319,1804319,-0.44,-0.41706,105.3775,"October 24, 25",-0.0041706,,,,,
2025-10-23,104.45,105.16,103.3,104.98,103.93,1249426,1249426,0.53,0.50742,104.4725,"October 23, 25",0.0050742,,,,,
2025-10-22,103.76,104.96,102.91,104.4,103.36,705806,705806,0.64,0.61681,104.0075,"October 22, 25",0.0061681,,,,,
2025-10-21,103.43,104.3,102.81,103.42,102.39,546524,546524,-0.01,-0.00966837,103.49,"October 21, 25",-9.66837e-05,,,,,
2025-10-20,102.54,103.43,102.51,103.09,102.06,541416,541416,0.55,0.53638,102.8925,"October 20, 25",0.0053638,,,,,
2025-10-17,101.97,103.01,101.7,102.4,101.38,898000,898000,0.43,0.42169,102.27,"October 17, 25",0.0042169,,,,,
2025-10-16,102.09,102.69,101.4,101.85,100.84,871700,871700,-0.24,-0.23509,102.0075,"October 16, 25",-0.0023509,,,,,
2025-10-15,102.06,103.47,101.23,101.7,100.69,927000,927000,-0.36,-0.35273,102.115,"October 15, 25",-0.0035273,,,,,
2025-10-14,101.69,102.43,100.62,102.13,101.11,1478346,1478346,0.44,0.43269,101.7175,"October 14, 25",0.0043269,,,,,
2025-10-13,101.56,102.28,101.4,101.81,100.8,1112539,1112539,0.25,0.24616,101.7625,"October 13, 25",0.0024616,,,,,
2025-10-10,101.99,102.51,100.6,101.67,100.66,836186,836186,-0.32,-0.31376,101.6925,"October 10, 25",-0.0031376,,,,,
2025-10-09,103.38,103.73,101.64,101.94,100.92,842600,842600,-1.44,-1.39,102.6725,"October 09, 25",-0.0139,,,,,
2025-10-08,102.81,103.55,102.54,103.06,102.03,597615,597615,0.25,0.24317,102.99,"October 08, 25",0.0024317,,,,,
2025-10-07,103,104.13,102.36,103.37,102.34,778300,778300,0.37,0.35922,103.215,"October 07, 25",0.0035922,,,,,
2025-10-06,104.69,104.97,102.78,102.96,101.93,807808,807808,-1.73,-1.65,103.85,"October 06, 25",-0.0165,,,,,
2025-10-03,104.78,105.3,104.14,104.2,103.16,769166,769166,-0.58,-0.55354,104.605,"October 03, 25",-0.0055354,,,,,
2025-10-02,105.2,105.5,104.14,104.42,103.38,675015,675015,-0.78,-0.74144,104.815,"October 02, 25",-0.0074144,,,,,
2025-10-01,106.62,107.11,105.09,105.59,104.54,980400,980400,-1.03,-0.96605,106.1025,"October 01, 25",-0.0096605,,,,,
2025-09-30,105.69,106.82,105.02,106.78,105.72,969400,969400,1.09,1.03,106.0775,"September 30, 25",0.0103,2025-09-15,2025-10-17,2025-09-30,1.05,1.05
2025-09-29,106.7,106.77,105.96,106.55,104.45,762046,762046,-0.15,-0.14058,106.495,"September 29, 25",-0.0014058,,,,,
2025-09-26,106.72,107.64,106.15,107,104.89,790905,790905,0.28,0.26237,106.8775,"September 26, 25",0.0026237,,,,,
2025-09-25,107.48,107.84,105.89,106.05,103.96,785500,785500,-1.43,-1.33,106.815,"September 25, 25",-0.0133,,,,,
2025-09-24,108.13,108.57,107.02,107.2,105.09,676900,676900,-0.93,-0.86008,107.73,"September 24, 25",-0.0086008,,,,,
2025-09-23,108.27,108.6,107.36,108.04,105.91,762400,762400,-0.23,-0.21243,108.0675,"September 23, 25",-0.0021243,,,,,
2025-09-22,107.86,108.38,106.94,108.18,106.05,687200,687200,0.32,0.29668,107.84,"September 22, 25",0.0029668,,,,,
2025-09-19,107.3,108.83,106.91,107.95,105.82,1770844,1770844,0.65,0.60578,107.7475,"September 19, 25",0.0060578,,,,,
2025-09-18,106.31,107.75,106.24,107.32,105.2,913644,913644,1.01,0.95005,106.905,"September 18, 25",0.0095005,,,,,
2025-09-17,106.46,108.58,106.18,106.47,104.37,1182100,1182100,0.01,0.0093932,106.9225,"September 17, 25",9.3932e-05,,,,,
2025-09-16,108.54,108.95,106.9,107.12,105.01,935700,935700,-1.42,-1.31,107.8775,"September 16, 25",-0.0131,,,,,
2025-09-15,109.83,109.91,108.14,108.37,106.23,756900,756900,-1.46,-1.33,109.0625,"September 15, 25",-0.0133,,,,,
2025-09-12,110.72,110.79,109.24,109.51,107.35,514800,514800,-1.21,-1.09,110.065,"September 12, 25",-0.0109,,,,,
2025-09-11,108.85,110.99,108.85,110.76,108.58,607400,607400,1.91,1.75,109.8625,"September 11, 25",0.0175,,,,,
2025-09-10,111.42,112.26,108.66,108.85,106.7,1091600,1091600,-2.57,-2.31,110.2975,"September 10, 25",-0.0231,,,,,
2025-09-09,109.86,111.8,109.86,111.63,109.43,1062131,1062131,1.77,1.61,110.7875,"September 09, 25",0.0161,,,,,
2025-09-08,110,111,110,110.92,108.73,651230,651230,0.92,0.83636,110.48,"September 08, 25",0.0083636,,,,,
2025-09-05,111,112.27,110.76,111.36,109.17,995352,995352,0.36,0.32432,111.3475,"September 05, 25",0.0032432,,,,,
2025-09-04,109.91,110.48,109.17,110.34,108.17,644200,644200,0.43,0.39123,109.975,"September 04, 25",0.0039123,,,,,
2025-09-03,107.95,109.52,107.95,109.41,107.25,774700,774700,1.46,1.35,108.7075,"September 03, 25",0.0135,,,,,
2025-09-02,111.06,111.43,108.37,108.58,106.44,890638,890638,-2.48,-2.23,109.86,"September 02, 25",-0.0223,,,,,
2025-08-29,110.71,112.2,110.05,111.98,109.77,714411,714411,1.27,1.15,111.235,"August 29, 25",0.0115,,,,,
2025-08-28,110.71,110.84,109.63,110.74,108.56,604200,604200,0.03,0.02709782,110.48,"August 28, 25",0.0002709782,,,,,
2025-08-27,109.51,110.88,109.22,110.56,108.38,705300,705300,1.05,0.95882,110.0425,"August 27, 25",0.0095882,,,,,
2025-08-26,109.5,109.99,108.86,109.2,107.05,1549900,1549900,-0.3,-0.27397,109.3875,"August 26, 25",-0.0027397,,,,,
2025-08-25,109.39,109.66,108.36,108.87,106.72,581719,581719,-0.52,-0.47536,109.07,"August 25, 25",-0.0047536,,,,,
2025-08-22,108.92,110,108.54,109.44,107.28,864800,864800,0.52,0.47741,109.225,"August 22, 25",0.0047741,,,,,
2025-08-21,107.94,108.8,107.46,108.02,105.89,577705,577705,0.08,0.07411525,108.055,"August 21, 25",0.0007411525,,,,,
2025-08-20,108.96,109.45,108,108.43,106.29,877500,877500,-0.53,-0.48642,108.71,"August 20, 25",-0.0048642,,,,,
2025-08-19,106.47,108.32,106.44,108.28,106.15,988500,988500,1.81,1.7,107.3775,"August 19, 25",0.017,,,,,
2025-08-18,107.09,107.32,105.76,105.77,103.69,1086806,1086806,-1.32,-1.23,106.485,"August 18, 25",-0.0123,,,,,
2025-08-15,106.35,107.24,105.82,106.82,104.71,789526,789526,0.47,0.44194,106.5575,"August 15, 25",0.0044194,,,,,
2025-08-14,105.96,106.47,105.29,106.02,103.93,892700,892700,0.06,0.05662514,105.935,"August 14, 25",0.0005662514,,,,,
2025-08-13,105.09,107.16,104.34,107,104.89,1113404,1113404,1.91,1.82,105.8975,"August 13, 25",0.0182,,,,,
2025-08-12,104.02,104.92,103.38,104.85,102.78,787014,787014,0.83,0.79792,104.2925,"August 12, 25",0.0079792,,,,,
2025-08-11,105.5,105.65,104.01,104.05,102,782700,782700,-1.45,-1.37,104.8025,"August 11, 25",-0.0137,,,,,
2025-08-08,107.15,107.25,105.28,105.52,103.44,646339,646339,-1.63,-1.52,106.3,"August 08, 25",-0.0152,,,,,
2025-08-07,106.86,107.44,106.15,106.97,104.86,753600,753600,0.11,0.10294,106.855,"August 07, 25",0.0010294,,,,,
2025-08-06,107.86,108.33,106.18,106.47,104.37,1020700,1020700,-1.39,-1.29,107.21,"August 06, 25",-0.0129,,,,,
2025-08-05,106.23,107.97,105.54,107.67,105.55,1549806,1549806,1.45,1.36,106.8525,"August 05, 25",0.0136,,,,,
2025-08-04,107.15,107.71,105.63,105.77,103.69,847807,847807,-1.38,-1.29,106.565,"August 04, 25",-0.0129,,,,,
2025-08-01,110.42,110.57,106.47,106.95,104.84,2037602,2037602,-3.47,-3.14,108.6025,"August 01, 25",-0.0314,,,,,
2025-07-31,111.32,112.26,108.64,109.2,107.05,1855914,1855914,-2.12,-1.9,110.355,"July 31, 25",-0.019,,,,,
2025-07-30,114.27,114.39,111.26,112.12,109.91,1162400,1162400,-2.15,-1.88,113.01,"July 30, 25",-0.0188,,,,,
2025-07-29,112.89,114.84,112.2,114.72,112.46,962324,962324,1.83,1.62,113.6625,"July 29, 25",0.0162,,,,,
2025-07-28,113.49,113.56,112.17,112.23,110.02,712700,712700,-1.26,-1.11,112.8625,"July 28, 25",-0.0111,,,,,
2025-07-25,113.76,114.72,112.6,113.54,111.3,804700,804700,-0.22,-0.19339,113.655,"July 25, 25",-0.0019339,,,,,
2025-07-24,115.23,115.23,113.55,113.6,111.36,874800,874800,-1.63,-1.41,114.4025,"July 24, 25",-0.0141,,,,,
2025-07-23,115.73,115.91,114.56,115.2,112.93,841704,841704,-0.53,-0.45796,115.35,"July 23, 25",-0.0045796,,,,,
2025-07-22,113.41,115.83,113.2,115.69,113.41,525208,525208,2.28,2.01,114.5325,"July 22, 25",0.0201,,,,,
2025-07-21,114.16,115.55,113.13,113.24,111.01,693118,693118,-0.92,-0.80589,114.02,"July 21, 25",-0.0080589,,,,,
2025-07-18,114.15,114.94,113.54,113.93,111.68,654902,654902,-0.22,-0.19273,114.14,"July 18, 25",-0.0019273,,,,,
2025-07-17,114.44,114.98,113.65,114.15,111.9,619313,619313,-0.29,-0.25341,114.305,"July 17, 25",-0.0025341,,,,,
2025-07-16,112.59,114.28,112.49,114.1,111.85,595910,595910,1.51,1.34,113.365,"July 16, 25",0.0134,,,,,
2025-07-15,114.2,114.2,112.15,112.48,110.26,587206,587206,-1.72,-1.51,113.2575,"July 15, 25",-0.0151,,,,,
2025-07-14,113.76,115.07,113.63,114.1,111.85,753300,753300,0.34,0.29887,114.14,"July 14, 25",0.0029887,,,,,
2025-07-11,112.24,114.23,111.91,113.76,111.52,599400,599400,1.52,1.35,113.035,"July 11, 25",0.0135,,,,,
2025-07-10,112.85,114.5,112.73,113.41,111.17,866543,866543,0.56,0.49623,113.3725,"July 10, 25",0.0049623,,,,,
2025-07-09,113.51,114.3,112.9,113.01,110.78,713633,713633,-0.5,-0.44049,113.43,"July 09, 25",-0.0044049,,,,,
2025-07-08,112.6,114.19,112.32,113.31,111.08,947051,947051,0.71,0.63055,113.105,"July 08, 25",0.0063055,,,,,
2025-07-07,113.66,115.53,112.8,113.36,111.13,880318,880318,-0.3,-0.26395,113.8375,"July 07, 25",-0.0026395,,,,,
2025-07-03,113.34,114.65,113.01,114.01,111.76,610700,610700,0.67,0.59114,113.7525,"July 03, 25",0.0059114,,,,,
2025-07-02,112.88,113.65,111.53,113.4,111.16,1025200,1025200,0.52,0.46067,112.865,"July 02, 25",0.0046067,,,,,
2025-07-01,112.47,114.31,111.18,112.97,110.74,1694004,1694004,0.5,0.44456,112.7325,"July 01, 25",0.0044456,,,,,
2025-06-30,112.72,113.41,110.81,112.69,110.47,2825500,2825500,-0.03,-0.02661462,112.4075,"June 30, 25",-0.0002661462,2025-06-16,2025-07-17,2025-06-30,1.05,1.05
2025-06-27,114.3,115.16,113.34,113.76,110.49,1151230,1151230,-0.54,-0.47244,114.14,"June 27, 25",-0.0047244,,,,,
2025-06-26,113.43,114.42,112.56,114.33,111.04,954200,954200,0.9,0.79344,113.685,"June 26, 25",0.0079344,,,,,
2025-06-25,114.66,115.2,112.84,113.06,109.81,1629916,1629916,-1.6,-1.4,113.94,"June 25, 25",-0.014,,,,,
2025-06-24,116.41,116.86,115.02,115.53,112.21,941241,941241,-0.88,-0.75595,115.955,"June 24, 25",-0.0075595,,,,,
2025-06-23,115.98,117.5,114.65,116.26,112.92,857700,857700,0.28,0.24142,116.0975,"June 23, 25",0.0024142,,,,,
2025-06-20,115.63,116.37,114.95,115.59,112.27,1585800,1585800,-0.04,-0.0345931,115.635,"June 20, 25",-0.000345931,,,,,
2025-06-18,115.69,116.86,115.21,115.62,112.3,759100,759100,-0.07,-0.06050653,115.845,"June 18, 25",-0.0006050653,,,,,
2025-06-17,116.05,116.31,115.33,115.9,112.57,635900,635900,-0.15,-0.12925,115.8975,"June 17, 25",-0.0012925,,,,,
2025-06-16,116.57,117.48,115.87,116.16,112.82,470253,470253,-0.41,-0.35172,116.52,"June 16, 25",-0.0035172,,,,,
2025-06-13,117.59,118.27,115.08,116.12,112.78,696900,696900,-1.47,-1.25,116.765,"June 13, 25",-0.0125,,,,,
2025-06-12,117.49,118.59,117.04,118.49,115.08,594500,594500,1,0.85114,117.9025,"June 12, 25",0.0085114,,,,,
2025-06-11,118.38,118.49,116.78,117.42,114.05,767800,767800,-0.96,-0.81095,117.7675,"June 11, 25",-0.0081095,,,,,
2025-06-10,118.27,119,117.32,118.11,114.72,1003000,1003000,-0.16,-0.13528,118.175,"June 10, 25",-0.0013528,,,,,
2025-06-09,115.71,118.37,115.23,117.54,114.16,1409233,1409233,1.83,1.58,116.7125,"June 09, 25",0.0158,,,,,
2025-06-06,116.59,117.18,114.71,115.83,112.5,595131,595131,-0.76,-0.65186,116.0775,"June 06, 25",-0.0065186,,,,,
2025-06-05,117.59,117.59,115.43,115.74,112.41,674100,674100,-1.85,-1.57,116.5875,"June 05, 25",-0.0157,,,,,
2025-06-04,117.83,118.26,116.6,117.58,114.2,662100,662100,-0.25,-0.21217,117.5675,"June 04, 25",-0.0021217,,,,,
2025-06-03,117.25,118.36,115.6,117.7,114.32,1774341,1774341,0.45,0.3838,117.2275,"June 03, 25",0.003838,,,,,
2025-06-02,116.52,117.97,115.71,117.83,114.44,528600,528600,1.31,1.12,117.0075,"June 02, 25",0.0112,,,,,
2025-05-30,116.41,117.83,115.76,117.49,114.11,1314400,1314400,1.08,0.92776,116.8725,"May 30, 25",0.0092776,,,,,
2025-05-29,115.51,117.41,115.41,116.91,113.55,790120,790120,1.4,1.21,116.31,"May 29, 25",0.0121,,,,,
2025-05-28,115.4,116.08,114.45,115.59,112.27,631335,631335,0.19,0.16464,115.38,"May 28, 25",0.0016464,,,,,
2025-05-27,114.24,115.39,113.02,115.08,111.77,801400,801400,0.84,0.73529,114.4325,"May 27, 25",0.0073529,,,,,
2025-05-23,114.22,114.46,111.9,113.03,109.78,1289508,1289508,-1.19,-1.04,113.4025,"May 23, 25",-0.0104,,,,,
2025-05-22,115.62,115.62,113.7,114.4,111.11,1234400,1234400,-1.22,-1.06,114.835,"May 22, 25",-0.0106,,,,,
2025-05-21,118.16,118.45,115.32,115.53,112.21,522946,522946,-2.63,-2.23,116.865,"May 21, 25",-0.0223,,,,,
2025-05-20,117.95,119.33,117.95,118.83,115.41,574910,574910,0.88,0.74608,118.515,"May 20, 25",0.0074608,,,,,
2025-05-19,118.24,119.74,117.79,119.06,115.64,692936,692936,0.82,0.6935,118.7075,"May 19, 25",0.006935,,,,,
2025-05-16,118.47,119.89,117.77,119.63,116.19,1922100,1922100,1.16,0.97915,118.94,"May 16, 25",0.0097915,,,,,
2025-05-15,116.5,118.14,116.5,117.99,114.6,796140,796140,1.49,1.28,117.2825,"May 15, 25",0.0128,,,,,
2025-05-14,116.73,117.02,115,115.74,112.41,684517,684517,-0.99,-0.84811,116.1225,"May 14, 25",-0.0084811,,,,,
2025-05-13,118.72,118.95,116.41,117.23,113.86,949926,949926,-1.49,-1.26,117.8275,"May 13, 25",-0.0126,,,,,
2025-05-12,119.06,119.22,117.9,118.95,115.53,562500,562500,-0.11,-0.09239039,118.7825,"May 12, 25",-0.0009239039,,,,,
2025-05-09,117.33,118.52,117.07,117.98,114.59,763524,763524,0.65,0.55399,117.725,"May 09, 25",0.0055399,,,,,
2025-05-08,119.39,119.6,117.22,117.49,114.11,1418701,1418701,-1.9,-1.59,118.425,"May 08, 25",-0.0159,,,,,
2025-05-07,118.94,120.15,118.67,118.99,115.57,931402,931402,0.05,0.042038,119.1875,"May 07, 25",0.00042038,,,,,
2025-05-06,118.94,119.72,118.2,118.99,115.57,753604,753604,0.05,0.042038,118.9625,"May 06, 25",0.00042038,,,,,
2025-05-05,120.54,121.33,118.89,119.21,115.78,975300,975300,-1.33,-1.1,119.9925,"May 05, 25",-0.011,,,,,
2025-05-02,118.31,121.28,117.46,120.87,117.4,1793705,1793705,2.56,2.16,119.48,"May 02, 25",0.0216,,,,,
2025-05-01,114.11,115.89,112.97,114.83,111.53,1089500,1089500,0.72,0.63097,114.45,"May 01, 25",0.0063097,,,,,
2025-04-30,113.12,114.25,111.34,113.8,110.53,1061912,1061912,0.68,0.60113,113.1275,"April 30, 25",0.0060113,,,,,
2025-04-29,113.69,114.12,112.37,113,109.75,1243700,1243700,-0.69,-0.60691,113.295,"April 29, 25",-0.0060691,,,,,
2025-04-28,113.68,114.72,112.82,114.22,110.94,960100,960100,0.54,0.47502,113.86,"April 28, 25",0.0047502,,,,,
2025-04-25,114.08,114.68,113.28,114,110.72,950800,950800,-0.08,-0.07012623,114.01,"April 25, 25",-0.0007012623,,,,,
2025-04-24,114.44,115.3,113.45,114.02,110.74,684708,684708,-0.42,-0.367,114.3025,"April 24, 25",-0.00367,,,,,
2025-04-23,114.09,116.01,113.42,114.03,110.75,815300,815300,-0.06,-0.05259006,114.3875,"April 23, 25",-0.0005259006,,,,,
2025-04-22,112.46,114.27,111.99,113.16,109.91,862500,862500,0.7,0.62244,112.97,"April 22, 25",0.0062244,,,,,
2025-04-21,111.1,112.22,109.52,110.81,107.63,785100,785100,-0.29,-0.26103,110.9125,"April 21, 25",-0.0026103,,,,,
2025-04-17,110.71,113.48,110.71,112.28,109.05,581700,581700,1.57,1.42,111.795,"April 17, 25",0.0142,,,,,
2025-04-16,111.41,112.49,109.68,110.2,107.03,851448,851448,-1.21,-1.09,110.945,"April 16, 25",-0.0109,,,,,
2025-04-15,111.81,112.54,110.83,111.34,108.14,979000,979000,-0.47,-0.42036,111.63,"April 15, 25",-0.0042036,,,,,
2025-04-14,108.94,111.71,108.69,111.18,107.98,1094450,1094450,2.24,2.06,110.13,"April 14, 25",0.0206,,,,,
2025-04-11,106.81,108.36,105,107.93,104.83,1358700,1358700,1.12,1.05,107.025,"April 11, 25",0.0105,,,,,
2025-04-10,110.72,112.22,105.84,108.06,104.95,1832147,1832147,-2.66,-2.4,109.21,"April 10, 25",-0.024,,,,,
2025-04-09,105,112.75,102.35,111.71,108.5,2350300,2350300,6.71,6.39,107.9525,"April 09, 25",0.0639,,,,,
2025-04-08,110.68,111.13,105.49,106.53,103.47,1749034,1749034,-4.15,-3.75,108.4575,"April 08, 25",-0.0375,,,,,
2025-04-07,108.51,112.1,105.09,108.05,104.94,1920500,1920500,-0.46,-0.42392,108.4375,"April 07, 25",-0.0042392,,,,,
2025-04-04,117.63,117.63,110.27,110.43,107.26,1960475,1960475,-7.2,-6.12,113.99,"April 04, 25",-0.0612,,,,,
2025-04-03,121.53,123.31,118.67,118.89,115.47,1079800,1079800,-2.64,-2.17,120.6,"April 03, 25",-0.0217,,,,,
2025-04-02,121.95,123.14,121.25,122.8,119.27,844559,844559,0.85,0.69701,122.285,"April 02, 25",0.0069701,,,,,
2025-04-01,122.3,122.46,120.28,121.92,118.42,1350925,1350925,-0.38,-0.31071,121.74,"April 01, 25",-0.0031071,,,,,
2025-03-31,122.04,124.32,121.48,122.3,118.79,1480334,1480334,0.26,0.21304,122.535,"March 31, 25",0.0021304,2025-02-06,2025-04-17,2025-03-31,1.05,1.05
2025-03-28,123.56,123.56,120.67,122.3,117.77,1151150,1151150,-1.26,-1.02,122.5225,"March 28, 25",-0.0102,,,,,
2025-03-27,122.54,123.83,121.83,121.94,117.42,643700,643700,-0.6,-0.48964,122.535,"March 27, 25",-0.0048964,,,,,
2025-03-26,121.76,122.29,121.06,122.21,117.68,971723,971723,0.45,0.36958,121.83,"March 26, 25",0.0036958,,,,,
2025-03-25,123,123.11,120.33,121.23,116.74,745600,745600,-1.77,-1.44,121.9175,"March 25, 25",-0.0144,,,,,
2025-03-24,119.86,121.88,119.48,121.63,117.12,717734,717734,1.77,1.48,120.7125,"March 24, 25",0.0148,,,,,
2025-03-21,119.53,119.83,117.41,119.21,114.79,1697207,1697207,-0.32,-0.26772,118.995,"March 21, 25",-0.0026772,,,,,
2025-03-20,120.01,120.66,118.79,120.05,115.6,789200,789200,0.04,0.03333056,119.8775,"March 20, 25",0.0003333056,,,,,
2025-03-19,119.67,120.78,118.5,119.84,115.4,1051030,1051030,0.17,0.14206,119.6975,"March 19, 25",0.0014206,,,,,
2025-03-18,119.91,120.65,118.93,119.59,115.16,632600,632600,-0.32,-0.26687,119.77,"March 18, 25",-0.0026687,,,,,
2025-03-17,117.57,120.44,117.57,120.13,115.68,705900,705900,2.56,2.18,118.9275,"March 17, 25",0.0218,,,,,
2025-03-14,117.26,118.68,116.38,118.09,113.72,1018400,1018400,0.83,0.70783,117.6025,"March 14, 25",0.0070783,,,,,
2025-03-13,118.68,119.2,116.11,116.75,112.43,898004,898004,-1.93,-1.63,117.685,"March 13, 25",-0.0163,,,,,
2025-03-12,120.55,121.04,117.88,118.4,114.01,797003,797003,-2.15,-1.78,119.4675,"March 12, 25",-0.0178,,,,,
