date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,declarationDate,paymentDate,recordDate,adjDividend,dividend
2026-01-02,109.62,110.7,108.85,110.17,110.17,1081800,1081800,0.55,0.50173,109.835,"January 02, 26",0.0050173,,,,,
2025-12-31,110.71,110.86,110.04,110.08,110.08,763651,763651,-0.63,-0.56905,110.4225,"December 31, 25",-0.0056905,,,,,
2025-12-30,110.01,110.86,109.37,110.72,110.72,927700,927700,0.71,0.6454,110.24,"December 30, 25",0.006454,,,,,
2025-12-29,109.66,110.2,109.07,109.99,109.99,914700,914700,0.33,0.30093,109.73,"December 29, 25",0.0030093,,,,,
2025-12-26,108.29,109.27,108.02,109.26,109.26,701705,701705,0.97,0.89574,108.71,"December 26, 25",0.0089574,,,,,
2025-12-24,108.21,109.18,107.77,108.57,108.57,405700,405700,0.36,0.33269,108.4325,"December 24, 25",0.0033269,,,,,
2025-12-23,108.78,108.78,107.06,107.8,107.8,1051509,1051509,-0.98,-0.9009,108.105,"December 23, 25",-0.009009,,,,,
2025-12-22,107.11,108.77,106.51,108.52,108.52,1499114,1499114,1.41,1.32,107.7275,"December 22, 25",0.0132,,,,,
2025-12-19,107.68,108.1,106.98,107.28,107.28,3025200,3025200,-0.4,-0.37147,107.51,"December 19, 25",-0.0037147,,,,,
2025-12-18,108.16,108.79,107.67,108.12,108.12,2830015,2830015,-0.04,-0.03698225,108.185,"December 18, 25",-0.0003698225,,,,,
2025-12-17,104.53,108.06,104.53,107.79,107.79,2204700,2204700,3.26,3.12,106.2275,"December 17, 25",0.0312,2025-12-03,2026-01-16,2025-12-17,1.05,1.05
2025-12-16,104.97,105.68,103.98,105.41,104.36,1827200,1827200,0.44,0.41917,105.01,"December 16, 25",0.0041917,,,,,
2025-12-15,104.75,105,103.4,104.65,103.61,2086734,2086734,-0.1,-0.09546539,104.45,"December 15, 25",-0.0009546539,,,,,
2025-12-12,104.6,105.25,103.7,104.23,103.19,979900,979900,-0.37,-0.35373,104.445,"December 12, 25",-0.0035373,,,,,
2025-12-11,103.4,104.51,102.96,104.17,103.13,867200,867200,0.77,0.74468,103.76,"December 11, 25",0.0074468,,,,,
2025-12-10,101.82,103.77,101.82,103.13,102.1,1050000,1050000,1.31,1.29,102.635,"December 10, 25",0.0129,,,,,
2025-12-09,103.1,103.79,101.59,101.69,100.68,1031700,1031700,-1.41,-1.37,102.5425,"December 09, 25",-0.0137,,,,,
2025-12-08,103.54,103.89,102.47,102.69,101.67,1264005,1264005,-0.85,-0.82094,103.1475,"December 08, 25",-0.0082094,,,,,
2025-12-05,104,105.01,103.46,103.88,102.85,764310,764310,-0.12,-0.11538,104.0875,"December 05, 25",-0.0011538,,,,,
2025-12-04,105.5,106.43,104.4,104.51,103.47,928524,928524,-0.99,-0.93839,105.21,"December 04, 25",-0.0093839,,,,,
2025-12-03,106.13,106.77,105.31,105.56,104.51,939513,939513,-0.57,-0.53708,105.9425,"December 03, 25",-0.0053708,,,,,
2025-12-02,106.2,106.56,105.47,106,104.94,920305,920305,-0.2,-0.18832,106.0575,"December 02, 25",-0.0018832,,,,,
2025-12-01,105.97,106.97,105.71,106.06,105,626100,626100,0.09,0.0849297,106.1775,"December 01, 25",0.000849297,,,,,
2025-11-28,105.96,106.82,105.68,106.34,105.28,382300,382300,0.38,0.35863,106.2,"November 28, 25",0.0035863,,,,,
2025-11-26,105.76,106.98,105.76,106.03,104.97,830400,830400,0.27,0.2553,106.1325,"November 26, 25",0.002553,,,,,
2025-11-25,104.73,106.94,104.51,106.18,105.12,1141600,1141600,1.45,1.38,105.59,"November 25, 25",0.0138,,,,,
2025-11-24,104.98,105.25,104.08,104.64,103.6,8295900,8295900,-0.34,-0.32387,104.7375,"November 24, 25",-0.0032387,,,,,
2025-11-21,103.88,105.8,103.78,105.23,104.18,1600000,1600000,1.35,1.3,104.6725,"November 21, 25",0.013,,,,,
