date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,dividend,paymentDate,declarationDate,adjDividend,recordDate
2025-12-08,86.56,86.56,85.82,86.12,86.12,2297840,2297840,-0.44,-0.50832,86.265,"December 08, 25",-0.0050832,,,,,
2025-12-05,86.76,87.21,86.03,86.45,86.45,2662428,2662428,-0.31,-0.35731,86.6125,"December 05, 25",-0.0035731,,,,,
2025-12-04,86.76,87.12,86.55,86.91,86.91,2294300,2294300,0.15,0.17289,86.835,"December 04, 25",0.0017289,,,,,
2025-12-03,87.51,88.03,86.7,86.94,86.94,2189600,2189600,-0.57,-0.65135,87.295,"December 03, 25",-0.0065135,,,,,
2025-12-02,88.37,88.49,86.94,87.24,87.24,2185800,2185800,-1.13,-1.28,87.76,"December 02, 25",-0.0128,,,,,
2025-12-01,88.16,89.11,88.11,88.15,88.15,2071183,2071183,-0.01,-0.01134301,88.3825,"December 01, 25",-0.0001134301,,,,,
2025-11-28,88.53,89.16,88.34,88.85,88.85,940847,940847,0.32,0.36146,88.72,"November 28, 25",0.0036146,,,,,
2025-11-26,88.54,89.06,88.27,88.57,88.57,1682800,1682800,0.03,0.03388299,88.61,"November 26, 25",0.0003388299,,,,,
2025-11-25,87.47,88.65,87.2,88.44,88.44,2263615,2263615,0.97,1.11,87.94,"November 25, 25",0.0111,,,,,
2025-11-24,88.05,88.13,86.63,86.96,86.96,5058313,5058313,-1.09,-1.24,87.4425,"November 24, 25",-0.0124,,,,,
2025-11-21,87.12,88.43,86.58,88.06,88.06,2722900,2722900,0.94,1.08,87.5475,"November 21, 25",0.0108,,,,,
2025-11-20,87.04,87.51,86.4,86.86,86.86,2160019,2160019,-0.175,-0.2068,86.9525,"November 20, 25",-0.002068,,,,,
2025-11-19,87.75,87.75,86.17,86.58,86.58,2424596,2424596,-1.17,-1.33,87.0625,"November 19, 25",-0.0133,,,,,
2025-11-18,88.09,88.45,87.38,87.7,87.7,3360913,3360913,-0.385,-0.44273,87.905,"November 18, 25",-0.0044273,,,,,
2025-11-17,88.48,88.91,87.7,88.07,88.07,2556600,2556600,-0.41,-0.46338,88.29,"November 17, 25",-0.0046338,,,,,
2025-11-14,90.61,90.89,88.74,88.77,88.77,1901645,1901645,-1.84,-2.03,89.7525,"November 14, 25",-0.0203,0.42,2025-12-05,2025-10-30,0.42,2025-11-14
2025-11-13,91,91.4,90.49,90.59,90.17,1985049,1985049,-0.41,-0.45055,90.87,"November 13, 25",-0.0045055,,,,,
2025-11-12,90.86,92,90.64,90.98,90.56,2429303,2429303,0.12,0.13207,91.12,"November 12, 25",0.0013207,,,,,
2025-11-11,90.73,90.99,89.91,90.32,89.9,1845300,1845300,-0.41,-0.45189,90.4875,"November 11, 25",-0.0045189,,,,,
2025-11-10,90.7,90.73,90.01,90.26,89.84,2021904,2021904,-0.44,-0.48512,90.425,"November 10, 25",-0.0048512,,,,,
2025-11-07,90.98,91.28,90.42,91.02,90.6,1882720,1882720,0.04,0.04396571,90.925,"November 07, 25",0.0004396571,,,,,
2025-11-06,91.14,91.74,90.8,91.15,90.73,2445006,2445006,0.01,0.01097213,91.2075,"November 06, 25",0.0001097213,,,,,
2025-11-05,90.78,91.93,90.56,91.24,90.82,1740506,1740506,0.46,0.50672,91.1275,"November 05, 25",0.0050672,,,,,
2025-11-04,90.34,90.72,89.9,90.7,90.28,2319010,2319010,0.36,0.39849,90.415,"November 04, 25",0.0039849,,,,,
2025-11-03,92.35,92.41,90.07,90.17,89.75,2934630,2934630,-2.18,-2.36,91.25,"November 03, 25",-0.0236,,,,,
2025-10-31,91.79,92.98,91.41,92.76,92.33,2303531,2303531,0.97,1.06,92.235,"October 31, 25",0.0106,,,,,
2025-10-30,92.55,93.83,92.19,92.49,92.06,2422316,2422316,-0.06,-0.06482982,92.765,"October 30, 25",-0.0006482982,,,,,
2025-10-29,94.04,94.06,90.89,93.38,92.95,3921200,3921200,-0.66,-0.70183,93.0925,"October 29, 25",-0.0070183,,,,,
2025-10-28,91.61,92.47,91.17,91.3,90.88,3218130,3218130,-0.31,-0.33839,91.6375,"October 28, 25",-0.0033839,,,,,
2025-10-27,91.82,92.49,91.56,92.05,91.62,2821912,2821912,0.23,0.25049,91.98,"October 27, 25",0.0025049,,,,,
2025-10-24,93.17,93.17,91.85,91.95,91.52,1721600,1721600,-1.22,-1.31,92.535,"October 24, 25",-0.0131,,,,,
2025-10-23,91.66,93.29,91.54,92.97,92.54,2550100,2550100,1.31,1.43,92.365,"October 23, 25",0.0143,,,,,
2025-10-22,92.34,92.81,91.34,91.42,91,2009123,2009123,-0.92,-0.99632,91.9775,"October 22, 25",-0.0099632,,,,,
2025-10-21,90.96,92.76,90.84,92.7,92.27,1714400,1714400,1.74,1.91,91.815,"October 21, 25",0.0191,,,,,
2025-10-20,91.4,91.96,91.05,91.51,91.09,1615170,1615170,0.11,0.12035,91.48,"October 20, 25",0.0012035,,,,,
2025-10-17,90.85,91.5,90.71,91.29,90.87,1435900,1435900,0.44,0.48431,91.0875,"October 17, 25",0.0048431,,,,,
2025-10-16,91.64,91.64,90.39,90.67,90.25,1564100,1564100,-0.97,-1.06,91.085,"October 16, 25",-0.0106,,,,,
2025-10-15,90.98,92.2,90.54,91.47,91.05,2397606,2397606,0.49,0.53858,91.2975,"October 15, 25",0.0053858,,,,,
2025-10-14,89.08,90.91,88.7,90.82,90.4,2210900,2210900,1.74,1.95,89.8775,"October 14, 25",0.0195,,,,,
2025-10-13,89.24,90.07,88.87,89.18,88.77,1746928,1746928,-0.06,-0.06723442,89.34,"October 13, 25",-0.0006723442,,,,,
2025-10-10,90.15,90.42,89.09,89.46,89.04,1723510,1723510,-0.69,-0.76539,89.78,"October 10, 25",-0.0076539,,,,,
2025-10-09,91.3,91.48,89.08,89.72,89.3,1940900,1940900,-1.58,-1.73,90.395,"October 09, 25",-0.0173,,,,,
2025-10-08,92.35,92.41,91.17,91.25,90.83,1808924,1808924,-1.1,-1.19,91.795,"October 08, 25",-0.0119,,,,,
2025-10-07,91.02,91.37,90.08,90.4,89.98,1789016,1789016,-0.62,-0.68117,90.7175,"October 07, 25",-0.0068117,,,,,
2025-10-06,91.51,91.77,90.49,90.83,90.41,2121239,2121239,-0.68,-0.74309,91.15,"October 06, 25",-0.0074309,,,,,
2025-10-03,92.12,92.34,91.45,91.54,91.12,1892608,1892608,-0.58,-0.62961,91.8625,"October 03, 25",-0.0062961,,,,,
2025-10-02,92.62,93.13,92.03,92.24,91.81,2561542,2561542,-0.38,-0.41028,92.505,"October 02, 25",-0.0041028,,,,,
2025-10-01,91.15,92.47,90.77,92.36,91.93,2540169,2540169,1.21,1.33,91.6875,"October 01, 25",0.0133,,,,,
2025-09-30,91.63,91.63,90.98,91.43,91.01,2291000,2291000,-0.2,-0.21827,91.4175,"September 30, 25",-0.0021827,,,,,
2025-09-29,90.83,91.61,90.74,91.29,90.87,3035355,3035355,0.46,0.50644,91.1175,"September 29, 25",0.0050644,,,,,
2025-09-26,89.85,90.39,89.53,90.38,89.96,1947500,1947500,0.53,0.58987,90.0375,"September 26, 25",0.0058987,,,,,
2025-09-25,88.8,89.67,88.6,89.44,89.02,2089000,2089000,0.64,0.72072,89.1275,"September 25, 25",0.0072072,,,,,
2025-09-24,88.84,89.25,88.47,88.73,88.32,2156400,2156400,-0.11,-0.12382,88.8225,"September 24, 25",-0.0012382,,,,,
2025-09-23,89.47,90.03,88.79,89.12,88.71,2640408,2640408,-0.35,-0.39119,89.3525,"September 23, 25",-0.0039119,,,,,
2025-09-22,89.41,89.85,88.62,89.33,88.92,2169040,2169040,-0.08,-0.08947545,89.3025,"September 22, 25",-0.0008947545,,,,,
2025-09-19,90.5,90.78,89.16,89.16,88.75,6994441,6994441,-1.34,-1.48,89.9,"September 19, 25",-0.0148,,,,,
2025-09-18,89.91,91.83,89.73,90.35,89.93,3248830,3248830,0.44,0.48938,90.455,"September 18, 25",0.0048938,,,,,
2025-09-17,89.68,91.36,89,89.64,89.22,3800500,3800500,-0.04,-0.04460303,89.92,"September 17, 25",-0.0004460303,,,,,
2025-09-16,89.55,90.09,89.04,89.21,88.8,2736412,2736412,-0.34,-0.37968,89.4725,"September 16, 25",-0.0037968,,,,,
2025-09-15,89.42,89.88,88.94,89.63,89.21,3109939,3109939,0.21,0.23485,89.4675,"September 15, 25",0.0023485,,,,,
2025-09-12,89.1,89.74,88.4,89.06,88.65,3610840,3610840,-0.04,-0.04489338,89.075,"September 12, 25",-0.0004489338,,,,,
2025-09-11,87.95,89.38,87.8,89.38,88.97,3628160,3628160,1.43,1.63,88.6275,"September 11, 25",0.0163,,,,,
2025-09-10,87.66,88.29,87.36,87.63,87.22,2483991,2483991,-0.03,-0.03422313,87.735,"September 10, 25",-0.0003422313,,,,,
2025-09-09,87.08,88.14,86.9,88.01,87.6,3176600,3176600,0.93,1.07,87.5325,"September 09, 25",0.0107,,,,,
2025-09-08,86.91,87.39,86.34,87.37,86.96,2529370,2529370,0.46,0.52928,87.0025,"September 08, 25",0.0052928,,,,,
2025-09-05,87.19,87.75,86.56,87,86.6,3034902,3034902,-0.19,-0.21791,87.125,"September 05, 25",-0.0021791,,,,,
2025-09-04,85.5,86.51,85.17,86.5,86.1,1740162,1740162,1,1.17,85.92,"September 04, 25",0.0117,,,,,
2025-09-03,85.47,85.97,85.25,85.67,85.27,2058375,2058375,0.2,0.234,85.59,"September 03, 25",0.00234,,,,,
2025-09-02,86,86.21,85.18,85.77,85.37,2126132,2126132,-0.23,-0.26744,85.79,"September 02, 25",-0.0026744,,,,,
2025-08-29,86.35,86.94,86.21,86.38,85.98,2154736,2154736,0.03,0.03474233,86.47,"August 29, 25",0.0003474233,,,,,
2025-08-28,87.92,88.03,86.18,86.25,85.85,3786500,3786500,-1.67,-1.9,87.095,"August 28, 25",-0.019,,,,,
2025-08-27,87.35,87.85,87.27,87.72,87.31,3145171,3145171,0.37,0.42358,87.5475,"August 27, 25",0.0042358,,,,,
2025-08-26,87.07,87.72,86.69,87.63,87.22,4398229,4398229,0.56,0.64316,87.2775,"August 26, 25",0.0064316,,,,,
2025-08-25,88.58,88.69,86.58,86.86,86.46,3300200,3300200,-1.72,-1.94,87.6775,"August 25, 25",-0.0194,,,,,
2025-08-22,88,89.12,88,88.58,88.17,5451523,5451523,0.58,0.65909,88.425,"August 22, 25",0.0065909,,,,,
2025-08-21,89.11,89.19,87.52,87.57,87.16,4051182,4051182,-1.54,-1.73,88.3475,"August 21, 25",-0.0173,,,,,
2025-08-20,89.36,90.17,88.53,89.12,88.71,6282445,6282445,-0.24,-0.26858,89.295,"August 20, 25",-0.0026858,,,,,
2025-08-19,88.1,88.98,87.73,88.59,88.18,5778400,5778400,0.49,0.55619,88.35,"August 19, 25",0.0055619,,,,,
2025-08-18,87.79,88.29,87.6,87.61,87.2,1749464,1749464,-0.18,-0.20503,87.8225,"August 18, 25",-0.0020503,,,,,
2025-08-15,87.42,87.86,87.04,87.43,87.02,3697346,3697346,0.01,0.01143903,87.4375,"August 15, 25",0.0001143903,0.42,2025-09-05,2025-07-24,0.42,2025-08-15
2025-08-14,88.57,88.75,87.29,87.54,86.72,2524124,2524124,-1.03,-1.16,88.0375,"August 14, 25",-0.0116,,,,,
2025-08-13,88.1,89.25,87.84,89.23,88.39,2418061,2418061,1.13,1.28,88.605,"August 13, 25",0.0128,,,,,
2025-08-12,86.5,88.28,86.09,88.15,87.32,4200400,4200400,1.65,1.91,87.255,"August 12, 25",0.0191,,,,,
2025-08-11,87.47,87.72,85.87,86.03,85.22,4171328,4171328,-1.44,-1.65,86.7725,"August 11, 25",-0.0165,,,,,
2025-08-08,87.24,87.88,87.04,87.47,86.65,3025262,3025262,0.23,0.26364,87.4075,"August 08, 25",0.0026364,,,,,
2025-08-07,87.45,88.34,86.93,87.33,86.51,5760496,5760496,-0.12,-0.13722,87.5125,"August 07, 25",-0.0013722,,,,,
2025-08-06,86.48,87.11,85.71,86.97,86.16,3897136,3897136,0.49,0.5666,86.5675,"August 06, 25",0.005666,,,,,
2025-08-05,85.68,86.5,85.14,86.28,85.47,5447400,5447400,0.6,0.70028,85.9,"August 05, 25",0.0070028,,,,,
2025-08-04,85.1,85.42,84.59,85.41,84.61,3632630,3632630,0.31,0.36428,85.13,"August 04, 25",0.0036428,,,,,
2025-08-01,86,86,84.25,84.93,84.13,3897639,3897639,-1.07,-1.24,85.295,"August 01, 25",-0.0124,,,,,
2025-07-31,85.95,86.6,85.45,85.69,84.89,4071695,4071695,-0.26,-0.3025,85.9225,"July 31, 25",-0.003025,,,,,
2025-07-30,87,87.52,86.05,86.43,85.62,3237200,3237200,-0.57,-0.65517,86.75,"July 30, 25",-0.0065517,,,,,
2025-07-29,88.14,88.24,87.06,87.3,86.48,3457223,3457223,-0.84,-0.95303,87.685,"July 29, 25",-0.0095303,,,,,
2025-07-28,89.46,89.72,87.88,87.9,87.08,4694858,4694858,-1.56,-1.74,88.74,"July 28, 25",-0.0174,,,,,
2025-07-25,90.19,90.43,89.12,89.79,88.95,4084937,4084937,-0.4,-0.44351,89.8825,"July 25, 25",-0.0044351,,,,,
2025-07-24,88.67,89.94,88,89.2,88.36,6741747,6741747,0.53,0.59772,88.9525,"July 24, 25",0.0059772,,,,,
2025-07-23,89,91.88,86,88.49,87.66,12607937,12607937,-0.51,-0.57303,88.8425,"July 23, 25",-0.0057303,,,,,
2025-07-22,98.4,101.15,98.34,100.99,100.04,2773256,2773256,2.59,2.63,99.72,"July 22, 25",0.0263,,,,,
2025-07-21,99.61,99.77,98.4,98.5,97.58,2498650,2498650,-1.11,-1.11,99.07,"July 21, 25",-0.0111,,,,,
2025-07-18,100.97,100.97,98.75,99.44,98.51,2211344,2211344,-1.53,-1.52,100.0325,"July 18, 25",-0.0152,,,,,
2025-07-17,100.41,101.36,100.08,101.07,100.12,1425504,1425504,0.66,0.65731,100.73,"July 17, 25",0.0065731,,,,,
2025-07-16,99.32,100.41,98.63,100.34,99.4,1899901,1899901,1.02,1.03,99.675,"July 16, 25",0.0103,,,,,
2025-07-15,101.24,101.42,99.35,99.38,98.45,2334044,2334044,-1.86,-1.84,100.3475,"July 15, 25",-0.0184,,,,,
2025-07-14,99.04,100.18,98.77,100.04,99.1,1897007,1897007,1,1.01,99.5075,"July 14, 25",0.0101,,,,,
2025-07-11,99.21,99.61,98.97,99.49,98.56,1187200,1187200,0.28,0.28223,99.32,"July 11, 25",0.0028223,,,,,
2025-07-10,99.34,100.78,98.97,99.96,99.02,1590300,1590300,0.62,0.62412,99.7625,"July 10, 25",0.0062412,,,,,
2025-07-09,100.16,100.16,98.45,99.34,98.41,1706849,1706849,-0.82,-0.81869,99.5275,"July 09, 25",-0.0081869,,,,,
2025-07-08,100,100.7,99.36,99.68,98.75,1809400,1809400,-0.32,-0.32,99.935,"July 08, 25",-0.0032,,,,,
2025-07-07,99.83,99.9,98.68,99.78,98.85,1914900,1914900,-0.05,-0.05008514,99.5475,"July 07, 25",-0.0005008514,,,,,
2025-07-03,99.7,100.01,99.12,99.51,98.58,1052322,1052322,-0.19,-0.19057,99.585,"July 03, 25",-0.0019057,,,,,
2025-07-02,100.23,100.49,99.2,99.8,98.86,1709200,1709200,-0.43,-0.42901,99.93,"July 02, 25",-0.0042901,,,,,
2025-07-01,99.13,100.99,98.47,100.43,99.49,1853400,1853400,1.3,1.31,99.755,"July 01, 25",0.0131,,,,,
2025-06-30,97.18,99.28,96.93,99.02,98.09,2350437,2350437,1.84,1.89,98.1025,"June 30, 25",0.0189,,,,,
2025-06-27,97.74,98.18,96.9,97.6,96.69,2998824,2998824,-0.14,-0.14324,97.605,"June 27, 25",-0.0014324,,,,,
2025-06-26,97,98.06,96.79,97.52,96.61,2585339,2585339,0.52,0.53608,97.3425,"June 26, 25",0.0053608,,,,,
2025-06-25,97.37,97.43,96.5,96.63,95.72,2146500,2146500,-0.74,-0.75999,96.9825,"June 25, 25",-0.0075999,,,,,
2025-06-24,96.16,97.51,95.63,97.41,96.5,2929937,2929937,1.25,1.3,96.6775,"June 24, 25",0.013,,,,,
2025-06-23,94.51,96.06,93.87,95.98,95.08,2378500,2378500,1.47,1.56,95.105,"June 23, 25",0.0156,,,,,
2025-06-20,96.03,96.59,93.94,94.09,93.21,4536453,4536453,-1.94,-2.02,95.1625,"June 20, 25",-0.0202,,,,,
2025-06-18,95.54,96.59,95,95.67,94.77,1918100,1918100,0.13,0.13607,95.7,"June 18, 25",0.0013607,,,,,
2025-06-17,95.74,96.22,95.24,95.35,94.46,1925539,1925539,-0.39,-0.40735,95.6375,"June 17, 25",-0.0040735,,,,,
2025-06-16,96.58,97.57,96.05,96.45,95.55,2252800,2252800,-0.13,-0.1346,96.6625,"June 16, 25",-0.001346,,,,,
2025-06-13,96.22,96.99,95.59,95.82,94.92,1873615,1873615,-0.4,-0.41571,96.155,"June 13, 25",-0.0041571,,,,,
2025-06-12,95.29,96.95,94.9,96.95,96.04,2406054,2406054,1.66,1.74,96.0225,"June 12, 25",0.0174,,,,,
2025-06-11,95.84,95.84,94.78,95.4,94.51,1781209,1781209,-0.44,-0.4591,95.465,"June 11, 25",-0.004591,,,,,
2025-06-10,95.75,95.81,95.05,95.32,94.43,1852300,1852300,-0.43,-0.44909,95.4825,"June 10, 25",-0.0044909,,,,,
2025-06-09,96.25,96.44,94.75,95.32,94.43,1646700,1646700,-0.93,-0.96623,95.69,"June 09, 25",-0.0096623,,,,,
2025-06-06,95.53,96.29,95.53,96.06,95.16,1669666,1669666,0.53,0.5548,95.8525,"June 06, 25",0.005548,,,,,
2025-06-05,95.57,95.76,94.66,95.28,94.39,1707672,1707672,-0.29,-0.30344,95.3175,"June 05, 25",-0.0030344,,,,,
2025-06-04,95.33,96.03,94.97,95.27,94.38,1496412,1496412,-0.06,-0.06293926,95.4,"June 04, 25",-0.0006293926,,,,,
2025-06-03,94.01,95.01,93.71,94.89,94,2359714,2359714,0.88,0.93607,94.405,"June 03, 25",0.0093607,,,,,
2025-06-02,94.76,95.4,93.29,94.21,93.33,2208375,2208375,-0.55,-0.58041,94.415,"June 02, 25",-0.0058041,,,,,
2025-05-30,95.16,95.99,94.68,95.35,94.46,3846117,3846117,0.19,0.19966,95.295,"May 30, 25",0.0019966,,,,,
2025-05-29,95.7,95.7,94.47,95.16,94.27,2121617,2121617,-0.54,-0.56426,95.2575,"May 29, 25",-0.0056426,,,,,
2025-05-28,97.04,97.17,95.09,95.16,94.27,1988836,1988836,-1.88,-1.94,96.115,"May 28, 25",-0.0194,,,,,
2025-05-27,97.14,97.15,96.32,97.09,96.18,2192633,2192633,-0.05,-0.0514721,96.925,"May 27, 25",-0.000514721,,,,,
2025-05-23,96.76,97.15,96.27,96.78,95.87,2286800,2286800,0.02,0.0206697,96.74,"May 23, 25",0.000206697,,,,,
2025-05-22,97.22,97.95,96.74,97.18,96.27,2368405,2368405,-0.04,-0.0411438,97.2725,"May 22, 25",-0.000411438,,,,,
2025-05-21,97.61,98.51,97,97.63,96.72,2165200,2165200,0.02,0.0204897,97.6875,"May 21, 25",0.000204897,,,,,
2025-05-20,98.58,98.96,98.01,98.21,97.29,2410329,2410329,-0.37,-0.37533,98.44,"May 20, 25",-0.0037533,,,,,
2025-05-19,98.45,98.93,97.94,98.54,97.62,3165227,3165227,0.09,0.09141696,98.465,"May 19, 25",0.0009141696,,,,,
2025-05-16,97.85,98.91,97.43,98.89,97.96,3716240,3716240,1.04,1.06,98.27,"May 16, 25",0.0106,0.42,2025-06-06,2025-04-22,0.42,2025-05-16
2025-05-15,96.48,97.98,96.29,97.86,96.53,5922719,5922719,1.38,1.43,97.1525,"May 15, 25",0.0143,,,,,
2025-05-14,96.88,97.33,95.84,96.04,94.73,4297716,4297716,-0.84,-0.86705,96.5225,"May 14, 25",-0.0086705,,,,,
2025-05-13,97.86,97.89,96.81,96.99,95.67,3216600,3216600,-0.87,-0.88903,97.3875,"May 13, 25",-0.0088903,,,,,
2025-05-12,98.59,98.59,97.43,98,96.67,3758900,3758900,-0.59,-0.59844,98.1525,"May 12, 25",-0.0059844,,,,,
2025-05-09,97.52,97.85,96.94,97,95.68,2082300,2082300,-0.52,-0.53322,97.3275,"May 09, 25",-0.0053322,,,,,
2025-05-08,98.05,98.24,96.89,97.32,96,5228900,5228900,-0.73,-0.74452,97.625,"May 08, 25",-0.0074452,,,,,
2025-05-07,96.57,97.6,96.32,97.32,96,3436546,3436546,0.75,0.77664,96.9525,"May 07, 25",0.0077664,,,,,
2025-05-06,96.86,97.13,96,96.19,94.88,4212704,4212704,-0.67,-0.69172,96.545,"May 06, 25",-0.0069172,,,,,
2025-05-05,97.41,97.84,96.33,97.41,96.09,1411066,1411066,0,0,97.2475,"May 05, 25",0,,,,,
2025-05-02,97.12,97.62,96.68,97.32,96,2397400,2397400,0.2,0.20593,97.185,"May 02, 25",0.0020593,,,,,
2025-05-01,95.79,96.81,95.67,96.39,95.08,2219300,2219300,0.6,0.62637,96.165,"May 01, 25",0.0062637,,,,,
2025-04-30,95.35,96.57,94.25,96.27,94.96,3275951,3275951,0.92,0.96487,95.61,"April 30, 25",0.0096487,,,,,
2025-04-29,93.16,95.28,93.13,94.9,93.61,2802300,2802300,1.74,1.87,94.1175,"April 29, 25",0.0187,,,,,
2025-04-28,92.93,93.92,92.5,93.65,92.38,4346255,4346255,0.72,0.77478,93.25,"April 28, 25",0.0077478,,,,,
2025-04-25,93.31,93.7,91.74,92.93,91.67,4901185,4901185,-0.38,-0.40724,92.92,"April 25, 25",-0.0040724,,,,,
2025-04-24,92.62,93.47,92.11,92.74,91.48,5064357,5064357,0.12,0.12956,92.735,"April 24, 25",0.0012956,,,,,
2025-04-23,95.94,97.38,90.57,92.3,91.05,5327100,5327100,-3.64,-3.79,94.0475,"April 23, 25",-0.0379,,,,,
2025-04-22,97.9,99.3,97.41,98.95,97.61,2921715,2921715,1.05,1.07,98.39,"April 22, 25",0.0107,,,,,
2025-04-21,97.95,98.37,96.12,97.05,95.73,2114100,2114100,-0.9,-0.91884,97.3725,"April 21, 25",-0.0091884,,,,,
2025-04-17,97.26,99.24,97.05,98.52,97.18,1964432,1964432,1.26,1.3,98.0175,"April 17, 25",0.013,,,,,
2025-04-16,98.92,99.39,96.41,96.78,95.46,2005031,2005031,-2.14,-2.16,97.875,"April 16, 25",-0.0216,,,,,
2025-04-15,98.87,99.72,98.48,98.79,97.45,1566800,1566800,-0.08,-0.08091433,98.965,"April 15, 25",-0.0008091433,,,,,
2025-04-14,97.44,99.18,97,98.52,97.18,1736930,1736930,1.08,1.11,98.035,"April 14, 25",0.0111,,,,,
2025-04-11,94.17,98,93.42,97.09,95.77,2941400,2941400,2.92,3.1,95.67,"April 11, 25",0.031,,,,,
2025-04-10,93.81,95.21,91.4,94.32,93.04,3937624,3937624,0.51,0.54365,93.685,"April 10, 25",0.0054365,,,,,
2025-04-09,90.5,95.79,90.27,94.28,93,4818818,4818818,3.78,4.18,92.71,"April 09, 25",0.0418,,,,,
2025-04-08,93.29,94.27,89.7,90.88,89.64,3422700,3422700,-2.41,-2.58,92.035,"April 08, 25",-0.0258,,,,,
2025-04-07,93.34,95.98,91.35,91.96,90.71,4484435,4484435,-1.38,-1.48,93.1575,"April 07, 25",-0.0148,,,,,
2025-04-04,102.46,102.9,94.77,94.97,93.68,5319650,5319650,-7.49,-7.31,98.775,"April 04, 25",-0.0731,,,,,
2025-04-03,103.64,105.95,103.22,104.3,102.88,4134050,4134050,0.66,0.63682,104.2775,"April 03, 25",0.0063682,,,,,
2025-04-02,103.16,104.04,102.68,103.94,102.53,1923028,1923028,0.78,0.75611,103.455,"April 02, 25",0.0075611,,,,,
2025-04-01,103.35,104.09,102.51,104.06,102.65,1970500,1970500,0.71,0.68699,103.5025,"April 01, 25",0.0068699,,,,,
2025-03-31,101.66,103.52,100.96,103.2,101.8,2477709,2477709,1.54,1.51,102.335,"March 31, 25",0.0151,,,,,
2025-03-28,103.29,103.33,101.98,102.11,100.72,1327831,1327831,-1.18,-1.14,102.6775,"March 28, 25",-0.0114,,,,,
2025-03-27,102.94,103.22,101.91,103.01,101.61,1543726,1543726,0.07,0.06800078,102.77,"March 27, 25",0.0006800078,,,,,
2025-03-26,101.36,102.91,101.2,102.69,101.29,1779012,1779012,1.33,1.31,102.04,"March 26, 25",0.0131,,,,,
2025-03-25,101.6,101.67,100.66,101.4,100.02,1392131,1392131,-0.2,-0.19685,101.3325,"March 25, 25",-0.0019685,,,,,
2025-03-24,101.57,102.18,101.09,101.38,100,2161400,2161400,-0.19,-0.18706,101.555,"March 24, 25",-0.0018706,,,,,
2025-03-21,101.49,102.32,100.28,101.21,99.83,7259819,7259819,-0.28,-0.27589,101.325,"March 21, 25",-0.0027589,,,,,
2025-03-20,101.86,102.54,101.09,101.9,100.52,1812332,1812332,0.04,0.03926959,101.8475,"March 20, 25",0.0003926959,,,,,
2025-03-19,101.67,102.81,101.33,102.77,101.37,1833214,1833214,1.1,1.08,102.145,"March 19, 25",0.0108,,,,,
2025-03-18,101.26,101.9,100.51,101.67,100.29,2183400,2183400,0.41,0.4049,101.335,"March 18, 25",0.004049,,,,,
2025-03-17,100.13,101.68,99.71,101.39,100.01,1757600,1757600,1.26,1.26,100.7275,"March 17, 25",0.0126,,,,,
