date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,dividend,paymentDate,declarationDate,adjDividend,recordDate
2026-01-02,87.22,88.51,86.82,88.34,88.34,2001828,2001828,1.12,1.28,87.7225,"January 02, 26",0.0128,,,,,
2025-12-31,87.99,88.01,87.33,87.35,87.35,1697441,1697441,-0.64,-0.72736,87.67,"December 31, 25",-0.0072736,,,,,
2025-12-30,87.9,88.39,87.66,88.01,88.01,1795500,1795500,0.11,0.12514,87.99,"December 30, 25",0.0012514,,,,,
2025-12-29,87.69,88,87.26,87.95,87.95,1717627,1717627,0.26,0.2965,87.725,"December 29, 25",0.002965,,,,,
2025-12-26,87.92,88.11,87.42,87.62,87.62,987119,987119,-0.3,-0.34122,87.7675,"December 26, 25",-0.0034122,,,,,
2025-12-24,87.7,88.16,86.22,87.9,87.9,687600,687600,0.2,0.22805,87.495,"December 24, 25",0.0022805,,,,,
2025-12-23,87.54,87.94,87.12,87.83,87.83,1926841,1926841,0.29,0.33128,87.6075,"December 23, 25",0.0033128,,,,,
2025-12-22,86.94,87.43,86.64,87.24,87.24,2496418,2496418,0.3,0.34507,87.0625,"December 22, 25",0.0034507,,,,,
2025-12-19,87.08,87.38,86.74,87.06,87.06,6964343,6964343,-0.02,-0.02296739,87.065,"December 19, 25",-0.0002296739,,,,,
2025-12-18,88.32,89.4,87.05,87.35,87.35,3430018,3430018,-0.97,-1.1,88.03,"December 18, 25",-0.011,,,,,
2025-12-17,87.96,89.46,87.91,89,89,4374400,4374400,1.04,1.18,88.5825,"December 17, 25",0.0118,,,,,
2025-12-16,88.98,89.01,87.48,87.96,87.96,3681659,3681659,-1.02,-1.15,88.3575,"December 16, 25",-0.0115,,,,,
2025-12-15,88.4,88.9,87.96,88.57,88.57,2805356,2805356,0.17,0.19231,88.4575,"December 15, 25",0.0019231,,,,,
2025-12-12,88,89.02,87.91,88.14,88.14,2061656,2061656,0.14,0.15909,88.2675,"December 12, 25",0.0015909,,,,,
2025-12-11,87.85,88.55,87.39,87.73,87.73,2774227,2774227,-0.12,-0.1366,87.88,"December 11, 25",-0.001366,,,,,
2025-12-10,87.09,88.5,87.04,87.85,87.85,2888100,2888100,0.76,0.87266,87.62,"December 10, 25",0.0087266,,,,,
2025-12-09,86.5,87.62,86.5,87.09,87.09,2508256,2508256,0.59,0.68208,86.9275,"December 09, 25",0.0068208,,,,,
