date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,declarationDate,recordDate,dividend,adjDividend,paymentDate
2026-01-05,205.95,210.55,205.95,209.985,209.985,44388,44388,4.04,1.95921,208.83,"January 05, 26",0.0195921,,,,,
2026-01-02,205.95,211.42,204.58,211.12,211.12,584200,584200,5.17,2.51,208.2675,"January 02, 26",0.0251,,,,,
2025-12-31,207.84,208.94,206.19,206.23,206.23,365600,365600,-1.61,-0.77463,207.3,"December 31, 25",-0.0077463,,,,,
2025-12-30,208.45,209.77,207.25,208.26,208.26,395000,395000,-0.19,-0.09114896,208.4325,"December 30, 25",-0.0009114896,,,,,
2025-12-29,207.82,209.13,207.2,208.77,208.77,399245,399245,0.95,0.45713,208.23,"December 29, 25",0.0045713,,,,,
2025-12-26,207.95,209.02,205.47,208.91,208.91,380833,380833,0.96,0.46165,207.8375,"December 26, 25",0.0046165,,,,,
2025-12-24,206.08,208.52,205.24,207.33,207.33,285400,285400,1.25,0.60656,206.7925,"December 24, 25",0.0060656,,,,,
2025-12-23,206.54,207.56,205.13,206.83,206.83,563300,563300,0.29,0.14041,206.515,"December 23, 25",0.0014041,,,,,
2025-12-22,204.01,207.46,199.91,206.55,206.55,812809,812809,2.54,1.25,204.4825,"December 22, 25",0.0125,,,,,
2025-12-19,203.69,204.19,202.11,202.82,202.82,1793600,1793600,-0.87,-0.42712,203.2025,"December 19, 25",-0.0042712,,,,,
2025-12-18,202.14,204.93,200.09,204.03,204.03,975300,975300,1.89,0.935,202.7975,"December 18, 25",0.00935,,,,,
2025-12-17,203.06,203.59,200.17,202.33,202.33,837938,837938,-0.73,-0.3595,202.2875,"December 17, 25",-0.003595,,,,,
2025-12-16,205.3,205.88,201.49,203.66,203.66,1681500,1681500,-1.64,-0.79883,204.0825,"December 16, 25",-0.0079883,,,,,
2025-12-15,204.89,205.31,203.09,204.48,204.48,879700,879700,-0.41,-0.20011,204.4425,"December 15, 25",-0.0020011,2025-12-03,2025-12-15,1.25,1.25,2026-01-14
2025-12-12,205.67,205.93,204.31,205.07,203.82,884200,884200,-0.6,-0.29173,205.245,"December 12, 25",-0.0029173,,,,,
2025-12-11,203.04,206.17,201.45,205.3,204.05,705921,705921,2.26,1.11,203.99,"December 11, 25",0.0111,,,,,
