holder,shares,dateReported,change
VANGUARD GROUP INC,14894675,2025-09-30,-580889
"BlackRock, Inc.",12467326,2025-09-30,-483554
"Sanders Capital, LLC",10675663,2025-09-30,-426920
STATE STREET CORP,7490604,2025-09-30,-466059
Capital World Investors,4959336,2025-09-30,179443
"First Eagle Investment Management, LLC",3919472,2025-09-30,-290385
WELLINGTON MANAGEMENT GROUP LLP,3880196,2025-09-30,-230117
"GEODE CAPITAL MANAGEMENT, LLC",3650140,2025-09-30,-147762
JPMORGAN CHASE & CO,2987069,2025-09-30,-292265
MORGAN STANLEY,2129892,2025-09-30,-100700
BANK OF AMERICA CORP /DE/,2072844,2025-09-30,-222861
"ARROWSTREET CAPITAL, LIMITED PARTNERSHIP",2065225,2025-09-30,36414
FMR LLC,1905133,2025-09-30,300155
NORTHERN TRUST CORP,1819159,2025-09-30,-78937
GOLDMAN SACHS GROUP INC,1812212,2025-09-30,165591
UBS ASSET MANAGEMENT AMERICAS INC,1716415,2025-09-30,-250960
UBS Group AG,1602599,2025-09-30,38317
"Nuveen, LLC",1521470,2025-09-30,-123415
VIKING GLOBAL INVESTORS LP,1380583,2025-09-30,-491550
JANUS HENDERSON GROUP PLC,1242882,2025-09-30,-19708
BARCLAYS PLC,1230892,2025-09-30,-29893
FRANKLIN RESOURCES INC,1173404,2025-09-30,-254941
Bank of New York Mellon Corp,1126683,2025-09-30,-23154
Legal & General Group Plc,1124511,2025-09-30,8478
Invesco Ltd.,1100929,2025-09-30,11829
ROYAL LONDON ASSET MANAGEMENT LTD,1096951,2025-09-30,-25741
ROYAL BANK OF CANADA,1085477,2025-09-30,-207511
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,1085107,2025-09-30,-42229
Darsana Capital Partners LP,1000000,2025-09-30,0
NORDEA INVESTMENT MANAGEMENT AB,975741,2025-09-30,47960
"Pacer Advisors, Inc.",911096,2025-09-30,896437
LSV ASSET MANAGEMENT,843623,2025-09-30,-25226
HOTCHKIS & WILEY CAPITAL MANAGEMENT LLC,766437,2025-09-30,-18170
LYRICAL ASSET MANAGEMENT LP,752469,2025-09-30,45003
PRINCIPAL FINANCIAL GROUP INC,692411,2025-09-30,-167342
Metropolis Capital Ltd,675750,2025-09-30,72721
DIAMOND HILL CAPITAL MANAGEMENT INC,665131,2025-09-30,-66877
SCHRODER INVESTMENT MANAGEMENT GROUP,652835,2025-09-30,-23390
National Pension Service,626585,2025-09-30,17531
Cryder Capital Partners LLP,604759,2025-09-30,0
TD ASSET MANAGEMENT INC,562244,2025-09-30,-15374
PRICE T ROWE ASSOCIATES INC /MD/,552451,2025-09-30,-813787
DEUTSCHE BANK AG\,545580,2025-09-30,62991
ALLIANCEBERNSTEIN L.P.,545241,2025-09-30,-55007
Swiss National Bank,520100,2025-09-30,-38800
"Epoch Investment Partners, Inc.",505544,2025-09-30,-115502
"Russell Investments Group, Ltd.",503274,2025-09-30,2969
DIMENSIONAL FUND ADVISORS LP,460809,2025-09-30,-15491
"Sumitomo Mitsui Trust Holdings, Inc.",425288,2025-09-30,-7853
GOBI CAPITAL LLC,425070,2025-09-30,26049
"BRANDES INVESTMENT PARTNERS, LP",401056,2025-09-30,35367
AQR CAPITAL MANAGEMENT LLC,399197,2025-09-30,181464
LEE DANNER & BASS INC,393654,2025-09-30,-3242
PUBLIC SECTOR PENSION INVESTMENT BOARD,369704,2025-09-30,207070
CALIFORNIA PUBLIC EMPLOYEES RETIREMENT SYSTEM,368868,2025-09-30,43511
ANTIPODES PARTNERS Ltd,362179,2025-09-30,-29279
Neuberger Berman Group LLC,361812,2025-09-30,93723
AMERIPRISE FINANCIAL INC,361406,2025-09-30,-65832
Allianz Asset Management GmbH,360912,2025-09-30,44635
Amundi,357824,2025-09-30,-36841
"Abdiel Capital Advisors, LP",346322,2025-09-30,-299900
"Mitsubishi UFJ Kokusai Asset Management Co., Ltd.",343234,2025-09-30,814
"Bridgewater Associates, LP",340557,2025-09-30,-66149
Maj Invest Holding A/S,338510,2025-09-30,19460
NEW YORK STATE COMMON RETIREMENT FUND,305848,2025-09-30,-10554
CAPTRUST FINANCIAL ADVISORS,305705,2025-09-30,2570
RHUMBLINE ADVISERS,298910,2025-09-30,-16320
VIRGINIA RETIREMENT SYSTEMS ET AL,297300,2025-09-30,11900
HSBC HOLDINGS PLC,286027,2025-09-30,-12828
TRUIST FINANCIAL CORP,279898,2025-09-30,-18186
BloombergSen Inc.,275725,2025-09-30,-2868
Longview Partners (Guernsey) LTD,274609,2025-09-30,-1287869
CALIFORNIA STATE TEACHERS RETIREMENT SYSTEM,273358,2025-09-30,-10958
DANSKE BANK A/S,271070,2025-09-30,140842
Zurich Insurance Group Ltd/FI,269912,2025-09-30,262912
"BNP PARIBAS ARBITRAGE, SNC",260139,2025-09-30,6518
Pentwater Capital Management LP,253400,2025-09-30,93400
Mondrian Investment Partners LTD,250130,2025-09-30,250130
RAYMOND JAMES FINANCIAL INC,233575,2025-09-30,-5047
FORT WASHINGTON INVESTMENT ADVISORS INC /OH/,232710,2025-09-30,-44650
ARGENT CAPITAL MANAGEMENT LLC,228883,2025-09-30,-1538
