holder,shares,dateReported,change
Global Wealth Strategies & Associates,0,2025-12-31,-27
SOFTBANK GROUP CORP.,45174732,2025-09-30,-18686333
VANGUARD GROUP INC,42797074,2025-09-30,636192
"BlackRock, Inc.",39118701,2025-09-30,1987133
STATE STREET CORP,24234085,2025-09-30,1092769
PRICE T ROWE ASSOCIATES INC /MD/,21278097,2025-09-30,3176155
FMR LLC,14736837,2025-09-30,536739
MORGAN STANLEY,13812043,2025-09-30,595787
Capital International Investors,13726288,2025-09-30,711278
WELLINGTON MANAGEMENT GROUP LLP,13461669,2025-09-30,4335368
"GEODE CAPITAL MANAGEMENT, LLC",12258546,2025-09-30,294934
Invesco Ltd.,7903104,2025-09-30,453096
FRANKLIN RESOURCES INC,6173287,2025-09-30,-125647
CANADA PENSION PLAN INVESTMENT BOARD,6080297,2025-09-30,287048
GOLDMAN SACHS GROUP INC,5387857,2025-09-30,1462441
NORTHERN TRUST CORP,4925209,2025-09-30,28823
Neuberger Berman Group LLC,4651222,2025-09-30,-48941
Bank of New York Mellon Corp,4576393,2025-09-30,7217
JPMORGAN CHASE & CO,4551366,2025-09-30,694401
UBS ASSET MANAGEMENT AMERICAS INC,4375646,2025-09-30,-689757
Amundi,4109084,2025-09-30,1266808
ROYAL BANK OF CANADA,4065408,2025-09-30,-623373
DODGE & COX,3743522,2025-09-30,-356757
DIMENSIONAL FUND ADVISORS LP,3558688,2025-09-30,-247112
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,3509309,2025-09-30,177453
BANK OF AMERICA CORP /DE/,3495493,2025-09-30,-234205
"D. E. Shaw & Co., Inc.",3494199,2025-09-30,-516488
AMERIPRISE FINANCIAL INC,3477553,2025-09-30,877384
Legal & General Group Plc,3444820,2025-09-30,150178
VIKING GLOBAL INVESTORS LP,3262466,2025-09-30,417150
BARCLAYS PLC,3150244,2025-09-30,759970
"Clearbridge Investments, LLC",2770023,2025-09-30,-166877
ALLIANCEBERNSTEIN L.P.,2637001,2025-09-30,121395
DEUTSCHE BANK AG\,2515598,2025-09-30,-338724
CITADEL ADVISORS LLC,2429562,2025-09-30,2163500
"JANE STREET GROUP, LLC",2300956,2025-09-30,-2239053
UBS Group AG,2298872,2025-09-30,-397479
