holder,shares,dateReported,change
VANGUARD GROUP INC,37330892,2025-09-30,1705570
"BlackRock, Inc.",20973989,2025-09-30,457424
Capital World Investors,17479389,2025-09-30,7827992
PRINCIPAL FINANCIAL GROUP INC,15416190,2025-09-30,1821229
STATE STREET CORP,13120826,2025-09-30,660005
FMR LLC,11953261,2025-09-30,3513727
"GEODE CAPITAL MANAGEMENT, LLC",7834732,2025-09-30,465156
"PARNASSUS INVESTMENTS, LLC",6834855,2025-09-30,-182265
"Select Equity Group, L.P.",6076399,2025-09-30,330694
ROYAL BANK OF CANADA,4887675,2025-09-30,1692152
MORGAN STANLEY,4694589,2025-09-30,-1026909
WELLS FARGO & COMPANY/MN,3204876,2025-09-30,60882
"Allspring Global Investments Holdings, LLC",2745053,2025-09-30,-666174
NORTHERN TRUST CORP,2602360,2025-09-30,83603
BANK OF AMERICA CORP /DE/,2576407,2025-09-30,-126602
DEUTSCHE BANK AG\,2567527,2025-09-30,932563
BARCLAYS PLC,2515061,2025-09-30,-466777
Invesco Ltd.,2402009,2025-09-30,-1764361
CAISSE DE DEPOT ET PLACEMENT DU QUEBEC,2339505,2025-09-30,-98849
"MANUFACTURERS LIFE INSURANCE COMPANY, THE",2307276,2025-09-30,-36978
FENIMORE ASSET MANAGEMENT INC,2156455,2025-09-30,16263
GOLDMAN SACHS GROUP INC,2129104,2025-09-30,-3013
"Madison Asset Management, LLC",2008760,2025-09-30,-33526
VAN LANSCHOT KEMPEN INVESTMENT MANAGEMENT N.V.,1949536,2025-09-30,1949536
JPMORGAN CHASE & CO,1931839,2025-09-30,1217171
HEALTHCARE OF ONTARIO PENSION PLAN TRUST FUND,1808874,2025-09-30,72695
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,1706954,2025-09-30,85533
ProShare Advisors LLC,1699669,2025-09-30,293692
CHILTON INVESTMENT CO INC.,1630609,2025-09-30,130009
Boston Partners,1587950,2025-09-30,43447
DIMENSIONAL FUND ADVISORS LP,1570515,2025-09-30,18504
UBS ASSET MANAGEMENT AMERICAS INC,1529769,2025-09-30,-386223
UBS Group AG,1496107,2025-09-30,603908
Bank of New York Mellon Corp,1420814,2025-09-30,51959
