date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,declarationDate,adjDividend,dividend,paymentDate,recordDate
2025-08-21,518.14,522.73,512.2,520.18,520.18,593311,593311,2.04,0.39372,518.3125,"August 21, 25",0.0039372,,,,,
2025-08-20,515,520,509.07,516.69,516.69,468700,468700,1.69,0.32816,515.19,"August 20, 25",0.0032816,,,,,
2025-08-19,518.85,524.43,511.7,516.55,516.55,417679,417679,-2.3,-0.44329,517.8825,"August 19, 25",-0.0044329,,,,,
2025-08-18,521,521.98,515.35,516.87,516.87,469461,469461,-4.13,-0.79271,518.8,"August 18, 25",-0.0079271,,,,,
2025-08-15,526.97,527.17,515.47,521,521,495407,495407,-5.97,-1.13,522.6525,"August 15, 25",-0.0113,,,,,
2025-08-14,513.12,530.44,513.12,526.18,526.18,692052,692052,13.06,2.55,520.715,"August 14, 25",0.0255,,,,,
2025-08-13,517.2,534.1,514.72,532.71,532.71,741788,741788,15.51,3,524.6825,"August 13, 25",0.03,,,,,
2025-08-12,507.79,519.04,504.62,516.02,516.02,845692,845692,8.23,1.62,511.8675,"August 12, 25",0.0162,,,,,
2025-08-11,499.98,504.27,496.81,498.7,498.7,446845,446845,-1.28,-0.25601,499.94,"August 11, 25",-0.0025601,,,,,
2025-08-08,507.07,510.27,496.2,498.21,498.21,495387,495387,-8.86,-1.75,502.9375,"August 08, 25",-0.0175,,,,,
2025-08-07,516.25,516.68,496.26,506.17,506.17,799600,799600,-10.08,-1.95,508.84,"August 07, 25",-0.0195,,,,,
2025-08-06,511.98,519,508.7,516.19,516.19,502327,502327,4.21,0.8223,513.9675,"August 06, 25",0.008223,,,,,
2025-08-05,512.82,518,508.42,510.17,510.17,400500,400500,-2.65,-0.51675,512.3525,"August 05, 25",-0.0051675,,,,,
2025-08-04,512.69,515.48,509.7,514.99,514.99,673190,673190,2.3,0.44861,513.215,"August 04, 25",0.0044861,,,,,
2025-08-01,512.67,513,503.19,507.73,507.73,609865,609865,-4.94,-0.96358,509.1475,"August 01, 25",-0.0096358,,,,,
2025-07-31,516.22,523.68,513.96,515.01,515.01,494125,494125,-1.21,-0.2344,517.2175,"July 31, 25",-0.002344,,,,,
2025-07-30,514.36,520.76,510.01,517.43,517.43,390459,390459,3.07,0.59686,515.64,"July 30, 25",0.0059686,,,,,
2025-07-29,519.63,521.77,511.59,513.63,513.63,579977,579977,-6,-1.15,516.655,"July 29, 25",-0.0115,,,,,
2025-07-28,514.96,520.87,513.55,519.27,519.27,528500,528500,4.31,0.83696,517.1625,"July 28, 25",0.0083696,,,,,
2025-07-25,508.43,515.99,502,514.95,514.95,466180,466180,6.53,1.28,510.3425,"July 25, 25",0.0128,,,,,
2025-07-24,508.64,514.34,505.43,513.55,513.55,589255,589255,4.91,0.96532,510.49,"July 24, 25",0.0096532,,,,,
2025-07-23,503.63,508.27,500.45,508.1,508.1,616472,616472,4.47,0.88756,505.1125,"July 23, 25",0.0088756,,,,,
2025-07-22,497.6,504.83,493.83,502.74,502.74,598765,598765,5.14,1.03,499.75,"July 22, 25",0.0103,,,,,
2025-07-21,495.15,500.95,490.14,497.41,497.41,608880,608880,2.26,0.45643,495.9125,"July 21, 25",0.0045643,,,,,
2025-07-18,493.89,494.58,487.11,493.3,493.3,419600,419600,-0.59,-0.11946,492.22,"July 18, 25",-0.0011946,,,,,
2025-07-17,485.88,492.71,484.04,490.07,490.07,572074,572074,4.19,0.86235,488.175,"July 17, 25",0.0086235,,,,,
2025-07-16,476.32,485.34,473.64,485.08,485.08,613673,613673,8.76,1.84,480.095,"July 16, 25",0.0184,,,,,
2025-07-15,480.02,483.42,472.81,473.78,473.78,552448,552448,-6.24,-1.3,477.5075,"July 15, 25",-0.013,,,,,
2025-07-14,476.84,480.95,471.34,479.67,479.67,519946,519946,2.83,0.59349,477.2,"July 14, 25",0.0059349,,,,,
2025-07-11,473.33,477.71,471.88,476.84,476.84,474129,474129,3.51,0.74155,474.94,"July 11, 25",0.0074155,,,,,
2025-07-10,478.14,485.83,475.26,476.14,476.14,535554,535554,-2,-0.41829,478.8425,"July 10, 25",-0.0041829,,,,,
2025-07-09,482.22,482.5,471.51,475.57,475.57,546152,546152,-6.65,-1.38,477.95,"July 09, 25",-0.0138,,,,,
2025-07-08,481.77,498.52,476.1,483.21,483.21,1199618,1199618,1.44,0.2989,484.9,"July 08, 25",0.002989,,,,,
2025-07-07,476.74,478.84,471.89,475.99,475.99,631957,631957,-0.75,-0.15732,475.865,"July 07, 25",-0.0015732,,,,,
2025-07-03,472.84,481.4,471.13,477.79,477.79,391801,391801,4.95,1.05,475.79,"July 03, 25",0.0105,,,,,
2025-07-02,473.44,477.99,471.02,474.84,474.84,643000,643000,1.4,0.29571,474.3225,"July 02, 25",0.0029571,,,,,
2025-07-01,468.42,478.72,467.24,473.44,473.44,565700,565700,5.02,1.07,471.955,"July 01, 25",0.0107,,,,,
2025-06-30,457.5,470,456.38,467.82,467.82,675800,675800,10.32,2.26,462.925,"June 30, 25",0.0226,,,,,
2025-06-27,458.46,459.69,455,458.27,458.27,1373800,1373800,-0.19,-0.04144309,457.855,"June 27, 25",-0.0004144309,,,,,
2025-06-26,460.19,461.99,452.05,457.66,457.66,834660,834660,-2.53,-0.54977,457.9725,"June 26, 25",-0.0054977,,,,,
2025-06-25,460.17,462.64,456.52,459.09,459.09,883700,883700,-1.08,-0.2347,459.605,"June 25, 25",-0.002347,,,,,
2025-06-24,474.71,475.61,462.33,464.49,464.49,768500,768500,-10.22,-2.15,469.285,"June 24, 25",-0.0215,,,,,
2025-06-23,473.92,478.26,470.74,471.56,471.56,587995,587995,-2.36,-0.49797,473.62,"June 23, 25",-0.0049797,,,,,
2025-06-20,479.21,479.21,469.37,473.85,473.85,1231533,1231533,-5.36,-1.12,475.41,"June 20, 25",-0.0112,,,,,
2025-06-18,472.86,477.82,470.19,473.46,473.46,627599,627599,0.6,0.12689,473.5825,"June 18, 25",0.0012689,,,,,
2025-06-17,470.64,478.59,469.65,471.75,471.75,813801,813801,1.11,0.23585,472.6575,"June 17, 25",0.0023585,,,,,
2025-06-16,462.2,472.58,456.84,471.94,471.94,631921,631921,9.74,2.11,465.89,"June 16, 25",0.0211,,,,,
2025-06-13,458.43,467.5,454.28,459.17,459.17,673800,673800,0.74,0.16142,459.845,"June 13, 25",0.0016142,,,,,
2025-06-12,458.37,463,452,462.43,462.43,655704,655704,4.06,0.88575,458.95,"June 12, 25",0.0088575,,,,,
2025-06-11,464.3,464.3,454.37,456.97,456.97,709203,709203,-7.33,-1.58,459.985,"June 11, 25",-0.0158,,,,,
2025-06-10,467.97,469.88,459.87,462.21,462.21,691052,691052,-5.76,-1.23,464.9825,"June 10, 25",-0.0123,,,,,
2025-06-09,469.65,470.68,464.67,468.32,468.32,638805,638805,-1.33,-0.28319,468.33,"June 09, 25",-0.0028319,,,,,
2025-06-06,468.85,468.85,458.57,465.64,465.64,601513,601513,-3.21,-0.68465,465.4775,"June 06, 25",-0.0068465,,,,,
2025-06-05,463.7,469.28,461.58,467.04,467.04,575350,575350,3.34,0.72029,465.4,"June 05, 25",0.0072029,,,,,
2025-06-04,473.44,473.44,464.76,465.64,465.64,674936,674936,-7.8,-1.65,469.32,"June 04, 25",-0.0165,,,,,
2025-06-03,475.34,477.19,469,473.11,473.11,667372,667372,-2.23,-0.46914,473.66,"June 03, 25",-0.0046914,,,,,
2025-06-02,465.27,481.34,462.55,475.68,475.68,1312978,1312978,10.41,2.24,471.21,"June 02, 25",0.0224,,,,,
2025-05-30,468.16,491.98,466.83,471.46,471.46,4594522,4594522,3.3,0.70489,474.6075,"May 30, 25",0.0070489,,,,,
2025-05-29,424.36,427.06,414.21,421.79,421.79,1960045,1960045,-2.57,-0.60562,421.855,"May 29, 25",-0.0060562,,,,,
2025-05-28,423.27,424.51,416.93,417.01,417.01,755106,755106,-6.26,-1.48,420.43,"May 28, 25",-0.0148,,,,,
2025-05-27,410.62,423.14,410.62,421.31,421.31,945035,945035,10.69,2.6,416.4225,"May 27, 25",0.026,,,,,
2025-05-23,402.97,408.49,402.76,407.04,407.04,569219,569219,4.07,1.01,405.315,"May 23, 25",0.0101,,,,,
2025-05-22,407.44,412.74,405.26,410.39,410.39,545400,545400,2.95,0.72403,408.9575,"May 22, 25",0.0072403,,,,,
2025-05-21,407.62,410.23,402.5,404.75,404.75,751104,751104,-2.87,-0.70409,406.275,"May 21, 25",-0.0070409,,,,,
2025-05-20,411.07,422,411.07,414.4,414.4,1124300,1124300,3.33,0.81008,414.635,"May 20, 25",0.0081008,,,,,
2025-05-19,406,413.19,406,410.09,410.09,535204,535204,4.09,1.01,408.82,"May 19, 25",0.0101,,,,,
2025-05-16,413.58,414.99,409.41,412.99,412.99,407785,407785,-0.59,-0.14266,412.7425,"May 16, 25",-0.0014266,,,,,
2025-05-15,406.81,412.3,406.09,411.74,411.74,464361,464361,4.93,1.21,409.235,"May 15, 25",0.0121,,,,,
2025-05-14,412.62,418.06,410.31,411.38,411.38,628066,628066,-1.24,-0.30052,413.0925,"May 14, 25",-0.0030052,,,,,
2025-05-13,412.81,418.22,410.65,412.23,412.23,598611,598611,-0.58,-0.1405,413.4775,"May 13, 25",-0.001405,,,,,
2025-05-12,409.97,421.71,407.15,412.38,412.38,1188811,1188811,2.41,0.58785,412.8025,"May 12, 25",0.0058785,,,,,
2025-05-09,389.03,394.16,386,392.17,392.17,476140,476140,3.14,0.80714,390.34,"May 09, 25",0.0080714,,,,,
2025-05-08,394.79,397.77,387.75,388.24,388.24,883679,883679,-6.55,-1.66,392.1375,"May 08, 25",-0.0166,,,,,
2025-05-07,390.84,395,387.42,392.66,392.66,630243,630243,1.82,0.46566,391.48,"May 07, 25",0.0046566,,,,,
2025-05-06,391,393.03,386.63,387.14,387.14,548600,548600,-3.86,-0.98721,389.45,"May 06, 25",-0.0098721,,,,,
2025-05-05,393.51,399.63,391.06,394.29,394.29,533400,533400,0.78,0.19822,394.6225,"May 05, 25",0.0019822,,,,,
2025-05-02,399.32,401.72,392.74,395.81,395.81,524737,524737,-3.51,-0.87899,397.3975,"May 02, 25",-0.0087899,,,,,
2025-05-01,394.3,396.58,391.39,392.93,392.93,675722,675722,-1.37,-0.34745,393.8,"May 01, 25",-0.0034745,,,,,
2025-04-30,385.19,396.37,377.63,395.64,395.64,741500,741500,10.45,2.71,388.7075,"April 30, 25",0.0271,,,,,
2025-04-29,384.36,391.13,380.49,390.25,390.25,687300,687300,5.89,1.53,386.5575,"April 29, 25",0.0153,,,,,
2025-04-28,383.06,387.11,377.58,386.44,386.44,778312,778312,3.38,0.88237,383.5475,"April 28, 25",0.0088237,,,,,
2025-04-25,385.27,388.64,380,383.67,383.67,594344,594344,-1.6,-0.41529,384.395,"April 25, 25",-0.0041529,,,,,
2025-04-24,376.83,388.15,375.01,385.93,385.93,538660,538660,9.1,2.41,381.48,"April 24, 25",0.0241,,,,,
2025-04-23,385.38,390.86,375.26,377.74,377.74,650000,650000,-7.64,-1.98,382.31,"April 23, 25",-0.0198,,,,,
2025-04-22,370.31,382.77,369.39,378.67,378.67,728600,728600,8.36,2.26,375.285,"April 22, 25",0.0226,,,,,
2025-04-21,357.06,366.45,350.1,365.67,365.67,838262,838262,8.61,2.41,359.82,"April 21, 25",0.0241,,,,,
2025-04-17,352.86,359.17,349.6,357.75,357.75,741752,741752,4.89,1.39,354.845,"April 17, 25",0.0139,,,,,
2025-04-16,354.65,357.79,347.48,349.59,349.59,791147,791147,-5.06,-1.43,352.3775,"April 16, 25",-0.0143,,,,,
2025-04-15,364.38,369.95,357.8,358.09,358.09,658409,658409,-6.29,-1.73,362.555,"April 15, 25",-0.0173,,,,,
2025-04-14,367.36,372.78,363,366.25,366.25,1004572,1004572,-1.11,-0.30216,367.3475,"April 14, 25",-0.0030216,,,,,
2025-04-11,353.18,365.99,347.97,361.46,361.46,943432,943432,8.28,2.34,357.15,"April 11, 25",0.0234,,,,,
2025-04-10,356.26,359.28,343.9,354.95,354.95,1069784,1069784,-1.31,-0.36771,353.5975,"April 10, 25",-0.0036771,,,,,
2025-04-09,330.35,367.88,325.64,363.19,363.19,1653165,1653165,32.84,9.94,346.765,"April 09, 25",0.0994,,,,,
2025-04-08,353.6,355.2,323.37,328.01,328.01,1249928,1249928,-25.59,-7.24,340.045,"April 08, 25",-0.0724,,,,,
2025-04-07,347.5,364.67,337.21,342.93,342.93,1556124,1556124,-4.57,-1.32,348.0775,"April 07, 25",-0.0132,,,,,
2025-04-04,358.71,371.49,349.41,359.36,359.36,1532198,1532198,0.65,0.1812,359.7425,"April 04, 25",0.001812,,,,,
2025-04-03,365.3,372.56,356.56,367.76,367.76,1598188,1598188,2.46,0.67342,365.545,"April 03, 25",0.0067342,,,,,
2025-04-02,373.15,386.71,371.7,382.51,382.51,800242,800242,9.36,2.51,378.5175,"April 02, 25",0.0251,,,,,
2025-04-01,377,379,367.84,373.91,373.91,927504,927504,-3.09,-0.81963,374.4375,"April 01, 25",-0.0081963,,,,,
2025-03-31,353.72,368.21,351.31,366.54,366.54,1179000,1179000,12.82,3.62,359.945,"March 31, 25",0.0362,,,,,
2025-03-28,365.96,367.97,356.51,359.47,359.47,1053538,1053538,-6.49,-1.77,362.4775,"March 28, 25",-0.0177,,,,,
2025-03-27,367.05,374.88,365.9,370.34,370.34,847960,847960,3.29,0.89634,369.5425,"March 27, 25",0.0089634,,,,,
2025-03-26,369.58,372.79,363.22,371.9,371.9,818174,818174,2.32,0.62774,369.3725,"March 26, 25",0.0062774,,,,,
2025-03-25,368.48,373.52,366.6,370.75,370.75,1123643,1123643,2.27,0.61604,369.8375,"March 25, 25",0.0061604,,,,,
2025-03-24,351.83,366.95,351.83,366.16,366.16,1084318,1084318,14.33,4.07,359.1925,"March 24, 25",0.0407,,,,,
2025-03-21,339.21,351.25,335.86,350.57,350.57,1730442,1730442,11.36,3.35,344.2225,"March 21, 25",0.0335,,,,,
2025-03-20,342.24,348.67,340.61,340.89,340.89,972121,972121,-1.35,-0.39446,343.1025,"March 20, 25",-0.0039446,,,,,
2025-03-19,341.91,345.74,338.61,343.72,343.72,960942,960942,1.81,0.52938,342.495,"March 19, 25",0.0052938,,,,,
2025-03-18,353,354.89,343.44,343.83,343.83,1196700,1196700,-9.17,-2.6,348.79,"March 18, 25",-0.026,,,,,
2025-03-17,351.74,360.88,345.47,356.99,356.99,1663691,1663691,5.25,1.49,353.77,"March 17, 25",0.0149,,,,,
2025-03-14,342.2,359.75,330.17,357.48,357.48,3374106,3374106,15.28,4.47,347.4,"March 14, 25",0.0447,,,,,
2025-03-13,329,329.54,309.01,314.47,314.47,2609300,2609300,-14.53,-4.42,320.505,"March 13, 25",-0.0442,,,,,
2025-03-12,345.02,346.25,328.45,329.23,329.23,1224400,1224400,-15.79,-4.58,337.2375,"March 12, 25",-0.0458,,,,,
2025-03-11,352.95,354.6,336.78,342.72,342.72,1269830,1269830,-10.23,-2.9,346.7625,"March 11, 25",-0.029,,,,,
2025-03-10,354.99,363.58,351.37,354.48,354.48,1587006,1587006,-0.51,-0.14367,356.105,"March 10, 25",-0.0014367,,,,,
2025-03-07,354.39,358.17,348.51,355.43,355.43,983570,983570,1.04,0.29346,354.125,"March 07, 25",0.0029346,,,,,
2025-03-06,349.44,363.61,347.4,355,355,846008,846008,5.56,1.59,353.8625,"March 06, 25",0.0159,,,,,
