date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,declarationDate,adjDividend,dividend,paymentDate,recordDate
2026-01-05,620.1,635.67,620.1,632.857,632.857,217640,217640,12.76,2.05725,629.54,"January 05, 26",0.0205725,,,,,
2026-01-02,606.12,622.27,606.12,620.04,620.04,539816,539816,13.92,2.3,613.6375,"January 02, 26",0.023,,,,,
2025-12-31,604,608.82,602.96,605.01,605.01,282643,282643,1.01,0.16722,605.1975,"December 31, 25",0.0016722,,,,,
2025-12-30,603.63,611.19,601,606.89,606.89,341834,341834,3.26,0.54007,605.6775,"December 30, 25",0.0054007,,,,,
2025-12-29,604.33,609.43,603.36,604.64,604.64,482797,482797,0.31,0.05129648,605.44,"December 29, 25",0.0005129648,,,,,
2025-12-26,608.52,613.17,604.03,607.52,607.52,358002,358002,-1,-0.16433,608.31,"December 26, 25",-0.0016433,,,,,
2025-12-24,606.36,610.91,604.56,608.52,608.52,211400,211400,2.16,0.35622,607.5875,"December 24, 25",0.0035622,,,,,
2025-12-23,615.49,616.34,601.89,604.09,604.09,895100,895100,-11.4,-1.85,609.4525,"December 23, 25",-0.0185,,,,,
2025-12-22,598.28,613.16,594.49,612.95,612.95,579600,579600,14.67,2.45,604.72,"December 22, 25",0.0245,,,,,
2025-12-19,599.98,605.66,594.27,597.88,597.88,1313500,1313500,-2.1,-0.35001,599.4475,"December 19, 25",-0.0035001,,,,,
2025-12-18,594.12,600.32,586.54,594.01,594.01,779149,779149,-0.11,-0.01851478,593.7475,"December 18, 25",-0.0001851478,,,,,
2025-12-17,589.27,591.29,582.95,585.98,585.98,503800,503800,-3.29,-0.55832,587.3725,"December 17, 25",-0.0055832,,,,,
2025-12-16,594.09,596.29,585.1,589.27,589.27,624700,624700,-4.82,-0.81132,591.1875,"December 16, 25",-0.0081132,,,,,
2025-12-15,603,603,589.42,591.2,591.2,908095,908095,-11.8,-1.96,596.655,"December 15, 25",-0.0196,,,,,
2025-12-12,597.69,602.07,585.32,601.59,601.59,708610,708610,3.9,0.65251,596.6675,"December 12, 25",0.0065251,,,,,
2025-12-11,602.1,606.99,586.26,593.41,593.41,700097,700097,-8.69,-1.44,597.19,"December 11, 25",-0.0144,,,,,
2025-12-10,603.05,603.5,594.2,600.65,600.65,640239,640239,-2.4,-0.39798,600.35,"December 10, 25",-0.0039798,,,,,
2025-12-09,591.76,606.4,590.85,602.97,602.97,758362,758362,11.21,1.89,597.995,"December 09, 25",0.0189,,,,,
2025-12-08,611.84,611.84,575.48,589.3,589.3,1747800,1747800,-22.54,-3.68,597.115,"December 08, 25",-0.0368,,,,,
2025-12-05,578.95,611.9,575,601.5,601.5,3395600,3395600,22.55,3.89,591.8375,"December 05, 25",0.0389,,,,,
2025-12-04,547.07,555,530.09,533.95,533.95,2062700,2062700,-13.12,-2.4,541.5275,"December 04, 25",-0.024,,,,,
2025-12-03,546.75,551.93,543.05,544.52,544.52,640844,640844,-2.23,-0.40786,546.5625,"December 03, 25",-0.0040786,,,,,
2025-12-02,550.9,552.09,542.92,548.05,548.05,565537,565537,-2.85,-0.51734,548.49,"December 02, 25",-0.0051734,,,,,
2025-12-01,538.39,558.61,535.28,547.64,547.64,716879,716879,9.25,1.72,544.98,"December 01, 25",0.0172,,,,,
2025-11-28,535.65,545.82,532.9,538.83,538.83,289400,289400,3.18,0.59367,538.3,"November 28, 25",0.0059367,,,,,
2025-11-26,521.43,540.26,521.16,535.16,535.16,508100,508100,13.73,2.63,529.5025,"November 26, 25",0.0263,,,,,
2025-11-25,514.73,529.14,508.45,521.02,521.02,746422,746422,6.29,1.22,518.335,"November 25, 25",0.0122,,,,,
2025-11-24,517.67,526.64,513.73,514.59,514.59,916900,916900,-3.08,-0.59497,518.1575,"November 24, 25",-0.0059497,,,,,
2025-11-21,500.92,525.35,500.02,515.58,515.58,633029,633029,14.66,2.93,510.4675,"November 21, 25",0.0293,,,,,
2025-11-20,499.94,507,496.08,496.44,496.44,510400,510400,-3.5,-0.70008,499.865,"November 20, 25",-0.0070008,,,,,
2025-11-19,506.3,510.13,493,497.41,497.41,516616,516616,-8.89,-1.76,501.71,"November 19, 25",-0.0176,,,,,
2025-11-18,504.31,515.05,501.77,507.37,507.37,504100,504100,3.06,0.60677,507.125,"November 18, 25",0.0060677,,,,,
2025-11-17,529.34,530.41,503.9,509.57,509.57,565315,565315,-19.77,-3.73,518.305,"November 17, 25",-0.0373,,,,,
2025-11-14,530.06,536.05,527.16,529.34,529.34,506870,506870,-0.72,-0.13583,530.6525,"November 14, 25",-0.0013583,,,,,
2025-11-13,537.18,543.56,531.19,533.87,533.87,543500,543500,-3.31,-0.61618,536.45,"November 13, 25",-0.0061618,,,,,
2025-11-12,526.51,538.63,525.1,535.4,535.4,602900,602900,8.89,1.69,531.41,"November 12, 25",0.0169,,,,,
2025-11-11,514.79,528.58,514.79,522.83,522.83,339832,339832,8.04,1.56,520.2475,"November 11, 25",0.0156,,,,,
2025-11-10,523.33,526.19,516.01,516.56,516.56,411195,411195,-6.77,-1.29,520.5225,"November 10, 25",-0.0129,,,,,
2025-11-07,509.42,519.95,508.18,517.79,517.79,433003,433003,8.37,1.64,513.835,"November 07, 25",0.0164,,,,,
2025-11-06,512.53,519.05,509.01,509.85,509.85,454626,454626,-2.68,-0.5229,512.61,"November 06, 25",-0.005229,,,,,
2025-11-05,516.61,529.27,513.44,521.82,521.82,486414,486414,5.21,1.01,520.285,"November 05, 25",0.0101,,,,,
2025-11-04,517.43,519.59,513.98,516.66,516.66,435237,435237,-0.77,-0.14881,516.915,"November 04, 25",-0.0014881,,,,,
2025-11-03,520.07,522.55,514.73,517.43,517.43,492106,492106,-2.64,-0.50762,518.695,"November 03, 25",-0.0050762,,,,,
2025-10-31,509.01,521.35,508.03,519.88,519.88,509615,509615,10.87,2.14,514.5675,"October 31, 25",0.0214,,,,,
2025-10-30,506.07,519.3,498,509.66,509.66,496722,496722,3.59,0.70939,508.2575,"October 30, 25",0.0070939,,,,,
2025-10-29,516.65,518.9,500.15,506.07,506.07,699153,699153,-10.58,-2.05,510.4425,"October 29, 25",-0.0205,,,,,
2025-10-28,521.04,523.7,516.59,518.79,518.79,386930,386930,-2.25,-0.43183,520.03,"October 28, 25",-0.0043183,,,,,
2025-10-27,523.66,534.07,522.55,522.82,522.82,455609,455609,-0.84,-0.16041,525.775,"October 27, 25",-0.0016041,,,,,
2025-10-24,526.16,529.16,517.22,517.66,517.66,407017,407017,-8.5,-1.62,522.55,"October 24, 25",-0.0162,,,,,
2025-10-23,520.04,533.6,520.04,524.48,524.48,614587,614587,4.44,0.85378,524.54,"October 23, 25",0.0085378,,,,,
2025-10-22,525.92,527,509.8,519.33,519.33,557100,557100,-6.59,-1.25,520.5125,"October 22, 25",-0.0125,,,,,
2025-10-21,521.16,529.25,517.83,525.92,525.92,526562,526562,4.76,0.91335,523.54,"October 21, 25",0.0091335,,,,,
2025-10-20,539.63,543.71,522.92,523.72,523.72,486929,486929,-15.91,-2.95,532.495,"October 20, 25",-0.0295,,,,,
2025-10-17,536.12,542.26,532.73,533.51,533.51,373700,373700,-2.61,-0.48683,536.155,"October 17, 25",-0.0048683,,,,,
2025-10-16,538.89,539.99,530,537.29,537.29,446827,446827,-1.6,-0.29691,536.5425,"October 16, 25",-0.0029691,,,,,
2025-10-15,542.21,550.05,534.47,538.49,538.49,470400,470400,-3.72,-0.68608,541.305,"October 15, 25",-0.0068608,,,,,
2025-10-14,541.51,551.5,537.95,541.01,541.01,560900,560900,-0.5,-0.0923344,542.9925,"October 14, 25",-0.000923344,,,,,
2025-10-13,551.05,555,529.23,542.93,542.93,950666,950666,-8.12,-1.47,544.5525,"October 13, 25",-0.0147,,,,,
2025-10-10,564.72,571.05,548.98,549.28,549.28,586428,586428,-15.44,-2.73,558.5075,"October 10, 25",-0.0273,,,,,
2025-10-09,566.6,571.75,560.03,561.15,561.15,559752,559752,-5.45,-0.96188,564.8825,"October 09, 25",-0.0096188,,,,,
2025-10-08,557.07,572.23,556.86,565.81,565.81,607979,607979,8.74,1.57,562.9925,"October 08, 25",0.0157,,,,,
2025-10-07,567.99,567.99,553.88,556.77,556.77,629398,629398,-11.22,-1.98,561.6575,"October 07, 25",-0.0198,,,,,
2025-10-06,558.96,567.98,550.1,566.91,566.91,571343,571343,7.95,1.42,560.9875,"October 06, 25",0.0142,,,,,
2025-10-03,560,562.11,554.32,556.45,556.45,376700,376700,-3.55,-0.63393,558.22,"October 03, 25",-0.0063393,,,,,
2025-10-02,553,557.82,551,557.82,557.82,328327,328327,4.82,0.87161,554.91,"October 02, 25",0.0087161,,,,,
2025-10-01,546.77,559.42,541.94,556.04,556.04,606247,606247,9.27,1.7,551.0425,"October 01, 25",0.017,,,,,
2025-09-30,550.93,552.51,540.87,546.75,546.75,473800,473800,-4.18,-0.75872,547.765,"September 30, 25",-0.0075872,,,,,
2025-09-29,551.33,554.13,546.13,553.71,553.71,525359,525359,2.38,0.43168,551.325,"September 29, 25",0.0043168,,,,,
2025-09-26,539.48,552.45,538.8,552,552,685445,685445,12.52,2.32,545.6825,"September 26, 25",0.0232,,,,,
2025-09-25,539.37,540.18,532.42,539.48,539.48,507954,507954,0.11,0.02039416,537.8625,"September 25, 25",0.0002039416,,,,,
2025-09-24,524.76,537.13,524.32,535.61,535.61,606883,606883,10.85,2.07,530.455,"September 24, 25",0.0207,,,,,
2025-09-23,522.5,529.73,520.81,524.6,524.6,515386,515386,2.1,0.40191,524.41,"September 23, 25",0.0040191,,,,,
2025-09-22,522.39,522.39,514.88,518.16,518.16,673942,673942,-4.23,-0.80974,519.455,"September 22, 25",-0.0080974,,,,,
2025-09-19,534.62,534.81,519.21,521.47,521.47,1151017,1151017,-13.15,-2.46,527.5275,"September 19, 25",-0.0246,,,,,
2025-09-18,532.14,538.38,529.59,534.81,534.81,532579,532579,2.67,0.50175,533.73,"September 18, 25",0.0050175,,,,,
2025-09-17,527.44,534.08,525.29,528.8,528.8,460020,460020,1.36,0.25785,528.9025,"September 17, 25",0.0025785,,,,,
2025-09-16,521.84,525.95,511.57,525.21,525.21,511794,511794,3.37,0.64579,521.1425,"September 16, 25",0.0064579,,,,,
2025-09-15,517.47,530.73,514.65,526.08,526.08,625185,625185,8.61,1.66,522.2325,"September 15, 25",0.0166,,,,,
2025-09-12,521.08,521.89,511.66,514.62,514.62,454640,454640,-6.46,-1.24,517.3125,"September 12, 25",-0.0124,,,,,
2025-09-11,517,522.87,516,521.89,521.89,462319,462319,4.89,0.94584,519.44,"September 11, 25",0.0094584,,,,,
2025-09-10,509.63,518.45,506.53,515.47,515.47,433010,433010,5.84,1.15,512.52,"September 10, 25",0.0115,,,,,
2025-09-09,514.9,521.17,505.65,513.85,513.85,700400,700400,-1.05,-0.20392,513.8925,"September 09, 25",-0.0020392,,,,,
2025-09-08,518.95,523.57,509.32,519.81,519.81,720867,720867,0.86,0.16572,517.9125,"September 08, 25",0.0016572,,,,,
2025-09-05,529.87,529.87,514.29,514.86,514.86,880600,880600,-15.01,-2.83,522.2225,"September 05, 25",-0.0283,,,,,
2025-09-04,529,533,522.22,529.5,529.5,990621,990621,0.5,0.09451796,528.43,"September 04, 25",0.0009451796,,,,,
2025-09-03,535.18,539,530.36,531.07,531.07,992900,992900,-4.11,-0.76797,533.9025,"September 03, 25",-0.0076797,,,,,
2025-09-02,491.26,533.08,486.25,532.52,532.52,2201000,2201000,41.26,8.4,510.7775,"September 02, 25",0.084,,,,,
2025-08-29,526.85,538.38,492,492.73,492.73,2941626,2941626,-34.12,-6.48,512.49,"August 29, 25",-0.0648,,,,,
2025-08-28,534.38,538.59,526.17,530.63,530.63,1550225,1550225,-3.75,-0.70175,532.4425,"August 28, 25",-0.0070175,,,,,
2025-08-27,526.85,536.89,526.85,533.81,533.81,781473,781473,6.96,1.32,531.1,"August 27, 25",0.0132,,,,,
2025-08-26,524.47,527.36,520,526.06,526.06,1007814,1007814,1.59,0.30316,524.4725,"August 26, 25",0.0030316,,,,,
2025-08-25,527.02,531.99,523,524.37,524.37,905300,905300,-2.64,-0.50283,526.595,"August 25, 25",-0.0050283,,,,,
2025-08-22,527.83,534.09,526,529.5,529.5,624343,624343,1.67,0.31639,529.355,"August 22, 25",0.0031639,,,,,
