date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,declarationDate,recordDate,adjDividend,paymentDate,dividend
2026-01-02,253.43,253.43,246.65,250.04,250.04,678759,678759,-3.39,-1.34,250.8875,"January 02, 26",-0.0134,,,,,
2025-12-31,255.5,255.79,252.67,253.52,253.52,411100,411100,-1.98,-0.77495,254.37,"December 31, 25",-0.0077495,,,,,
2025-12-30,255.19,256.34,253,255.47,255.47,278004,278004,0.28,0.10972,255,"December 30, 25",0.0010972,,,,,
2025-12-29,255.73,257.24,255.34,256.22,256.22,366500,366500,0.49,0.19161,256.1325,"December 29, 25",0.0019161,,,,,
2025-12-26,255.52,256.97,253.87,255.42,255.42,284003,284003,-0.1,-0.03913588,255.445,"December 26, 25",-0.0003913588,,,,,
2025-12-24,255.01,257.56,254.84,255.68,255.68,259200,259200,0.67,0.26273,255.7725,"December 24, 25",0.0026273,,,,,
2025-12-23,254.5,256.99,252.58,255.39,255.39,448759,448759,0.89,0.34971,254.865,"December 23, 25",0.0034971,,,,,
2025-12-22,252.56,255.85,252.56,255.13,255.13,557519,557519,2.57,1.02,254.025,"December 22, 25",0.0102,,,,,
2025-12-19,250.98,255.95,249.99,254.34,254.34,1702835,1702835,3.36,1.34,252.815,"December 19, 25",0.0134,,,,,
2025-12-18,252.21,255.29,251.09,251.55,251.55,451823,451823,-0.66,-0.26169,252.535,"December 18, 25",-0.0026169,,,,,
2025-12-17,252.16,255.31,250.46,251.67,251.67,513900,513900,-0.49,-0.19432,252.4,"December 17, 25",-0.0019432,,,,,
2025-12-16,254.84,254.84,251.09,253.03,253.03,642416,642416,-1.81,-0.71025,253.45,"December 16, 25",-0.0071025,,,,,
2025-12-15,252.41,254.76,251.43,254.07,254.07,641127,641127,1.66,0.65766,253.1675,"December 15, 25",0.0065766,,,,,
2025-12-12,253.14,254.24,249.92,251.79,251.79,563750,563750,-1.35,-0.5333,252.2725,"December 12, 25",-0.005333,,,,,
2025-12-11,261.45,261.45,252.35,252.49,252.49,838200,838200,-8.96,-3.43,256.935,"December 11, 25",-0.0343,,,,,
