holder,shares,dateReported,change
VANGUARD GROUP INC,18163536,2025-09-30,403285
"BlackRock, Inc.",10009553,2025-09-30,179495
DODGE & COX,9667297,2025-09-30,1058803
JPMORGAN CHASE & CO,4957594,2025-09-30,-563163
STATE STREET CORP,4752877,2025-09-30,139696
"COHEN & STEERS, INC.",3781075,2025-09-30,-1259980
"GEODE CAPITAL MANAGEMENT, LLC",3068959,2025-09-30,34793
DEUTSCHE BANK AG\,1931408,2025-09-30,268109
DIAMOND HILL CAPITAL MANAGEMENT INC,1855329,2025-09-30,366491
Invesco Ltd.,1805376,2025-09-30,231838
DIMENSIONAL FUND ADVISORS LP,1564790,2025-09-30,58449
PRINCIPAL FINANCIAL GROUP INC,1513168,2025-09-30,707
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,1450843,2025-09-30,42468
Legal & General Group Plc,1422596,2025-09-30,79572
MORGAN STANLEY,1353954,2025-09-30,-201278
AMERIPRISE FINANCIAL INC,1267351,2025-09-30,336071
NORDEA INVESTMENT MANAGEMENT AB,1182076,2025-09-30,465558
NORTHERN TRUST CORP,1053505,2025-09-30,-26516
GOLDMAN SACHS GROUP INC,1023966,2025-09-30,133866
FMR LLC,1016023,2025-09-30,321124
"RUSH ISLAND MANAGEMENT, LP",943523,2025-09-30,582862
VICTORY CAPITAL MANAGEMENT INC,902294,2025-09-30,-727869
Mitsubishi UFJ Trust & Banking Corp,836956,2025-09-30,265648
EARNEST PARTNERS LLC,806735,2025-09-30,3199
BANK OF AMERICA CORP /DE/,780132,2025-09-30,-244560
Amundi,688172,2025-09-30,-166629
CANADA PENSION PLAN INVESTMENT BOARD,679212,2025-09-30,609049
Bank of New York Mellon Corp,676750,2025-09-30,-14621
SEI INVESTMENTS CO,601724,2025-09-30,-35716
UBS Group AG,599947,2025-09-30,18179
"Permit Capital, LLC",577922,2025-09-30,0
"Nuveen, LLC",524418,2025-09-30,-101593
BALYASNY ASSET MANAGEMENT L.P.,439182,2025-09-30,255424
THRIVENT FINANCIAL FOR LUTHERANS,411640,2025-09-30,-192748
REAVES W H & CO INC,406844,2025-09-30,-25804
BRISTOL JOHN W & CO INC /NY/,400741,2025-09-30,-7266
"DigitalBridge Group, Inc.",400120,2025-09-30,108573
PRICE T ROWE ASSOCIATES INC /MD/,386160,2025-09-30,-114327
AQR CAPITAL MANAGEMENT LLC,373172,2025-09-30,-195599
Engineers Gate Manager LP,361198,2025-09-30,218460
"RIVULET CAPITAL, LLC",361000,2025-09-30,39530
CALIFORNIA PUBLIC EMPLOYEES RETIREMENT SYSTEM,330359,2025-09-30,-38334
J. Goldman & Co LP,321607,2025-09-30,321607
Swiss National Bank,309800,2025-09-30,-17200
"ARROWSTREET CAPITAL, LIMITED PARTNERSHIP",306762,2025-09-30,104201
BESSEMER GROUP INC,300213,2025-09-30,-116861
MILLENNIUM MANAGEMENT LLC,298541,2025-09-30,42203
"Clearbridge Investments, LLC",296083,2025-09-30,-8785
Neuberger Berman Group LLC,295775,2025-09-30,-63552
"Russell Investments Group, Ltd.",294757,2025-09-30,-157268
CI INVESTMENTS INC.,294424,2025-09-30,2056
BARCLAYS PLC,262057,2025-09-30,47549
COMMONWEALTH OF PENNSYLVANIA PUBLIC SCHOOL EMPLS RETRMT SYS,254345,2025-09-30,74639
RHUMBLINE ADVISERS,246559,2025-09-30,1138
"Sumitomo Mitsui Trust Holdings, Inc.",225193,2025-09-30,646
"Mitsubishi UFJ Kokusai Asset Management Co., Ltd.",212888,2025-09-30,4425
SCHWARTZ INVESTMENT COUNSEL INC,209000,2025-09-30,-65000
CITIGROUP INC,203176,2025-09-30,122344
ROYAL BANK OF CANADA,198405,2025-09-30,126422
Capital International Investors,196549,2025-09-30,-170442
LAZARD ASSET MANAGEMENT LLC,195104,2025-09-30,49947
Quantinno Capital Management LP,192317,2025-09-30,15147
CAISSE DE DEPOT ET PLACEMENT DU QUEBEC,190702,2025-09-30,109874
National Pension Service,187654,2025-09-30,6672
ENVESTNET ASSET MANAGEMENT INC,183281,2025-09-30,-9966
abrdn plc,180159,2025-09-30,20648
CALIFORNIA STATE TEACHERS RETIREMENT SYSTEM,173975,2025-09-30,-2801
"BNP PARIBAS ARBITRAGE, SNC",164014,2025-09-30,-16427
HSBC HOLDINGS PLC,162964,2025-09-30,-31935
"T. Rowe Price Investment Management, Inc.",159571,2025-09-30,-262251
GREAT WEST LIFE ASSURANCE CO /CAN/,158756,2025-09-30,8966
CENTERSQUARE INVESTMENT MANAGEMENT LLC,154065,2025-09-30,-7622
Man Group plc,152989,2025-09-30,41673
UniSuper Management Pty Ltd,152325,2025-09-30,73504
WELLS FARGO & COMPANY/MN,147218,2025-09-30,11894
BANK OF MONTREAL /CAN/,144683,2025-09-30,35903
Schonfeld Strategic Advisors LLC,141104,2025-09-30,141104
ALLIANCEBERNSTEIN L.P.,138139,2025-09-30,8844
NATIXIS,137502,2025-09-30,132835
SCHRODER INVESTMENT MANAGEMENT GROUP,132648,2025-09-30,-7394
Ilex Capital Partners (UK) LLP,132622,2025-09-30,132622
"BOOTHBAY FUND MANAGEMENT, LLC",129055,2025-09-30,23287
Aware Super Pty Ltd as trustee of Aware Super,127515,2025-09-30,0
WELLINGTON MANAGEMENT GROUP LLP,127181,2025-09-30,-116510
Partners Group Holding AG,124802,2025-09-30,-11496
"FEDERATED HERMES, INC.",121841,2025-09-30,450
TUDOR INVESTMENT CORP ET AL,119420,2025-09-30,119420
CITADEL ADVISORS LLC,109986,2025-09-30,-404320
"Pacer Advisors, Inc.",108296,2025-09-30,13008
MIRAE ASSET GLOBAL ETFS HOLDINGS Ltd.,107167,2025-09-30,31015
Maryland State Retirement & Pension System,104940,2025-09-30,2887
FRANKLIN RESOURCES INC,101673,2025-09-30,-10987
STATE BOARD OF ADMINISTRATION OF FLORIDA RETIREMENT SYSTEM,98882,2025-09-30,-8367
"NATIXIS ADVISORS, L.P.",97945,2025-09-30,-15121
AVIVA PLC,96466,2025-09-30,15584
NEW YORK STATE TEACHERS RETIREMENT SYSTEM,96053,2025-09-30,-344
Korea Investment CORP,94748,2025-09-30,37057
"MANUFACTURERS LIFE INSURANCE COMPANY, THE",94220,2025-09-30,13475
FIRST TRUST ADVISORS LP,93939,2025-09-30,-753
APG Asset Management N.V.,90147,2025-09-30,0
Magellan Asset Management Ltd,88125,2025-09-30,6703
Swedbank AB,88062,2025-09-30,248
TORONTO DOMINION BANK,86893,2025-09-30,4717
"JANE STREET GROUP, LLC",85998,2025-09-30,85998
SORA INVESTORS LLC,85715,2025-09-30,85715
"Point72 Asset Management, L.P.",84688,2025-09-30,84688
"Skylands Capital, LLC",84130,2025-09-30,35135
Retirement Systems of Alabama,84067,2025-09-30,-150
RAYMOND JAMES FINANCIAL INC,83356,2025-09-30,4596
"Allspring Global Investments Holdings, LLC",80844,2025-09-30,-4079
PRUDENTIAL PLC,78484,2025-09-30,-49
Universal- Beteiligungs- und Servicegesellschaft mbH,75302,2025-09-30,-8695
STATE OF WISCONSIN INVESTMENT BOARD,72930,2025-09-30,7116
BLAIR WILLIAM & CO/IL,71772,2025-09-30,-375
FORSTA AP-FONDEN,69000,2025-09-30,6500
Handelsbanken Fonder AB,68047,2025-09-30,-1498
"Lido Advisors, LLC",67377,2025-09-30,67377
Pictet Asset Management Holding SA,66841,2025-09-30,2397
NATIONAL BANK OF CANADA /FI/,66424,2025-09-30,-8705
Hudson Bay Capital Management LP,64124,2025-09-30,64124
"State of Alaska, Department of Revenue",64015,2025-09-30,-574
CHILTON CAPITAL MANAGEMENT LLC,63215,2025-09-30,440
MACQUARIE GROUP LTD,62723,2025-09-30,-1911
AVENIR CORP,61493,2025-09-30,-973
PRUDENTIAL FINANCIAL INC,61430,2025-09-30,-3791
GATEWAY INVESTMENT ADVISERS LLC,61340,2025-09-30,-45514
"Crescent Park Management, L.P.",60700,2025-09-30,-3768
STIFEL FINANCIAL CORP,59987,2025-09-30,7423
NEW YORK STATE COMMON RETIREMENT FUND,58811,2025-09-30,-800
VAN ECK ASSOCIATES CORP,58540,2025-09-30,5386
MACKENZIE FINANCIAL CORP,55660,2025-09-30,41390
Motley Fool Asset Management LLC,55345,2025-09-30,-2500
"Chevy Chase Trust Holdings, LLC",54801,2025-09-30,-2147
BROWN ADVISORY INC,52955,2025-09-30,-3138
TCW GROUP INC,52431,2025-09-30,52431
ROYAL LONDON ASSET MANAGEMENT LTD,52272,2025-09-30,-2092
"ExodusPoint Capital Management, LP",52097,2025-09-30,31865
DANSKE BANK A/S,51808,2025-09-30,-1300
Napean Trading & Investment Co (Singapore) PTE Ltd,48648,2025-09-30,7592
Treasurer of the State of North Carolina,48278,2025-09-30,-1884
"SUSQUEHANNA INTERNATIONAL GROUP, LLP",48127,2025-09-30,32313
AMERICAN CENTURY COMPANIES INC,46869,2025-09-30,-378229
DUFF & PHELPS INVESTMENT MANAGEMENT CO,46402,2025-09-30,0
"NFJ INVESTMENT GROUP, LLC",46270,2025-09-30,-52998
"Asset Management One Co., Ltd.",46086,2025-09-30,765
"Uniplan Investment Counsel, Inc.",45303,2025-09-30,-41
La Banque Postale Asset Management SA,43705,2025-09-30,0
"HighTower Advisors, LLC",43423,2025-09-30,-1428
KLP KAPITALFORVALTNING AS,41896,2025-09-30,4100
TD ASSET MANAGEMENT INC,41602,2025-09-30,-68
"Connor, Clark & Lunn Investment Management Ltd.",41038,2025-09-30,8181
Wealthfront Advisers LLC,40836,2025-09-30,-11702
REGIONS FINANCIAL CORP,40491,2025-09-30,-1704
"CIBC Private Wealth Group, LLC",40101,2025-09-30,-3499
Vinva Investment Management Ltd,39068,2025-09-30,-30226
ProShare Advisors LLC,38988,2025-09-30,8404
VOYA INVESTMENT MANAGEMENT LLC,38640,2025-09-30,-7619
"Ensign Peak Advisors, Inc",38619,2025-09-30,-14403
"PineBridge Investments, L.P.",37792,2025-09-30,-15166
FIL Ltd,37525,2025-09-30,23986
BNP Paribas Asset Management Holding S.A.,37372,2025-09-30,2577
Sophron Capital Management L.P.,36573,2025-09-30,36573
CREDIT AGRICOLE S A,36259,2025-09-30,36259
"Leo Wealth, LLC",36223,2025-09-30,-133
State of New Jersey Common Pension Fund D,36214,2025-09-30,0
"Motley Fool Wealth Management, LLC",35905,2025-09-30,-4399
"Jackson Square Partners, LLC",35850,2025-09-30,-4503
NOMURA ASSET MANAGEMENT CO LTD,34942,2025-09-30,-145
Lansforsakringar Fondforvaltning AB (publ),33997,2025-09-30,1142
TWINBEECH CAPITAL LP,33748,2025-09-30,33748
Verition Fund Management LLC,33728,2025-09-30,-46643
PUBLIC EMPLOYEES RETIREMENT SYSTEM OF OHIO,33547,2025-09-30,-21344
Cerity Partners LLC,32939,2025-09-30,203
Arizona State Retirement System,31689,2025-09-30,168
CBRE INVESTMENT MANAGEMENT LISTED REAL ASSETS LLC,31331,2025-09-30,-3925
Robeco Institutional Asset Management B.V.,30534,2025-09-30,-4815
"Moran Wealth Management, LLC",29609,2025-09-30,-40847
"Rakuten Investment Management, Inc.",29380,2025-09-30,29380
CIBC WORLD MARKET INC.,29056,2025-09-30,16800
STATE OF MICHIGAN RETIREMENT SYSTEM,29042,2025-09-30,-200
FIFTH THIRD BANCORP,28215,2025-09-30,-2589
OPPENHEIMER & CO INC,27890,2025-09-30,-153
Zurcher Kantonalbank (Zurich Cantonalbank),27763,2025-09-30,-1376
"Holocene Advisors, LP",27635,2025-09-30,3357
Y-Intercept (Hong Kong) Ltd,27628,2025-09-30,14340
IFM Investors Pty Ltd,27346,2025-09-30,519
Czech National Bank,27273,2025-09-30,1008
"MetLife Investment Management, LLC",26641,2025-09-30,-737
"HANTZ FINANCIAL SERVICES, INC.",26570,2025-09-30,-2370
"FAIRVIEW CAPITAL INVESTMENT MANAGEMENT, LLC",26311,2025-09-30,-710
"ALPINE WOODS CAPITAL INVESTORS, LLC",25602,2025-09-30,25602
"Callan Family Office, LLC",25584,2025-09-30,-1893
"O'SHAUGHNESSY ASSET MANAGEMENT, LLC",24335,2025-09-30,-8787
"State of Tennessee, Treasury Department",23784,2025-09-30,-3349
BANK OF NOVA SCOTIA,23487,2025-09-30,9095
DekaBank Deutsche Girozentrale,23443,2025-09-30,0
"NISA INVESTMENT ADVISORS, LLC",23383,2025-09-30,-9182
Vestcor Inc,23201,2025-09-30,9452
PUBLIC SECTOR PENSION INVESTMENT BOARD,23126,2025-09-30,1023
NEOS Investment Management LLC,23103,2025-09-30,9474
USS Investment Management Ltd,22446,2025-09-30,0
Skandinaviska Enskilda Banken AB (publ),22364,2025-09-30,-527
KING LUTHER CAPITAL MANAGEMENT CORP,22299,2025-09-30,-1449
Daiwa Securities Group Inc.,21920,2025-09-30,-500295
AMALGAMATED BANK,21215,2025-09-30,-426
Federation des caisses Desjardins du Quebec,20116,2025-09-30,1636
DnB Asset Management AS,19774,2025-09-30,172
"ADVISOR GROUP HOLDINGS, INC.",18912,2025-09-30,4836
"IEQ CAPITAL, LLC",18755,2025-09-30,-26574
LPL Financial LLC,18423,2025-09-30,-2799
"Resona Asset Management Co.,Ltd.",17755,2025-09-30,-842
Utah Retirement Systems,17667,2025-09-30,0
Cetera Investment Advisers,17588,2025-09-30,9253
Police & Firemen's Retirement System of New Jersey,17268,2025-09-30,1017
CITIZENS FINANCIAL GROUP INC/RI,17256,2025-09-30,-1033
US BANCORP \DE\,17017,2025-09-30,-1211
"Mirae Asset Global Investments Co., Ltd.",15777,2025-09-30,1869
NEW YORK LIFE INVESTMENT MANAGEMENT LLC,15665,2025-09-30,-438
"YOUSIF CAPITAL MANAGEMENT, LLC",15496,2025-09-30,-537
BRITISH COLUMBIA INVESTMENT MANAGEMENT Corp,15442,2025-09-30,-1557
"CI Private Wealth, LLC",15437,2025-09-30,-3310
Elo Mutual Pension Insurance Co,15275,2025-09-30,2298
AGF MANAGEMENT LTD,15058,2025-09-30,15058
"Cubist Systematic Strategies, LLC",14967,2025-09-30,14967
"PNC FINANCIAL SERVICES GROUP, INC.",14949,2025-09-30,-4013
CIBC Asset Management Inc,14930,2025-09-30,27
"XPONANCE, INC.",14873,2025-09-30,-865
"Sumitomo Mitsui DS Asset Management Company, Ltd",14808,2025-09-30,584
"Rafferty Asset Management, LLC",14439,2025-09-30,826
"FOX RUN MANAGEMENT, L.L.C.",14280,2025-09-30,14280
TEACHER RETIREMENT SYSTEM OF TEXAS,14076,2025-09-30,-2326
ING GROEP NV,13882,2025-09-30,13882
Creative Planning,13851,2025-09-30,-1900
Steel Peak Wealth Management LLC,13540,2025-09-30,13540
NISSAY ASSET MANAGEMENT CORP /JAPAN/ /ADV,13536,2025-09-30,61
Sterling Capital Management LLC,13524,2025-09-30,-734
SYNOVUS FINANCIAL CORP,13163,2025-09-30,-51
"Farringdon Capital, Ltd.",12916,2025-09-30,12916
JANUS HENDERSON GROUP PLC,12806,2025-09-30,-136678
"Summit Trail Advisors, LLC",12603,2025-09-30,-2445
Delta Global Management LP,12557,2025-09-30,1665
"Financial Advisors Network, Inc.",12277,2025-09-30,182
OREGON PUBLIC EMPLOYEES RETIREMENT FUND,12273,2025-09-30,3045
Vanderbilt University,11760,2025-09-30,561
Knights of Columbus Asset Advisors LLC,11689,2025-09-30,-405
"Knollwood Investment Advisory, LLC",11643,2025-09-30,0
MUTUAL OF AMERICA CAPITAL MANAGEMENT LLC,11639,2025-09-30,-682
"CLIFTONLARSONALLEN WEALTH ADVISORS, LLC",11568,2025-09-30,9
"COMMONWEALTH EQUITY SERVICES, LLC",11516,2025-09-30,-1063
MERCER GLOBAL ADVISORS INC /ADV,11429,2025-09-30,-974
"Vanguard Personalized Indexing Management, LLC",11413,2025-09-30,-2246
HRT FINANCIAL LP,11086,2025-09-30,8727
iA Global Asset Management Inc.,11020,2025-09-30,7721
Legacy Trust,10949,2025-09-30,90
"Mariner, LLC",10861,2025-09-30,-6035
1832 Asset Management L.P.,10844,2025-09-30,-658
"GRS Advisors, LLC",10835,2025-09-30,-143544
St. Louis Trust Co,10720,2025-09-30,0
Candriam S.C.A.,10563,2025-09-30,-565
PUBLIC EMPLOYEES RETIREMENT ASSOCIATION OF COLORADO,10509,2025-09-30,-122
Quest Partners LLC,10303,2025-09-30,4730
Polar Asset Management Partners Inc.,10300,2025-09-30,-33400
LASALLE INVESTMENT MANAGEMENT SECURITIES LLC,10188,2025-09-30,-1048
Allianz Asset Management GmbH,10129,2025-09-30,-5432
Banque Cantonale Vaudoise,10059,2025-09-30,112
OSTRUM ASSET MANAGEMENT,9857,2025-09-30,4650
