date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,declarationDate,recordDate,dividend,paymentDate,adjDividend
2025-11-04,171.4,171.92,168.16,168.27,166.93,1448435,1448435,-3.13,-1.83,169.9375,"November 04, 25",-0.0183,,,,,
2025-11-03,169.16,172.47,168.36,171.96,170.59,1513900,1513900,2.8,1.66,170.4875,"November 03, 25",0.0166,,,,,
2025-10-31,170.01,172.15,168.81,170.41,169.06,1838601,1838601,0.4,0.23528,170.345,"October 31, 25",0.0023528,,,,,
2025-10-30,166.88,172.08,166.29,170.75,169.39,2069100,2069100,3.87,2.32,169,"October 30, 25",0.0232,,,,,
2025-10-29,174.05,174.09,165.98,167.14,165.81,2017278,2017278,-6.91,-3.97,170.315,"October 29, 25",-0.0397,,,,,
2025-10-28,176.76,177.32,173.78,174.06,172.68,1432325,1432325,-2.7,-1.53,175.48,"October 28, 25",-0.0153,,,,,
2025-10-27,179.28,179.99,176.37,178.14,176.73,2104031,2104031,-1.14,-0.63588,178.445,"October 27, 25",-0.0063588,,,,,
2025-10-24,178.84,182.48,176.07,179.28,177.86,2472464,2472464,0.44,0.24603,179.1675,"October 24, 25",0.0024603,,,,,
2025-10-23,174.31,176.8,172,175.39,174,2510884,2510884,1.08,0.61959,174.625,"October 23, 25",0.0061959,,,,,
2025-10-22,172.53,173.39,169.77,172.41,171.04,1542966,1542966,-0.12,-0.06955312,172.025,"October 22, 25",-0.0006955312,,,,,
2025-10-21,172.44,172.47,168.72,171.63,170.27,1391200,1391200,-0.805,-0.46973,171.315,"October 21, 25",-0.0046973,,,,,
2025-10-20,175.74,175.74,171.44,172.92,171.55,1705507,1705507,-2.82,-1.6,173.96,"October 20, 25",-0.016,,,,,
2025-10-17,171.78,173.52,170.47,172.73,171.36,1321515,1321515,0.95,0.55303,172.125,"October 17, 25",0.0055303,,,,,
2025-10-16,173.95,176.23,172.8,173.96,172.58,1318575,1318575,0.01,0.00574878,174.235,"October 16, 25",5.74878e-05,,,,,
2025-10-15,173.29,176.86,173.11,175.2,173.81,1448040,1448040,1.91,1.1,174.615,"October 15, 25",0.011,,,,,
2025-10-14,170.1,172.32,169.45,171.88,170.52,1138654,1138654,1.78,1.05,170.9375,"October 14, 25",0.0105,,,,,
2025-10-13,168.87,171.57,168.54,171.56,170.2,957754,957754,2.69,1.59,170.135,"October 13, 25",0.0159,,,,,
2025-10-10,175.22,175.73,168.45,168.49,167.15,1551898,1551898,-6.73,-3.84,171.9725,"October 10, 25",-0.0384,,,,,
2025-10-09,174.41,175.96,173.3,175.21,173.82,1190808,1190808,0.8,0.45869,174.72,"October 09, 25",0.0045869,,,,,
2025-10-08,174.77,176.95,173.05,174.2,172.82,1471769,1471769,-0.57,-0.32614,174.7425,"October 08, 25",-0.0032614,,,,,
2025-10-07,176.88,177.04,174.14,175.14,173.75,853900,853900,-1.74,-0.98372,175.8,"October 07, 25",-0.0098372,,,,,
2025-10-06,178.29,178.29,174.51,176.96,175.55,1873600,1873600,-1.33,-0.74598,177.0125,"October 06, 25",-0.0074598,,,,,
2025-10-03,174.34,178.3,173.89,176.35,174.95,1635989,1635989,2.01,1.15,175.72,"October 03, 25",0.0115,,,,,
2025-10-02,171.82,173.82,170.61,173.75,172.37,1824914,1824914,1.93,1.12,172.5,"October 02, 25",0.0112,,,,,
2025-10-01,172.53,173.37,170.22,171.45,170.09,1346012,1346012,-1.08,-0.62598,171.8925,"October 01, 25",-0.0062598,,,,,
2025-09-30,171.27,172.92,169.26,172.88,171.51,1516571,1516571,1.61,0.94004,171.5825,"September 30, 25",0.0094004,,,,,
2025-09-29,172.69,173.19,169.41,170.11,168.76,1277600,1277600,-2.58,-1.49,171.35,"September 29, 25",-0.0149,,,,,
2025-09-26,171.94,172.06,170.45,171.46,170.1,785296,785296,-0.48,-0.27917,171.4775,"September 26, 25",-0.0027917,,,,,
2025-09-25,172,172.61,170.65,171.36,170,1272688,1272688,-0.64,-0.37209,171.655,"September 25, 25",-0.0037209,,,,,
2025-09-24,173.39,173.76,171.61,172,170.63,1308735,1308735,-1.39,-0.80166,172.69,"September 24, 25",-0.0080166,,,,,
2025-09-23,174.59,175.14,172.87,174.12,172.74,1019491,1019491,-0.47,-0.2692,174.18,"September 23, 25",-0.002692,,,,,
2025-09-22,171.17,176.15,169.67,174.69,173.3,1837427,1837427,3.52,2.06,172.92,"September 22, 25",0.0206,,,,,
2025-09-19,171.56,173.32,170.69,172.08,170.71,3146600,3146600,0.52,0.3031,171.9125,"September 19, 25",0.003031,,,,,
2025-09-18,171.58,173.27,170.74,171.36,170,1012600,1012600,-0.22,-0.12822,171.7375,"September 18, 25",-0.0012822,,,,,
2025-09-17,174.1,174.95,170.88,171.15,169.79,1730626,1730626,-2.95,-1.69,172.77,"September 17, 25",-0.0169,,,,,
2025-09-16,175.05,175.37,172.11,173.86,172.48,1590127,1590127,-1.19,-0.67981,174.0975,"September 16, 25",-0.0067981,,,,,
2025-09-15,172.34,175.83,172.34,175.04,173.65,2199885,2199885,2.7,1.57,173.8875,"September 15, 25",0.0157,2025-08-11,2025-09-15,1.22,2025-09-30,1.22
2025-09-12,173.75,175.59,173.46,173.5,170.91,1341300,1341300,-0.25,-0.14388,174.075,"September 12, 25",-0.0014388,,,,,
2025-09-11,173.74,174.95,173.29,174.67,172.06,1583069,1583069,0.93,0.53528,174.1625,"September 11, 25",0.0053528,,,,,
2025-09-10,166.59,174.93,166.49,173.89,171.29,3004272,3004272,7.3,4.38,170.475,"September 10, 25",0.0438,,,,,
2025-09-09,161,164.03,160.1,163.98,161.53,1893700,1893700,2.98,1.85,162.2775,"September 09, 25",0.0185,,,,,
2025-09-08,162,162.37,159.22,161.21,158.8,1879755,1879755,-0.79,-0.48765,161.2,"September 08, 25",-0.0048765,,,,,
2025-09-05,164.27,165.59,162.92,163.24,160.8,1352746,1352746,-1.03,-0.62702,164.005,"September 05, 25",-0.0062702,,,,,
2025-09-04,161.65,163.16,160.57,162.84,160.41,1366804,1366804,1.19,0.73616,162.055,"September 04, 25",0.0073616,,,,,
2025-09-03,162.41,163.11,159.22,161.5,159.09,1669606,1669606,-0.91,-0.56031,161.56,"September 03, 25",-0.0056031,,,,,
2025-09-02,165.09,165.92,161.69,162.95,160.52,1404849,1404849,-2.14,-1.3,163.9125,"September 02, 25",-0.013,,,,,
2025-08-29,168.47,169.91,166.31,167.64,165.14,1628400,1628400,-0.83,-0.49267,168.0825,"August 29, 25",-0.0049267,,,,,
2025-08-28,170.3,170.5,168.07,168.57,166.05,1010158,1010158,-1.73,-1.02,169.36,"August 28, 25",-0.0102,,,,,
2025-08-27,168.24,170.37,168,169.73,167.2,1346490,1346490,1.49,0.88564,169.085,"August 27, 25",0.0088564,,,,,
2025-08-26,166.22,170.13,166.2,167.92,165.41,3334732,3334732,1.7,1.02,167.6175,"August 26, 25",0.0102,,,,,
2025-08-25,166.67,167.87,165.36,165.86,163.38,789817,789817,-0.81,-0.48599,166.44,"August 25, 25",-0.0048599,,,,,
2025-08-22,164.85,168.11,164.05,167.06,164.57,1355900,1355900,2.21,1.34,166.0175,"August 22, 25",0.0134,,,,,
2025-08-21,164.14,164.89,162.51,163.78,161.33,1470379,1470379,-0.36,-0.21932,163.83,"August 21, 25",-0.0021932,,,,,
2025-08-20,166.65,168.15,164.56,165.33,162.86,1657900,1657900,-1.32,-0.79208,166.1725,"August 20, 25",-0.0079208,,,,,
2025-08-19,165.26,166.7,165.04,166.57,164.08,1312303,1312303,1.31,0.79269,165.8925,"August 19, 25",0.0079269,,,,,
2025-08-18,167.14,167.35,164.69,165.02,162.56,1625747,1625747,-2.12,-1.27,166.05,"August 18, 25",-0.0127,,,,,
2025-08-15,166.11,168.44,165.82,166.9,164.41,1950420,1950420,0.79,0.47559,166.8175,"August 15, 25",0.0047559,,,,,
2025-08-14,167.17,167.58,164.36,166.22,163.74,1313028,1313028,-0.95,-0.56828,166.3325,"August 14, 25",-0.0056828,,,,,
2025-08-13,169.69,170.69,166.87,168.58,166.06,1488422,1488422,-1.11,-0.65413,168.9575,"August 13, 25",-0.0065413,,,,,
2025-08-12,169.2,170.07,167.31,169.27,166.74,1098931,1098931,0.07,0.04137116,168.9625,"August 12, 25",0.0004137116,,,,,
2025-08-11,169.11,170.2,168.62,168.73,166.21,983354,983354,-0.38,-0.22471,169.165,"August 11, 25",-0.0022471,,,,,
2025-08-08,171.45,171.9,169.48,169.91,167.37,905227,905227,-1.54,-0.89822,170.685,"August 08, 25",-0.0089822,,,,,
2025-08-07,169.81,171.39,169.24,171.23,168.67,1164500,1164500,1.42,0.83623,170.4175,"August 07, 25",0.0083623,,,,,
2025-08-06,172.45,173.12,169.19,169.49,166.96,1285433,1285433,-2.96,-1.72,171.0625,"August 06, 25",-0.0172,,,,,
2025-08-05,172.91,173.25,171.14,172.17,169.6,1041368,1041368,-0.74,-0.42797,172.3675,"August 05, 25",-0.0042797,,,,,
2025-08-04,172.27,173.92,171.62,172.91,170.33,1347700,1347700,0.64,0.37151,172.68,"August 04, 25",0.0037151,,,,,
2025-08-01,176.63,176.65,170.93,172.21,169.64,1662140,1662140,-4.42,-2.5,174.105,"August 01, 25",-0.025,,,,,
2025-07-31,178.24,180.57,175.91,176.44,173.81,1963325,1963325,-1.8,-1.01,177.79,"July 31, 25",-0.0101,,,,,
2025-07-30,178.88,179.87,176.13,177.3,174.65,1128000,1128000,-1.58,-0.88327,178.045,"July 30, 25",-0.0088327,,,,,
2025-07-29,177.44,178.57,175.45,178.3,175.64,1609431,1609431,0.86,0.48467,177.44,"July 29, 25",0.0048467,,,,,
2025-07-28,177.08,179.06,175.69,175.72,173.1,1547000,1547000,-1.36,-0.76801,176.8875,"July 28, 25",-0.0076801,,,,,
2025-07-25,181.5,182,174.81,177.91,175.25,2602236,2602236,-3.59,-1.98,179.055,"July 25, 25",-0.0198,,,,,
2025-07-24,179.06,181.43,178.47,180.02,177.33,1882600,1882600,0.96,0.53613,179.745,"July 24, 25",0.0053613,,,,,
2025-07-23,179.93,179.93,178.03,179.24,176.56,1264636,1264636,-0.69,-0.38348,179.2825,"July 23, 25",-0.0038348,,,,,
2025-07-22,177.61,179.51,177.04,179.34,176.66,1662717,1662717,1.73,0.97404,178.375,"July 22, 25",0.0097404,,,,,
2025-07-21,178.94,180.8,176.21,177.11,174.47,1620108,1620108,-1.83,-1.02,178.265,"July 21, 25",-0.0102,,,,,
2025-07-18,177.39,178.66,176.16,177.98,175.32,1393300,1393300,0.59,0.3326,177.5475,"July 18, 25",0.003326,,,,,
2025-07-17,173,176.99,172.91,176.76,174.12,1706179,1706179,3.76,2.17,174.915,"July 17, 25",0.0217,,,,,
2025-07-16,171.76,173.1,170.77,172.98,170.4,1490114,1490114,1.22,0.71029,172.1525,"July 16, 25",0.0071029,,,,,
2025-07-15,171.87,172.21,170.19,171.13,168.58,1424294,1424294,-0.74,-0.43056,171.35,"July 15, 25",-0.0043056,,,,,
2025-07-14,168.82,171.41,168.6,170.93,168.38,1184300,1184300,2.11,1.25,169.94,"July 14, 25",0.0125,,,,,
2025-07-11,169.22,169.98,168.05,168.47,165.95,1494004,1494004,-0.75,-0.44321,168.93,"July 11, 25",-0.0044321,,,,,
2025-07-10,171.34,172.01,169.27,170.48,167.93,1217283,1217283,-0.86,-0.50193,170.775,"July 10, 25",-0.0050193,,,,,
2025-07-09,170.98,171.94,169.55,171.18,168.62,1004100,1004100,0.2,0.11697,170.9125,"July 09, 25",0.0011697,,,,,
2025-07-08,171.15,171.43,168.45,170.8,168.25,1266600,1266600,-0.35,-0.2045,170.4575,"July 08, 25",-0.002045,,,,,
2025-07-07,172.74,174.16,170.47,171.64,169.08,1267739,1267739,-1.1,-0.6368,172.2525,"July 07, 25",-0.006368,,,,,
2025-07-03,172.7,173.49,171.97,172.6,170.02,780900,780900,-0.1,-0.05790388,172.69,"July 03, 25",-0.0005790388,,,,,
2025-07-02,170.36,173.14,170.01,172.16,169.59,1568700,1568700,1.8,1.06,171.4175,"July 02, 25",0.0106,,,,,
2025-07-01,173.37,174.77,170.15,171.25,168.69,2250400,2250400,-2.12,-1.22,172.385,"July 01, 25",-0.0122,,,,,
2025-06-30,172.53,174.5,170.5,174.33,171.73,2505707,2505707,1.8,1.04,172.965,"June 30, 25",0.0104,,,,,
2025-06-27,169.71,172.35,167.16,171.36,168.8,2658900,2658900,1.65,0.97225,170.145,"June 27, 25",0.0097225,,,,,
2025-06-26,171,171.5,163.64,169.59,167.06,4734315,4734315,-1.41,-0.82456,168.9325,"June 26, 25",-0.0082456,,,,,
2025-06-25,177.02,177.6,170.08,172.25,169.68,2964235,2964235,-4.77,-2.69,174.2375,"June 25, 25",-0.0269,,,,,
2025-06-24,178.35,178.85,176.48,177.66,175.01,1558500,1558500,-0.69,-0.38688,177.835,"June 24, 25",-0.0038688,,,,,
2025-06-23,175.71,177.58,174.26,177.34,174.69,1183411,1183411,1.63,0.92766,176.2225,"June 23, 25",0.0092766,,,,,
2025-06-20,177,177.82,175.18,175.42,172.8,2641469,2641469,-1.58,-0.89266,176.355,"June 20, 25",-0.0089266,,,,,
2025-06-18,175.59,178.24,175.1,176.6,173.96,1470300,1470300,1.01,0.5752,176.3825,"June 18, 25",0.005752,,,,,
2025-06-17,175.92,177.44,175.13,176.06,173.43,1185600,1185600,0.14,0.07958163,176.1375,"June 17, 25",0.0007958163,,,,,
2025-06-16,175.7,177.68,174.81,176.06,173.43,1394500,1394500,0.36,0.20489,176.0625,"June 16, 25",0.0020489,,,,,
2025-06-13,174.03,174.83,172.68,174.47,171.87,1520949,1520949,0.44,0.25283,174.0025,"June 13, 25",0.0025283,2025-05-29,2025-06-13,1.22,2025-06-30,1.22
2025-06-12,175.7,178.08,175.51,176.53,172.69,1924823,1924823,0.83,0.4724,176.455,"June 12, 25",0.004724,,,,,
2025-06-11,177.65,178.71,175.51,175.84,172.02,2042365,2042365,-1.81,-1.02,176.9275,"June 11, 25",-0.0102,,,,,
2025-06-10,177.86,177.88,175.38,177.69,173.83,1766400,1766400,-0.17,-0.09558079,177.2025,"June 10, 25",-0.0009558079,,,,,
2025-06-09,177.44,178.42,175.68,176.68,172.84,1689341,1689341,-0.76,-0.42831,177.055,"June 09, 25",-0.0042831,,,,,
2025-06-06,176.98,177.81,176.27,176.84,172.99,1748428,1748428,-0.14,-0.07910498,176.975,"June 06, 25",-0.0007910498,,,,,
2025-06-05,176.5,177.97,175.51,175.91,172.08,1555521,1555521,-0.59,-0.33428,176.4725,"June 05, 25",-0.0033428,,,,,
2025-06-04,173.6,176.89,173.01,176,172.17,1609317,1609317,2.4,1.38,174.875,"June 04, 25",0.0138,,,,,
2025-06-03,172.7,174.14,171.79,173.74,169.96,1363600,1363600,1.04,0.6022,173.0925,"June 03, 25",0.006022,,,,,
2025-06-02,170.39,172.9,168.4,172.72,168.96,1340713,1340713,2.33,1.37,171.1025,"June 02, 25",0.0137,,,,,
2025-05-30,171.61,172.54,170,171.52,167.79,4130900,4130900,-0.09,-0.0524445,171.4175,"May 30, 25",-0.000524445,,,,,
2025-05-29,172.14,174.14,170.47,172.26,168.51,2204752,2204752,0.12,0.0697107,172.2525,"May 29, 25",0.000697107,,,,,
2025-05-28,170.6,170.96,168.68,169.58,165.89,1840700,1840700,-1.02,-0.59789,169.955,"May 28, 25",-0.0059789,,,,,
2025-05-27,169.72,172.13,169.37,170.68,166.97,1847000,1847000,0.96,0.56564,170.475,"May 27, 25",0.0056564,,,,,
2025-05-23,167.51,169.07,166.25,168.12,164.46,1151600,1151600,0.61,0.36416,167.7375,"May 23, 25",0.0036416,,,,,
2025-05-22,167.3,168.93,166.68,167.95,164.3,1172957,1172957,0.65,0.38852,167.715,"May 22, 25",0.0038852,,,,,
2025-05-21,168.97,170.17,166.84,167.29,163.65,1131305,1131305,-1.68,-0.99426,168.3175,"May 21, 25",-0.0099426,,,,,
2025-05-20,169.91,170.6,168.77,170.13,166.43,933700,933700,0.22,0.12948,169.8525,"May 20, 25",0.0012948,,,,,
2025-05-19,168.38,171.24,167.1,170.79,167.08,1113469,1113469,2.41,1.43,169.3775,"May 19, 25",0.0143,,,,,
2025-05-16,168.39,170.06,167.59,170.05,166.35,1196900,1196900,1.66,0.98581,169.0225,"May 16, 25",0.0098581,,,,,
2025-05-15,165.5,168.1,165.5,167.79,164.14,1629069,1629069,2.29,1.38,166.7225,"May 15, 25",0.0138,,,,,
2025-05-14,166.11,166.87,165.05,165.67,162.07,1901709,1901709,-0.44,-0.26488,165.925,"May 14, 25",-0.0026488,,,,,
2025-05-13,166.74,167.33,164.24,165.8,162.19,2060855,2060855,-0.94,-0.56375,166.0275,"May 13, 25",-0.0056375,,,,,
2025-05-12,170.01,170.4,166,166,162.39,1931214,1931214,-4,-2.36,168.1025,"May 12, 25",-0.0236,,,,,
2025-05-09,166.75,167.42,166.22,166.57,162.95,1399343,1399343,-0.18,-0.10795,166.74,"May 09, 25",-0.0010795,,,,,
2025-05-08,169.17,169.99,166.65,166.7,163.07,1679391,1679391,-2.47,-1.46,168.1275,"May 08, 25",-0.0146,,,,,
2025-05-07,166.41,168.1,166.07,167.18,163.54,2016806,2016806,0.77,0.46271,166.94,"May 07, 25",0.0046271,,,,,
2025-05-06,164.86,167.49,164.82,166.63,163.01,1602100,1602100,1.77,1.07,165.95,"May 06, 25",0.0107,,,,,
2025-05-05,164.14,167.72,164.14,166.64,163.02,1497866,1497866,2.5,1.52,165.66,"May 05, 25",0.0152,,,,,
2025-05-02,164.34,165.27,163.43,164.55,160.97,1510673,1510673,0.21,0.12778,164.3975,"May 02, 25",0.0012778,,,,,
2025-05-01,161.5,165.74,161.5,161.88,158.36,2051926,2051926,0.38,0.23529,162.655,"May 01, 25",0.0023529,,,,,
2025-04-30,157.62,161.1,156.27,160.54,157.05,2044939,2044939,2.92,1.85,158.8825,"April 30, 25",0.0185,,,,,
2025-04-29,160.22,161.45,158.83,159.87,156.39,1624825,1624825,-0.35,-0.21845,160.0925,"April 29, 25",-0.0021845,,,,,
2025-04-28,159.18,161.1,158.77,160.35,156.86,2264894,2264894,1.17,0.73502,159.85,"April 28, 25",0.0073502,,,,,
2025-04-25,160.17,164.48,157.69,159.88,156.4,3387613,3387613,-0.29,-0.18106,160.555,"April 25, 25",-0.0018106,,,,,
2025-04-24,152.12,155.11,151.29,153.75,150.41,1957400,1957400,1.63,1.07,153.0675,"April 24, 25",0.0107,,,,,
2025-04-23,152.9,156.36,150.81,151.54,148.24,1785016,1785016,-1.36,-0.88947,152.9025,"April 23, 25",-0.0088947,,,,,
2025-04-22,147.89,149.85,147.22,148.89,145.65,2097002,2097002,1,0.67618,148.4625,"April 22, 25",0.0067618,,,,,
2025-04-21,148.95,150.26,143.83,146.34,143.16,2572900,2572900,-2.61,-1.75,147.345,"April 21, 25",-0.0175,,,,,
2025-04-17,150,151.94,149.26,150.75,147.47,2040354,2040354,0.75,0.5,150.4875,"April 17, 25",0.005,,,,,
2025-04-16,145.64,149.41,145.64,148.18,144.96,2077800,2077800,2.54,1.74,147.2175,"April 16, 25",0.0174,,,,,
2025-04-15,146.99,148.18,145.37,146.23,143.05,1587713,1587713,-0.76,-0.51704,146.6925,"April 15, 25",-0.0051704,,,,,
2025-04-14,147.05,148.6,145.71,146.31,143.13,1324553,1324553,-0.74,-0.50323,146.9175,"April 14, 25",-0.0050323,,,,,
2025-04-11,140.88,145.66,139.58,145.09,141.93,1663400,1663400,4.21,2.99,142.8025,"April 11, 25",0.0299,,,,,
2025-04-10,142.7,144.46,137.77,142.29,139.2,2162700,2162700,-0.41,-0.28732,141.805,"April 10, 25",-0.0028732,,,,,
2025-04-09,134.51,146.27,130.88,145.77,142.6,3469500,3469500,11.26,8.37,139.3575,"April 09, 25",0.0837,,,,,
2025-04-08,139.5,143,133.82,136.11,133.15,3515236,3515236,-3.39,-2.43,138.1075,"April 08, 25",-0.0243,,,,,
2025-04-07,135,141.54,129.95,136.67,133.7,3819500,3819500,1.67,1.24,135.79,"April 07, 25",0.0124,,,,,
2025-04-04,139.91,140.32,135.53,137.5,134.51,3800800,3800800,-2.41,-1.72,138.315,"April 04, 25",-0.0172,,,,,
2025-04-03,143.14,144.36,139.75,141.09,138.02,3789456,3789456,-2.05,-1.43,142.085,"April 03, 25",-0.0143,,,,,
2025-04-02,144.84,149.27,143.95,148.68,145.45,2164753,2164753,3.84,2.65,146.685,"April 02, 25",0.0265,,,,,
2025-04-01,144.09,146.35,141.67,146.05,142.87,2117817,2117817,1.96,1.36,144.54,"April 01, 25",0.0136,,,,,
2025-03-31,141.91,144.92,139.27,143.29,140.17,3860246,3860246,1.38,0.97245,142.3475,"March 31, 25",0.0097245,,,,,
2025-03-28,144.66,145.77,139.88,142.1,139.01,2799320,2799320,-2.56,-1.77,143.1025,"March 28, 25",-0.0177,,,,,
2025-03-27,148.8,149.32,144.77,144.95,141.8,2706645,2706645,-3.85,-2.59,146.96,"March 27, 25",-0.0259,,,,,
2025-03-26,151.96,153.16,147.92,149.4,146.15,2241912,2241912,-2.56,-1.68,150.61,"March 26, 25",-0.0168,,,,,
2025-03-25,154.09,155.11,150.25,151.42,148.13,2582292,2582292,-2.67,-1.73,152.7175,"March 25, 25",-0.0173,,,,,
2025-03-24,152.4,155.65,152.12,155.49,152.11,2023358,2023358,3.09,2.03,153.915,"March 24, 25",0.0203,,,,,
2025-03-21,150.5,151.67,147.82,150.38,147.11,4766222,4766222,-0.12,-0.07973422,150.0925,"March 21, 25",-0.0007973422,,,,,
2025-03-20,150.45,152.12,149.76,151.41,148.12,1392544,1392544,0.96,0.63809,150.935,"March 20, 25",0.0063809,,,,,
2025-03-19,148.9,153.23,148.6,151.09,147.8,1883231,1883231,2.19,1.47,150.455,"March 19, 25",0.0147,,,,,
2025-03-18,152.29,152.29,147.82,148.66,145.43,1933519,1933519,-3.63,-2.38,150.265,"March 18, 25",-0.0238,,,,,
2025-03-17,148.06,153.36,147.85,151.85,148.55,2224700,2224700,3.79,2.56,150.28,"March 17, 25",0.0256,,,,,
