date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,declarationDate,recordDate,dividend,paymentDate,adjDividend
2026-01-05,154.4,154.5,151.86,153.91,153.91,540391,540391,-0.49,-0.31735751,153.42,"January 05, 26",-0.0031735751,,,,,
2026-01-02,154.64,155.98,153.9,155.03,155.03,2514900,2514900,0.39,0.2522,154.8875,"January 02, 26",0.002522,,,,,
2025-12-31,156.71,156.71,154.41,154.71,154.71,1369956,1369956,-2,-1.28,155.635,"December 31, 25",-0.0128,,,,,
2025-12-30,156,156.64,155.29,156.41,156.41,1086081,1086081,0.41,0.26282,156.085,"December 30, 25",0.0026282,,,,,
2025-12-29,155.17,156.53,155.13,155.65,155.65,1261191,1261191,0.48,0.30934,155.62,"December 29, 25",0.0030934,,,,,
2025-12-26,154.8,155.46,154.38,155.01,155.01,746106,746106,0.21,0.13566,154.9125,"December 26, 25",0.0013566,,,,,
2025-12-24,154.04,155.37,153.26,155.19,155.19,498406,498406,1.15,0.74656,154.465,"December 24, 25",0.0074656,,,,,
2025-12-23,153.18,154.03,151.62,153.88,153.88,1700500,1700500,0.7,0.45698,153.1775,"December 23, 25",0.0045698,,,,,
2025-12-22,150.53,154.26,149.95,153.51,153.51,2443900,2443900,2.98,1.98,152.0625,"December 22, 25",0.0198,,,,,
2025-12-19,148.15,151.68,148.15,149.99,149.99,5257788,5257788,1.84,1.24,149.4925,"December 19, 25",0.0124,,,,,
2025-12-18,151.35,151.96,146.23,147.93,147.93,2545200,2545200,-3.42,-2.26,149.3675,"December 18, 25",-0.0226,,,,,
2025-12-17,150.01,151.4,146.97,148.39,148.39,2820696,2820696,-1.62,-1.08,149.1925,"December 17, 25",-0.0108,,,,,
2025-12-16,153.16,153.79,149.81,150.28,150.28,2710537,2710537,-2.88,-1.88,151.76,"December 16, 25",-0.0188,,,,,
2025-12-15,153.19,153.44,150.65,152.89,152.89,3007947,3007947,-0.3,-0.19584,152.5425,"December 15, 25",-0.0019584,2025-11-03,2025-12-15,1.22,2026-01-16,1.22
2025-12-12,159,159.58,149.26,153.63,152.41,3460033,3460033,-5.37,-3.38,155.3675,"December 12, 25",-0.0338,,,,,
2025-12-11,159.91,159.93,155.84,158.82,157.56,2293904,2293904,-1.09,-0.68163,158.625,"December 11, 25",-0.0068163,,,,,
2025-12-10,162.55,163.41,159,159.51,158.24,2384902,2384902,-3.04,-1.87,161.1175,"December 10, 25",-0.0187,,,,,
2025-12-09,164.25,164.62,162.2,162.76,161.47,1239979,1239979,-1.49,-0.90715,163.4575,"December 09, 25",-0.0090715,,,,,
2025-12-08,165.29,165.4,162.81,163.78,162.48,1637200,1637200,-1.51,-0.91355,164.32,"December 08, 25",-0.0091355,,,,,
2025-12-05,161.02,166,160.5,164.73,163.42,1875291,1875291,3.71,2.3,163.0625,"December 05, 25",0.023,,,,,
2025-12-04,159.9,162.51,158.66,161.02,159.74,1774266,1774266,1.12,0.70044,160.5225,"December 04, 25",0.0070044,,,,,
2025-12-03,157.43,159.88,156.57,159.69,158.42,1362340,1362340,2.26,1.44,158.3925,"December 03, 25",0.0144,,,,,
2025-12-02,156.43,157.3,155.81,156.5,155.26,1293706,1293706,0.07,0.04474845,156.51,"December 02, 25",0.0004474845,,,,,
2025-12-01,158.01,158.82,156.1,156.39,155.15,1357834,1357834,-1.62,-1.03,157.33,"December 01, 25",-0.0103,,,,,
2025-11-28,158.49,160.5,157.63,160.12,158.85,625742,625742,1.63,1.03,159.185,"November 28, 25",0.0103,,,,,
2025-11-26,157.32,160.05,156.71,158.91,157.65,1705141,1705141,1.59,1.01,158.2475,"November 26, 25",0.0101,,,,,
2025-11-25,159.49,159.49,156.52,157.37,156.12,1707621,1707621,-2.12,-1.33,158.2175,"November 25, 25",-0.0133,,,,,
2025-11-24,156.94,159.15,155.32,159.01,157.75,4469901,4469901,2.07,1.32,157.605,"November 24, 25",0.0132,,,,,
2025-11-21,157.79,158.52,154.82,157.18,155.93,2391400,2391400,-0.61,-0.38659,157.0775,"November 21, 25",-0.0038659,,,,,
2025-11-20,161.8,164.34,157.44,157.59,156.34,2446654,2446654,-4.21,-2.6,160.2925,"November 20, 25",-0.026,,,,,
2025-11-19,159.92,160.34,155.54,159.3,158.03,1539430,1539430,-0.62,-0.38769,158.775,"November 19, 25",-0.0038769,,,,,
2025-11-18,158.01,160.62,156.87,159.62,158.35,2058100,2058100,1.61,1.02,158.78,"November 18, 25",0.0102,,,,,
2025-11-17,158.66,159.3,156.87,157.7,156.45,1855100,1855100,-0.96,-0.60507,158.1325,"November 17, 25",-0.0060507,,,,,
2025-11-14,157.02,159.02,156,158.18,156.92,2088800,2088800,1.16,0.73876,157.555,"November 14, 25",0.0073876,,,,,
2025-11-13,162.66,163.5,157.64,158.11,156.85,2687308,2687308,-4.55,-2.8,160.4775,"November 13, 25",-0.028,,,,,
2025-11-12,167.62,167.97,163.82,163.9,162.6,2213528,2213528,-3.72,-2.22,165.8275,"November 12, 25",-0.0222,,,,,
2025-11-11,169.89,170,166.54,168.57,167.23,1354600,1354600,-1.32,-0.77697,168.75,"November 11, 25",-0.0077697,,,,,
2025-11-10,169.37,170.29,167.63,169.21,167.87,1247600,1247600,-0.16,-0.09446773,169.125,"November 10, 25",-0.0009446773,,,,,
2025-11-07,168,170.09,166.01,169.89,168.54,1211917,1211917,1.89,1.12,168.4975,"November 07, 25",0.0112,,,,,
2025-11-06,166,169.78,165,168.35,167.01,1473655,1473655,2.35,1.42,167.2825,"November 06, 25",0.0142,,,,,
2025-11-05,168.68,168.94,166.43,166.52,165.2,1681184,1681184,-2.16,-1.28,167.6425,"November 05, 25",-0.0128,,,,,
