holder,shares,dateReported,change
FMR LLC,60250043,2025-09-30,4444010
VANGUARD GROUP INC,51298877,2025-09-30,-68827
"BlackRock, Inc.",40190466,2025-09-30,-3794829
STATE STREET CORP,19160395,2025-09-30,-231210
JANUS HENDERSON GROUP PLC,15202747,2025-09-30,-480175
JPMORGAN CHASE & CO,15122744,2025-09-30,1763281
"GEODE CAPITAL MANAGEMENT, LLC",11174055,2025-09-30,-122246
AMERIPRISE FINANCIAL INC,8706210,2025-09-30,-3499786
BANK OF AMERICA CORP /DE/,8165391,2025-09-30,434957
Invesco Ltd.,7439519,2025-09-30,634381
MORGAN STANLEY,7371136,2025-09-30,-1140696
GOLDMAN SACHS GROUP INC,6593010,2025-09-30,-78553
"Allspring Global Investments Holdings, LLC",5889080,2025-09-30,53748
BAILLIE GIFFORD & CO,5064602,2025-09-30,-271175
BARCLAYS PLC,4795100,2025-09-30,-2497537
Capital International Investors,4249967,2025-09-30,22699
Amundi,4211299,2025-09-30,709113
DIMENSIONAL FUND ADVISORS LP,4091382,2025-09-30,-602122
UBS Group AG,4065961,2025-09-30,-1882520
CITIGROUP INC,4017345,2025-09-30,-508539
"Rafferty Asset Management, LLC",3815754,2025-09-30,-2021748
"TWO SIGMA INVESTMENTS, LP",3749751,2025-09-30,3240375
NORTHERN TRUST CORP,3671056,2025-09-30,-47185
VAN ECK ASSOCIATES CORP,3426535,2025-09-30,279988
"VOLORIDGE INVESTMENT MANAGEMENT, LLC",3331427,2025-09-30,1157962
UBS ASSET MANAGEMENT AMERICAS INC,3316194,2025-09-30,-303186
WORLDQUANT MILLENNIUM ADVISORS LLC,3098221,2025-09-30,2674857
HEALTHCARE OF ONTARIO PENSION PLAN TRUST FUND,3070746,2025-09-30,778356
DEUTSCHE BANK AG\,3068077,2025-09-30,394075
FIRST TRUST ADVISORS LP,2887468,2025-09-30,-440381
Pictet Asset Management Holding SA,2869207,2025-09-30,-501881
Legal & General Group Plc,2836802,2025-09-30,83107
ROYAL BANK OF CANADA,2808621,2025-09-30,1244026
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,2684962,2025-09-30,-25631
M&G Plc,2647003,2025-09-30,187899
"TWO SIGMA ADVISERS, LP",2581100,2025-09-30,820300
Bank of New York Mellon Corp,2343457,2025-09-30,-135293
MILLENNIUM MANAGEMENT LLC,2254598,2025-09-30,1301599
BANK OF MONTREAL /CAN/,2204085,2025-09-30,148626
"BNP PARIBAS ARBITRAGE, SNC",2100279,2025-09-30,-484130
Neuberger Berman Group LLC,2091686,2025-09-30,2047821
