holder,shares,dateReported,change
Boltwood Capital Management,0,2025-12-31,-4051
VANGUARD GROUP INC,93126207,2025-09-30,-246936
Capital Research Global Investors,75366127,2025-09-30,139783
Capital International Investors,57982302,2025-09-30,3630524
"BlackRock, Inc.",53938345,2025-09-30,252820
JPMORGAN CHASE & CO,36953026,2025-09-30,-1583275
STATE STREET CORP,33377339,2025-09-30,473692
Capital World Investors,27152708,2025-09-30,-1690424
"GEODE CAPITAL MANAGEMENT, LLC",17351316,2025-09-30,174730
"Fisher Asset Management, LLC",15139140,2025-09-30,90585
DODGE & COX,13427697,2025-09-30,651648
MORGAN STANLEY,11546497,2025-09-30,-1599441
BROWN ADVISORY INC,10627069,2025-09-30,345189
"Nuveen, LLC",10397062,2025-09-30,-1190570
NORTHERN TRUST CORP,8361004,2025-09-30,-70611
Bank of New York Mellon Corp,6740099,2025-09-30,1525266
UBS ASSET MANAGEMENT AMERICAS INC,6666081,2025-09-30,-1233089
Fiera Capital Corp,6574673,2025-09-30,-226017
DIMENSIONAL FUND ADVISORS LP,6076656,2025-09-30,611651
StonePine Asset Management Inc.,5315444,2025-09-30,14961
SCHRODER INVESTMENT MANAGEMENT GROUP,5274515,2025-09-30,-1372393
Artisan Partners Limited Partnership,5152640,2025-09-30,199902
GOLDMAN SACHS GROUP INC,5129737,2025-09-30,-1164956
BANK OF AMERICA CORP /DE/,5123819,2025-09-30,-184367
Legal & General Group Plc,4845332,2025-09-30,175796
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,4751881,2025-09-30,31556
ALLIANCEBERNSTEIN L.P.,4398508,2025-09-30,-215922
AMERIPRISE FINANCIAL INC,4187219,2025-09-30,3496372
Invesco Ltd.,4154772,2025-09-30,318643
Impax Asset Management Group plc,4147476,2025-09-30,1457765
Pictet Asset Management Holding SA,4037933,2025-09-30,80174
FIDUCIARY MANAGEMENT INC /WI/,3773058,2025-09-30,274460
UBS Group AG,3482107,2025-09-30,634237
PRIMECAP MANAGEMENT CO/CA/,3326325,2025-09-30,662310
VICTORY CAPITAL MANAGEMENT INC,3318609,2025-09-30,-256519
ROYAL BANK OF CANADA,3095172,2025-09-30,-886295
"Gates Capital Management, Inc.",2927506,2025-09-30,0
ENVESTNET ASSET MANAGEMENT INC,2858192,2025-09-30,-7355
PRICE T ROWE ASSOCIATES INC /MD/,2740237,2025-09-30,-424944
RAYMOND JAMES FINANCIAL INC,2719026,2025-09-30,749162
National Pension Service,2651861,2025-09-30,30812
Amundi,2529638,2025-09-30,672876
DEUTSCHE BANK AG\,2370316,2025-09-30,224659
Swiss National Bank,2224185,2025-09-30,-129700
PRINCIPAL FINANCIAL GROUP INC,2194482,2025-09-30,-354096
"Russell Investments Group, Ltd.",2040282,2025-09-30,59079
FMR LLC,2006657,2025-09-30,-1352720
SEI INVESTMENTS CO,1870643,2025-09-30,62507
"Sumitomo Mitsui Trust Holdings, Inc.",1831847,2025-09-30,-11751
BARCLAYS PLC,1652175,2025-09-30,-374164
"Mitsubishi UFJ Kokusai Asset Management Co., Ltd.",1629252,2025-09-30,78153
"JANE STREET GROUP, LLC",1543009,2025-09-30,-979795
RHUMBLINE ADVISERS,1477959,2025-09-30,18133
CAUSEWAY CAPITAL MANAGEMENT LLC,1466481,2025-09-30,1466481
NEW YORK STATE COMMON RETIREMENT FUND,1463224,2025-09-30,109188
WELLS FARGO & COMPANY/MN,1438353,2025-09-30,161539
"Ensign Peak Advisors, Inc",1407805,2025-09-30,57377
HSBC HOLDINGS PLC,1400400,2025-09-30,70100
CALIFORNIA PUBLIC EMPLOYEES RETIREMENT SYSTEM,1372290,2025-09-30,40422
DekaBank Deutsche Girozentrale,1336403,2025-09-30,0
"BNP PARIBAS ARBITRAGE, SNC",1299252,2025-09-30,186349
PRUDENTIAL FINANCIAL INC,1293247,2025-09-30,-9372
"Capital International, Inc./CA/",1247580,2025-09-30,132124
CALIFORNIA STATE TEACHERS RETIREMENT SYSTEM,1233399,2025-09-30,-12507
GREAT WEST LIFE ASSURANCE CO /CAN/,1172712,2025-09-30,10429
Burgundy Asset Management Ltd.,1165423,2025-09-30,-182865
"D. E. Shaw & Co., Inc.",1147946,2025-09-30,637544
Qube Research & Technologies Ltd,1136139,2025-09-30,-1500721
MASSACHUSETTS FINANCIAL SERVICES CO /MA/,1054764,2025-09-30,-133592
"HighTower Advisors, LLC",1031823,2025-09-30,-39654
SUMMITRY LLC,1014643,2025-09-30,23420
"MANUFACTURERS LIFE INSURANCE COMPANY, THE",964473,2025-09-30,509795
"PNC FINANCIAL SERVICES GROUP, INC.",946401,2025-09-30,-34010
Bristol Gate Capital Partners Inc.,944185,2025-09-30,-31471
"NICHOLAS COMPANY, INC.",922625,2025-09-30,405
abrdn plc,905489,2025-09-30,146103
Universal- Beteiligungs- und Servicegesellschaft mbH,904289,2025-09-30,-63682
MACQUARIE GROUP LTD,901779,2025-09-30,22501
CITADEL ADVISORS LLC,890693,2025-09-30,238765
"Clark Capital Management Group, Inc.",890228,2025-09-30,17247
"Reynders McVeigh Capital Management, LLC",888694,2025-09-30,27987
Capital International Sarl,842621,2025-09-30,50325
LPL Financial LLC,836554,2025-09-30,115338
Rockefeller Capital Management L.P.,783035,2025-09-30,-19037
STATE BOARD OF ADMINISTRATION OF FLORIDA RETIREMENT SYSTEM,747819,2025-09-30,-62765
PANAGORA ASSET MANAGEMENT INC,726921,2025-09-30,701602
BNP Paribas Asset Management Holding S.A.,701641,2025-09-30,293869
"GREAT LAKES ADVISORS, LLC",678497,2025-09-30,-10200
CAISSE DE DEPOT ET PLACEMENT DU QUEBEC,665764,2025-09-30,484955
"Vident Advisory, LLC",663421,2025-09-30,101120
BAHL & GAYNOR INC,663297,2025-09-30,243564
AVIVA PLC,657020,2025-09-30,38922
CANADA PENSION PLAN INVESTMENT BOARD,632350,2025-09-30,118391
FRANKLIN RESOURCES INC,616372,2025-09-30,263086
BANK OF MONTREAL /CAN/,615606,2025-09-30,96396
"ExodusPoint Capital Management, LP",612221,2025-09-30,67317
Creative Planning,584594,2025-09-30,131654
"WEALTH ENHANCEMENT ADVISORY SERVICES, LLC",584313,2025-09-30,-8789
