date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,recordDate,paymentDate,dividend,declarationDate,adjDividend
2026-01-05,59.655,61.48,59.56,61.2,61.2,1529543,1529543,1.55,2.58989,60.75,"January 05, 26",0.0258989,,,,,
2026-01-02,58.46,59.65,58.25,59.39,59.39,6862755,6862755,0.93,1.59,58.9375,"January 02, 26",0.0159,,,,,
2025-12-31,58.87,59.11,58.39,58.41,58.41,2396349,2396349,-0.455,-0.78138,58.695,"December 31, 25",-0.0078138,,,,,
2025-12-30,59.25,59.33,58.72,58.95,58.95,2064922,2064922,-0.3,-0.50633,59.0625,"December 30, 25",-0.0050633,,,,,
2025-12-29,59.85,59.95,59.09,59.14,59.14,2331866,2331866,-0.71,-1.19,59.5075,"December 29, 25",-0.0119,,,,,
2025-12-26,59.86,60,59.53,59.83,59.83,1891898,1891898,-0.03,-0.05011694,59.805,"December 26, 25",-0.0005011694,,,,,
2025-12-24,59.69,60.01,59.36,59.86,59.86,1111600,1111600,0.17,0.2848,59.73,"December 24, 25",0.002848,,,,,
2025-12-23,59.96,60.1,59.47,59.51,59.51,3023413,3023413,-0.45,-0.7505,59.76,"December 23, 25",-0.007505,,,,,
2025-12-22,59.33,59.9,59.3,59.88,59.88,3170946,3170946,0.55,0.92702,59.6025,"December 22, 25",0.0092702,,,,,
2025-12-19,58.63,59.33,58.49,59.19,59.19,6614301,6614301,0.56,0.95514,58.91,"December 19, 25",0.0095514,,,,,
2025-12-18,58.81,59.16,58.09,58.41,58.41,4092133,4092133,-0.4,-0.68016,58.6175,"December 18, 25",-0.0068016,,,,,
2025-12-17,58.38,59.05,58.18,58.61,58.61,4661364,4661364,0.23,0.39397,58.555,"December 17, 25",0.0039397,,,,,
2025-12-16,58.56,58.75,57.91,58.14,58.14,4225215,4225215,-0.42,-0.71721,58.34,"December 16, 25",-0.0071721,,,,,
2025-12-15,58.63,59.22,58.23,58.44,58.44,4708845,4708845,-0.19,-0.32407,58.63,"December 15, 25",-0.0032407,,,,,
2025-12-12,58.75,58.9,57.74,58.39,58.39,5720931,5720931,-0.36,-0.61277,58.445,"December 12, 25",-0.0061277,,,,,
2025-12-11,57.75,59.31,57.63,58.35,58.35,7920749,7920749,0.6,1.04,58.26,"December 11, 25",0.0104,,,,,
2025-12-10,56.08,58.76,55.98,58.46,58.46,10233795,10233795,2.38,4.24,57.32,"December 10, 25",0.0424,,,,,
2025-12-09,55.71,56.73,55.09,55.94,55.94,8558451,8558451,0.23,0.41285,55.8675,"December 09, 25",0.0041285,,,,,
2025-12-08,55.64,56.44,55.46,55.76,55.76,6308673,6308673,0.12,0.21567,55.825,"December 08, 25",0.0021567,,,,,
2025-12-05,55.67,56.17,55.44,55.46,55.46,5209500,5209500,-0.21,-0.37722,55.685,"December 05, 25",-0.0037722,,,,,
2025-12-04,55.45,56.05,55.45,55.88,55.88,4650700,4650700,0.43,0.77547,55.7075,"December 04, 25",0.0077547,,,,,
2025-12-03,54.85,55.71,54.6,55.68,55.68,5552147,5552147,0.83,1.51,55.21,"December 03, 25",0.0151,,,,,
2025-12-02,54.92,55.09,54.27,54.66,54.66,5450503,5450503,-0.26,-0.47342,54.735,"December 02, 25",-0.0047342,,,,,
2025-12-01,53.93,54.95,53.78,54.58,54.58,5027867,5027867,0.65,1.21,54.31,"December 01, 25",0.0121,,,,,
2025-11-28,54.17,54.41,54.04,54.1,54.1,1508100,1508100,-0.07,-0.12922,54.18,"November 28, 25",-0.0012922,,,,,
2025-11-26,54.19,54.64,53.98,53.98,53.98,3514300,3514300,-0.21,-0.38753,54.1975,"November 26, 25",-0.0038753,,,,,
2025-11-25,53.19,54.45,52.99,54.19,54.19,4337752,4337752,1,1.88,53.705,"November 25, 25",0.0188,,,,,
2025-11-24,52.14,52.94,51.97,52.79,52.79,3938800,3938800,0.65,1.25,52.46,"November 24, 25",0.0125,,,,,
2025-11-21,50.94,52.58,50.75,52.3,52.3,5336062,5336062,1.36,2.67,51.6425,"November 21, 25",0.0267,,,,,
2025-11-20,51.8,52.66,50.61,50.7,50.7,4184205,4184205,-1.1,-2.12,51.4425,"November 20, 25",-0.0212,,,,,
2025-11-19,50.42,51.27,50.2,51.16,51.16,3412700,3412700,0.74,1.47,50.7625,"November 19, 25",0.0147,,,,,
2025-11-18,49.28,50.94,49,50.43,50.43,4497700,4497700,1.15,2.33,49.9125,"November 18, 25",0.0233,,,,,
2025-11-17,51.45,51.77,49.42,49.71,49.71,4963125,4963125,-1.74,-3.38,50.5875,"November 17, 25",-0.0338,,,,,
2025-11-14,51.41,51.98,50.86,51.69,51.69,3462000,3462000,0.28,0.54464,51.485,"November 14, 25",0.0054464,,,,,
2025-11-13,52.33,52.79,51.61,51.71,51.71,3052596,3052596,-0.62,-1.18,52.11,"November 13, 25",-0.0118,,,,,
2025-11-12,52.37,53.5,52.36,52.66,52.66,3888828,3888828,0.29,0.55375,52.7225,"November 12, 25",0.0055375,,,,,
2025-11-11,52.35,52.73,51.92,52.24,52.24,2944618,2944618,-0.11,-0.21012,52.31,"November 11, 25",-0.0021012,,,,,
2025-11-10,51.92,52.58,51.69,52.35,52.35,3369354,3369354,0.43,0.8282,52.135,"November 10, 25",0.008282,,,,,
2025-11-07,50.53,51.71,50.34,51.7,51.7,3539516,3539516,1.17,2.32,51.07,"November 07, 25",0.0232,,,,,
2025-11-06,51.2,51.96,50.61,50.9,50.9,4314970,4314970,-0.3,-0.58594,51.1675,"November 06, 25",-0.0058594,,,,,
2025-11-05,50.65,51.9,50.32,51.44,51.44,3054900,3054900,0.79,1.56,51.0775,"November 05, 25",0.0156,,,,,
2025-11-04,50.52,51.19,50.03,50.73,50.73,3579581,3579581,0.21,0.41568,50.6175,"November 04, 25",0.0041568,,,,,
2025-11-03,50.78,51.01,50.1,51.01,51.01,3892367,3892367,0.23,0.45293,50.725,"November 03, 25",0.0045293,,,,,
2025-10-31,50.22,51.05,50.03,50.87,50.87,3184227,3184227,0.65,1.29,50.5425,"October 31, 25",0.0129,,,,,
2025-10-30,50.37,51.49,50.2,50.57,50.57,3546339,3546339,0.2,0.39706,50.6575,"October 30, 25",0.0039706,,,,,
2025-10-29,50.3,51.26,50.04,50.43,50.43,3254227,3254227,0.13,0.25845,50.5075,"October 29, 25",0.0025845,2025-10-29,2025-11-12,0.46,2025-10-15,0.46
2025-10-28,51.83,51.83,51.06,51.33,50.87,3826237,3826237,-0.5,-0.96469,51.5125,"October 28, 25",-0.0096469,,,,,
2025-10-27,52.5,52.92,51.42,51.91,51.44,5068009,5068009,-0.59,-1.12,52.1875,"October 27, 25",-0.0112,,,,,
2025-10-24,51.44,52.52,51.3,52.18,51.71,3135148,3135148,0.74,1.44,51.86,"October 24, 25",0.0144,,,,,
2025-10-23,50.7,51.21,50.47,50.96,50.5,4075140,4075140,0.26,0.51282,50.835,"October 23, 25",0.0051282,,,,,
2025-10-22,51.14,51.32,50.3,50.62,50.17,4239142,4239142,-0.52,-1.02,50.845,"October 22, 25",-0.0102,,,,,
2025-10-21,50.18,51.14,50.07,50.83,50.37,3960300,3960300,0.65,1.3,50.555,"October 21, 25",0.013,,,,,
2025-10-20,49.47,50.49,49.4,50.29,49.84,4137274,4137274,0.82,1.66,49.9125,"October 20, 25",0.0166,,,,,
2025-10-17,48.77,49.61,48.31,49.31,48.87,9379438,9379438,0.54,1.11,49,"October 17, 25",0.0111,,,,,
2025-10-16,51.88,51.88,47.96,48.39,47.96,8385601,8385601,-3.49,-6.73,50.0275,"October 16, 25",-0.0673,,,,,
2025-10-15,53,53.31,51.01,51.7,51.24,7970415,7970415,-1.3,-2.45,52.255,"October 15, 25",-0.0245,,,,,
2025-10-14,50,51.99,50,51.8,51.34,6943348,6943348,1.8,3.6,50.9475,"October 14, 25",0.036,,,,,
2025-10-13,50.12,50.51,49.71,50.25,49.8,3521577,3521577,0.13,0.25938,50.1475,"October 13, 25",0.0025938,,,,,
2025-10-10,52.06,52.3,49.21,49.25,48.81,5751400,5751400,-2.81,-5.4,50.705,"October 10, 25",-0.054,,,,,
2025-10-09,52.56,52.68,51.76,51.85,51.39,7662500,7662500,-0.71,-1.35,52.2125,"October 09, 25",-0.0135,,,,,
2025-10-08,53.51,53.51,51.99,52.01,51.54,6304028,6304028,-1.5,-2.8,52.755,"October 08, 25",-0.028,,,,,
