date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,recordDate,paymentDate,dividend,declarationDate,adjDividend
2025-10-07,54.32,54.45,53.05,53.13,52.65,4403367,4403367,-1.19,-2.19,53.7375,"October 07, 25",-0.0219,,,,,
2025-10-06,54.2,55.24,53.52,54,53.52,4402168,4402168,-0.2,-0.369,54.24,"October 06, 25",-0.00369,,,,,
2025-10-03,53.39,53.96,53.16,53.82,53.34,6819100,6819100,0.43,0.80539,53.5825,"October 03, 25",0.0080539,,,,,
2025-10-02,52.58,53.13,52.34,52.98,52.51,3322052,3322052,0.4,0.76075,52.7575,"October 02, 25",0.0076075,,,,,
2025-10-01,53.26,53.36,52.43,52.74,52.27,3935513,3935513,-0.52,-0.97634,52.9475,"October 01, 25",-0.0097634,,,,,
2025-09-30,53.76,54,52.21,53.16,52.68,4843848,4843848,-0.6,-1.12,53.2825,"September 30, 25",-0.0112,,,,,
2025-09-29,54.5,54.5,52.93,53.65,53.17,4604736,4604736,-0.85,-1.56,53.895,"September 29, 25",-0.0156,,,,,
2025-09-26,53.26,53.67,52.82,53.38,52.9,3311876,3311876,0.12,0.22531,53.2825,"September 26, 25",0.0022531,,,,,
2025-09-25,52.83,53.16,52.55,52.89,52.42,4490300,4490300,0.06,0.11357,52.8575,"September 25, 25",0.0011357,,,,,
2025-09-24,53.12,53.59,52.46,53.15,52.67,4058752,4058752,0.03,0.0564759,53.08,"September 24, 25",0.000564759,,,,,
2025-09-23,52.72,53.89,52.59,53.11,52.63,4515700,4515700,0.39,0.73976,53.0775,"September 23, 25",0.0073976,,,,,
2025-09-22,53,53.57,52.28,52.55,52.08,3353929,3353929,-0.45,-0.84906,52.85,"September 22, 25",-0.0084906,,,,,
2025-09-19,53.58,53.78,53.19,53.55,53.07,9097701,9097701,-0.03,-0.05599104,53.525,"September 19, 25",-0.0005599104,,,,,
2025-09-18,52.61,53.76,52.3,53.64,53.16,6609043,6609043,1.03,1.96,53.0775,"September 18, 25",0.0196,,,,,
2025-09-17,51.15,53,51.15,52.27,51.8,6756219,6756219,1.12,2.19,51.8925,"September 17, 25",0.0219,,,,,
2025-09-16,51.42,51.42,50.42,51.13,50.67,4780000,4780000,-0.29,-0.56398,51.0975,"September 16, 25",-0.0056398,,,,,
2025-09-15,51.86,52.04,51.24,51.34,50.88,2861840,2861840,-0.52,-1,51.62,"September 15, 25",-0.01,,,,,
2025-09-12,51.67,52.08,51.5,51.82,51.36,3733200,3733200,0.15,0.2903,51.7675,"September 12, 25",0.002903,,,,,
2025-09-11,51.81,52.11,51.41,51.76,51.3,4398066,4398066,-0.05,-0.09650647,51.7725,"September 11, 25",-0.0009650647,,,,,
2025-09-10,52.01,52.14,51.5,51.81,51.35,3332400,3332400,-0.2,-0.38454,51.865,"September 10, 25",-0.0038454,,,,,
2025-09-09,51.73,52.31,51.46,51.71,51.25,3971000,3971000,-0.02,-0.03866228,51.8025,"September 09, 25",-0.0003866228,,,,,
2025-09-08,51.87,51.87,50.92,51.7,51.24,3396188,3396188,-0.17,-0.32774,51.59,"September 08, 25",-0.0032774,,,,,
2025-09-05,52.61,52.85,51.25,51.71,51.25,2997600,2997600,-0.9,-1.71,52.105,"September 05, 25",-0.0171,,,,,
2025-09-04,51.93,52.52,51.61,52.51,52.04,2806873,2806873,0.58,1.12,52.1425,"September 04, 25",0.0112,,,,,
2025-09-03,51.61,52.22,51.06,51.67,51.21,3084136,3084136,0.06,0.11626,51.64,"September 03, 25",0.0011626,,,,,
2025-09-02,51.4,51.87,51,51.6,51.14,5375542,5375542,0.2,0.38911,51.4675,"September 02, 25",0.0038911,,,,,
2025-08-29,52.19,52.53,51.99,52.28,51.81,2617400,2617400,0.09,0.17245,52.2475,"August 29, 25",0.0017245,,,,,
2025-08-28,52.12,52.2,51.74,52.16,51.69,3833100,3833100,0.04,0.07674597,52.055,"August 28, 25",0.0007674597,,,,,
2025-08-27,51.06,52.03,51.06,51.9,51.43,2991608,2991608,0.84,1.65,51.5125,"August 27, 25",0.0165,,,,,
2025-08-26,50.5,51.4,50.47,51.31,50.85,4097431,4097431,0.81,1.6,50.92,"August 26, 25",0.016,,,,,
2025-08-25,50.64,50.88,50.37,50.69,50.24,2935482,2935482,0.05,0.09873618,50.645,"August 25, 25",0.0009873618,,,,,
2025-08-22,48.77,50.79,48.68,50.77,50.32,5327100,5327100,2,4.1,49.7525,"August 22, 25",0.041,,,,,
2025-08-21,48.53,48.75,48.16,48.46,48.03,2897755,2897755,-0.07,-0.14424,48.475,"August 21, 25",-0.0014424,,,,,
2025-08-20,48.38,48.92,48.05,48.81,48.37,4342616,4342616,0.43,0.8888,48.54,"August 20, 25",0.008888,,,,,
2025-08-19,48.43,49.01,48.25,48.39,47.96,3998919,3998919,-0.04,-0.08259343,48.52,"August 19, 25",-0.0008259343,,,,,
2025-08-18,48.19,48.58,48.02,48.54,48.11,2613500,2613500,0.35,0.72629,48.3325,"August 18, 25",0.0072629,,,,,
2025-08-15,49.37,49.43,48.27,48.28,47.85,2961700,2961700,-1.09,-2.21,48.8375,"August 15, 25",-0.0221,,,,,
2025-08-14,48.04,49.25,47.92,49.21,48.77,3697030,3697030,1.17,2.44,48.605,"August 14, 25",0.0244,,,,,
2025-08-13,48.4,48.65,47.9,48.55,48.11,3968937,3968937,0.15,0.30992,48.375,"August 13, 25",0.0030992,,,,,
2025-08-12,47.35,48.18,47.21,48.14,47.71,3851794,3851794,0.79,1.67,47.72,"August 12, 25",0.0167,,,,,
2025-08-11,47.36,47.56,46.79,46.93,46.51,3410803,3410803,-0.43,-0.90794,47.16,"August 11, 25",-0.0090794,,,,,
2025-08-08,47.06,47.46,46.63,47.28,46.86,3150668,3150668,0.22,0.46749,47.1075,"August 08, 25",0.0046749,,,,,
2025-08-07,47.43,47.43,46.53,46.64,46.22,3709300,3709300,-0.79,-1.67,47.0075,"August 07, 25",-0.0167,,,,,
2025-08-06,47.4,47.65,46.92,46.94,46.52,4012435,4012435,-0.46,-0.97046,47.2275,"August 06, 25",-0.0097046,,,,,
2025-08-05,47.79,47.87,46.62,47.3,46.88,4959900,4959900,-0.49,-1.03,47.395,"August 05, 25",-0.0103,,,,,
2025-08-04,47.01,47.66,46.7,47.58,47.15,4873800,4873800,0.57,1.21,47.2375,"August 04, 25",0.0121,,,,,
2025-08-01,47.17,47.17,45.91,46.82,46.4,5799022,5799022,-0.35,-0.742,46.7675,"August 01, 25",-0.00742,,,,,
2025-07-31,48,48.31,47.63,47.72,47.29,4652779,4652779,-0.28,-0.58333,47.915,"July 31, 25",-0.0058333,2025-07-31,2025-08-14,0.42,2025-07-17,0.42
2025-07-30,49.19,49.45,48.28,48.69,47.84,3462261,3462261,-0.5,-1.02,48.9025,"July 30, 25",-0.0102,,,,,
2025-07-29,49.74,49.75,48.9,49.09,48.23,2812300,2812300,-0.65,-1.31,49.37,"July 29, 25",-0.0131,,,,,
2025-07-28,49.45,49.6,49.07,49.33,48.47,3068433,3068433,-0.12,-0.24267,49.3625,"July 28, 25",-0.0024267,,,,,
2025-07-25,49.34,49.53,48.4,49.49,48.63,5220000,5220000,0.15,0.30401,49.19,"July 25, 25",0.0030401,,,,,
2025-07-24,49.98,49.98,49.16,49.28,48.42,2708417,2708417,-0.7,-1.4,49.6,"July 24, 25",-0.014,,,,,
2025-07-23,49.24,49.96,48.86,49.88,49.01,6110146,6110146,0.64,1.3,49.485,"July 23, 25",0.013,,,,,
2025-07-22,48.59,49.27,48.18,49.13,48.27,6143352,6143352,0.54,1.11,48.7925,"July 22, 25",0.0111,,,,,
2025-07-21,48.65,49.24,48.51,48.6,47.75,4703033,4703033,-0.05,-0.10277,48.75,"July 21, 25",-0.0010277,,,,,
2025-07-18,49.68,49.68,48.44,48.58,47.73,9470100,9470100,-1.1,-2.21,49.095,"July 18, 25",-0.0221,,,,,
2025-07-17,47.29,49.4,46.94,48.82,47.97,13406448,13406448,1.53,3.24,48.1125,"July 17, 25",0.0324,,,,,
2025-07-16,47.07,47.14,46.08,46.97,46.15,6483727,6483727,-0.1,-0.21245,46.815,"July 16, 25",-0.0021245,,,,,
2025-07-15,47.72,47.91,46.64,46.69,45.87,5823992,5823992,-1.03,-2.16,47.24,"July 15, 25",-0.0216,,,,,
2025-07-14,47.57,47.92,47.35,47.88,47.04,4945603,4945603,0.31,0.65167,47.68,"July 14, 25",0.0065167,,,,,
2025-07-11,47.49,47.89,47.27,47.67,46.84,3750332,3750332,0.18,0.37903,47.58,"July 11, 25",0.0037903,,,,,
2025-07-10,47.5,48.13,47.28,47.9,47.06,5402710,5402710,0.4,0.84211,47.7025,"July 10, 25",0.0084211,,,,,
2025-07-09,48.12,48.16,47.05,47.38,46.55,7336043,7336043,-0.74,-1.54,47.6775,"July 09, 25",-0.0154,,,,,
2025-07-08,47.42,48.08,47.06,47.53,46.7,7950701,7950701,0.11,0.23197,47.5225,"July 08, 25",0.0023197,,,,,
2025-07-07,47.45,47.85,46.75,47.06,46.24,4801408,4801408,-0.39,-0.82192,47.2775,"July 07, 25",-0.0082192,,,,,
2025-07-03,47.5,47.93,47.24,47.72,46.89,3302900,3302900,0.22,0.46316,47.5975,"July 03, 25",0.0046316,,,,,
2025-07-02,46.19,47.08,46.01,47.03,46.21,5412361,5412361,0.84,1.82,46.5775,"July 02, 25",0.0182,,,,,
2025-07-01,44.7,46.16,44.64,46.1,45.3,6367198,6367198,1.4,3.13,45.4,"July 01, 25",0.0313,,,,,
2025-06-30,44.7,45.15,44.58,44.75,43.97,7340740,7340740,0.05,0.11186,44.795,"June 30, 25",0.0011186,,,,,
2025-06-27,44.19,44.6,44.04,44.43,43.65,7484304,7484304,0.24,0.54311,44.315,"June 27, 25",0.0054311,,,,,
2025-06-26,43.38,44.23,43.33,44.12,43.35,4707351,4707351,0.74,1.71,43.765,"June 26, 25",0.0171,,,,,
2025-06-25,42.9,43.18,42.67,43.12,42.37,3008918,3008918,0.22,0.51282,42.9675,"June 25, 25",0.0051282,,,,,
2025-06-24,42.82,43.5,42.71,42.92,42.17,5068900,5068900,0.105,0.23354,42.9875,"June 24, 25",0.0023354,,,,,
2025-06-23,41.45,42.55,41.38,42.5,41.76,4511418,4511418,1.05,2.53,41.97,"June 23, 25",0.0253,,,,,
2025-06-20,41.47,41.9,41.37,41.71,40.98,6122300,6122300,0.245,0.57873,41.6125,"June 20, 25",0.0057873,,,,,
2025-06-18,40.41,41.64,40.41,41.32,40.6,5895200,5895200,0.91,2.25,40.945,"June 18, 25",0.0225,,,,,
2025-06-17,40.61,41.13,40.25,40.45,39.74,4319803,4319803,-0.16,-0.39399,40.61,"June 17, 25",-0.0039399,,,,,
2025-06-16,40.82,41.35,40.56,41.01,40.29,5069984,5069984,0.19,0.46546,40.935,"June 16, 25",0.0046546,,,,,
2025-06-13,40.74,41.01,40.17,40.33,39.63,4457646,4457646,-0.415,-1.01,40.5625,"June 13, 25",-0.0101,,,,,
2025-06-12,41.13,41.22,40.6,41.17,40.45,5923715,5923715,0.04,0.09725261,41.03,"June 12, 25",0.0009725261,,,,,
2025-06-11,42.25,42.5,41.35,41.4,40.68,7073900,7073900,-0.85,-2.01,41.875,"June 11, 25",-0.0201,,,,,
2025-06-10,41.31,42.12,41.16,41.97,41.24,6139500,6139500,0.66,1.6,41.64,"June 10, 25",0.016,,,,,
2025-06-09,41.58,41.9,41.29,41.35,40.63,4422060,4422060,-0.23,-0.55315,41.53,"June 09, 25",-0.0055315,,,,,
2025-06-06,41.05,41.44,40.87,41.37,40.65,4759600,4759600,0.32,0.77954,41.1825,"June 06, 25",0.0077954,,,,,
2025-06-05,40.21,40.6,39.7,40.27,39.57,5967249,5967249,0.06,0.14922,40.195,"June 05, 25",0.0014922,,,,,
2025-06-04,40.8,41.15,40.14,40.17,39.47,3575400,3575400,-0.63,-1.54,40.565,"June 04, 25",-0.0154,,,,,
2025-06-03,40,40.9,39.79,40.83,40.12,4537100,4537100,0.83,2.07,40.38,"June 03, 25",0.0207,,,,,
2025-06-02,40.17,40.2,39.4,40.06,39.36,4901511,4901511,-0.11,-0.27384,39.9575,"June 02, 25",-0.0027384,,,,,
2025-05-30,40.16,40.47,39.8,40.35,39.65,7319300,7319300,0.19,0.47311,40.195,"May 30, 25",0.0047311,,,,,
2025-05-29,40.1,40.28,39.7,40.26,39.56,4553100,4553100,0.16,0.399,40.085,"May 29, 25",0.00399,,,,,
2025-05-28,40.46,40.54,39.67,39.73,39.04,5167500,5167500,-0.73,-1.8,40.1,"May 28, 25",-0.018,,,,,
2025-05-27,40.17,40.47,39.72,40.42,39.71,4661300,4661300,0.25,0.62235,40.195,"May 27, 25",0.0062235,,,,,
2025-05-23,38.81,39.74,38.8,39.57,38.88,3461333,3461333,0.76,1.96,39.23,"May 23, 25",0.0196,,,,,
2025-05-22,39.51,40.08,39.42,39.77,39.08,3433221,3433221,0.26,0.65806,39.695,"May 22, 25",0.0065806,,,,,
2025-05-21,40.88,41.2,39.62,39.64,38.95,3606200,3606200,-1.24,-3.03,40.335,"May 21, 25",-0.0303,,,,,
2025-05-20,41.45,41.64,41.17,41.3,40.58,2315400,2315400,-0.15,-0.36188,41.39,"May 20, 25",-0.0036188,,,,,
2025-05-19,41.22,41.77,41.11,41.58,40.85,2801300,2801300,0.36,0.87336,41.42,"May 19, 25",0.0087336,,,,,
2025-05-16,41.59,42.03,41.35,41.82,41.09,2962999,2962999,0.23,0.55302,41.6975,"May 16, 25",0.0055302,,,,,
2025-05-15,41.61,41.95,41.28,41.72,40.99,3890295,3890295,0.11,0.26436,41.64,"May 15, 25",0.0026436,,,,,
2025-05-14,41.78,41.97,41.43,41.59,40.86,3571828,3571828,-0.19,-0.45476,41.6925,"May 14, 25",-0.0045476,,,,,
2025-05-13,41.68,42.19,41.5,41.87,41.14,4822702,4822702,0.19,0.45585,41.81,"May 13, 25",0.0045585,,,,,
2025-05-12,41.21,42.1,41.16,41.59,40.86,6897730,6897730,0.38,0.92211,41.515,"May 12, 25",0.0092211,,,,,
2025-05-09,39.09,39.28,38.84,39.12,38.44,3512814,3512814,0.03,0.07674597,39.0825,"May 09, 25",0.0007674597,,,,,
2025-05-08,38.74,39.35,38.44,39,38.32,3869000,3869000,0.26,0.67114,38.8825,"May 08, 25",0.0067114,,,,,
2025-05-07,38.54,38.93,37.93,38.08,37.42,3489047,3489047,-0.46,-1.19,38.37,"May 07, 25",-0.0119,,,,,
2025-05-06,38.19,38.67,38.04,38.2,37.53,4353600,4353600,0.01,0.02618487,38.275,"May 06, 25",0.0002618487,,,,,
2025-05-05,38.17,39.22,38.17,38.71,38.03,4765777,4765777,0.54,1.41,38.5675,"May 05, 25",0.0141,,,,,
2025-05-02,38.1,38.76,37.88,38.65,37.98,4876270,4876270,0.55,1.44,38.3475,"May 02, 25",0.0144,,,,,
2025-05-01,36.99,37.81,36.72,37.29,36.64,3201200,3201200,0.3,0.81103,37.2025,"May 01, 25",0.0081103,,,,,
2025-04-30,36.14,37,35.9,36.89,36.25,4811714,4811714,0.75,2.08,36.4825,"April 30, 25",0.0208,2025-04-30,2025-05-14,0.42,2025-04-16,0.42
2025-04-29,37.07,37.74,36.94,37.55,36.48,4515031,4515031,0.48,1.29,37.325,"April 29, 25",0.0129,,,,,
2025-04-28,37.13,37.58,36.81,37.34,36.28,3762052,3762052,0.21,0.56558,37.215,"April 28, 25",0.0056558,,,,,
2025-04-25,37.03,37.37,36.83,37.06,36,3350600,3350600,0.03,0.08101539,37.0725,"April 25, 25",0.0008101539,,,,,
2025-04-24,36.37,37.53,36.28,37.44,36.37,4389027,4389027,1.07,2.94,36.905,"April 24, 25",0.0294,,,,,
2025-04-23,37.01,38.05,36.29,36.49,35.45,4647646,4647646,-0.52,-1.41,36.96,"April 23, 25",-0.0141,,,,,
2025-04-22,34.98,35.88,34.92,35.82,34.8,4961100,4961100,0.84,2.4,35.4,"April 22, 25",0.024,,,,,
2025-04-21,35.13,35.3,33.95,34.49,33.51,5947545,5947545,-0.64,-1.82,34.7175,"April 21, 25",-0.0182,,,,,
2025-04-17,35.73,36.01,35.41,35.45,34.44,4655137,4655137,-0.28,-0.78366,35.65,"April 17, 25",-0.0078366,,,,,
2025-04-16,35.98,36.62,34.88,35.46,34.45,8753912,8753912,-0.52,-1.45,35.735,"April 16, 25",-0.0145,,,,,
2025-04-15,35.87,36.56,35.85,36.1,35.07,7316816,7316816,0.23,0.6412,36.095,"April 15, 25",0.006412,,,,,
2025-04-14,35.58,35.85,34.87,35.59,34.58,7366100,7366100,0.01,0.02810568,35.4725,"April 14, 25",0.0002810568,,,,,
2025-04-11,34.4,35.17,33.73,34.82,33.83,6848141,6848141,0.42,1.22,34.53,"April 11, 25",0.0122,,,,,
2025-04-10,36.37,36.48,33.71,34.79,33.8,9122045,9122045,-1.58,-4.34,35.3375,"April 10, 25",-0.0434,,,,,
2025-04-09,33.59,38.12,32.83,37.47,36.4,10045826,10045826,3.88,11.55,35.5025,"April 09, 25",0.1155,,,,,
2025-04-08,36.27,36.72,33.77,34.4,33.42,5873487,5873487,-1.87,-5.16,35.29,"April 08, 25",-0.0516,,,,,
2025-04-07,33.5,36.37,32.77,34.84,33.85,7997300,7997300,1.34,4,34.37,"April 07, 25",0.04,,,,,
2025-04-04,34.31,34.9,32.6,34.27,33.29,8827734,8827734,-0.04,-0.11658,34.02,"April 04, 25",-0.0011658,,,,,
2025-04-03,39.5,39.5,36.2,36.22,35.19,6962300,6962300,-3.28,-8.3,37.855,"April 03, 25",-0.083,,,,,
2025-04-02,40.05,41.68,40.05,41.66,40.47,3274838,3274838,1.61,4.02,40.86,"April 02, 25",0.0402,,,,,
2025-04-01,40.67,40.94,40.14,40.59,39.43,3935400,3935400,-0.08,-0.19671,40.585,"April 01, 25",-0.0019671,,,,,
2025-03-31,39.8,41.13,39.57,40.97,39.8,5132700,5132700,1.17,2.94,40.3675,"March 31, 25",0.0294,,,,,
2025-03-28,41.1,41.56,39.92,40.25,39.1,3525234,3525234,-0.85,-2.07,40.7075,"March 28, 25",-0.0207,,,,,
2025-03-27,42,42.17,41.24,41.25,40.07,3023445,3023445,-0.75,-1.79,41.665,"March 27, 25",-0.0179,,,,,
2025-03-26,42.47,43.04,41.85,41.99,40.79,3087249,3087249,-0.48,-1.13,42.3375,"March 26, 25",-0.0113,,,,,
2025-03-25,42.42,42.65,42.13,42.27,41.07,4050300,4050300,-0.15,-0.35361,42.3675,"March 25, 25",-0.0035361,,,,,
2025-03-24,41.9,42.51,41.62,42.24,41.04,4815500,4815500,0.34,0.81146,42.0675,"March 24, 25",0.0081146,,,,,
2025-03-21,40.66,41.42,40.35,41.19,40.02,17066783,17066783,0.53,1.3,40.905,"March 21, 25",0.013,,,,,
2025-03-20,40.89,41.72,40.85,40.99,39.82,4114507,4114507,0.1,0.24456,41.1125,"March 20, 25",0.0024456,,,,,
2025-03-19,41.01,41.8,40.66,41.36,40.18,3510419,3510419,0.35,0.85345,41.2075,"March 19, 25",0.0085345,,,,,
2025-03-18,41,41.27,40.58,40.96,39.79,4117317,4117317,-0.04,-0.09756098,40.9525,"March 18, 25",-0.0009756098,,,,,
2025-03-17,40.51,41.06,40.12,40.86,39.7,3793800,3793800,0.35,0.86398,40.6375,"March 17, 25",0.0086398,,,,,
