holder,shares,dateReported,change
VANGUARD GROUP INC,20756069,2025-09-30,47071
"BlackRock, Inc.",14560909,2025-09-30,220041
Capital International Investors,10965840,2025-09-30,359780
STATE STREET CORP,10630522,2025-09-30,356942
WELLINGTON MANAGEMENT GROUP LLP,10467828,2025-09-30,-916094
PRICE T ROWE ASSOCIATES INC /MD/,7817196,2025-09-30,73421
"Aristotle Capital Management, LLC",7234729,2025-09-30,-385964
"GEODE CAPITAL MANAGEMENT, LLC",4136547,2025-09-30,62661
BANK OF AMERICA CORP /DE/,3737053,2025-09-30,84786
Invesco Ltd.,3099360,2025-09-30,17022
MORGAN STANLEY,2908094,2025-09-30,408214
DEUTSCHE BANK AG\,2839507,2025-09-30,-23346
MASSACHUSETTS FINANCIAL SERVICES CO /MA/,1949497,2025-09-30,50214
Legal & General Group Plc,1578888,2025-09-30,-15624
NORTHERN TRUST CORP,1519505,2025-09-30,-28678
Perpetual Ltd,1483365,2025-09-30,71857
GOLDMAN SACHS GROUP INC,1310845,2025-09-30,362517
WELLS FARGO & COMPANY/MN,1275449,2025-09-30,68328
"DZ BANK AG Deutsche Zentral Genossenschafts Bank, Frankfurt am Main",1240783,2025-09-30,65143
AMERICAN CENTURY COMPANIES INC,1238547,2025-09-30,-108624
RAYMOND JAMES FINANCIAL INC,1175964,2025-09-30,2492
ProShare Advisors LLC,1112097,2025-09-30,70355
Pictet Asset Management Holding SA,1089198,2025-09-30,-40680
"SFMG, LLC",1042142,2025-09-30,-983
UBS ASSET MANAGEMENT AMERICAS INC,1008487,2025-09-30,-512596
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,969506,2025-09-30,9038
COOKE & BIELER LP,937613,2025-09-30,-73796
Bank of New York Mellon Corp,899374,2025-09-30,12607
UBS Group AG,869476,2025-09-30,163728
"PNC FINANCIAL SERVICES GROUP, INC.",769465,2025-09-30,58330
SILVERCREST ASSET MANAGEMENT GROUP LLC,760656,2025-09-30,-30053
CBRE INVESTMENT MANAGEMENT LISTED REAL ASSETS LLC,734141,2025-09-30,59908
DIMENSIONAL FUND ADVISORS LP,732859,2025-09-30,15847
ROYAL BANK OF CANADA,727903,2025-09-30,137768
GQG Partners LLC,719556,2025-09-30,-106463
DUFF & PHELPS INVESTMENT MANAGEMENT CO,697504,2025-09-30,-47674
"COHEN & STEERS, INC.",641996,2025-09-30,641996
SEI INVESTMENTS CO,637821,2025-09-30,44350
ENVESTNET ASSET MANAGEMENT INC,635740,2025-09-30,-11433
Neuberger Berman Group LLC,604281,2025-09-30,-5073
FIRST TRUST ADVISORS LP,577816,2025-09-30,-10680
Amundi,568937,2025-09-30,103025
HSBC HOLDINGS PLC,530180,2025-09-30,-22415
"Nilsine Partners, LLC",523761,2025-09-30,-2379
"Chevy Chase Trust Holdings, LLC",503464,2025-09-30,39278
"Nuveen, LLC",494111,2025-09-30,59474
Squarepoint Ops LLC,490485,2025-09-30,-230471
AQR CAPITAL MANAGEMENT LLC,488194,2025-09-30,41440
"Energy Income Partners, LLC",485387,2025-09-30,409
JPMORGAN CHASE & CO,479308,2025-09-30,56604
CALIFORNIA PUBLIC EMPLOYEES RETIREMENT SYSTEM,478303,2025-09-30,-101498
CALIFORNIA STATE TEACHERS RETIREMENT SYSTEM,476592,2025-09-30,286754
Swiss National Bank,457900,2025-09-30,-22500
HUNTINGTON NATIONAL BANK,447619,2025-09-30,19939
EARNEST PARTNERS LLC,439110,2025-09-30,-10319
"Sumitomo Mitsui Trust Holdings, Inc.",418989,2025-09-30,-5945
PRINCIPAL FINANCIAL GROUP INC,371393,2025-09-30,-5141
Boston Trust Walden Corp,360997,2025-09-30,42590
JENNISON ASSOCIATES LLC,360565,2025-09-30,-77316
BENJAMIN EDWARDS INC,357969,2025-09-30,6018
NEW YORK STATE COMMON RETIREMENT FUND,355920,2025-09-30,-700
RHUMBLINE ADVISERS,352442,2025-09-30,4100
"T. Rowe Price Investment Management, Inc.",352346,2025-09-30,654
"Mitsubishi UFJ Kokusai Asset Management Co., Ltd.",352122,2025-09-30,19571
BARCLAYS PLC,350004,2025-09-30,-93718
"CBOE Vest Financial, LLC",347677,2025-09-30,12969
DANSKE BANK A/S,338292,2025-09-30,23000
"Aventail Capital Group, LP",338098,2025-09-30,65985
BAHL & GAYNOR INC,328043,2025-09-30,4786
CITIGROUP INC,325423,2025-09-30,-992
"Clark Capital Management Group, Inc.",324042,2025-09-30,6182
COMMONWEALTH OF PENNSYLVANIA PUBLIC SCHOOL EMPLS RETRMT SYS,309463,2025-09-30,-2054
NOMURA ASSET MANAGEMENT CO LTD,303180,2025-09-30,15211
MIZUHO MARKETS AMERICAS LLC,285789,2025-09-30,285789
"MANUFACTURERS LIFE INSURANCE COMPANY, THE",278447,2025-09-30,176005
Partners Group Holding AG,271689,2025-09-30,-51456
"BNP PARIBAS ARBITRAGE, SNC",267374,2025-09-30,-84354
"Capital International, Inc./CA/",259583,2025-09-30,-8158
