holder,shares,dateReported,change
PRICE T ROWE ASSOCIATES INC /MD/,16319076,2025-09-30,127129
VANGUARD GROUP INC,13454986,2025-09-30,690756
"BlackRock, Inc.",9817286,2025-09-30,335850
JPMORGAN CHASE & CO,6391635,2025-09-30,3129220
FMR LLC,5714340,2025-09-30,-370785
GREENOAKS CAPITAL PARTNERS LLC,5263919,2025-09-30,-393606
"CAS Investment Partners, LLC",4889674,2025-09-30,-32594
Capital Research Global Investors,3989809,2025-09-30,18631
SPRUCE HOUSE INVESTMENT MANAGEMENT LLC,3609288,2025-09-30,0
Exor Capital LLP,3093536,2025-09-30,-671715
STATE STREET CORP,2950020,2025-09-30,184974
"GEODE CAPITAL MANAGEMENT, LLC",2497859,2025-09-30,265680
VIKING GLOBAL INVESTORS LP,2101241,2025-09-30,1023265
COATUE MANAGEMENT LLC,2003208,2025-09-30,203153
LONE PINE CAPITAL LLC,1765291,2025-09-30,0
"SANDS CAPITAL MANAGEMENT, LLC",1691515,2025-09-30,790288
KPS Global Asset Management UK Ltd,1500000,2025-09-30,0
Invesco Ltd.,1445018,2025-09-30,710582
Castle Hook Partners LP,1352266,2025-09-30,154012
MORGAN STANLEY,1326454,2025-09-30,33914
"D. E. Shaw & Co., Inc.",1230513,2025-09-30,-1328006
RENAISSANCE TECHNOLOGIES LLC,1013112,2025-09-30,0
Durable Capital Partners LP,892477,2025-09-30,0
Amundi,827606,2025-09-30,533604
Capital World Investors,806243,2025-09-30,180185
NORTHERN TRUST CORP,802957,2025-09-30,54348
WELLS FARGO & COMPANY/MN,795879,2025-09-30,88273
"TWO SIGMA ADVISERS, LP",785835,2025-09-30,-895400
"Holocene Advisors, LP",706457,2025-09-30,456457
"LORD, ABBETT & CO. LLC",680666,2025-09-30,15782
"Dragoneer Investment Group, LLC",678921,2025-09-30,678921
"GOODNOW INVESTMENT GROUP, LLC",651263,2025-09-30,-99770
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,638725,2025-09-30,91115
MASSACHUSETTS FINANCIAL SERVICES CO /MA/,637462,2025-09-30,64424
"Alyeska Investment Group, L.P.",634146,2025-09-30,634146
UBS ASSET MANAGEMENT AMERICAS INC,615175,2025-09-30,-70298
BANK OF AMERICA CORP /DE/,608295,2025-09-30,-794456
Legal & General Group Plc,585845,2025-09-30,26119
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,577924,2025-09-30,-55000
"ARROWSTREET CAPITAL, LIMITED PARTNERSHIP",573591,2025-09-30,30197
RAYMOND JAMES FINANCIAL INC,568070,2025-09-30,-9161
Whale Rock Capital Management LLC,567711,2025-09-30,-15100
"Point72 Asset Management, L.P.",551673,2025-09-30,264851
DIMENSIONAL FUND ADVISORS LP,547823,2025-09-30,-32249
Qube Research & Technologies Ltd,542546,2025-09-30,149735
1832 Asset Management L.P.,519450,2025-09-30,262445
FIRST TRUST ADVISORS LP,501834,2025-09-30,22298
FRANKLIN RESOURCES INC,495382,2025-09-30,248064
"Winslow Capital Management, LLC",484757,2025-09-30,484757
"North Peak Capital Management, LLC",477343,2025-09-30,112808
RV Capital AG,445255,2025-09-30,-65097
GOLDMAN SACHS GROUP INC,406390,2025-09-30,116105
"Nuveen, LLC",395146,2025-09-30,9352
Bank of New York Mellon Corp,381739,2025-09-30,1236
AMERICAN CENTURY COMPANIES INC,370507,2025-09-30,34222
Polar Capital Holdings Plc,368024,2025-09-30,368024
Palestra Capital Management LLC,365942,2025-09-30,90052
Selkirk Management LLC,365220,2025-09-30,0
Squarepoint Ops LLC,359133,2025-09-30,-341916
PAR CAPITAL MANAGEMENT INC,356572,2025-09-30,-110600
Swiss National Bank,350300,2025-09-30,-15700
"TWO SIGMA INVESTMENTS, LP",325380,2025-09-30,-498784
DRIEHAUS CAPITAL MANAGEMENT LLC,317908,2025-09-30,-54877
Steadview Capital Management LLC,309560,2025-09-30,-133975
"Styrax Capital, LP",307001,2025-09-30,64631
Neuberger Berman Group LLC,306502,2025-09-30,42578
No Street GP LP,295500,2025-09-30,-54500
Senator Investment Group LP,290930,2025-09-30,130000
MILLENNIUM MANAGEMENT LLC,284188,2025-09-30,26886
"SCOPUS ASSET MANAGEMENT, L.P.",281900,2025-09-30,-21100
"MANUFACTURERS LIFE INSURANCE COMPANY, THE",279786,2025-09-30,14293
MANE GLOBAL CAPITAL MANAGEMENT LP,279229,2025-09-30,57405
"Sumitomo Mitsui Trust Holdings, Inc.",278033,2025-09-30,2359
"FEDERATED HERMES, INC.",265921,2025-09-30,147683
ROYAL BANK OF CANADA,264695,2025-09-30,11843
DEUTSCHE BANK AG\,260518,2025-09-30,12276
General Equity Holdings LP,260002,2025-09-30,23922
WELLINGTON MANAGEMENT GROUP LLP,255364,2025-09-30,2570
SEI INVESTMENTS CO,242993,2025-09-30,159359
"JANE STREET GROUP, LLC",238669,2025-09-30,236562
CALIFORNIA PUBLIC EMPLOYEES RETIREMENT SYSTEM,232395,2025-09-30,8057
"SUMMIT PARTNERS PUBLIC ASSET MANAGEMENT, LLC",230806,2025-09-30,170806
"Thrive Capital Management, LLC",226761,2025-09-30,0
"BNP PARIBAS ARBITRAGE, SNC",225686,2025-09-30,-55095
"Kinetic Partners Management, LP",225159,2025-09-30,30300
MAVERICK CAPITAL LTD,217552,2025-09-30,217552
"Divisadero Street Capital Management, LP",208320,2025-09-30,15001
"T. Rowe Price Investment Management, Inc.",204316,2025-09-30,-358819
UBS Group AG,201641,2025-09-30,-847335
"MARSHALL WACE, LLP",198060,2025-09-30,157026
"MAPLELANE CAPITAL, LLC",195000,2025-09-30,195000
CITIGROUP INC,194632,2025-09-30,133195
"Allspring Global Investments Holdings, LLC",193879,2025-09-30,24129
National Pension Service,192917,2025-09-30,4249
CALIFORNIA STATE TEACHERS RETIREMENT SYSTEM,192710,2025-09-30,3742
Avala Global LP,191736,2025-09-30,4900
PRIMECAP MANAGEMENT CO/CA/,187325,2025-09-30,-3800
"FRED ALGER MANAGEMENT, LLC",184781,2025-09-30,52932
SOMA EQUITY PARTNERS LP,177786,2025-09-30,177786
RHUMBLINE ADVISERS,173944,2025-09-30,508
"MOORE CAPITAL MANAGEMENT, LP",169907,2025-09-30,2387
LOS ANGELES CAPITAL MANAGEMENT LLC,167245,2025-09-30,56055
CANADA PENSION PLAN INVESTMENT BOARD,163631,2025-09-30,-3400
