holder,shares,dateReported,change
VANGUARD GROUP INC,9674093,2025-09-30,165851
"BlackRock, Inc.",5871176,2025-09-30,-5758
STATE STREET CORP,3320761,2025-09-30,39450
MORGAN STANLEY,2415314,2025-09-30,1317388
BAMCO INC /NY/,2394117,2025-09-30,223784
"GEODE CAPITAL MANAGEMENT, LLC",2024901,2025-09-30,31377
EDGEWOOD MANAGEMENT LLC,1913281,2025-09-30,-180066
PRINCIPAL FINANCIAL GROUP INC,1777749,2025-09-30,109287
POLEN CAPITAL MANAGEMENT LLC,1583939,2025-09-30,-157450
"T. Rowe Price Investment Management, Inc.",1277886,2025-09-30,319354
JPMORGAN CHASE & CO,1069180,2025-09-30,282859
Fiera Capital Corp,993437,2025-09-30,23587
StonePine Asset Management Inc.,961843,2025-09-30,71720
"Mitsubishi UFJ Kokusai Asset Management Co., Ltd.",874882,2025-09-30,728900
NORTHERN TRUST CORP,752871,2025-09-30,1325
AMERICAN CENTURY COMPANIES INC,746632,2025-09-30,-185817
Longview Partners (Guernsey) LTD,710493,2025-09-30,687766
BAILLIE GIFFORD & CO,691554,2025-09-30,331040
"ARROWSTREET CAPITAL, LIMITED PARTNERSHIP",647664,2025-09-30,-88922
Legal & General Group Plc,632026,2025-09-30,51901
NORDEA INVESTMENT MANAGEMENT AB,619467,2025-09-30,-22003
BESSEMER GROUP INC,586974,2025-09-30,-3628
GOLDMAN SACHS GROUP INC,562419,2025-09-30,38818
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,546030,2025-09-30,19390
BANK OF AMERICA CORP /DE/,521840,2025-09-30,-202778
AQR CAPITAL MANAGEMENT LLC,521564,2025-09-30,-137556
Invesco Ltd.,496324,2025-09-30,-52454
Bank of New York Mellon Corp,475773,2025-09-30,-569
Amundi,453412,2025-09-30,-95306
DEUTSCHE BANK AG\,446478,2025-09-30,-47215
ROYAL BANK OF CANADA,441260,2025-09-30,161013
Meritage Group LP,415308,2025-09-30,103993
FMR LLC,413243,2025-09-30,-207199
"Clearbridge Investments, LLC",404534,2025-09-30,-2565
"Russell Investments Group, Ltd.",379096,2025-09-30,-10760
UBS ASSET MANAGEMENT AMERICAS INC,372783,2025-09-30,-140443
FRANKLIN RESOURCES INC,370706,2025-09-30,-215686
UBS Group AG,359671,2025-09-30,-60060
Magellan Asset Management Ltd,341787,2025-09-30,36776
Temasek Holdings (Private) Ltd,340382,2025-09-30,-51665
MILLENNIUM MANAGEMENT LLC,333968,2025-09-30,-481799
Neuberger Berman Group LLC,332634,2025-09-30,-3462
"Evergreen Quality Fund GP, Ltd.",318353,2025-09-30,-231400
BARCLAYS PLC,305224,2025-09-30,-87104
HSBC HOLDINGS PLC,303549,2025-09-30,-20763
WELLINGTON MANAGEMENT GROUP LLP,300219,2025-09-30,80251
KAYNE ANDERSON RUDNICK INVESTMENT MANAGEMENT LLC,281033,2025-09-30,1856
"Champlain Investment Partners, LLC",275265,2025-09-30,56
DIMENSIONAL FUND ADVISORS LP,269842,2025-09-30,-2969
ALLIANCEBERNSTEIN L.P.,257775,2025-09-30,-1968
BANQUE PICTET & CIE SA,257285,2025-09-30,257285
GOBI CAPITAL LLC,256611,2025-09-30,0
"TWO SIGMA ADVISERS, LP",247500,2025-09-30,-562800
WELLS FARGO & COMPANY/MN,241067,2025-09-30,27029
FLOSSBACH VON STORCH AG,226772,2025-09-30,17441
PRICE T ROWE ASSOCIATES INC /MD/,223112,2025-09-30,-37730
"Bank Julius Baer & Co. Ltd, Zurich",217672,2025-09-30,-3789
"Nuveen, LLC",215181,2025-09-30,-3254
Canoe Financial LP,209831,2025-09-30,23500
"Bowie Capital Management, LLC",205048,2025-09-30,10296
MACQUARIE GROUP LTD,202712,2025-09-30,-259745
EULAV Asset Management,200972,2025-09-30,-2999
CALIFORNIA PUBLIC EMPLOYEES RETIREMENT SYSTEM,198854,2025-09-30,4677
Findlay Park Partners LLP,195800,2025-09-30,-3500
