holder,shares,dateReported,change
VANGUARD GROUP INC,6658878,2025-09-30,-237190
"First Eagle Investment Management, LLC",4621171,2025-09-30,793
"BlackRock, Inc.",4398960,2025-09-30,-595407
STATE STREET CORP,2602941,2025-09-30,-83775
FMR LLC,2096589,2025-09-30,2257
"GEODE CAPITAL MANAGEMENT, LLC",1762914,2025-09-30,-103344
PZENA INVESTMENT MANAGEMENT LLC,1607029,2025-09-30,1215286
DIMENSIONAL FUND ADVISORS LP,1494464,2025-09-30,181801
GOLDMAN SACHS GROUP INC,1479971,2025-09-30,-197988
Invesco Ltd.,1370115,2025-09-30,-91083
"ARROWSTREET CAPITAL, LIMITED PARTNERSHIP",1125764,2025-09-30,40533
MASSACHUSETTS FINANCIAL SERVICES CO /MA/,920445,2025-09-30,-6224
AMERICAN CENTURY COMPANIES INC,781145,2025-09-30,141621
LSV ASSET MANAGEMENT,752786,2025-09-30,-20635
AQR CAPITAL MANAGEMENT LLC,685429,2025-09-30,-125040
CITADEL ADVISORS LLC,678420,2025-09-30,-236125
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,574269,2025-09-30,4152
MORGAN STANLEY,546215,2025-09-30,-63743
NORTHERN TRUST CORP,535665,2025-09-30,-24908
MILLENNIUM MANAGEMENT LLC,499578,2025-09-30,202921
Bank of New York Mellon Corp,487765,2025-09-30,8309
"GLENVIEW CAPITAL MANAGEMENT, LLC",482169,2025-09-30,92692
VIRGINIA RETIREMENT SYSTEMS ET AL,402622,2025-09-30,-79700
UBS Group AG,401911,2025-09-30,132842
"Holocene Advisors, LP",358885,2025-09-30,259861
Khrom Capital Management LLC,350225,2025-09-30,350225
"Clark Capital Management Group, Inc.",331325,2025-09-30,6996
DEUTSCHE BANK AG\,331313,2025-09-30,102546
LAZARD ASSET MANAGEMENT LLC,317768,2025-09-30,110304
BANK OF AMERICA CORP /DE/,306439,2025-09-30,84742
"Bridgewater Associates, LP",289987,2025-09-30,-39664
"VOLORIDGE INVESTMENT MANAGEMENT, LLC",264606,2025-09-30,159617
Allianz Asset Management GmbH,260560,2025-09-30,-30457
UBS ASSET MANAGEMENT AMERICAS INC,250282,2025-09-30,-52707
"Russell Investments Group, Ltd.",243169,2025-09-30,160554
Legal & General Group Plc,239005,2025-09-30,-80153
Woodline Partners LP,238713,2025-09-30,135892
JPMORGAN CHASE & CO,234093,2025-09-30,-42469
LOS ANGELES CAPITAL MANAGEMENT LLC,230252,2025-09-30,4617
AustralianSuper Pty Ltd,225038,2025-09-30,10548
