date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,recordDate,declarationDate,paymentDate,dividend,adjDividend
2026-01-02,213.62,216.45,213.5,216.28,216.28,470494,470494,2.66,1.25,214.9625,"January 02, 26",0.0125,,,,,
2025-12-31,216.82,217.43,213.11,213.45,213.45,566300,566300,-3.37,-1.55,215.2025,"December 31, 25",-0.0155,,,,,
2025-12-30,216.54,217.57,214.63,216.69,216.69,471724,471724,0.15,0.06927127,216.3575,"December 30, 25",0.0006927127,,,,,
2025-12-29,219.02,220.35,216.81,217.16,217.16,555556,555556,-1.86,-0.84924,218.335,"December 29, 25",-0.0084924,,,,,
2025-12-26,219.44,220.34,218.2,219.31,219.31,244432,244432,-0.13,-0.05924171,219.3225,"December 26, 25",-0.0005924171,,,,,
2025-12-24,219.75,221.29,219.04,219.76,219.76,234911,234911,0.01,0.00455063,219.96,"December 24, 25",4.55063e-05,,,,,
2025-12-23,220.64,221.89,218.85,219.55,219.55,750532,750532,-1.09,-0.49402,220.2325,"December 23, 25",-0.0049402,,,,,
2025-12-22,216.9,222.47,215.82,221.71,221.71,998293,998293,4.81,2.22,219.225,"December 22, 25",0.0222,,,,,
2025-12-19,214.48,216.45,213.97,216.14,216.14,2675024,2675024,1.66,0.77396,215.26,"December 19, 25",0.0077396,,,,,
2025-12-18,213.91,215.58,212.11,213.6,213.6,851932,851932,-0.31,-0.14492,213.8,"December 18, 25",-0.0014492,,,,,
2025-12-17,213.43,215.31,210.56,212.08,212.08,769700,769700,-1.35,-0.63253,212.845,"December 17, 25",-0.0063253,,,,,
2025-12-16,215.21,215.65,211.83,213.73,213.73,886361,886361,-1.48,-0.6877,214.105,"December 16, 25",-0.006877,,,,,
2025-12-15,215.5,215.88,212.73,215.38,215.38,1116408,1116408,-0.12,-0.05568445,214.8725,"December 15, 25",-0.0005568445,,,,,
2025-12-12,218.69,220.89,214.24,214.41,214.41,834802,834802,-4.28,-1.96,217.0575,"December 12, 25",-0.0196,,,,,
2025-12-11,215.06,219.63,213.96,217.77,217.77,669914,669914,2.71,1.26,216.605,"December 11, 25",0.0126,,,,,
2025-12-10,210.34,216.97,209.54,215.58,215.58,495291,495291,5.24,2.49,213.1075,"December 10, 25",0.0249,,,,,
2025-12-09,211.71,212.96,209.04,209.62,209.62,610111,610111,-2.09,-0.9872,210.8325,"December 09, 25",-0.009872,,,,,
2025-12-08,214.74,216.03,210.32,212.2,212.2,765500,765500,-2.54,-1.18,213.3225,"December 08, 25",-0.0118,,,,,
2025-12-05,213.65,215.07,213.01,214.95,214.95,523003,523003,1.3,0.60847,214.17,"December 05, 25",0.0060847,,,,,
2025-12-04,212.91,215.23,211.2,214.04,214.04,589197,589197,1.13,0.53074,213.345,"December 04, 25",0.0053074,,,,,
2025-12-03,208.73,214.05,207.74,213.45,213.45,915335,915335,4.72,2.26,210.9925,"December 03, 25",0.0226,,,,,
2025-12-02,208.32,209.16,206.76,208.38,208.38,779413,779413,0.06,0.02880184,208.155,"December 02, 25",0.0002880184,,,,,
2025-12-01,207.22,210.87,206.75,208.65,208.65,982208,982208,1.43,0.69009,208.3725,"December 01, 25",0.0069009,,,,,
2025-11-28,208.43,209.63,207.76,208.55,208.55,364449,364449,0.12,0.05757329,208.5925,"November 28, 25",0.0005757329,,,,,
2025-11-26,205.63,208.24,205.02,207.75,207.75,680322,680322,2.12,1.03,206.66,"November 26, 25",0.0103,,,,,
2025-11-25,200.92,206.38,199.82,206.08,206.08,758400,758400,5.16,2.57,203.3,"November 25, 25",0.0257,,,,,
2025-11-24,201.72,203.43,199.85,200.01,200.01,1271200,1271200,-1.71,-0.84771,201.2525,"November 24, 25",-0.0084771,,,,,
2025-11-21,196.01,202.03,194.93,200.22,200.22,1127355,1127355,4.21,2.15,198.2975,"November 21, 25",0.0215,,,,,
2025-11-20,201.84,201.96,195.77,196.14,196.14,531181,531181,-5.7,-2.82,198.9275,"November 20, 25",-0.0282,,,,,
2025-11-19,197.14,198.7,195.68,197.92,197.92,676984,676984,0.78,0.39566,197.36,"November 19, 25",0.0039566,,,,,
2025-11-18,197.77,201.06,196.98,197.61,197.61,951700,951700,-0.16,-0.08090206,198.355,"November 18, 25",-0.0008090206,,,,,
2025-11-17,203.61,204.18,199.47,199.58,199.58,1395475,1395475,-4.03,-1.98,201.71,"November 17, 25",-0.0198,,,,,
2025-11-14,201.52,204.4,199.96,203.92,203.92,646610,646610,2.4,1.19,202.45,"November 14, 25",0.0119,,,,,
2025-11-13,209.79,210.89,203.74,204.27,204.27,1121200,1121200,-5.52,-2.63,207.1725,"November 13, 25",-0.0263,,,,,
2025-11-12,208.38,211.43,207.91,209.65,209.65,642900,642900,1.27,0.60946,209.3425,"November 12, 25",0.0060946,2025-11-12,2025-10-16,2025-11-26,0.25,0.25
2025-11-11,209.18,210.48,205.73,207.94,207.69,1041673,1041673,-1.24,-0.59279,208.3325,"November 11, 25",-0.0059279,,,,,
2025-11-10,206.31,210.65,205.16,210,209.75,1273432,1273432,3.69,1.79,208.03,"November 10, 25",0.0179,,,,,
2025-11-07,203.16,206.48,201.55,206.31,206.06,957800,957800,3.15,1.55,204.375,"November 07, 25",0.0155,,,,,
2025-11-06,204.49,206.97,202.59,203.77,203.53,920390,920390,-0.72,-0.3521,204.455,"November 06, 25",-0.003521,,,,,
2025-11-05,204.01,207.83,203,206.02,205.77,825100,825100,2.01,0.98525,205.215,"November 05, 25",0.0098525,,,,,
2025-11-04,202.23,204.8,201.03,204.46,204.21,1076900,1076900,2.23,1.1,203.13,"November 04, 25",0.011,,,,,
2025-11-03,203.34,205.13,200.73,204.92,204.67,1246926,1246926,1.58,0.77702,203.53,"November 03, 25",0.0077702,,,,,
2025-10-31,202.06,206.22,202.06,204.44,204.19,1051500,1051500,2.38,1.18,203.695,"October 31, 25",0.0118,,,,,
2025-10-30,199.46,206,198.54,203.14,202.9,1039275,1039275,3.68,1.84,201.785,"October 30, 25",0.0184,,,,,
2025-10-29,197.75,203.63,197.6,201.55,201.31,1225344,1225344,3.8,1.92,200.1325,"October 29, 25",0.0192,,,,,
2025-10-28,199.44,201.9,197.85,197.99,197.75,719207,719207,-1.45,-0.72704,199.295,"October 28, 25",-0.0072704,,,,,
2025-10-27,198.29,200.52,196.91,200.34,200.1,998565,998565,2.05,1.03,199.015,"October 27, 25",0.0103,,,,,
2025-10-24,198.11,199.26,196.34,197.63,197.39,736621,736621,-0.48,-0.24229,197.835,"October 24, 25",-0.0024229,,,,,
2025-10-23,194.09,197.84,193.86,196.95,196.71,881709,881709,2.86,1.47,195.685,"October 23, 25",0.0147,,,,,
2025-10-22,193.87,198.23,186.06,193.43,193.2,1758610,1758610,-0.44,-0.22696,192.8975,"October 22, 25",-0.0022696,,,,,
2025-10-21,195.57,198.57,195.57,198,197.76,755237,755237,2.43,1.24,196.9275,"October 21, 25",0.0124,,,,,
2025-10-20,195.94,197.23,195.11,196.12,195.88,721000,721000,0.18,0.09186486,196.1,"October 20, 25",0.0009186486,,,,,
2025-10-17,193.11,194.76,192.46,194.15,193.92,819945,819945,1.04,0.53855,193.62,"October 17, 25",0.0053855,,,,,
2025-10-16,198.64,199.26,193.52,193.61,193.38,688914,688914,-5.03,-2.53,196.2575,"October 16, 25",-0.0253,,,,,
2025-10-15,197.13,198.92,195.1,197.13,196.89,768351,768351,0,0,197.07,"October 15, 25",0,,,,,
2025-10-14,191.69,196.54,191.28,196,195.76,566120,566120,4.31,2.25,193.8775,"October 14, 25",0.0225,,,,,
2025-10-13,194.22,194.59,191.81,193.54,193.31,652206,652206,-0.68,-0.35012,193.54,"October 13, 25",-0.0035012,,,,,
2025-10-10,196.13,198.46,190.82,191.03,190.8,1057872,1057872,-5.1,-2.6,194.11,"October 10, 25",-0.026,,,,,
2025-10-09,199.73,200.48,195.33,195.62,195.39,747800,747800,-4.11,-2.06,197.79,"October 09, 25",-0.0206,,,,,
2025-10-08,198.72,200.36,196.76,199.47,199.23,665151,665151,0.75,0.37742,198.8275,"October 08, 25",0.0037742,,,,,
2025-10-07,201.65,201.97,197.5,197.8,197.56,690537,690537,-3.85,-1.91,199.73,"October 07, 25",-0.0191,,,,,
2025-10-06,201.06,202.89,198.32,201.28,201.04,1067000,1067000,0.22,0.10942,200.8875,"October 06, 25",0.0010942,,,,,
2025-10-03,198.67,201.89,198.53,200.08,199.84,714900,714900,1.41,0.70972,199.7925,"October 03, 25",0.0070972,,,,,
2025-10-02,199.29,201.46,197.43,197.87,197.63,1444600,1444600,-1.42,-0.71253,199.0125,"October 02, 25",-0.0071253,,,,,
2025-10-01,199.04,201.66,197.7,198.56,198.32,897243,897243,-0.48,-0.24116,199.24,"October 01, 25",-0.0024116,,,,,
2025-09-30,197.23,201.04,197.23,200.47,200.23,1277700,1277700,3.24,1.64,198.9925,"September 30, 25",0.0164,,,,,
2025-09-29,197.6,198.13,196.31,197.58,197.34,1022400,1022400,-0.02,-0.01012146,197.405,"September 29, 25",-0.0001012146,,,,,
2025-09-26,195.58,198.2,194.85,196.67,196.43,963041,963041,1.09,0.55732,196.325,"September 26, 25",0.0055732,,,,,
2025-09-25,191.86,194.88,190.47,194.52,194.29,936400,936400,2.66,1.39,192.9325,"September 25, 25",0.0139,,,,,
