date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,dividend,recordDate,adjDividend,paymentDate,declarationDate
2026-01-02,155.14,159.19,154.85,158.8,158.8,2922231,2922231,3.66,2.36,156.995,"January 02, 26",0.0236,,,,,
2025-12-31,154,155.2,153.25,154.14,154.14,1843100,1843100,0.14,0.09090909,154.1475,"December 31, 25",0.0009090909,,,,,
2025-12-30,154.82,155.65,154.16,154.78,154.78,1429679,1429679,-0.04,-0.02583646,154.8525,"December 30, 25",-0.0002583646,,,,,
2025-12-29,155.62,156.3,154.83,155.13,155.13,1508707,1508707,-0.49,-0.31487,155.47,"December 29, 25",-0.0031487,,,,,
2025-12-26,155.42,156,154.38,155.41,155.41,1403935,1403935,-0.01,-0.00643418,155.3025,"December 26, 25",-6.43418e-05,,,,,
2025-12-24,155.66,156.38,154.48,155.57,155.57,1432900,1432900,-0.09,-0.05781832,155.5225,"December 24, 25",-0.0005781832,,,,,
2025-12-23,155.57,156.75,155.02,155.16,155.16,2518246,2518246,-0.41,-0.26355,155.625,"December 23, 25",-0.0026355,,,,,
2025-12-22,151.61,156.13,151.04,155.83,155.83,3689600,3689600,4.22,2.78,153.6525,"December 22, 25",0.0278,,,,,
2025-12-19,154.45,154.65,151.34,151.59,151.59,8942295,8942295,-2.86,-1.85,153.0075,"December 19, 25",-0.0185,,,,,
2025-12-18,156.75,157.5,153.54,153.73,153.73,4417731,4417731,-3.02,-1.93,155.38,"December 18, 25",-0.0193,,,,,
2025-12-17,152.41,156.5,151.94,153.19,153.19,3770269,3770269,0.78,0.51178,153.51,"December 17, 25",0.0051178,,,,,
2025-12-16,150.97,152.21,150.24,152.09,152.09,3734632,3734632,1.12,0.74187,151.3775,"December 16, 25",0.0074187,,,,,
2025-12-15,152.63,152.97,150.29,150.34,150.34,4146700,4146700,-2.29,-1.5,151.5575,"December 15, 25",-0.015,,,,,
2025-12-12,154.52,155.2,149.13,151.18,151.18,4843196,4843196,-3.34,-2.16,152.5075,"December 12, 25",-0.0216,,,,,
2025-12-11,155.2,156.22,151.39,154.11,154.11,3921225,3921225,-1.09,-0.70232,154.23,"December 11, 25",-0.0070232,,,,,
2025-12-10,156.04,157.3,150.94,156.6,156.6,5168516,5168516,0.56,0.35888,155.22,"December 10, 25",0.0035888,,,,,
2025-12-09,151.77,157.89,151.52,156.02,156.02,6539976,6539976,4.25,2.8,154.3,"December 09, 25",0.028,,,,,
2025-12-08,152.35,152.35,150.71,151.37,151.37,2996432,2996432,-0.975,-0.64326,151.695,"December 08, 25",-0.0064326,,,,,
2025-12-05,150.87,153.82,150.35,152.15,152.15,2903400,2903400,1.28,0.84841,151.7975,"December 05, 25",0.0084841,,,,,
2025-12-04,151.97,152.92,150.24,151.39,151.39,3572144,3572144,-0.58,-0.38165,151.63,"December 04, 25",-0.0038165,,,,,
2025-12-03,147.16,151.82,146.4,151.52,151.52,3678230,3678230,4.36,2.96,149.225,"December 03, 25",0.0296,,,,,
2025-12-02,147.69,147.9,146.16,146.74,146.74,2749505,2749505,-0.95,-0.64324,147.1225,"December 02, 25",-0.0064324,,,,,
2025-12-01,144.09,147.9,143.21,146.35,146.35,3128279,3128279,2.26,1.57,145.3875,"December 01, 25",0.0157,,,,,
2025-11-28,146.14,147.78,145.5,146.42,146.42,1626600,1626600,0.28,0.1916,146.46,"November 28, 25",0.001916,,,,,
2025-11-26,143.44,146.18,143.11,144.92,144.92,3117125,3117125,1.48,1.03,144.4125,"November 26, 25",0.0103,,,,,
2025-11-25,141.8,144.48,140.69,143.43,143.43,3506447,3506447,1.63,1.15,142.6,"November 25, 25",0.0115,,,,,
2025-11-24,142.43,143.61,141.09,141.42,141.42,4847800,4847800,-1.01,-0.70912,142.1375,"November 24, 25",-0.0070912,,,,,
2025-11-21,139.67,143.16,137.88,142.67,142.67,4812719,4812719,3,2.15,140.845,"November 21, 25",0.0215,,,,,
2025-11-20,141,142.06,137.66,138.42,138.42,5503846,5503846,-2.58,-1.83,139.785,"November 20, 25",-0.0183,,,,,
2025-11-19,137.25,138.71,135.44,138.65,138.65,5141700,5141700,1.4,1.02,137.5125,"November 19, 25",0.0102,,,,,
2025-11-18,137.17,138.87,135.88,136.53,136.53,5751100,5751100,-0.64,-0.46657,137.1125,"November 18, 25",-0.0046657,,,,,
2025-11-17,140.71,141.2,137.03,138.42,138.42,3510677,3510677,-2.29,-1.63,139.34,"November 17, 25",-0.0163,,,,,
2025-11-14,138.37,142.5,136.89,141.44,141.44,4645382,4645382,3.07,2.22,139.8,"November 14, 25",0.0222,,,,,
2025-11-13,142.95,143.66,137.96,139.53,139.53,8996426,8996426,-3.42,-2.39,141.025,"November 13, 25",-0.0239,,,,,
2025-11-12,145.12,146.69,143.69,144.36,144.36,3947929,3947929,-0.76,-0.5237,144.965,"November 12, 25",-0.005237,,,,,
2025-11-11,144.46,146.17,143.29,144.98,144.98,3694127,3694127,0.52,0.35996,144.725,"November 11, 25",0.0035996,,,,,
2025-11-10,148.13,149,143.8,144.3,144.3,3946024,3946024,-3.83,-2.59,146.3075,"November 10, 25",-0.0259,,,,,
2025-11-07,142.94,146.24,141.61,145.94,145.94,3614025,3614025,3,2.1,144.1825,"November 07, 25",0.021,,,,,
2025-11-06,144.6,145.9,141.33,143.43,143.43,3711850,3711850,-1.17,-0.80913,143.815,"November 06, 25",-0.0080913,,,,,
2025-11-05,142.9,144.8,141.11,144.32,144.32,4643600,4643600,1.42,0.9937,143.2825,"November 05, 25",0.009937,,,,,
2025-11-04,142.61,145.9,142.45,142.85,142.85,5850646,5850646,0.24,0.16829,143.4525,"November 04, 25",0.0016829,,,,,
2025-11-03,145.38,145.89,142.64,144.42,144.42,6155800,6155800,-0.96,-0.66034,144.5825,"November 03, 25",-0.0066034,1.29,2025-11-03,1.29,2025-11-10,2025-10-23
2025-10-31,147.67,147.96,144.54,146.64,145.35,6158500,6158500,-1.03,-0.6975,146.7025,"October 31, 25",-0.006975,,,,,
2025-10-30,147.5,151,146.24,148.39,147.08,4497600,4497600,0.89,0.60339,148.2825,"October 30, 25",0.0060339,,,,,
2025-10-29,151,152.25,148.4,148.92,147.61,3836800,3836800,-2.08,-1.38,150.1425,"October 29, 25",-0.0138,,,,,
2025-10-28,153.81,153.97,151.04,151.69,150.36,3654044,3654044,-2.12,-1.38,152.6275,"October 28, 25",-0.0138,,,,,
2025-10-27,155.28,157.85,153.13,153.85,152.5,4209927,4209927,-1.43,-0.92092,155.0275,"October 27, 25",-0.0092092,,,,,
2025-10-24,158.4,159.44,154.47,154.6,153.24,4451700,4451700,-3.8,-2.4,156.7275,"October 24, 25",-0.024,,,,,
2025-10-23,161.81,162.1,152.22,154.98,153.62,7391400,7391400,-6.83,-4.22,157.7775,"October 23, 25",-0.0422,,,,,
2025-10-22,161.25,162.58,159,161.72,160.3,4352204,4352204,0.475,0.29147,161.1375,"October 22, 25",0.0029147,,,,,
2025-10-21,159.99,162.66,159.81,161.43,160.01,2440600,2440600,1.44,0.90006,160.9725,"October 21, 25",0.0090006,,,,,
2025-10-20,158.07,161.22,157.72,160.44,159.03,3081300,3081300,2.37,1.5,159.3625,"October 20, 25",0.015,,,,,
2025-10-17,157.91,158.81,155.27,156.31,154.93,3761400,3761400,-1.6,-1.01,157.075,"October 17, 25",-0.0101,,,,,
2025-10-16,164.01,165.32,155.53,157.97,156.58,6474900,6474900,-6.04,-3.68,160.7075,"October 16, 25",-0.0368,,,,,
2025-10-15,166.09,166.39,161.36,163.91,162.47,4089509,4089509,-2.18,-1.31,164.4375,"October 15, 25",-0.0131,,,,,
2025-10-14,156.17,165.09,156.17,163.98,162.54,4665420,4665420,7.81,5,160.3525,"October 14, 25",0.05,,,,,
2025-10-13,156.41,158.57,154.44,158.16,156.77,3400625,3400625,1.75,1.12,156.895,"October 13, 25",0.0112,,,,,
2025-10-10,160.49,161.4,153.16,153.77,152.42,6611417,6611417,-6.72,-4.19,157.205,"October 10, 25",-0.0419,,,,,
2025-10-09,162.49,163.13,159.67,160.65,159.24,2873169,2873169,-1.84,-1.13,161.485,"October 09, 25",-0.0113,,,,,
2025-10-08,164.91,164.91,161.28,162.46,161.03,2993491,2993491,-2.45,-1.49,163.39,"October 08, 25",-0.0149,,,,,
2025-10-07,167.3,169.21,163.94,164.91,163.46,2884143,2884143,-2.39,-1.43,166.34,"October 07, 25",-0.0143,,,,,
2025-10-06,168.91,170,164.38,166.89,165.42,2334228,2334228,-2.02,-1.2,167.545,"October 06, 25",-0.012,,,,,
2025-10-03,167.31,169.53,167.29,168.45,166.97,3218807,3218807,1.14,0.68137,168.145,"October 03, 25",0.0068137,,,,,
2025-10-02,168.21,169,166.4,166.58,165.11,3570256,3570256,-1.63,-0.96903,167.5475,"October 02, 25",-0.0096903,,,,,
2025-10-01,169.36,170.45,168,168.1,166.62,3630101,3630101,-1.26,-0.74398,168.9775,"October 01, 25",-0.0074398,,,,,
2025-09-30,176.38,177,166.76,170.85,169.35,5392000,5392000,-5.53,-3.14,172.7475,"September 30, 25",-0.0314,,,,,
2025-09-29,176.38,177.23,174.45,176.14,174.59,2630630,2630630,-0.24,-0.13607,176.05,"September 29, 25",-0.0013607,,,,,
2025-09-26,176.49,178.29,174.65,175.32,173.78,2047100,2047100,-1.17,-0.66293,176.1875,"September 26, 25",-0.0066293,,,,,
2025-09-25,175,176.95,173.89,175.6,174.05,3744100,3744100,0.6,0.34286,175.36,"September 25, 25",0.0034286,,,,,
2025-09-24,185,186.1,177.19,178.08,176.51,3826568,3826568,-6.92,-3.74,181.5925,"September 24, 25",-0.0374,,,,,
2025-09-23,185.59,189.88,183.72,184.91,183.28,2503492,2503492,-0.68,-0.3664,186.025,"September 23, 25",-0.003664,,,,,
2025-09-22,185.87,188.43,184.5,185.64,184.01,3038100,3038100,-0.23,-0.12374,186.11,"September 22, 25",-0.0012374,,,,,
2025-09-19,188.87,189.32,186.62,187.62,185.97,7404021,7404021,-1.25,-0.66183,188.1075,"September 19, 25",-0.0066183,,,,,
2025-09-18,184.77,190.09,184.46,188.68,187.02,4396015,4396015,3.91,2.12,187,"September 18, 25",0.0212,,,,,
2025-09-17,184.07,187.56,182.5,183.62,182,4719526,4719526,-0.45,-0.24447,184.4375,"September 17, 25",-0.0024447,,,,,
2025-09-16,184.45,185.14,183.33,183.72,182.1,2924416,2924416,-0.73,-0.39577,184.16,"September 16, 25",-0.0039577,,,,,
2025-09-15,181.8,184.13,181.4,183.8,182.18,2818623,2818623,2,1.1,182.7825,"September 15, 25",0.011,,,,,
2025-09-12,182.99,183.69,180.16,181.35,179.75,3356247,3356247,-1.64,-0.89622,182.0475,"September 12, 25",-0.0089622,,,,,
2025-09-11,178.53,186.65,178.53,183.92,182.3,6395810,6395810,5.39,3.02,181.9075,"September 11, 25",0.0302,,,,,
2025-09-10,174.98,179.69,174.56,178.23,176.66,4345946,4345946,3.25,1.86,176.865,"September 10, 25",0.0186,,,,,
2025-09-09,172.62,175.8,172.45,173.17,171.65,2958160,2958160,0.55,0.31862,173.51,"September 09, 25",0.0031862,,,,,
2025-09-08,170.64,173.65,169.8,173.3,171.77,3085334,3085334,2.66,1.56,171.8475,"September 08, 25",0.0156,,,,,
2025-09-05,172.97,173.46,167.75,169.99,168.49,3110422,3110422,-2.98,-1.72,171.0425,"September 05, 25",-0.0172,,,,,
2025-09-04,168.26,170.37,167.58,169.9,168.4,2548573,2548573,1.64,0.97468,169.0275,"September 04, 25",0.0097468,,,,,
2025-09-03,169.45,169.97,165.56,167.34,165.87,2450856,2450856,-2.11,-1.25,168.08,"September 03, 25",-0.0125,,,,,
2025-09-02,167.63,169.89,165.32,169.55,168.06,3512478,3512478,1.92,1.15,168.0975,"September 02, 25",0.0115,,,,,
2025-08-29,172.42,173,170.35,171.4,169.89,1943650,1943650,-1.02,-0.59158,171.7925,"August 29, 25",-0.0059158,,,,,
2025-08-28,172,173.55,171.7,172.02,170.51,2667618,2667618,0.02,0.01162791,172.3175,"August 28, 25",0.0001162791,,,,,
2025-08-27,171.05,172.57,170.69,171.64,170.13,2052953,2052953,0.59,0.34493,171.4875,"August 27, 25",0.0034493,,,,,
2025-08-26,168.82,171.6,168.14,171.43,169.92,3563600,3563600,2.61,1.55,169.9975,"August 26, 25",0.0155,,,,,
2025-08-25,169.56,171.91,169.25,169.5,168.01,2801115,2801115,-0.06,-0.0353857,170.055,"August 25, 25",-0.000353857,,,,,
2025-08-22,164.77,172.48,163.77,170.5,169,5188826,5188826,5.73,3.48,167.88,"August 22, 25",0.0348,,,,,
2025-08-21,164,164.86,162.92,163.44,162,3656700,3656700,-0.56,-0.34146,163.805,"August 21, 25",-0.0034146,,,,,
2025-08-20,166.9,167.13,162.69,164.47,163.02,4877707,4877707,-2.43,-1.46,165.2975,"August 20, 25",-0.0146,,,,,
2025-08-19,169.62,170.24,166.77,167.29,165.82,5367761,5367761,-2.33,-1.37,168.48,"August 19, 25",-0.0137,,,,,
2025-08-18,171.41,171.95,168.76,169.22,167.73,3974778,3974778,-2.19,-1.28,170.335,"August 18, 25",-0.0128,,,,,
2025-08-15,175.4,175.51,171.4,171.62,170.11,3684385,3684385,-3.78,-2.16,173.4825,"August 15, 25",-0.0216,,,,,
2025-08-14,175.59,176.05,172.49,174.68,173.14,2834908,2834908,-0.91,-0.51825,174.7025,"August 14, 25",-0.0051825,,,,,
2025-08-13,175.9,177.41,173.94,176.6,175.05,5598700,5598700,0.695,0.39795,175.9625,"August 13, 25",0.0039795,,,,,
2025-08-12,171.45,175.29,171.34,173.74,172.21,4181395,4181395,2.29,1.34,172.955,"August 12, 25",0.0134,,,,,
2025-08-11,170.6,171.3,169.23,170.07,168.57,2609506,2609506,-0.53,-0.31067,170.3,"August 11, 25",-0.0031067,,,,,
2025-08-08,168.5,170.89,167.64,168.91,167.42,2279600,2279600,0.41,0.24332,168.985,"August 08, 25",0.0024332,,,,,
2025-08-07,172.15,172.15,166.35,167.64,166.16,3082597,3082597,-4.51,-2.62,169.5725,"August 07, 25",-0.0262,,,,,
2025-08-06,168.35,170.59,167.72,169.35,167.86,2470500,2470500,1,0.594,169.0025,"August 06, 25",0.00594,,,,,
2025-08-05,171.3,171.3,166.26,167.68,166.2,4761970,4761970,-3.62,-2.11,169.135,"August 05, 25",-0.0211,,,,,
2025-08-04,170.2,171.47,169.77,170.5,169,3975326,3975326,0.3,0.17626,170.485,"August 04, 25",0.0017626,1.03,2025-08-04,1.03,2025-08-11,2025-07-24
