holder,shares,dateReported,change
VANGUARD GROUP INC,33401682,2025-09-30,97980
"BlackRock, Inc.",24031970,2025-09-30,254124
STATE STREET CORP,16495557,2025-09-30,-238881
JANUS HENDERSON GROUP PLC,10911145,2025-09-30,135623
VICTORY CAPITAL MANAGEMENT INC,9122867,2025-09-30,-860529
"Nuveen, LLC",8771683,2025-09-30,406188
MASSACHUSETTS FINANCIAL SERVICES CO /MA/,7006325,2025-09-30,-75735
"GEODE CAPITAL MANAGEMENT, LLC",6942910,2025-09-30,95114
Invesco Ltd.,4747485,2025-09-30,-117629
CITADEL ADVISORS LLC,4288179,2025-09-30,4212484
Pictet Asset Management Holding SA,3852774,2025-09-30,692552
FRANKLIN RESOURCES INC,3680611,2025-09-30,4488
BANK OF AMERICA CORP /DE/,3351791,2025-09-30,152056
MORGAN STANLEY,3151558,2025-09-30,-343726
MAIRS & POWER INC,2993643,2025-09-30,-48499
"COHEN & STEERS, INC.",2551622,2025-09-30,1605934
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,2308715,2025-09-30,17085
Legal & General Group Plc,2306322,2025-09-30,-62430
NORTHERN TRUST CORP,2203366,2025-09-30,-110937
JOHNSON INVESTMENT COUNSEL INC,1979718,2025-09-30,55489
Bank of New York Mellon Corp,1931507,2025-09-30,-398
DUFF & PHELPS INVESTMENT MANAGEMENT CO,1903207,2025-09-30,-3622
REAVES W H & CO INC,1779087,2025-09-30,626410
Neuberger Berman Group LLC,1651124,2025-09-30,-72455
Magellan Asset Management Ltd,1553695,2025-09-30,1381593
FIRST TRUST ADVISORS LP,1522001,2025-09-30,263582
FMR LLC,1415905,2025-09-30,1086440
BALYASNY ASSET MANAGEMENT L.P.,1353311,2025-09-30,-7115
DIMENSIONAL FUND ADVISORS LP,1345187,2025-09-30,14792
JPMORGAN CHASE & CO,1318385,2025-09-30,-139391
THRIVENT FINANCIAL FOR LUTHERANS,1315732,2025-09-30,-45646
MILLENNIUM MANAGEMENT LLC,1298814,2025-09-30,94550
UBS ASSET MANAGEMENT AMERICAS INC,1235865,2025-09-30,-526603
"Point72 Asset Management, L.P.",1112640,2025-09-30,841451
GOLDMAN SACHS GROUP INC,1021144,2025-09-30,-133773
"LIBERTY ONE INVESTMENT MANAGEMENT, LLC",984790,2025-09-30,470967
PRINCIPAL FINANCIAL GROUP INC,943630,2025-09-30,-59632
JENNISON ASSOCIATES LLC,937958,2025-09-30,216427
PRICE T ROWE ASSOCIATES INC /MD/,933379,2025-09-30,563605
Artisan Partners Limited Partnership,932209,2025-09-30,-66354
BARCLAYS PLC,908140,2025-09-30,265677
ALLIANCEBERNSTEIN L.P.,896340,2025-09-30,165488
LPL Financial LLC,794270,2025-09-30,56973
ANCHOR CAPITAL ADVISORS LLC,788725,2025-09-30,-13961
UBS Group AG,781906,2025-09-30,-135911
CALIFORNIA PUBLIC EMPLOYEES RETIREMENT SYSTEM,773147,2025-09-30,-159554
"Energy Income Partners, LLC",770251,2025-09-30,4587
VAUGHAN DAVID INVESTMENTS LLC/IL,768709,2025-09-30,-8924
Swiss National Bank,740500,2025-09-30,-37000
ENVESTNET ASSET MANAGEMENT INC,714986,2025-09-30,2729
"VAUGHAN NELSON INVESTMENT MANAGEMENT, L.P.",706575,2025-09-30,93935
