date,symbol,calendarYear,period,growthRevenue,growthCostOfRevenue,growthGrossProfit,growthGrossProfitRatio,growthResearchAndDevelopmentExpenses,growthGeneralAndAdministrativeExpenses,growthSellingAndMarketingExpenses,growthOtherExpenses,growthOperatingExpenses,growthCostAndExpenses,growthInterestExpense,growthDepreciationAndAmortization,growthEBITDA,growthEBITDARatio,growthOperatingIncome,growthOperatingIncomeRatio,growthTotalOtherIncomeExpensesNet,growthIncomeBeforeTax,growthIncomeBeforeTaxRatio,growthIncomeTaxExpense,growthNetIncome,growthNetIncomeRatio,growthEPS,growthEPSDiluted,growthWeightedAverageShsOut,growthWeightedAverageShsOutDil
2024-12-31,ALB,2024,FY,-0.4408430392911536,-0.36961194805921843,-0.9472649250490552,-0.9056882436203103,0.011606882473024206,0,0,19.384673981750108,0.9689816579374494,-0.2361105149401163,0.42686436005238126,0.3691038832964293,-2.273494678046405,-3.2775262902159423,-8.053112382434563,-13.613832761291224,-0.606177921499844,-1.4990394227016117,-1.8924853982327559,-0.7976071228534177,-1.749581817580948,-2.3405570708648735,-1.8351976137211037,-1.8383233532934131,0.0016962588542155017,-0.0021228537948134434
2023-12-31,ALB,2023,FY,0.313806880339405,0.9859286866593633,-0.6142867318439843,-0.7064155516426533,0.19093927564218335,0,0,-8.345119047619047,0.5450584424822092,0.9309771068009087,-0.056118009644393486,0.42914030999763997,-0.7225472813445618,-0.7888177306347599,-0.8980264050159085,-0.9223831170455261,1.513313251538079,-0.3446649565978802,-0.5011937803608988,0.10161346482738845,-0.41502467083250305,-0.5547478567851262,-0.4161950370047888,-0.415061295971979,0.001682035519125683,-0.00022921565797628043
2022-12-31,ALB,2022,FY,1.1995789008091151,0.822121248797203,2.0808380203432764,0.40064901509153406,0.3323399844519305,0,0,1.0283811589648986,2.029643624991856,0.9173745405754365,1.0003415967206715,0.18441338582677166,5.362271595701568,1.8924952827487458,2.093632034707941,0.4064655893079203,2.2927917953908823,12.975094599543132,5.353531847029352,12.26455206140053,20.74959570476745,8.888072540959271,20.467289719626166,20.547169811320753,0.011040995847756838,0.010786366444703783
2021-12-31,ALB,2021,FY,0.06361578428775014,0.09181108649445001,0.0031341313741829195,-0.056864192947673815,-0.08761441550984564,0,0,0,-0.5919830852627899,-0.03567309939357942,-0.15919908091252258,0.09490309676529415,-0.33822365716256103,-0.3778050752357357,0.578519291752667,0.48410668139610064,-3.301406725979455,-0.38587327552279804,-0.4226047283879071,-0.458961874138723,-0.6708785301412589,-0.6905635716225945,-0.6968838526912181,-0.6988636363636364,0.08871073851995263,0.091079319901131
2020-12-31,ALB,2020,FY,-0.12829847215168327,-0.08474388726605077,-0.20903927402132969,-0.09262436641991603,0.01590406093983221,0,0,0,-0.17343553253162738,-0.10269441700213183,0.2672848600398648,0.08665754810664968,-0.18643399282365197,-0.0666920024095978,-0.24066276048117238,-0.12890225024002896,-0.28224438564353077,-0.33649702460254016,-0.23884155969864432,-0.38266353603067116,-0.29530332240617524,-0.191584900106403,-0.2982107355864812,-0.298804780876494,0.004275642054195887,0.004580468580995288
2019-12-31,ALB,2019,FY,0.06354968221751434,0.08062079238297924,0.033289628475850604,-0.028451942023827833,-0.16797042281668428,0,0,1,0.9353092412565911,0.1866899947633565,0.10094456635817194,0.0637076602656728,-0.20392649770376903,-0.2514938271928269,-0.26923338526010926,-0.3128984692055192,0.11696436977379128,-0.2916203704286266,-0.3339477774492431,-0.3912626185905846,-0.23117471833808656,-0.2771139002190306,-0.21406250000000002,-0.20820189274447953,-0.02285408615935145,-0.028659394470938626
2018-12-31,ALB,2018,FY,0.09862511946707916,0.09974434198642607,0.0966467864285843,-0.0018007351085409795,-0.16928732360962884,0,0,0,-0.42815778053780656,-0.014760534268468465,-0.5456870394451668,0.019144052648683782,0.3803677102161048,0.2564501628424378,0.5945492075709338,0.45140428666151283,0.06425493745094585,0.7786583646301013,0.6189857054953998,-0.6646125557817316,11.644703737465816,10.509570927450893,12.061224489795919,11.938775510204081,-0.022422778008186522,-0.02600106780565937
2017-12-31,ALB,2017,FY,0.14745725296139292,0.14963375125320297,0.14363017424704505,-0.003335269204555667,0.04790307548928239,0,0,1,0.4475449873553446,0.20426177727536973,0.7696874856169743,-0.12928827558153416,-0.058935252797496694,-0.17986945083480407,-0.048786981263935575,-0.17102531163487308,-0.45669419944934436,-0.13287557446279966,-0.2443078609620426,3.4858045147148955,-0.9147861886821765,-0.9257368315136981,-0.9144851657940662,-0.9137323943661971,-0.013036243426262913,-0.007585725765858052
2016-12-31,ALB,2016,FY,-0.2667879008636567,-0.3046841610568177,-0.189072849895394,0.10599259209319013,-0.21770955857335886,0,0,-1.5172636360014342,-0.2830319807734867,-0.16325799434010474,-0.20170238824249848,-0.13037342930528,0.23624687725106136,0.6860699367070539,0.7414107345173002,1.3750436426955677,-12.416184066364064,0.4385335034493156,0.9619609461562355,7.645859529369499,0.9219572059025518,1.6212840855528332,0.9036544850498341,0.8933333333333332,0.010766131208289112,0.015086593280504858
2015-12-31,ALB,2015,FY,0.49305390857182113,0.46561354272406996,0.5526692681306821,0.039928471096576684,0.1648850639791643,0,0,1.2367881650476784,0.031172054849364427,0.1412293894446361,0.9742250592388413,1.5110647665392192,0.8219871603338649,0.22030902543274244,0.2720735132584833,-0.14800563716220708,0.8900703728556927,0.6802170945543417,0.1253559461737156,-0.39764120320276997,1.5121215758048547,0.6825390954736171,0.7810650887573963,0.7751479289940829,0.41280370031513675,0.4102803974615054
