date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,adjDividend,paymentDate,declarationDate,recordDate,dividend
2026-01-02,179.6,183.78,178.81,183.47,183.47,654400,654400,3.87,2.15,181.415,"January 02, 26",0.0215,,,,,
2025-12-31,182.53,183.06,180.32,180.4,180.4,649311,649311,-2.13,-1.17,181.5775,"December 31, 25",-0.0117,,,,,
2025-12-30,185.04,185.66,182.46,183.35,183.35,658260,658260,-1.69,-0.91332,184.1275,"December 30, 25",-0.0091332,,,,,
2025-12-29,185.82,186.86,184.2,185.49,185.49,314900,314900,-0.33,-0.17759,185.5925,"December 29, 25",-0.0017759,,,,,
2025-12-26,187.11,187.42,185.3,185.86,185.86,278000,278000,-1.25,-0.66806,186.4225,"December 26, 25",-0.0066806,,,,,
2025-12-24,186.32,187.5,185.61,186.63,186.63,272700,272700,0.31,0.16638,186.515,"December 24, 25",0.0016638,,,,,
2025-12-23,185.98,187.35,184.64,186.32,186.32,553791,553791,0.34,0.18282,186.0725,"December 23, 25",0.0018282,,,,,
2025-12-22,185.19,187.38,184.14,186.04,186.04,700435,700435,0.85,0.45899,185.6875,"December 22, 25",0.0045899,,,,,
2025-12-19,181.29,184.78,180.29,184.68,184.68,2420904,2420904,3.39,1.87,182.76,"December 19, 25",0.0187,,,,,
2025-12-18,182.22,183.57,180.63,181.19,181.19,886829,886829,-1.03,-0.56525,181.9025,"December 18, 25",-0.0056525,,,,,
2025-12-17,181.06,183.61,180,181.36,181.36,852500,852500,0.3,0.16569,181.5075,"December 17, 25",0.0016569,,,,,
2025-12-16,185.86,186.5,180.74,182.16,182.16,882200,882200,-3.7,-1.99,183.815,"December 16, 25",-0.0199,,,,,
2025-12-15,188.36,189.73,184.88,185.95,185.95,955041,955041,-2.41,-1.28,187.23,"December 15, 25",-0.0128,0.43,2025-12-31,2025-10-31,2025-12-15,0.43
2025-12-12,190.53,191.53,187.11,189.73,189.3,1152346,1152346,-0.8,-0.41988,189.725,"December 12, 25",-0.0041988,,,,,
2025-12-11,189.05,191.54,187.4,190.53,190.1,659900,659900,1.48,0.78286,189.63,"December 11, 25",0.0078286,,,,,
2025-12-10,184.16,189.41,184.01,188.31,187.88,770133,770133,4.15,2.25,186.4725,"December 10, 25",0.0225,,,,,
2025-12-09,185.61,186.98,184.68,184.95,184.53,872955,872955,-0.66,-0.35558,185.555,"December 09, 25",-0.0035558,,,,,
2025-12-08,187.33,187.33,184.42,185.62,185.2,887600,887600,-1.71,-0.91283,186.175,"December 08, 25",-0.0091283,,,,,
2025-12-05,191.62,191.62,183.91,186.82,186.4,917394,917394,-4.8,-2.5,188.4925,"December 05, 25",-0.025,,,,,
2025-12-04,189.04,196.56,189.04,192.42,191.98,782926,782926,3.38,1.79,191.765,"December 04, 25",0.0179,,,,,
2025-12-03,187.84,189.08,186.8,188.44,188.01,585334,585334,0.6,0.31942,188.04,"December 03, 25",0.0031942,,,,,
2025-12-02,189.11,189.98,186.27,187.07,186.65,764872,764872,-2.04,-1.08,188.1075,"December 02, 25",-0.0108,,,,,
2025-12-01,190.46,191.73,188.33,188.42,187.99,769947,769947,-2.04,-1.07,189.735,"December 01, 25",-0.0107,,,,,
2025-11-28,190.85,191.67,190.3,191.1,190.67,379600,379600,0.25,0.13099,190.98,"November 28, 25",0.0013099,,,,,
2025-11-26,191.8,192.92,190.19,190.36,189.93,760927,760927,-1.44,-0.75078,191.3175,"November 26, 25",-0.0075078,,,,,
