date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,paymentDate,dividend,adjDividend,recordDate,declarationDate
2026-01-02,125.5,126.83,124.84,126.44,126.44,4593684,4593684,0.94,0.749,125.9025,"January 02, 26",0.00749,,,,,
2025-12-31,125.85,126.05,124.77,124.8,124.8,2675155,2675155,-1.05,-0.83433,125.3675,"December 31, 25",-0.0083433,,,,,
2025-12-30,127.27,127.32,125.7,125.81,125.81,3027248,3027248,-1.46,-1.15,126.525,"December 30, 25",-0.0115,,,,,
2025-12-29,128.91,129.1,126.45,127.35,127.35,6207290,6207290,-1.56,-1.21,127.9525,"December 29, 25",-0.0121,,,,,
2025-12-26,127.64,129.28,127.11,128.94,128.94,3257521,3257521,1.3,1.02,128.2425,"December 26, 25",0.0102,,,,,
2025-12-24,126.59,127.71,125.93,127.54,127.54,1653048,1653048,0.95,0.75045,126.9425,"December 24, 25",0.0075045,,,,,
2025-12-23,126.31,126.64,125.14,126.6,126.6,5108236,5108236,0.29,0.22959,126.1725,"December 23, 25",0.0022959,,,,,
2025-12-22,125.88,126.66,124.34,126.22,126.22,7926630,7926630,0.34,0.2701,125.775,"December 22, 25",0.002701,,,,,
2025-12-19,127.4,127.95,124.33,124.42,124.42,140096313,140096313,-2.98,-2.34,126.025,"December 19, 25",-0.0234,,,,,
2025-12-18,124.8,127.54,124.55,127.17,127.17,9489638,9489638,2.37,1.9,126.015,"December 18, 25",0.019,,,,,
2025-12-17,125.34,127.11,122.79,123.05,123.05,8465238,8465238,-2.29,-1.83,124.5725,"December 17, 25",-0.0183,,,,,
2025-12-16,128,128.95,126.75,126.92,126.92,8073100,8073100,-1.08,-0.84375,127.655,"December 16, 25",-0.0084375,,,,,
2025-12-15,127.33,128.25,126.63,127.26,127.26,8535600,8535600,-0.065,-0.05497526,127.3675,"December 15, 25",-0.0005497526,,,,,
2025-12-12,126.51,127.44,125.19,126.4,126.4,7313921,7313921,-0.11,-0.08694965,126.385,"December 12, 25",-0.0008694965,,,,,
2025-12-11,125.78,127.2,124.94,126.99,126.99,7953910,7953910,1.21,0.962,126.2275,"December 11, 25",0.00962,,,,,
2025-12-10,123.06,125.47,122.27,125.14,125.14,7940116,7940116,2.08,1.69,123.985,"December 10, 25",0.0169,,,,,
2025-12-09,125.62,126.29,123.59,123.69,123.69,12520219,12520219,-1.93,-1.54,124.7975,"December 09, 25",-0.0154,,,,,
2025-12-08,127,127.1,124.83,126.54,126.54,23653400,23653400,-0.46,-0.3622,126.3675,"December 08, 25",-0.003622,,,,,
2025-12-05,120.55,121.35,118.6,119.49,119.49,9165211,9165211,-1.06,-0.8793,119.9975,"December 05, 25",-0.008793,,,,,
2025-12-04,120,121.58,119.1,121.05,121.05,4550712,4550712,1.05,0.875,120.4325,"December 04, 25",0.00875,,,,,
2025-12-03,118.43,121.8,118.39,121.36,121.36,4774532,4774532,2.93,2.47,119.995,"December 03, 25",0.0247,,,,,
2025-12-02,119.85,120.37,118.4,118.61,118.61,4439400,4439400,-1.24,-1.03,119.3075,"December 02, 25",-0.0103,,,,,
2025-12-01,118.99,120.89,117.59,119.68,119.68,4032530,4032530,0.69,0.57988,119.2875,"December 01, 25",0.0057988,,,,,
2025-11-28,119.4,120.53,119.37,119.96,119.96,2366305,2366305,0.56,0.46901,119.815,"November 28, 25",0.0046901,,,,,
2025-11-26,117.09,120.09,116.75,119.66,119.66,5111360,5111360,2.57,2.19,118.3975,"November 26, 25",0.0219,,,,,
2025-11-25,114.69,116.94,114.02,116.27,116.27,4855900,4855900,1.58,1.38,115.48,"November 25, 25",0.0138,,,,,
2025-11-24,110.79,112.85,110.31,112.64,112.64,5665800,5665800,1.85,1.67,111.6475,"November 24, 25",0.0167,,,,,
2025-11-21,108.48,110.57,107.6,110.15,110.15,4035626,4035626,1.67,1.54,109.2,"November 21, 25",0.0154,2025-12-17,0.37,0.37,2025-11-21,2025-11-05
2025-11-20,111.82,111.94,108.17,108.37,108,4505600,4505600,-3.45,-3.09,110.075,"November 20, 25",-0.0309,,,,,
2025-11-19,110.41,111.59,109.51,110.15,109.77,3257412,3257412,-0.26,-0.23549,110.415,"November 19, 25",-0.0023549,,,,,
2025-11-18,108.38,109.4,107.22,108.87,108.5,6343423,6343423,0.49,0.45211,108.4675,"November 18, 25",0.0045211,,,,,
2025-11-17,109.5,110.84,108.76,109.24,108.87,3272257,3272257,-0.26,-0.23744,109.585,"November 17, 25",-0.0023744,,,,,
2025-11-14,109.99,110.69,109.01,109.57,109.2,3169500,3169500,-0.42,-0.38185,109.815,"November 14, 25",-0.0038185,,,,,
2025-11-13,112.82,113.98,110.81,111.16,110.78,3125400,3125400,-1.66,-1.47,112.1925,"November 13, 25",-0.0147,,,,,
2025-11-12,113.43,115.08,112.67,113.4,113.01,3126914,3126914,-0.03,-0.02644803,113.645,"November 12, 25",-0.0002644803,,,,,
2025-11-11,114.24,114.54,112.5,112.65,112.27,3063801,3063801,-1.59,-1.39,113.4825,"November 11, 25",-0.0139,,,,,
2025-11-10,114.24,114.96,113.46,113.98,113.59,3452011,3452011,-0.26,-0.22759,114.16,"November 10, 25",-0.0022759,,,,,
2025-11-07,113.42,114.05,112.13,113,112.61,4090537,4090537,-0.42,-0.37031,113.15,"November 07, 25",-0.0037031,,,,,
2025-11-06,113.21,116.5,111.93,114.78,114.39,5139145,5139145,1.57,1.39,114.105,"November 06, 25",0.0139,,,,,
2025-11-05,116.74,117.44,115.17,115.67,115.28,6959829,6959829,-1.07,-0.91657,116.255,"November 05, 25",-0.0091657,,,,,
2025-11-04,115.99,118.16,115.96,117.32,116.92,3326427,3326427,1.33,1.15,116.8575,"November 04, 25",0.0115,,,,,
2025-11-03,119.24,119.5,117.51,118.4,118,4407300,4407300,-0.84,-0.70446,118.6625,"November 03, 25",-0.0070446,,,,,
2025-10-31,116.73,119.17,116.64,119.1,118.69,5227600,5227600,2.37,2.03,117.91,"October 31, 25",0.0203,,,,,
2025-10-30,117.51,118.86,116.49,117.23,116.83,3350000,3350000,-0.28,-0.23828,117.5225,"October 30, 25",-0.0023828,,,,,
2025-10-29,119.94,120.65,117.36,118.48,118.08,3042544,3042544,-1.46,-1.22,119.1075,"October 29, 25",-0.0122,,,,,
2025-10-28,120.87,121.47,119.68,119.94,119.53,4022800,4022800,-0.93,-0.76942,120.49,"October 28, 25",-0.0076942,,,,,
2025-10-27,121.07,121.99,119.95,120.95,120.54,3286500,3286500,-0.12,-0.09911621,120.99,"October 27, 25",-0.0009911621,,,,,
2025-10-24,119.62,120.94,119.22,120.17,119.76,2638035,2638035,0.55,0.45979,119.9875,"October 24, 25",0.0045979,,,,,
2025-10-23,116.16,118.33,116.16,117.87,117.47,2943700,2943700,1.71,1.47,117.13,"October 23, 25",0.0147,,,,,
2025-10-22,118.78,119.76,116.8,116.98,116.58,3031239,3031239,-1.8,-1.52,118.08,"October 22, 25",-0.0152,,,,,
2025-10-21,116.66,118.95,116.1,118.25,117.85,2585254,2585254,1.59,1.36,117.49,"October 21, 25",0.0136,,,,,
2025-10-20,118.29,118.41,116.73,117.43,117.03,1664321,1664321,-0.86,-0.72703,117.715,"October 20, 25",-0.0072703,,,,,
2025-10-17,116.37,117.73,116.05,117.46,117.06,3266298,3266298,1.09,0.93667,116.9025,"October 17, 25",0.0093667,,,,,
2025-10-16,119.02,119.27,116.88,116.94,116.54,2414300,2414300,-2.08,-1.75,118.0275,"October 16, 25",-0.0175,,,,,
2025-10-15,120.54,121.2,117.56,118.58,118.18,2873500,2873500,-1.96,-1.63,119.47,"October 15, 25",-0.0163,,,,,
