holder,shares,dateReported,change
FMR LLC,21834489,2025-09-30,39570
VANGUARD GROUP INC,17561392,2025-09-30,1006514
"BlackRock, Inc.",16042732,2025-09-30,-722200
STATE STREET CORP,4376589,2025-09-30,99908
PRICE T ROWE ASSOCIATES INC /MD/,3308074,2025-09-30,-2346387
MORGAN STANLEY,2770816,2025-09-30,939067
Slate Path Capital LP,2693657,2025-09-30,-2044961
"ARROWSTREET CAPITAL, LIMITED PARTNERSHIP",2649670,2025-09-30,1271554
"GEODE CAPITAL MANAGEMENT, LLC",2522584,2025-09-30,129894
"Madison Avenue Partners, LP",2062521,2025-09-30,-1508588
Neuberger Berman Group LLC,1731184,2025-09-30,1407316
BANK OF AMERICA CORP /DE/,1697188,2025-09-30,1345473
JPMORGAN CHASE & CO,1655356,2025-09-30,94751
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,1478752,2025-09-30,36513
AQR CAPITAL MANAGEMENT LLC,1453271,2025-09-30,630829
Polar Capital Holdings Plc,1302523,2025-09-30,1302523
"D. E. Shaw & Co., Inc.",1283560,2025-09-30,1229885
MILLENNIUM MANAGEMENT LLC,1141237,2025-09-30,160009
VICTORY CAPITAL MANAGEMENT INC,1072754,2025-09-30,-1165784
ALLIANCEBERNSTEIN L.P.,1030704,2025-09-30,-513629
NORTHERN TRUST CORP,951761,2025-09-30,16029
"JANE STREET GROUP, LLC",940465,2025-09-30,809950
"PARNASSUS INVESTMENTS, LLC",925267,2025-09-30,-93894
"SUMMIT PARTNERS PUBLIC ASSET MANAGEMENT, LLC",896000,2025-09-30,877000
DIMENSIONAL FUND ADVISORS LP,891862,2025-09-30,55235
DnB Asset Management AS,842604,2025-09-30,-6266681
RENAISSANCE TECHNOLOGIES LLC,835200,2025-09-30,422100
"Burkehill Global Management, LP",800000,2025-09-30,0
"MARSHALL WACE, LLP",775843,2025-09-30,374128
Bank of New York Mellon Corp,743675,2025-09-30,-169672
Maple Rock Capital Partners Inc.,742500,2025-09-30,190500
Invesco Ltd.,702057,2025-09-30,-12237
PRINCIPAL FINANCIAL GROUP INC,661899,2025-09-30,-4547
Anatole Investment Management Ltd,637490,2025-09-30,637490
UBS Group AG,631973,2025-09-30,-2718772
"VOLORIDGE INVESTMENT MANAGEMENT, LLC",616381,2025-09-30,616381
Clal Insurance Enterprises Holdings Ltd,595000,2025-09-30,595000
PUBLIC SECTOR PENSION INVESTMENT BOARD,538459,2025-09-30,77745
GOLDMAN SACHS GROUP INC,456885,2025-09-30,124609
BANK OF NOVA SCOTIA,450000,2025-09-30,450000
"BNP PARIBAS ARBITRAGE, SNC",417365,2025-09-30,182493
Oxbow Capital Management (HK) Ltd,405000,2025-09-30,405000
GF FUND MANAGEMENT CO. LTD.,402905,2025-09-30,402905
NOMURA HOLDINGS INC,388451,2025-09-30,359599
AMERIPRISE FINANCIAL INC,387896,2025-09-30,-1448812
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,383561,2025-09-30,383561
Quadrature Capital Ltd,375653,2025-09-30,355392
Amundi,371402,2025-09-30,118781
Legal & General Group Plc,355648,2025-09-30,-207138
DEPRINCE RACE & ZOLLO INC,351872,2025-09-30,-379958
RHUMBLINE ADVISERS,335517,2025-09-30,21278
"Russell Investments Group, Ltd.",333741,2025-09-30,170836
LSV ASSET MANAGEMENT,328615,2025-09-30,28740
CITADEL ADVISORS LLC,325617,2025-09-30,-1821691
DEUTSCHE BANK AG\,321748,2025-09-30,-68135
GENDELL JEFFREY L,314839,2025-09-30,150000
"SEVEN GRAND MANAGERS, LLC",300000,2025-09-30,-200000
Ghisallo Capital Management LLC,300000,2025-09-30,-605000
ROYAL BANK OF CANADA,295056,2025-09-30,126329
UBS ASSET MANAGEMENT AMERICAS INC,293641,2025-09-30,-203492
TEACHER RETIREMENT SYSTEM OF TEXAS,292064,2025-09-30,-77173
"Gotham Asset Management, LLC",285049,2025-09-30,285049
WORLDQUANT MILLENNIUM ADVISORS LLC,281872,2025-09-30,171304
AIGH Capital Management LLC,280000,2025-09-30,280000
Rokos Capital Management LLP,271789,2025-09-30,271789
Swiss National Bank,267602,2025-09-30,4800
"TWO SIGMA INVESTMENTS, LP",260361,2025-09-30,260361
"Nuveen, LLC",251016,2025-09-30,47498
Talos Eurisko Asset Management LP,248000,2025-09-30,-66600
"Alta Park Capital, LP",240929,2025-09-30,240929
HBK INVESTMENTS L P,234694,2025-09-30,-39429
CALIFORNIA PUBLIC EMPLOYEES RETIREMENT SYSTEM,225440,2025-09-30,62540
Trexquant Investment LP,223926,2025-09-30,223926
CITIGROUP INC,221283,2025-09-30,81787
PEAK6 LLC,214948,2025-09-30,166410
CloudAlpha Capital Management Limited/Hong Kong,213813,2025-09-30,213813
