date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,dividend,adjDividend,recordDate,paymentDate,declarationDate
2026-01-02,151.1,153.66,148.68,152.34,152.34,1370622,1370622,1.25,0.82065,151.445,"January 02, 26",0.0082065,,,,,
2025-12-31,151.25,151.75,149.95,150.33,150.33,1202263,1202263,-0.92,-0.60826,150.82,"December 31, 25",-0.0060826,,,,,
2025-12-30,149.86,152.3,149.44,151.25,151.25,1552141,1552141,1.39,0.92753,150.7125,"December 30, 25",0.0092753,,,,,
2025-12-29,147.75,149.42,147.42,148.57,148.57,1398299,1398299,0.82,0.55499,148.29,"December 29, 25",0.0055499,,,,,
2025-12-26,146.73,146.8,144.8,146.31,146.31,985327,985327,-0.42,-0.28624,146.16,"December 26, 25",-0.0028624,,,,,
2025-12-24,147.96,147.96,146.43,146.91,146.91,667507,667507,-1.05,-0.70965,147.315,"December 24, 25",-0.0070965,,,,,
2025-12-23,148.74,149.77,147.19,148.16,148.16,1041266,1041266,-0.58,-0.38994,148.465,"December 23, 25",-0.0038994,,,,,
2025-12-22,150.11,153.19,148.43,148.46,148.46,1318237,1318237,-1.65,-1.1,150.0475,"December 22, 25",-0.011,,,,,
2025-12-19,146.92,150.92,146.66,148.13,148.13,3981339,3981339,1.21,0.82358,148.1575,"December 19, 25",0.0082358,,,,,
2025-12-18,153.43,153.77,146.17,147,147,2178300,2178300,-6.43,-4.19,150.0925,"December 18, 25",-0.0419,,,,,
2025-12-17,150.65,154.94,149.79,154.07,154.07,2313287,2313287,3.42,2.27,152.3625,"December 17, 25",0.0227,,,,,
2025-12-16,151.66,152.14,146.43,149.06,149.06,2939400,2939400,-2.6,-1.71,149.8225,"December 16, 25",-0.0171,,,,,
2025-12-15,157.43,157.43,151.54,154.06,154.06,1897844,1897844,-3.37,-2.14,155.115,"December 15, 25",-0.0214,,,,,
2025-12-12,158.13,159.15,156.09,156.68,156.68,1515097,1515097,-1.45,-0.91697,157.5125,"December 12, 25",-0.0091697,,,,,
2025-12-11,158.06,160.86,155.67,157.04,157.04,1902500,1902500,-1.02,-0.64532,157.9075,"December 11, 25",-0.0064532,,,,,
2025-12-10,158.54,160.65,155.88,160.28,160.28,1817335,1817335,1.74,1.1,158.8375,"December 10, 25",0.011,,,,,
2025-12-09,156.92,159.72,156.6,158.17,158.17,1370100,1370100,1.25,0.79658,157.8525,"December 09, 25",0.0079658,,,,,
2025-12-08,157.71,160.19,156.57,157.52,157.52,1215504,1215504,-0.19,-0.12047,157.9975,"December 08, 25",-0.0012047,,,,,
2025-12-05,159.64,164.44,158.5,158.6,158.6,2048107,2048107,-1.04,-0.65147,160.295,"December 05, 25",-0.0065147,,,,,
2025-12-04,158.15,161.13,158,159.51,159.51,1653085,1653085,1.36,0.85994,159.1975,"December 04, 25",0.0085994,,,,,
2025-12-03,156.8,159.39,156.8,158.38,158.38,1638800,1638800,1.58,1.01,157.8425,"December 03, 25",0.0101,,,,,
2025-12-02,156,157.15,153.89,155.98,155.98,1820937,1820937,-0.02,-0.01282051,155.755,"December 02, 25",-0.0001282051,,,,,
