date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,recordDate,adjDividend,declarationDate,dividend,paymentDate
2026-01-05,48.72,49.69,48.66,49.535,49.535,167302,167302,0.815,1.67282,49.29,"January 05, 26",0.0167282,,,,,
2026-01-02,48.79,49.57,48.1,48.97,48.97,1782900,1782900,0.18,0.36893,48.8575,"January 02, 26",0.0036893,,,,,
2025-12-31,48.75,49.27,48.58,48.94,48.94,2004533,2004533,0.19,0.38974,48.885,"December 31, 25",0.0038974,2025-12-31,0.72,2025-12-03,0.72,2026-01-15
2025-12-30,49.18,49.6,48.92,49.47,48.75,2007139,2007139,0.29,0.58967,49.2925,"December 30, 25",0.0058967,,,,,
2025-12-29,48.99,50.08,48.86,49.17,48.45,2237207,2237207,0.18,0.36742,49.275,"December 29, 25",0.0036742,,,,,
2025-12-26,48.67,48.69,48.01,48.6,47.89,1484539,1484539,-0.07,-0.14383,48.4925,"December 26, 25",-0.0014383,,,,,
2025-12-24,47.91,48.84,47.64,48.76,48.05,853000,853000,0.85,1.77,48.2875,"December 24, 25",0.0177,,,,,
2025-12-23,48.42,48.48,47.85,48.07,47.37,1860916,1860916,-0.35,-0.72284,48.205,"December 23, 25",-0.0072284,,,,,
2025-12-22,48.1,48.64,47.71,48.62,47.91,2351583,2351583,0.52,1.08,48.2675,"December 22, 25",0.0108,,,,,
2025-12-19,48.8,49.14,47.47,47.94,47.24,7476545,7476545,-0.86,-1.76,48.3375,"December 19, 25",-0.0176,,,,,
2025-12-18,47.72,49.17,47.54,48.95,48.24,2964600,2964600,1.23,2.58,48.345,"December 18, 25",0.0258,,,,,
2025-12-17,46.97,47.88,46.8,47.56,46.87,2339689,2339689,0.59,1.26,47.3025,"December 17, 25",0.0126,,,,,
2025-12-16,46.99,47.78,45.73,46.97,46.29,3208381,3208381,-0.02,-0.04256225,46.8675,"December 16, 25",-0.0004256225,,,,,
2025-12-15,47.4,47.8,46.82,47.41,46.72,2516706,2516706,0.01,0.02109705,47.3575,"December 15, 25",0.0002109705,,,,,
2025-12-12,45.91,46.73,45.72,46.64,45.96,2610619,2610619,0.73,1.59,46.25,"December 12, 25",0.0159,,,,,
2025-12-11,46.62,47.19,45.44,45.57,44.91,2037400,2037400,-1.05,-2.25,46.205,"December 11, 25",-0.0225,,,,,
2025-12-10,45.5,46.61,45.21,46.47,45.79,2990956,2990956,0.97,2.13,45.9475,"December 10, 25",0.0213,,,,,
2025-12-09,44.9,45.91,44.84,45.29,44.63,3142813,3142813,0.39,0.8686,45.235,"December 09, 25",0.008686,,,,,
2025-12-08,45.9,45.92,44.1,44.97,44.32,5998037,5998037,-0.93,-2.03,45.2225,"December 08, 25",-0.0203,,,,,
2025-12-05,46.1,47.49,45.47,45.48,44.82,5032900,5032900,-0.62,-1.34,46.135,"December 05, 25",-0.0134,,,,,
2025-12-04,48.01,48.02,46.1,46.59,45.91,4963400,4963400,-1.42,-2.96,47.18,"December 04, 25",-0.0296,,,,,
