date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,recordDate,adjDividend,declarationDate,dividend,paymentDate
2025-12-03,52.13,52.57,47.57,48.42,47.72,7331311,7331311,-3.71,-7.12,50.1725,"December 03, 25",-0.0712,,,,,
2025-12-02,53.31,54.17,52.96,53.83,53.05,2103528,2103528,0.52,0.97543,53.5675,"December 02, 25",0.0097543,,,,,
2025-12-01,52.86,53.6,52.39,53.1,52.33,2822587,2822587,0.24,0.45403,52.9875,"December 01, 25",0.0045403,,,,,
2025-11-28,53.53,54.45,53.4,53.67,52.89,1046532,1046532,0.14,0.26154,53.7625,"November 28, 25",0.0026154,,,,,
2025-11-26,52.29,54.17,52.27,53.57,52.79,2264298,2264298,1.28,2.45,53.075,"November 26, 25",0.0245,,,,,
2025-11-25,51.6,52.88,51.55,52.65,51.88,1924308,1924308,1.05,2.03,52.17,"November 25, 25",0.0203,,,,,
2025-11-24,51,51.58,50.6,51.22,50.47,2913800,2913800,0.22,0.43137,51.1,"November 24, 25",0.0043137,,,,,
2025-11-21,49.06,51.75,48.99,50.89,50.15,2792703,2792703,1.83,3.73,50.1725,"November 21, 25",0.0373,,,,,
2025-11-20,49.82,50.46,48.66,48.86,48.15,2482678,2482678,-0.96,-1.93,49.45,"November 20, 25",-0.0193,,,,,
2025-11-19,50.8,51,49.3,49.51,48.79,2687865,2687865,-1.29,-2.54,50.1525,"November 19, 25",-0.0254,,,,,
2025-11-18,50.6,51.12,50.22,50.8,50.06,3171789,3171789,0.2,0.39526,50.685,"November 18, 25",0.0039526,,,,,
2025-11-17,52.34,52.54,50.51,50.84,50.1,2921200,2921200,-1.5,-2.87,51.5575,"November 17, 25",-0.0287,,,,,
2025-11-14,52,52.73,51.63,52.29,51.53,1753300,1753300,0.29,0.55769,52.1625,"November 14, 25",0.0055769,,,,,
2025-11-13,53.22,53.67,52.16,52.24,51.48,2308960,2308960,-0.98,-1.84,52.8225,"November 13, 25",-0.0184,,,,,
2025-11-12,54.4,54.91,53.7,53.78,53,2429421,2429421,-0.62,-1.14,54.1975,"November 12, 25",-0.0114,,,,,
2025-11-11,54.72,55.11,53.77,54.85,54.05,2059824,2059824,0.13,0.23757,54.6125,"November 11, 25",0.0023757,,,,,
2025-11-10,55.87,56.35,54.22,54.26,53.47,2683083,2683083,-1.61,-2.88,55.175,"November 10, 25",-0.0288,,,,,
2025-11-07,53.18,55.65,52.95,55.61,54.8,2936855,2936855,2.44,4.57,54.3475,"November 07, 25",0.0457,,,,,
2025-11-06,54.43,54.97,52.94,53.17,52.4,2332425,2332425,-1.26,-2.31,53.8775,"November 06, 25",-0.0231,,,,,
2025-11-05,54.29,54.85,53.08,54.47,53.68,3494200,3494200,0.18,0.33155,54.1725,"November 05, 25",0.0033155,,,,,
2025-11-04,55.04,55.71,53.94,53.99,53.2,3128796,3128796,-1.05,-1.91,54.67,"November 04, 25",-0.0191,,,,,
2025-11-03,56.84,58.1,55.37,55.69,54.88,3765509,3765509,-1.15,-2.02,56.5,"November 03, 25",-0.0202,,,,,
2025-10-31,56,58.7,55.3,58.22,57.37,4149914,4149914,2.22,3.96,57.055,"October 31, 25",0.0396,,,,,
2025-10-30,55.34,58.06,55.02,56.37,55.55,7501200,7501200,1.03,1.86,56.1975,"October 30, 25",0.0186,,,,,
2025-10-29,62.2,63.61,57.62,58.76,57.91,7089100,7089100,-3.44,-5.53,60.5475,"October 29, 25",-0.0553,,,,,
2025-10-28,69.78,69.78,62.56,62.94,62.02,12272900,12272900,-6.84,-9.8,66.265,"October 28, 25",-0.098,,,,,
2025-10-27,77.93,78,76.92,77.87,76.74,1404034,1404034,-0.06,-0.07699217,77.68,"October 27, 25",-0.0007699217,,,,,
2025-10-24,77.69,78.51,77.27,77.41,76.28,1314800,1314800,-0.28,-0.36041,77.72,"October 24, 25",-0.0036041,,,,,
2025-10-23,77.73,78.29,76.88,76.91,75.79,1191800,1191800,-0.82,-1.05,77.4525,"October 23, 25",-0.0105,,,,,
2025-10-22,77.09,78.29,76.69,77.77,76.64,1195808,1195808,0.68,0.88209,77.46,"October 22, 25",0.0088209,,,,,
2025-10-21,76.81,77.19,75.83,76.79,75.67,1329056,1329056,-0.02,-0.02603828,76.655,"October 21, 25",-0.0002603828,,,,,
2025-10-20,75.27,77.36,75.24,76.73,75.61,1653239,1653239,1.46,1.94,76.15,"October 20, 25",0.0194,,,,,
2025-10-17,75.12,75.99,74.27,74.99,73.9,1229868,1229868,-0.13,-0.17306,75.0925,"October 17, 25",-0.0017306,,,,,
2025-10-16,76.66,77.3,75.11,75.23,74.14,1933008,1933008,-1.43,-1.87,76.075,"October 16, 25",-0.0187,,,,,
2025-10-15,75.62,78.54,75.5,76.21,75.1,1588219,1588219,0.59,0.78022,76.4675,"October 15, 25",0.0078022,,,,,
2025-10-14,73.62,75.36,73.38,75.07,73.98,1314709,1314709,1.45,1.97,74.3575,"October 14, 25",0.0197,,,,,
2025-10-13,73.88,74.29,72.83,73.87,72.8,1560471,1560471,-0.01,-0.01353546,73.7175,"October 13, 25",-0.0001353546,,,,,
2025-10-10,74.45,74.5,72.9,73.92,72.84,2721515,2721515,-0.53,-0.71189,73.9425,"October 10, 25",-0.0071189,,,,,
2025-10-09,75.22,76.23,74.02,74.43,73.35,2504738,2504738,-0.79,-1.05,74.975,"October 09, 25",-0.0105,,,,,
2025-10-08,77.5,78.75,75.16,75.22,74.13,3464500,3464500,-2.28,-2.94,76.6575,"October 08, 25",-0.0294,,,,,
2025-10-07,80.1,80.5,77.88,78.09,76.95,3016440,3016440,-2.01,-2.51,79.1425,"October 07, 25",-0.0251,,,,,
2025-10-06,84.11,84.3,79.76,79.99,78.83,2214100,2214100,-4.12,-4.9,82.04,"October 06, 25",-0.049,,,,,
2025-10-03,84.33,85.37,83.58,83.8,82.58,1999500,1999500,-0.53,-0.62848,84.27,"October 03, 25",-0.0062848,,,,,
2025-10-02,83.1,83.97,82.52,83.7,82.48,1119840,1119840,0.6,0.72202,83.3225,"October 02, 25",0.0072202,,,,,
2025-10-01,82.11,83.63,81.47,83.46,82.25,1307114,1307114,1.35,1.64,82.6675,"October 01, 25",0.0164,,,,,
2025-09-30,82.95,83.42,81.78,83.34,82.13,1300712,1300712,0.39,0.47016,82.8725,"September 30, 25",0.0047016,2025-09-30,1.32,2025-09-02,1.32,2025-10-15
2025-09-29,84.34,84.53,83.07,84.42,81.89,1451400,1451400,0.08,0.09485416,84.09,"September 29, 25",0.0009485416,,,,,
2025-09-26,84.65,85.15,82.61,83.85,81.34,1333439,1333439,-0.795,-0.94507,84.065,"September 26, 25",-0.0094507,,,,,
2025-09-25,85.51,85.78,84.1,84.16,81.64,1074300,1074300,-1.35,-1.58,84.8875,"September 25, 25",-0.0158,,,,,
2025-09-24,86.51,86.74,85.85,85.89,83.32,909988,909988,-0.62,-0.71668,86.2475,"September 24, 25",-0.0071668,,,,,
2025-09-23,86.74,87.54,86.35,86.97,84.36,985643,985643,0.23,0.26516,86.9,"September 23, 25",0.0026516,,,,,
2025-09-22,85.98,86.32,84.88,85.89,83.32,1172014,1172014,-0.09,-0.10468,85.7675,"September 22, 25",-0.0010468,,,,,
2025-09-19,88.07,88.24,86.15,86.19,83.61,3863010,3863010,-1.88,-2.13,87.1625,"September 19, 25",-0.0213,,,,,
2025-09-18,86.37,87.85,85.63,87.45,84.83,1408032,1408032,1.08,1.25,86.825,"September 18, 25",0.0125,,,,,
2025-09-17,86.08,88,85.14,85.14,82.59,1144144,1144144,-0.94,-1.09,86.09,"September 17, 25",-0.0109,,,,,
2025-09-16,86.02,86.58,84.86,85.75,83.18,1068402,1068402,-0.27,-0.31388,85.8025,"September 16, 25",-0.0031388,,,,,
2025-09-15,85.77,86.2,84.62,85.57,83.01,1284200,1284200,-0.2,-0.23318,85.54,"September 15, 25",-0.0023318,,,,,
2025-09-12,84.91,85.8,84.22,84.92,82.37,1560059,1560059,0.01,0.01177718,84.9625,"September 12, 25",0.0001177718,,,,,
2025-09-11,84.18,85.8,84.18,84.74,82.2,1314398,1314398,0.56,0.66524,84.725,"September 11, 25",0.0066524,,,,,
2025-09-10,83.64,84.64,83.42,84,81.48,1326968,1326968,0.36,0.43042,83.925,"September 10, 25",0.0043042,,,,,
2025-09-09,85.37,85.37,83.47,83.72,81.21,1269731,1269731,-1.64,-1.93,84.4825,"September 09, 25",-0.0193,,,,,
2025-09-08,83.78,85.79,83.18,85.56,83,1499812,1499812,1.78,2.12,84.5775,"September 08, 25",0.0212,,,,,
2025-09-05,83.77,85.55,83.5,84.7,82.16,1008248,1008248,0.93,1.11,84.38,"September 05, 25",0.0111,,,,,
2025-09-04,82.02,83.01,81.31,82.89,80.41,696723,696723,0.87,1.06,82.3075,"September 04, 25",0.0106,,,,,
2025-09-03,80.45,81.73,80.26,81.56,79.12,1026702,1026702,1.11,1.38,81,"September 03, 25",0.0138,,,,,
2025-09-02,81.39,81.89,80.44,80.91,78.49,1226466,1226466,-0.48,-0.58975,81.1575,"September 02, 25",-0.0058975,,,,,
2025-08-29,81.88,82.69,81.57,82.44,79.97,890870,890870,0.56,0.68393,82.145,"August 29, 25",0.0068393,,,,,
2025-08-28,81.71,82.05,80.64,81.83,79.38,793818,793818,0.12,0.14686,81.5575,"August 28, 25",0.0014686,,,,,
2025-08-27,81.1,82.51,80.88,81.72,79.27,905406,905406,0.62,0.76449,81.5525,"August 27, 25",0.0076449,,,,,
2025-08-26,80.21,81.38,79.76,80.83,78.41,1814300,1814300,0.62,0.77297,80.545,"August 26, 25",0.0077297,,,,,
2025-08-25,80.68,81,79.65,80.42,78.01,940090,940090,-0.26,-0.32226,80.4375,"August 25, 25",-0.0032226,,,,,
2025-08-22,77.8,81.42,77.59,80.93,78.5,1139490,1139490,3.13,4.02,79.435,"August 22, 25",0.0402,,,,,
2025-08-21,76.77,77.54,76.51,77.41,75.09,716307,716307,0.64,0.83366,77.0575,"August 21, 25",0.0083366,,,,,
2025-08-20,78.4,79.23,77.24,77.46,75.14,949200,949200,-0.94,-1.2,78.0825,"August 20, 25",-0.012,,,,,
2025-08-19,77.86,79.35,77.51,78.27,75.92,1290755,1290755,0.41,0.52659,78.2475,"August 19, 25",0.0052659,,,,,
2025-08-18,76.23,78.16,76,77.21,74.9,1596165,1596165,0.98,1.29,76.9,"August 18, 25",0.0129,,,,,
2025-08-15,75.01,76.3,74.55,76.09,73.81,1892711,1892711,1.08,1.44,75.4875,"August 15, 25",0.0144,,,,,
2025-08-14,73.84,74.88,73.01,74.51,72.28,1144041,1144041,0.67,0.90737,74.06,"August 14, 25",0.0090737,,,,,
2025-08-13,73.73,75.27,73.1,74.98,72.73,1498400,1498400,1.25,1.7,74.27,"August 13, 25",0.017,,,,,
2025-08-12,72.45,73.73,71.55,73.69,71.48,1967741,1967741,1.24,1.71,72.855,"August 12, 25",0.0171,,,,,
2025-08-11,74.3,74.85,71.64,71.86,69.71,1928947,1928947,-2.44,-3.28,73.1625,"August 11, 25",-0.0328,,,,,
2025-08-08,74.55,75.43,73.97,74.21,71.99,915043,915043,-0.34,-0.45607,74.54,"August 08, 25",-0.0045607,,,,,
2025-08-07,74.64,75.6,73.51,74.56,72.33,2092945,2092945,-0.08,-0.10718,74.5775,"August 07, 25",-0.0010718,,,,,
2025-08-06,78.4,78.51,73.64,73.85,71.64,2984800,2984800,-4.55,-5.8,76.1,"August 06, 25",-0.058,,,,,
2025-08-05,77.68,78.53,77.01,78.14,75.8,1013504,1013504,0.46,0.59217,77.84,"August 05, 25",0.0059217,,,,,
2025-08-04,76.13,77.53,75.66,77.12,74.81,1303122,1303122,0.99,1.3,76.61,"August 04, 25",0.013,,,,,
2025-08-01,76.72,77.04,74.71,76.01,73.73,1745352,1745352,-0.71,-0.92544,76.12,"August 01, 25",-0.0092544,,,,,
2025-07-31,77.55,78.18,76.23,76.43,74.14,2659092,2659092,-1.12,-1.44,77.0975,"July 31, 25",-0.0144,,,,,
2025-07-30,79.81,80.15,77.47,78.03,75.69,1290807,1290807,-1.78,-2.23,78.865,"July 30, 25",-0.0223,,,,,
2025-07-29,79.25,79.58,78.66,79.48,77.1,1169909,1169909,0.23,0.29022,79.2425,"July 29, 25",0.0029022,,,,,
2025-07-28,81.74,81.74,79.12,79.12,76.75,1233404,1233404,-2.62,-3.21,80.43,"July 28, 25",-0.0321,,,,,
2025-07-25,81.96,82.48,79,82.19,79.73,1805460,1805460,0.23,0.28062,81.4075,"July 25, 25",0.0028062,,,,,
2025-07-24,82.47,83.03,82.01,82.05,79.59,1409518,1409518,-0.42,-0.50928,82.39,"July 24, 25",-0.0050928,,,,,
2025-07-23,81.02,83.36,80.53,82.94,80.45,3143900,3143900,1.92,2.37,81.9625,"July 23, 25",0.0237,,,,,
2025-07-22,78.71,81.66,77.9,80.69,78.27,2554211,2554211,1.98,2.52,79.74,"July 22, 25",0.0252,,,,,
2025-07-21,78.89,79.37,77.97,78.27,75.92,1204158,1204158,-0.62,-0.7859,78.625,"July 21, 25",-0.007859,,,,,
2025-07-18,78.83,79.3,77.79,78.17,75.83,1471600,1471600,-0.66,-0.83724,78.5225,"July 18, 25",-0.0083724,,,,,
2025-07-17,78.16,79.59,78.06,78.89,76.53,1602560,1602560,0.73,0.93398,78.675,"July 17, 25",0.0093398,,,,,
2025-07-16,77.7,79.2,77.01,78.15,75.81,1297600,1297600,0.45,0.57915,78.015,"July 16, 25",0.0057915,,,,,
2025-07-15,79.05,79.66,77.2,77.32,75,1345282,1345282,-1.73,-2.19,78.3075,"July 15, 25",-0.0219,,,,,
2025-07-14,79.74,80.36,78.11,78.61,76.25,2185266,2185266,-1.13,-1.42,79.205,"July 14, 25",-0.0142,,,,,
2025-07-11,78,80,77.75,79.55,77.17,1310761,1310761,1.55,1.99,78.825,"July 11, 25",0.0199,,,,,
2025-07-10,77.21,79.76,77.05,79.29,76.91,1422745,1422745,2.08,2.69,78.3275,"July 10, 25",0.0269,,,,,
2025-07-09,77.42,78.38,76.22,77.07,74.76,1304100,1304100,-0.35,-0.45208,77.2725,"July 09, 25",-0.0045208,,,,,
2025-07-08,74.83,77.52,74.81,77.02,74.71,1864998,1864998,2.19,2.93,76.045,"July 08, 25",0.0293,,,,,
2025-07-07,76.59,77.07,74.53,75.04,72.79,2172600,2172600,-1.55,-2.02,75.8075,"July 07, 25",-0.0202,,,,,
2025-07-03,76.38,77.19,75.99,76.92,74.61,904443,904443,0.54,0.70699,76.62,"July 03, 25",0.0070699,,,,,
2025-07-02,74.61,76.43,74.55,76.27,73.98,1735072,1735072,1.66,2.22,75.465,"July 02, 25",0.0222,,,,,
2025-07-01,72.28,76.15,72.05,74.49,72.26,1795306,1795306,2.21,3.06,73.7425,"July 01, 25",0.0306,,,,,
2025-06-30,72.27,72.82,70.98,72.63,70.45,1593810,1593810,0.36,0.49813,72.175,"June 30, 25",0.0049813,2025-06-30,1.32,2025-06-02,1.32,2025-07-15
2025-06-27,74.03,74.75,73.04,73.37,69.89,2406200,2406200,-0.66,-0.89153,73.7975,"June 27, 25",-0.0089153,,,,,
2025-06-26,74.13,74.82,73.46,74.21,70.69,1864100,1864100,0.08,0.10792,74.155,"June 26, 25",0.0010792,,,,,
2025-06-25,74.33,75,73.25,73.68,70.19,2026337,2026337,-0.65,-0.87448,74.065,"June 25, 25",-0.0087448,,,,,
2025-06-24,73.02,75.8,73.02,75.37,71.8,2917750,2917750,2.35,3.22,74.3025,"June 24, 25",0.0322,,,,,
2025-06-23,71.64,73.05,71.21,72.92,69.46,1749982,1749982,1.28,1.79,72.205,"June 23, 25",0.0179,,,,,
2025-06-20,71.35,72.2,71.11,71.37,67.98,3295077,3295077,0.02,0.02803083,71.5075,"June 20, 25",0.0002803083,,,,,
2025-06-18,71.47,72.04,70.83,70.88,67.52,1657811,1657811,-0.59,-0.82552,71.305,"June 18, 25",-0.0082552,,,,,
2025-06-17,72.09,72.61,70.89,71.22,67.84,1370631,1370631,-0.87,-1.21,71.7025,"June 17, 25",-0.0121,,,,,
2025-06-16,72.83,73.16,71.91,72.64,69.19,1789300,1789300,-0.19,-0.26088,72.635,"June 16, 25",-0.0026088,,,,,
2025-06-13,72.1,73.02,71.5,72.11,68.69,1127945,1127945,0.01,0.01386963,72.1825,"June 13, 25",0.0001386963,,,,,
2025-06-12,73.17,73.29,72.28,73.06,69.59,985013,985013,-0.11,-0.15033,72.95,"June 12, 25",-0.0015033,,,,,
2025-06-11,73.65,74.45,72.81,73.19,69.72,1563541,1563541,-0.46,-0.62458,73.525,"June 11, 25",-0.0062458,,,,,
2025-06-10,72.22,74.37,71.79,73.33,69.85,1764974,1764974,1.11,1.54,72.9275,"June 10, 25",0.0154,,,,,
2025-06-09,70.98,72.55,70.6,71.75,68.35,1276064,1276064,0.77,1.08,71.47,"June 09, 25",0.0108,,,,,
2025-06-06,70.42,71.31,70.1,70.53,67.18,1144776,1144776,0.11,0.15621,70.59,"June 06, 25",0.0015621,,,,,
2025-06-05,70.32,71.15,69.32,69.55,66.25,1417865,1417865,-0.77,-1.09,70.085,"June 05, 25",-0.0109,,,,,
2025-06-04,70.59,71.36,70.1,70.57,67.22,1723563,1723563,-0.02,-0.02833263,70.655,"June 04, 25",-0.0002833263,,,,,
2025-06-03,69.6,70.5,68.43,70.3,66.97,1626154,1626154,0.7,1.01,69.7075,"June 03, 25",0.0101,,,,,
2025-06-02,70,70,68.3,69.6,66.3,1535600,1535600,-0.4,-0.57143,69.475,"June 02, 25",-0.0057143,,,,,
2025-05-30,70.65,71.01,69.73,70.19,66.86,2295767,2295767,-0.46,-0.6511,70.395,"May 30, 25",-0.006511,,,,,
2025-05-29,70.25,71.95,70.25,71.25,67.87,1587529,1587529,1,1.42,70.925,"May 29, 25",0.0142,,,,,
2025-05-28,70.46,70.56,69.05,69.67,66.37,1314509,1314509,-0.79,-1.12,69.935,"May 28, 25",-0.0112,,,,,
2025-05-27,69.16,70.57,68.04,70.36,67.02,2219800,2219800,1.2,1.74,69.5325,"May 27, 25",0.0174,,,,,
2025-05-23,67.8,68.48,67.37,67.83,64.61,1310458,1310458,0.03,0.04424779,67.87,"May 23, 25",0.0004424779,,,,,
2025-05-22,68.59,69.03,67.49,68.61,65.36,1624100,1624100,0.02,0.02915877,68.43,"May 22, 25",0.0002915877,,,,,
2025-05-21,71.65,71.81,68.53,68.57,65.32,1871000,1871000,-3.08,-4.3,70.14,"May 21, 25",-0.043,,,,,
2025-05-20,73.19,73.77,72.11,72.18,68.76,1481204,1481204,-1.01,-1.38,72.8125,"May 20, 25",-0.0138,,,,,
2025-05-19,72,74.39,71.6,74.05,70.54,1899308,1899308,2.05,2.85,73.01,"May 19, 25",0.0285,,,,,
2025-05-16,71.75,72.88,71.28,72.85,69.39,1599500,1599500,1.1,1.53,72.19,"May 16, 25",0.0153,,,,,
2025-05-15,70.97,71.6,70.2,71.56,68.17,1848900,1848900,0.59,0.83134,71.0825,"May 15, 25",0.0083134,,,,,
2025-05-14,71.92,72.25,70.15,70.99,67.62,2692100,2692100,-0.93,-1.29,71.3275,"May 14, 25",-0.0129,,,,,
2025-05-13,74.62,75.46,71.73,72.4,68.97,2025636,2025636,-2.22,-2.98,73.5525,"May 13, 25",-0.0298,,,,,
2025-05-12,76.25,76.75,73.06,74.23,70.71,2399044,2399044,-2.02,-2.65,75.0725,"May 12, 25",-0.0265,,,,,
2025-05-09,73.84,74.62,73.48,74.07,70.56,1349727,1349727,0.23,0.31148,74.0025,"May 09, 25",0.0031148,,,,,
2025-05-08,72.36,74.72,71.84,73.69,70.19,1791146,1791146,1.33,1.84,73.1525,"May 08, 25",0.0184,,,,,
2025-05-07,71.6,72.57,71.35,71.89,68.48,1831303,1831303,0.29,0.40503,71.8525,"May 07, 25",0.0040503,,,,,
2025-05-06,73,73.43,71.51,71.57,68.18,1686757,1686757,-1.43,-1.96,72.3775,"May 06, 25",-0.0196,,,,,
2025-05-05,74,74.52,73.17,73.54,70.05,1809260,1809260,-0.46,-0.62162,73.8075,"May 05, 25",-0.0062162,,,,,
2025-05-02,75.05,75.52,73.89,74.47,70.94,1389100,1389100,-0.58,-0.77282,74.7325,"May 02, 25",-0.0077282,,,,,
2025-05-01,73,74.27,71.95,73.42,69.94,1671696,1671696,0.42,0.57534,73.16,"May 01, 25",0.0057534,,,,,
2025-04-30,71.64,72.94,70.57,72.66,69.21,2479522,2479522,1.02,1.42,71.9525,"April 30, 25",0.0142,,,,,
2025-04-29,75.07,75.5,71.63,72.57,69.13,3466778,3466778,-2.5,-3.33,73.6925,"April 29, 25",-0.0333,,,,,
2025-04-28,76.13,77.22,75.58,76.98,73.33,1680514,1680514,0.85,1.12,76.4775,"April 28, 25",0.0112,,,,,
2025-04-25,77,77.56,75.1,75.88,72.28,1220449,1220449,-1.12,-1.45,76.385,"April 25, 25",-0.0145,,,,,
2025-04-24,77.22,77.76,76.51,77.26,73.6,1115085,1115085,0.04,0.05180005,77.1875,"April 24, 25",0.0005180005,,,,,
2025-04-23,78.19,80.05,76.44,76.97,73.32,1462300,1462300,-1.22,-1.56,77.9125,"April 23, 25",-0.0156,,,,,
2025-04-22,76.87,77.88,75.53,76.26,72.64,1449960,1449960,-0.61,-0.79355,76.635,"April 22, 25",-0.0079355,,,,,
2025-04-21,76.47,76.79,74.46,75.73,72.14,1663726,1663726,-0.74,-0.9677,75.8625,"April 21, 25",-0.009677,,,,,
2025-04-17,77.62,78.81,77.29,77.84,74.15,1628010,1628010,0.22,0.28343,77.89,"April 17, 25",0.0028343,,,,,
2025-04-16,78.99,79.73,76.43,77.12,73.46,1554520,1554520,-1.87,-2.37,78.0675,"April 16, 25",-0.0237,,,,,
2025-04-15,79.45,80.46,78.89,79.12,75.37,1286852,1286852,-0.33,-0.41536,79.48,"April 15, 25",-0.0041536,,,,,
2025-04-14,78.02,80.37,77.58,79.7,75.92,2157700,2157700,1.68,2.15,78.9175,"April 14, 25",0.0215,,,,,
2025-04-11,74.34,76.94,73.45,76.92,73.27,2667542,2667542,2.58,3.47,75.4125,"April 11, 25",0.0347,,,,,
2025-04-10,79.44,80.2,73.44,74.57,71.03,2975121,2975121,-4.87,-6.13,76.9125,"April 10, 25",-0.0613,,,,,
2025-04-09,75,81.44,71.57,80.82,76.99,4108902,4108902,5.82,7.76,77.2075,"April 09, 25",0.0776,,,,,
2025-04-08,80.58,81.32,75.7,76.94,73.29,3033706,3033706,-3.64,-4.52,78.635,"April 08, 25",-0.0452,,,,,
2025-04-07,79.02,82.71,76.5,77.81,74.12,3552000,3552000,-1.21,-1.53,79.01,"April 07, 25",-0.0153,,,,,
2025-04-04,84.5,84.79,81.2,81.28,77.42,2673981,2673981,-3.22,-3.81,82.9425,"April 04, 25",-0.0381,,,,,
2025-04-03,90.76,91.47,86,86.25,82.16,1790727,1790727,-4.51,-4.97,88.62,"April 03, 25",-0.0497,,,,,
2025-04-02,90.85,92.87,90.09,92.33,87.95,1305409,1305409,1.48,1.63,91.535,"April 02, 25",0.0163,,,,,
2025-04-01,93.28,93.54,90.07,91.15,86.83,1610500,1610500,-2.13,-2.28,92.01,"April 01, 25",-0.0228,,,,,
2025-03-31,94.43,94.84,91.15,92.51,88.12,2126736,2126736,-1.92,-2.03,93.2325,"March 31, 25",-0.0203,2025-03-31,1.32,2025-03-03,1.32,2025-04-15
2025-03-28,96.56,96.56,94.85,95.6,89.81,887452,887452,-0.96,-0.9942,95.8925,"March 28, 25",-0.009942,,,,,
2025-03-27,96.44,97.54,95.41,95.71,89.91,902700,902700,-0.73,-0.75695,96.275,"March 27, 25",-0.0075695,,,,,
2025-03-26,96.46,97.67,95.5,96.13,90.31,886562,886562,-0.33,-0.34211,96.44,"March 26, 25",-0.0034211,,,,,
2025-03-25,97.28,97.44,95.06,95.98,90.17,1029100,1029100,-1.3,-1.34,96.44,"March 25, 25",-0.0134,,,,,
2025-03-24,96.84,98.27,96.4,97.55,91.64,856300,856300,0.71,0.73317,97.265,"March 24, 25",0.0073317,,,,,
2025-03-21,96.53,97.09,95.41,96.27,90.44,2205906,2205906,-0.26,-0.26935,96.325,"March 21, 25",-0.0026935,,,,,
2025-03-20,97.62,98.22,96.66,96.98,91.11,1087000,1087000,-0.64,-0.6556,97.37,"March 20, 25",-0.006556,,,,,
2025-03-19,98.42,98.72,96.73,97.69,91.77,1488466,1488466,-0.73,-0.74172,97.89,"March 19, 25",-0.0074172,,,,,
2025-03-18,99.33,99.59,97.63,98.39,92.43,1066101,1066101,-0.94,-0.94634,98.735,"March 18, 25",-0.0094634,,,,,
2025-03-17,99.2,101.22,99.17,99.52,93.49,1044200,1044200,0.32,0.32258,99.7775,"March 17, 25",0.0032258,,,,,
