date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,adjDividend,recordDate,paymentDate,declarationDate,dividend
2026-01-02,358,373.23,358,366.25,366.25,2330482,2330482,8.25,2.3,363.87,"January 02, 26",0.023,,,,,
2025-12-31,357.72,360.42,352.96,353.27,353.27,1234600,1234600,-4.45,-1.24,356.0925,"December 31, 25",-0.0124,,,,,
2025-12-30,358,360.68,355.31,357.12,357.12,1198700,1198700,-0.88,-0.24581,357.7775,"December 30, 25",-0.0024581,,,,,
2025-12-29,360,369,358.03,358.33,358.33,1575600,1575600,-1.67,-0.46389,361.34,"December 29, 25",-0.0046389,,,,,
2025-12-26,363.24,363.35,358.4,360.46,360.46,758517,758517,-2.78,-0.76533,361.3625,"December 26, 25",-0.0076533,,,,,
2025-12-24,360.62,364.56,359,363.95,363.95,628400,628400,3.33,0.92341,362.0325,"December 24, 25",0.0092341,,,,,
2025-12-23,353.14,364.31,353,361.33,361.33,1404308,1404308,8.19,2.32,357.945,"December 23, 25",0.0232,,,,,
2025-12-22,363.28,363.95,355.4,357.81,357.81,1390333,1390333,-5.46,-1.51,360.11,"December 22, 25",-0.0151,,,,,
2025-12-19,361.2,368.64,354.19,355.4,355.4,5429540,5429540,-5.8,-1.61,359.8575,"December 19, 25",-0.0161,,,,,
2025-12-18,351.99,371.24,348.78,361.05,361.05,3773200,3773200,9.06,2.57,358.265,"December 18, 25",0.0257,,,,,
2025-12-17,368.52,372,334.18,340.97,340.97,4598000,4598000,-27.54,-7.48,353.9175,"December 17, 25",-0.0748,,,,,
2025-12-16,356.06,368.18,350.33,365.63,365.63,2496800,2496800,9.56,2.69,360.05,"December 16, 25",0.0269,,,,,
2025-12-15,356.65,360.96,350.67,357.14,357.14,2628800,2628800,0.49,0.13739,356.355,"December 15, 25",0.0013739,,,,,
2025-12-12,379,380.78,351.22,351.98,351.98,3778600,3778600,-27.02,-7.13,365.745,"December 12, 25",-0.0713,,,,,
2025-12-11,360.75,380,354.34,378.6,378.6,2530300,2530300,17.85,4.95,368.4225,"December 11, 25",0.0495,,,,,
2025-12-10,358.55,363.52,346.4,362.07,362.07,2382200,2382200,3.52,0.98173,357.635,"December 10, 25",0.0098173,,,,,
2025-12-09,356.2,364.66,354.01,359.15,359.15,1360279,1360279,2.95,0.82819,358.505,"December 09, 25",0.0082819,,,,,
2025-12-08,362.77,364.25,354,357.67,357.67,1637900,1637900,-5.09,-1.41,359.6725,"December 08, 25",-0.0141,,,,,
2025-12-05,369.17,370.07,357.12,359.82,359.82,2018200,2018200,-9.35,-2.53,364.045,"December 05, 25",-0.0253,,,,,
2025-12-04,360.98,374.45,358.5,368.62,368.62,2029840,2029840,7.64,2.12,365.6375,"December 04, 25",0.0212,,,,,
2025-12-03,361.19,365.47,355.21,361.26,361.26,1559515,1559515,0.07,0.01938038,360.7825,"December 03, 25",0.0001938038,,,,,
2025-12-02,362.54,368.71,358.95,363.67,363.67,1974000,1974000,1.13,0.31169,363.4675,"December 02, 25",0.0031169,,,,,
2025-12-01,359.33,361.29,354,359.05,359.05,2012500,2012500,-0.28,-0.0779228,358.4175,"December 01, 25",-0.000779228,,,,,
2025-11-28,362,366.31,359.6,364.36,364.36,1073000,1073000,2.36,0.65193,363.0675,"November 28, 25",0.0065193,,,,,
2025-11-26,355.39,361.14,355,359.09,359.09,1396219,1396219,3.7,1.04,357.655,"November 26, 25",0.0104,,,,,
2025-11-25,353.46,355.54,339.34,351.6,351.6,1635800,1635800,-1.86,-0.52623,349.985,"November 25, 25",-0.0052623,,,,,
