date,label,adjDividend,dividend,recordDate,paymentDate,declarationDate,volume,change,changePercent,high,low,close,changeOverTime,adjClose,vwap,open,unadjustedVolume
2026-01-06,"January 06, 26",1.4625,1.4625,2026-01-06,2026-01-21,2025-12-09,,,,,,,,,,,
2026-01-02,"January 02, 26",,,,,,165336,-7.19,-2.52,285.51,275.82,277.81,-0.0252,277.81,281.035,285,165336
2025-12-31,"December 31, 25",,,,,,134708,0.58,0.20275,288.94,286.07,286.65,0.0020275,286.65,286.9325,286.07,134708
2025-12-30,"December 30, 25",,,,,,135801,1.85,0.64685,289.66,283.92,287.85,0.0064685,287.85,286.8575,286,135801
2025-12-29,"December 29, 25",,,,,,115900,3.42,1.2,288.1,282.92,287.43,0.012,287.43,285.615,284.01,115900
2025-12-26,"December 26, 25",,,,,,67200,-1.48,-0.52135,284.04,280.69,282.4,-0.0052135,282.4,282.7525,283.88,67200
2025-12-24,"December 24, 25",,,,,,78514,-0.83,-0.2914,284.97,282.44,284,-0.002914,284,284.06,284.83,78514
2025-12-23,"December 23, 25",,,,,,101418,-2.57,-0.8975,287.46,283.73,283.78,-0.008975,283.78,285.33,286.35,101418
2025-12-22,"December 22, 25",,,,,,156704,5.48,1.95,287.18,278.97,286.15,0.0195,286.15,283.2425,280.67,156704
2025-12-19,"December 19, 25",,,,,,685634,-5.23,-1.81,289.17,281.73,283.82,-0.0181,283.82,285.9425,289.05,685634
2025-12-18,"December 18, 25",,,,,,128900,1.44,0.50068,292.69,286.98,289.05,0.0050068,289.05,289.0825,287.61,128900
2025-12-17,"December 17, 25",,,,,,198217,1.66,0.5781,292.17,287.15,288.81,0.005781,288.81,288.82,287.15,198217
2025-12-16,"December 16, 25",,,,,,169100,0.15,0.05219933,288.52,282.96,287.51,0.0005219933,287.51,286.5875,287.36,169100
2025-12-15,"December 15, 25",,,,,,190000,-0.72,-0.25021,290.51,284.6,287.04,-0.0025021,287.04,287.4775,287.76,190000
2025-12-12,"December 12, 25",,,,,,243246,3.16,1.11,292.99,283.86,287.33,0.0111,287.33,287.0875,284.17,243246
2025-12-11,"December 11, 25",,,,,,244400,3.64,1.32,282.92,274.47,278.96,0.0132,278.96,277.9175,275.32,244400
2025-12-10,"December 10, 25",,,,,,230000,-2.51,-0.90447,280.45,273.59,275,-0.0090447,275,276.6375,277.51,230000
2025-12-09,"December 09, 25",,,,,,147300,-4.14,-1.47,285,276,277.4,-0.0147,277.4,279.985,281.54,147300
2025-12-08,"December 08, 25",,,,,,172300,-14.45,-4.89,295.44,279.7,280.81,-0.0489,280.81,287.8025,295.26,172300
2025-12-05,"December 05, 25",,,,,,95518,-2.13,-0.71335,300.22,295.62,296.46,-0.0071335,296.46,297.7225,298.59,95518
2025-12-04,"December 04, 25",,,,,,101010,2.27,0.763,301.14,296.21,299.78,0.00763,299.78,298.66,297.51,101010
2025-12-03,"December 03, 25",,,,,,86448,0.33,0.11153,299.33,294.1,296.21,0.0011153,296.21,296.38,295.88,86448
2025-12-02,"December 02, 25",,,,,,134608,2.05,0.69752,297.28,292.75,295.95,0.0069752,295.95,294.97,293.9,134608
2025-12-01,"December 01, 25",,,,,,144000,-1.08,-0.3663,297.12,292.47,293.76,-0.003663,293.76,294.5475,294.84,144000
2025-11-28,"November 28, 25",,,,,,56138,-0.12,-0.04059403,297.03,293.96,295.49,-0.0004059403,295.49,295.5225,295.61,56138
2025-11-26,"November 26, 25",,,,,,88146,-0.44,-0.14931,298.02,294.24,294.24,-0.0014931,294.24,295.295,294.68,88146
2025-11-25,"November 25, 25",,,,,,100022,0.9,0.30536,298.79,294.68,295.63,0.0030536,295.63,295.9575,294.73,100022
2025-11-24,"November 24, 25",,,,,,220500,-3.25,-1.1,297.44,291.59,291.92,-0.011,291.92,294.03,295.17,220500
2025-11-21,"November 21, 25",,,,,,170629,3.19,1.09,301.61,293.17,296.36,0.0109,296.36,296.0775,293.17,170629
2025-11-20,"November 20, 25",,,,,,167200,7.29,2.55,294.38,285.68,293.06,0.0255,293.06,289.7225,285.77,167200
2025-11-19,"November 19, 25",,,,,,159617,-4.12,-1.42,292.04,282.91,285.06,-0.0142,285.06,287.2975,289.18,159617
2025-11-18,"November 18, 25",,,,,,124809,2.7,0.93923,293.2,287.1,290.17,0.0093923,290.17,289.485,287.47,124809
2025-11-17,"November 17, 25",,,,,,134800,-1.16,-0.40216,290.24,285.15,287.28,-0.0040216,287.28,287.7775,288.44,134800
2025-11-14,"November 14, 25",,,,,,136402,-2.09,-0.72401,293.69,284.7,286.58,-0.0072401,286.58,288.41,288.67,136402
2025-11-13,"November 13, 25",,,,,,117400,3.08,1.08,290.12,282.77,287.18,0.0108,287.18,286.0425,284.1,117400
2025-11-12,"November 12, 25",,,,,,129538,-2.01,-0.70563,285.49,279.53,282.84,-0.0070563,282.84,283.1775,284.85,129538
2025-11-11,"November 11, 25",,,,,,187100,4.41,1.58,282.69,277,282.66,0.0158,282.66,280.15,278.25,187100
2025-11-10,"November 10, 25",,,,,,136551,-6.14,-2.16,283.99,276.91,277.63,-0.0216,277.63,280.575,283.77,136551
2025-11-07,"November 07, 25",,,,,,152776,2.44,0.86402,285.71,282.4,284.84,0.0086402,284.84,283.8375,282.4,152776
