symbol,date,rating,ratingScore,ratingRecommendation,ratingDetailsDCFScore,ratingDetailsDCFRecommendation,ratingDetailsROEScore,ratingDetailsROERecommendation,ratingDetailsROAScore,ratingDetailsROARecommendation,ratingDetailsDEScore,ratingDetailsDERecommendation,ratingDetailsPEScore,ratingDetailsPERecommendation,ratingDetailsPBScore,ratingDetailsPBRecommendation
EVRG,2025-12-11,B-,3,Neutral,1,Strong Sell,3,Neutral,4,Buy,2,Sell,2,Sell,3,Neutral
EVRG,2025-12-10,B-,3,Neutral,1,Strong Sell,3,Neutral,4,Buy,2,Sell,2,Sell,3,Neutral
EVRG,2025-12-09,B-,3,Neutral,1,Strong Sell,3,Neutral,4,Buy,2,Sell,2,Sell,3,Neutral
EVRG,2025-12-08,B-,3,Neutral,1,Strong Sell,3,Neutral,4,Buy,2,Sell,2,Sell,3,Neutral
EVRG,2025-12-05,B-,3,Neutral,1,Strong Sell,3,Neutral,4,Buy,2,Sell,2,Sell,3,Neutral
EVRG,2025-12-04,B-,3,Neutral,1,Strong Sell,3,Neutral,4,Buy,2,Sell,2,Sell,3,Neutral
EVRG,2025-12-03,B-,3,Neutral,1,Strong Sell,3,Neutral,4,Buy,2,Sell,2,Sell,3,Neutral
EVRG,2025-12-02,B-,3,Neutral,1,Strong Sell,3,Neutral,4,Buy,2,Sell,2,Sell,3,Neutral
EVRG,2025-12-01,B-,2,Sell,1,Strong Sell,5,Strong Buy,1,Strong Sell,4,Buy,2,Sell,1,Strong Sell
EVRG,2025-11-28,B-,2,Sell,1,Strong Sell,5,Strong Buy,1,Strong Sell,4,Buy,2,Sell,1,Strong Sell
EVRG,2025-11-26,B-,2,Sell,1,Strong Sell,5,Strong Buy,1,Strong Sell,4,Buy,2,Sell,1,Strong Sell
EVRG,2025-11-25,B-,2,Sell,1,Strong Sell,5,Strong Buy,1,Strong Sell,4,Buy,2,Sell,1,Strong Sell
EVRG,2025-11-24,B-,2,Sell,1,Strong Sell,5,Strong Buy,1,Strong Sell,4,Buy,2,Sell,1,Strong Sell
EVRG,2025-11-21,B-,2,Sell,1,Strong Sell,5,Strong Buy,1,Strong Sell,4,Buy,2,Sell,1,Strong Sell
EVRG,2025-11-20,B-,2,Sell,1,Strong Sell,5,Strong Buy,1,Strong Sell,4,Buy,2,Sell,1,Strong Sell
EVRG,2025-11-19,B-,2,Sell,1,Strong Sell,5,Strong Buy,1,Strong Sell,4,Buy,2,Sell,1,Strong Sell
EVRG,2025-11-18,B-,2,Sell,1,Strong Sell,5,Strong Buy,1,Strong Sell,4,Buy,2,Sell,1,Strong Sell
EVRG,2025-11-17,B-,2,Sell,1,Strong Sell,5,Strong Buy,1,Strong Sell,4,Buy,2,Sell,1,Strong Sell
EVRG,2025-11-14,C+,2,Sell,1,Strong Sell,5,Strong Buy,1,Strong Sell,3,Neutral,2,Sell,1,Strong Sell
EVRG,2025-11-13,C+,2,Sell,1,Strong Sell,5,Strong Buy,1,Strong Sell,3,Neutral,2,Sell,1,Strong Sell
EVRG,2025-11-12,C+,2,Sell,1,Strong Sell,5,Strong Buy,1,Strong Sell,3,Neutral,2,Sell,1,Strong Sell
EVRG,2025-11-11,C+,2,Sell,1,Strong Sell,5,Strong Buy,1,Strong Sell,3,Neutral,2,Sell,1,Strong Sell
EVRG,2025-11-10,C+,2,Sell,1,Strong Sell,5,Strong Buy,1,Strong Sell,3,Neutral,2,Sell,1,Strong Sell
EVRG,2025-11-07,C+,2,Sell,1,Strong Sell,5,Strong Buy,1,Strong Sell,3,Neutral,2,Sell,1,Strong Sell
EVRG,2025-11-06,B-,3,Neutral,1,Strong Sell,3,Neutral,4,Buy,2,Sell,2,Sell,3,Neutral
EVRG,2025-11-05,B-,3,Neutral,1,Strong Sell,3,Neutral,4,Buy,2,Sell,2,Sell,3,Neutral
EVRG,2025-11-04,B-,3,Neutral,1,Strong Sell,3,Neutral,4,Buy,2,Sell,2,Sell,3,Neutral
EVRG,2025-11-03,B-,2,Sell,1,Strong Sell,3,Neutral,4,Buy,1,Strong Sell,2,Sell,3,Neutral
EVRG,2025-10-31,B-,3,Neutral,1,Strong Sell,3,Neutral,5,Strong Buy,1,Strong Sell,2,Sell,3,Neutral
EVRG,2025-10-30,B-,3,Neutral,1,Strong Sell,3,Neutral,5,Strong Buy,1,Strong Sell,2,Sell,3,Neutral
EVRG,2025-10-28,B-,3,Neutral,1,Strong Sell,3,Neutral,5,Strong Buy,1,Strong Sell,2,Sell,3,Neutral
EVRG,2025-10-27,B-,3,Neutral,1,Strong Sell,3,Neutral,5,Strong Buy,1,Strong Sell,2,Sell,3,Neutral
EVRG,2025-10-24,B-,3,Neutral,1,Strong Sell,3,Neutral,5,Strong Buy,1,Strong Sell,2,Sell,3,Neutral
EVRG,2025-10-23,B-,2,Sell,1,Strong Sell,3,Neutral,4,Buy,1,Strong Sell,2,Sell,3,Neutral
EVRG,2025-10-22,B-,2,Sell,1,Strong Sell,3,Neutral,4,Buy,1,Strong Sell,2,Sell,3,Neutral
EVRG,2025-10-21,B-,2,Sell,1,Strong Sell,3,Neutral,4,Buy,1,Strong Sell,2,Sell,3,Neutral
