date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,dividend,recordDate,declarationDate,adjDividend,paymentDate
2026-01-05,253.56,262.03,253.185,261.67001,261.67001,229483,229483,8.11,3.19846,258.96,"January 05, 26",0.0319846,,,,,
2026-01-02,257.11,258.57,254.34,256,256,1252807,1252807,-1.11,-0.43172,256.505,"January 02, 26",-0.0043172,,,,,
2025-12-31,261.03,261.54,258.73,258.79,258.79,1018731,1018731,-2.24,-0.85814,260.0225,"December 31, 25",-0.0085814,,,,,
2025-12-30,263.04,263.79,261.75,261.92,261.92,1017134,1017134,-1.12,-0.42579,262.625,"December 30, 25",-0.0042579,,,,,
2025-12-29,261.54,263.69,261.5,263.14,263.14,1367848,1367848,1.6,0.61176,262.4675,"December 29, 25",0.0061176,,,,,
2025-12-26,260.76,261.91,259.32,261.48,261.48,844600,844600,0.72,0.27612,260.8675,"December 26, 25",0.0027612,,,,,
2025-12-24,257.96,261.8,257.96,260.77,260.77,545124,545124,2.81,1.09,259.6225,"December 24, 25",0.0109,,,,,
2025-12-23,258,259,256.48,258.7,258.7,1153662,1153662,0.7,0.27132,258.045,"December 23, 25",0.0027132,,,,,
2025-12-22,251.96,259,251.37,258.25,258.25,1590344,1590344,6.29,2.5,255.145,"December 22, 25",0.025,,,,,
2025-12-19,252.88,256.71,252.14,253.39,253.39,3971236,3971236,0.51,0.20168,253.78,"December 19, 25",0.0020168,,,,,
2025-12-18,249.75,253.77,249.13,252.64,252.64,1262900,1262900,2.89,1.16,251.3225,"December 18, 25",0.0116,,,,,
2025-12-17,252,254.78,250.26,250.9,250.9,1666578,1666578,-1.1,-0.43651,251.985,"December 17, 25",-0.0043651,,,,,
2025-12-16,256.19,256.74,249.27,251.98,251.98,2062445,2062445,-4.21,-1.64,253.545,"December 16, 25",-0.0164,,,,,
2025-12-15,254.21,257.37,253.07,256.19,256.19,2328000,2328000,1.98,0.77888,255.21,"December 15, 25",0.0077888,,,,,
2025-12-12,249.05,256.18,248.9,255.38,255.38,2238640,2238640,6.33,2.54,252.3775,"December 12, 25",0.0254,,,,,
2025-12-11,242.16,247.76,240.83,247.62,247.62,2426100,2426100,5.46,2.25,244.5925,"December 11, 25",0.0225,,,,,
2025-12-10,239.48,240.45,236.34,240.45,240.45,1745100,1745100,0.97,0.40504,239.18,"December 10, 25",0.0040504,,,,,
2025-12-09,238.68,240.75,237.88,239.91,239.91,1067000,1067000,1.23,0.51533,239.305,"December 09, 25",0.0051533,,,,,
2025-12-08,238.77,239.79,236.7,237.85,237.85,1358064,1358064,-0.92,-0.38531,238.2775,"December 08, 25",-0.0038531,,,,,
2025-12-05,244.69,245,238.65,239.71,239.71,1772171,1772171,-4.98,-2.04,242.0125,"December 05, 25",-0.0204,0.65,2025-12-05,2025-10-29,0.65,2025-12-19
2025-12-04,245.77,246.89,243.87,245.41,244.76,1281700,1281700,-0.36,-0.14648,245.485,"December 04, 25",-0.0014648,,,,,
2025-12-03,244.43,246.23,242.61,245.36,244.71,1519219,1519219,0.93,0.38048,244.6575,"December 03, 25",0.0038048,,,,,
2025-12-02,245.88,246.74,243.37,244.22,243.57,1691953,1691953,-1.66,-0.67513,245.0525,"December 02, 25",-0.0067513,,,,,
2025-12-01,248.4,249.47,246.07,246.1,245.45,1418462,1418462,-2.3,-0.92593,247.51,"December 01, 25",-0.0092593,,,,,
2025-11-28,247.74,249.99,246.6,247.62,246.96,756637,756637,-0.12,-0.04843788,247.9875,"November 28, 25",-0.0004843788,,,,,
2025-11-26,250.57,252,247.8,248.52,247.86,1011035,1011035,-2.05,-0.81813,249.7225,"November 26, 25",-0.0081813,,,,,
2025-11-25,249.8,251.59,247.7,250.24,249.58,966400,966400,0.44,0.17614,249.8325,"November 25, 25",0.0017614,,,,,
2025-11-24,251.26,252.44,244.72,248.21,247.55,2094700,2094700,-3.05,-1.21,249.1575,"November 24, 25",-0.0121,,,,,
