holder,shares,dateReported,change
VANGUARD GROUP INC,192726351,2025-09-30,135250
"BlackRock, Inc.",167495652,2025-09-30,1159665
FMR LLC,130001349,2025-09-30,-5908745
STATE STREET CORP,86445582,2025-09-30,-480092
JPMORGAN CHASE & CO,54714768,2025-09-30,-7102
"GEODE CAPITAL MANAGEMENT, LLC",51928316,2025-09-30,353107
Capital World Investors,39247690,2025-09-30,278180
PRICE T ROWE ASSOCIATES INC /MD/,38688170,2025-09-30,-2309772
MORGAN STANLEY,36729219,2025-09-30,-490068
Capital International Investors,24489361,2025-09-30,-85359
Capital Research Global Investors,23749769,2025-09-30,-8709080
NORTHERN TRUST CORP,22481689,2025-09-30,-190436
BANK OF AMERICA CORP /DE/,18601400,2025-09-30,855992
GOLDMAN SACHS GROUP INC,17869980,2025-09-30,1414169
Invesco Ltd.,17153754,2025-09-30,142229
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,14434179,2025-09-30,-55442
Legal & General Group Plc,14332168,2025-09-30,558792
ALLIANCEBERNSTEIN L.P.,13895227,2025-09-30,-325602
Bank of New York Mellon Corp,13619341,2025-09-30,481276
"Nuveen, LLC",13598632,2025-09-30,-1197637
UBS ASSET MANAGEMENT AMERICAS INC,12067943,2025-09-30,-2736892
JENNISON ASSOCIATES LLC,11701736,2025-09-30,-743221
WELLINGTON MANAGEMENT GROUP LLP,10698201,2025-09-30,-270260
Newlands Management Operations LLC,9920614,2025-09-30,0
"Sanders Capital, LLC",9494819,2025-09-30,-670770
DIMENSIONAL FUND ADVISORS LP,9322028,2025-09-30,190000
UBS Group AG,9203146,2025-09-30,573
DEUTSCHE BANK AG\,8692661,2025-09-30,401076
WELLS FARGO & COMPANY/MN,8665322,2025-09-30,921110
AMERIPRISE FINANCIAL INC,8597237,2025-09-30,-245712
FRANKLIN RESOURCES INC,8500110,2025-09-30,-103366
ROYAL BANK OF CANADA,8310481,2025-09-30,411167
JANUS HENDERSON GROUP PLC,7912895,2025-09-30,-234541
MASSACHUSETTS FINANCIAL SERVICES CO /MA/,7673338,2025-09-30,-1315324
LOOMIS SAYLES & CO L P,7439378,2025-09-30,-90944
BARCLAYS PLC,7285159,2025-09-30,1724
"Fisher Asset Management, LLC",6496418,2025-09-30,139751
Amundi,6430744,2025-09-30,-1428720
Swiss National Bank,6258600,2025-09-30,-372000
"ARROWSTREET CAPITAL, LIMITED PARTNERSHIP",6164488,2025-09-30,-2408585
CALIFORNIA PUBLIC EMPLOYEES RETIREMENT SYSTEM,5925404,2025-09-30,524592
"Sumitomo Mitsui Trust Holdings, Inc.",5862092,2025-09-30,7094
HSBC HOLDINGS PLC,5494612,2025-09-30,140665
AMERICAN CENTURY COMPANIES INC,5423288,2025-09-30,-212362
"Clearbridge Investments, LLC",5362298,2025-09-30,-172450
BAILLIE GIFFORD & CO,5290228,2025-09-30,-162985
SCHRODER INVESTMENT MANAGEMENT GROUP,5276635,2025-09-30,438572
BANK OF MONTREAL /CAN/,5025451,2025-09-30,-305828
National Pension Service,4470199,2025-09-30,138570
"Mitsubishi UFJ Kokusai Asset Management Co., Ltd.",4451975,2025-09-30,170979
"DZ BANK AG Deutsche Zentral Genossenschafts Bank, Frankfurt am Main",4423799,2025-09-30,-340444
"BNP PARIBAS ARBITRAGE, SNC",4246926,2025-09-30,246685
COATUE MANAGEMENT LLC,4035717,2025-09-30,355090
RHUMBLINE ADVISERS,4026438,2025-09-30,-31073
DODGE & COX,3963207,2025-09-30,-200046
RAYMOND JAMES FINANCIAL INC,3864593,2025-09-30,127145
PRINCIPAL FINANCIAL GROUP INC,3693204,2025-09-30,-62977
CANADA PENSION PLAN INVESTMENT BOARD,3498185,2025-09-30,500354
TD ASSET MANAGEMENT INC,3486277,2025-09-30,-143242
Swedbank AB,3482627,2025-09-30,34238
CALIFORNIA STATE TEACHERS RETIREMENT SYSTEM,3418856,2025-09-30,-19040
"T. Rowe Price Investment Management, Inc.",3362561,2025-09-30,704024
"First Eagle Investment Management, LLC",3331952,2025-09-30,-989
VOYA INVESTMENT MANAGEMENT LLC,3178457,2025-09-30,-440691
"SG Americas Securities, LLC",3129330,2025-09-30,1795509
ENVESTNET ASSET MANAGEMENT INC,3015736,2025-09-30,135133
CITIGROUP INC,3005775,2025-09-30,-147696
"Ensign Peak Advisors, Inc",2924268,2025-09-30,-102814
LPL Financial LLC,2869423,2025-09-30,218211
TIGER GLOBAL MANAGEMENT LLC,2819001,2025-09-30,-4714524
NATIONAL BANK OF CANADA /FI/,2693923,2025-09-30,162325
"Russell Investments Group, Ltd.",2642776,2025-09-30,20345
NEW YORK STATE COMMON RETIREMENT FUND,2569591,2025-09-30,-152639
BESSEMER GROUP INC,2544781,2025-09-30,22950
NORDEA INVESTMENT MANAGEMENT AB,2526263,2025-09-30,203596
"MANUFACTURERS LIFE INSURANCE COMPANY, THE",2302654,2025-09-30,525459
Neuberger Berman Group LLC,2300170,2025-09-30,-218801
DekaBank Deutsche Girozentrale,2284020,2025-09-30,0
"Grantham, Mayo, Van Otterloo & Co. LLC",2272907,2025-09-30,46880
GREAT WEST LIFE ASSURANCE CO /CAN/,2266830,2025-09-30,208752
Artisan Partners Limited Partnership,2265811,2025-09-30,-21892
Robeco Institutional Asset Management B.V.,2256515,2025-09-30,70970
PRUDENTIAL FINANCIAL INC,2239023,2025-09-30,-75739
FIRST TRUST ADVISORS LP,2133432,2025-09-30,43308
FIL Ltd,2108742,2025-09-30,-223669
"Winslow Capital Management, LLC",2082509,2025-09-30,-227660
ALKEON CAPITAL MANAGEMENT LLC,2059629,2025-09-30,-83000
"NATIXIS ADVISORS, L.P.",2058115,2025-09-30,70988
VICTORY CAPITAL MANAGEMENT INC,2042469,2025-09-30,-109948
Universal- Beteiligungs- und Servicegesellschaft mbH,2016341,2025-09-30,-51566
"FRED ALGER MANAGEMENT, LLC",2010772,2025-09-30,177258
GQG Partners LLC,2009594,2025-09-30,-157266
"ADAGE CAPITAL PARTNERS GP, L.L.C.",1996335,2025-09-30,-12200
STATE BOARD OF ADMINISTRATION OF FLORIDA RETIREMENT SYSTEM,1992692,2025-09-30,-127805
ACADIAN ASSET MANAGEMENT LLC,1986330,2025-09-30,572262
CITADEL ADVISORS LLC,1960589,2025-09-30,1945264
"D. E. Shaw & Co., Inc.",1958918,2025-09-30,1156783
FAYEZ SAROFIM & CO,1925483,2025-09-30,157669
STATE FARM MUTUAL AUTOMOBILE INSURANCE CO,1909500,2025-09-30,0
"Altimeter Capital Management, LP",1865938,2025-09-30,-11363
"Bank Julius Baer & Co. Ltd, Zurich",1835609,2025-09-30,-18160
NEW YORK STATE TEACHERS RETIREMENT SYSTEM,1814759,2025-09-30,-35025
SEI INVESTMENTS CO,1797509,2025-09-30,24597
AVIVA PLC,1767692,2025-09-30,89225
abrdn plc,1758014,2025-09-30,26539
Pictet Asset Management Holding SA,1755623,2025-09-30,-178782
AQR CAPITAL MANAGEMENT LLC,1732762,2025-09-30,325825
MACQUARIE GROUP LTD,1731778,2025-09-30,134157
DAVIS SELECTED ADVISERS,1715514,2025-09-30,-392300
Allianz Asset Management GmbH,1711797,2025-09-30,93523
Korea Investment CORP,1709876,2025-09-30,-21449
THRIVENT FINANCIAL FOR LUTHERANS,1666875,2025-09-30,28096
CAISSE DE DEPOT ET PLACEMENT DU QUEBEC,1632882,2025-09-30,129503
DANSKE BANK A/S,1622015,2025-09-30,-172686
"Baird Financial Group, Inc.",1572167,2025-09-30,45597
Fundsmith LLP,1558664,2025-09-30,-2010088
LOS ANGELES CAPITAL MANAGEMENT LLC,1525270,2025-09-30,48563
"MARSHALL WACE, LLP",1511497,2025-09-30,350303
EAGLE CAPITAL MANAGEMENT LLC,1426246,2025-09-30,-463585
Polar Capital Holdings Plc,1415287,2025-09-30,40114
AXIOM INVESTORS LLC /DE,1408459,2025-09-30,370907
"SANDS CAPITAL MANAGEMENT, LLC",1388064,2025-09-30,82023
STIFEL FINANCIAL CORP,1385659,2025-09-30,20447
Mitsubishi UFJ Trust & Banking Corp,1382718,2025-09-30,-54424
MILLENNIUM MANAGEMENT LLC,1381375,2025-09-30,793510
"SUSQUEHANNA INTERNATIONAL GROUP, LLP",1375121,2025-09-30,868498
MACKENZIE FINANCIAL CORP,1372276,2025-09-30,159951
"Mariner, LLC",1369447,2025-09-30,239931
"Allspring Global Investments Holdings, LLC",1367952,2025-09-30,35874
"CIBC Private Wealth Group, LLC",1363424,2025-09-30,178058
"PNC FINANCIAL SERVICES GROUP, INC.",1358036,2025-09-30,12918
ROYAL LONDON ASSET MANAGEMENT LTD,1327350,2025-09-30,-48585
ProShare Advisors LLC,1327310,2025-09-30,-254354
LONE PINE CAPITAL LLC,1322260,2025-09-30,-342757
Clear Street Group Inc.,1307478,2025-09-30,1307478
PUBLIC EMPLOYEES RETIREMENT ASSOCIATION OF COLORADO,1274906,2025-09-30,-19069
Daiwa Securities Group Inc.,1268047,2025-09-30,96370
BNP Paribas Asset Management Holding S.A.,1260051,2025-09-30,-87571
Concentrum Wealth Management,1243577,2025-09-30,1124998
Greenwoods Asset Management Hong Kong Ltd.,1225964,2025-09-30,234622
NATIXIS,1225012,2025-09-30,564462
DnB Asset Management AS,1194302,2025-09-30,-159461
Handelsbanken Fonder AB,1188813,2025-09-30,155283
"WILLIAM BLAIR INVESTMENT MANAGEMENT, LLC",1186127,2025-09-30,-242994
TORONTO DOMINION BANK,1179567,2025-09-30,-52547
STATE OF WISCONSIN INVESTMENT BOARD,1175599,2025-09-30,-30391
Treasurer of the State of North Carolina,1159805,2025-09-30,-16314
"Mirae Asset Global Investments Co., Ltd.",1148127,2025-09-30,94804
"IEQ CAPITAL, LLC",1142932,2025-09-30,153776
Vontobel Holding Ltd.,1135273,2025-09-30,-33029
"Chevy Chase Trust Holdings, LLC",1112547,2025-09-30,-40433
MIRAE ASSET GLOBAL ETFS HOLDINGS Ltd.,1108977,2025-09-30,-16216
BANK OF NOVA SCOTIA,1097984,2025-09-30,125646
HEALTHCARE OF ONTARIO PENSION PLAN TRUST FUND,1093173,2025-09-30,332302
BROWN ADVISORY INC,1092482,2025-09-30,-41591
Zurcher Kantonalbank (Zurich Cantonalbank),1084925,2025-09-30,-41182
AXA Investment Managers S.A.,1081979,2025-09-30,1081979
Man Group plc,1071150,2025-09-30,206377
"Sustainable Growth Advisers, LP",1058562,2025-09-30,-447691
"Asset Management One Co., Ltd.",1044801,2025-09-30,21587
PANAGORA ASSET MANAGEMENT INC,1035827,2025-09-30,65730
CI INVESTMENTS INC.,1033701,2025-09-30,-103670
NOMURA ASSET MANAGEMENT CO LTD,1029431,2025-09-30,33446
1832 Asset Management L.P.,1021769,2025-09-30,-527833
CREDIT AGRICOLE S A,1013381,2025-09-30,1013381
PRIMECAP MANAGEMENT CO/CA/,1010840,2025-09-30,-6690
PUBLIC SECTOR PENSION INVESTMENT BOARD,1001068,2025-09-30,348034
TRUIST FINANCIAL CORP,980892,2025-09-30,39593
Skandinaviska Enskilda Banken AB (publ),971606,2025-09-30,-76169
Cerity Partners LLC,970695,2025-09-30,89737
"SCGE MANAGEMENT, L.P.",968000,2025-09-30,0
US BANCORP \DE\,952522,2025-09-30,25912
AustralianSuper Pty Ltd,940460,2025-09-30,373883
"LORD, ABBETT & CO. LLC",934716,2025-09-30,-46143
M&G Plc,932872,2025-09-30,-19847
"CI Private Wealth, LLC",929519,2025-09-30,-1069105
VIKING GLOBAL INVESTORS LP,929003,2025-09-30,663504
Quantinno Capital Management LP,928140,2025-09-30,128275
"Holocene Advisors, LP",926348,2025-09-30,533076
FORT WASHINGTON INVESTMENT ADVISORS INC /OH/,922897,2025-09-30,-15209
Assenagon Asset Management S.A.,922166,2025-09-30,-370081
AGF MANAGEMENT LTD,909972,2025-09-30,-8063
PUBLIC EMPLOYEES RETIREMENT SYSTEM OF OHIO,908114,2025-09-30,-25918
"TWO SIGMA ADVISERS, LP",905600,2025-09-30,645500
Rockefeller Capital Management L.P.,902120,2025-09-30,-19364
STRS OHIO,898708,2025-09-30,-77914
MENORA MIVTACHIM HOLDINGS LTD.,866465,2025-09-30,-85400
"ASSETMARK, INC",865030,2025-09-30,20084
Qube Research & Technologies Ltd,862305,2025-09-30,573697
STATE OF MICHIGAN RETIREMENT SYSTEM,861014,2025-09-30,-3800
Capitolis Liquid Global Markets LLC,849800,2025-09-30,-210250
Creative Planning,849468,2025-09-30,-38183
"Point72 Asset Management, L.P.",819325,2025-09-30,611420
KLP KAPITALFORVALTNING AS,801710,2025-09-30,-2400
FIFTH THIRD BANCORP,778775,2025-09-30,9367
"BlueSpruce Investments, LP",776902,2025-09-30,201902
"Alyeska Investment Group, L.P.",773656,2025-09-30,-76037
"HighTower Advisors, LLC",770421,2025-09-30,48911
"ValueAct Holdings, L.P.",768674,2025-09-30,145300
WESTFIELD CAPITAL MANAGEMENT CO LP,767657,2025-09-30,-90745
"Capital Wealth Planning, LLC",766109,2025-09-30,-194492
State of New Jersey Common Pension Fund D,757242,2025-09-30,20204
"State of Tennessee, Treasury Department",756599,2025-09-30,-5625
"Colony Group, LLC",745357,2025-09-30,163866
"SRS Investment Management, LLC",743500,2025-09-30,-71354
"ADVISOR GROUP HOLDINGS, INC.",735370,2025-09-30,138106
Whale Rock Capital Management LLC,729822,2025-09-30,107838
Soroban Capital Partners LP,728246,2025-09-30,154161
"First Pacific Advisors, LP",710995,2025-09-30,-66010
FUNDSMITH INVESTMENT SERVICES LTD.,707481,2025-09-30,-435745
NOMURA HOLDINGS INC,705887,2025-09-30,315727
"JANE STREET GROUP, LLC",704729,2025-09-30,30348
Retirement Systems of Alabama,702186,2025-09-30,-3206
GOBI CAPITAL LLC,702079,2025-09-30,0
VAN LANSCHOT KEMPEN INVESTMENT MANAGEMENT N.V.,693362,2025-09-30,-21999
"Resona Asset Management Co.,Ltd.",691280,2025-09-30,-46151
Mawer Investment Management Ltd.,686774,2025-09-30,-49124
Cetera Investment Advisers,685764,2025-09-30,149117
DSM CAPITAL PARTNERS LLC,684662,2025-09-30,-56487
Allen Investment Management LLC,683084,2025-09-30,-44584
WORLDQUANT MILLENNIUM ADVISORS LLC,682201,2025-09-30,238330
Lansforsakringar Fondforvaltning AB (publ),680825,2025-09-30,18449
BLAIR WILLIAM & CO/IL,678857,2025-09-30,102259
Calamos Advisors LLC,678596,2025-09-30,435
"NISA INVESTMENT ADVISORS, LLC",675660,2025-09-30,46540
Zurich Insurance Group Ltd/FI,666716,2025-09-30,29788
BALYASNY ASSET MANAGEMENT L.P.,663734,2025-09-30,445560
"JACOBS LEVY EQUITY MANAGEMENT, INC",658563,2025-09-30,-69523
NORTHWESTERN MUTUAL WEALTH MANAGEMENT CO,656464,2025-09-30,17904
"Cresset Asset Management, LLC",652553,2025-09-30,-158
Rathbones Group PLC,644191,2025-09-30,92963
Squarepoint Ops LLC,640117,2025-09-30,-144263
Arizona State Retirement System,634050,2025-09-30,-5993
"FEDERATED HERMES, INC.",629470,2025-09-30,120161
"WEALTH ENHANCEMENT ADVISORY SERVICES, LLC",626329,2025-09-30,26839
TEACHER RETIREMENT SYSTEM OF TEXAS,624951,2025-09-30,-34369
"Steward Partners Investment Advisory, LLC",621450,2025-09-30,371284
