holder,shares,dateReported,change
VANGUARD GROUP INC,3927652,2025-09-30,-456647
BERKSHIRE HATHAWAY INC,3458885,2025-09-30,0
"BlackRock, Inc.",2976617,2025-09-30,-292579
WELLINGTON MANAGEMENT GROUP LLP,2563373,2025-09-30,357643
KAYNE ANDERSON RUDNICK INVESTMENT MANAGEMENT LLC,2214119,2025-09-30,4319
STATE STREET CORP,1410617,2025-09-30,-168140
MORGAN STANLEY,1348036,2025-09-30,118943
"GEODE CAPITAL MANAGEMENT, LLC",926898,2025-09-30,-71427
Invesco Ltd.,689139,2025-09-30,-10489
MASSACHUSETTS FINANCIAL SERVICES CO /MA/,569236,2025-09-30,-46805
"WILLIAM BLAIR INVESTMENT MANAGEMENT, LLC",555230,2025-09-30,-31080
CITADEL ADVISORS LLC,548965,2025-09-30,189276
Pictet Asset Management Holding SA,539679,2025-09-30,269689
STEADFAST CAPITAL MANAGEMENT LP,504418,2025-09-30,-58472
LONDON CO OF VIRGINIA,471278,2025-09-30,-21680
ENVESTNET ASSET MANAGEMENT INC,438476,2025-09-30,1337
Mawer Investment Management Ltd.,424570,2025-09-30,-73774
WASATCH ADVISORS LP,400019,2025-09-30,-67860
WELLS FARGO & COMPANY/MN,387740,2025-09-30,-19586
NORTHERN TRUST CORP,364225,2025-09-30,-31787
RAYMOND JAMES FINANCIAL INC,356856,2025-09-30,2635
MACQUARIE GROUP LTD,351838,2025-09-30,-37112
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,335491,2025-09-30,-31770
DIMENSIONAL FUND ADVISORS LP,324471,2025-09-30,9874
AMERICAN CENTURY COMPANIES INC,301343,2025-09-30,31117
GOLDMAN SACHS GROUP INC,296708,2025-09-30,113554
GILDER GAGNON HOWE & CO LLC,287230,2025-09-30,5881
Bank of New York Mellon Corp,283609,2025-09-30,-91418
BLAIR WILLIAM & CO/IL,276725,2025-09-30,-133013
JPMORGAN CHASE & CO,274006,2025-09-30,-41067
UBS ASSET MANAGEMENT AMERICAS INC,253477,2025-09-30,-71999
FIRST MANHATTAN CO. LLC.,247424,2025-09-30,32163
Findlay Park Partners LLP,242475,2025-09-30,-4200
DEUTSCHE BANK AG\,232243,2025-09-30,-8436
UBS Group AG,227564,2025-09-30,-231132
PRICE T ROWE ASSOCIATES INC /MD/,195206,2025-09-30,-34890
"PARNASSUS INVESTMENTS, LLC",191794,2025-09-30,-5917
BANK OF AMERICA CORP /DE/,187578,2025-09-30,2173
EULAV Asset Management,187261,2025-09-30,0
NORDEA INVESTMENT MANAGEMENT AB,187061,2025-09-30,3259
ROYAL BANK OF CANADA,185781,2025-09-30,-57231
"Fisher Asset Management, LLC",184045,2025-09-30,-3397
CALEDONIA INVESTMENTS PLC,160887,2025-09-30,8000
Handelsbanken Fonder AB,156044,2025-09-30,26200
"GW&K Investment Management, LLC",151721,2025-09-30,-4827
Legal & General Group Plc,146721,2025-09-30,-90385
"Nuveen, LLC",143627,2025-09-30,-8917
Swedbank AB,138334,2025-09-30,15915
VILLERE ST DENIS J & CO LLC,127586,2025-09-30,380
"Conestoga Capital Advisors, LLC",123409,2025-09-30,-10364
WORLDQUANT MILLENNIUM ADVISORS LLC,118200,2025-09-30,-76680
"WATERS PARKERSON & CO., LLC",114317,2025-09-30,2024
Amundi,113409,2025-09-30,-35982
ALLIANCEBERNSTEIN L.P.,113284,2025-09-30,69333
"TimesSquare Capital Management, LLC",108430,2025-09-30,-73745
Stephens Investment Management Group LLC,106974,2025-09-30,-4875
Swiss National Bank,102983,2025-09-30,-11500
STIFEL FINANCIAL CORP,99974,2025-09-30,1368
"ADAGE CAPITAL PARTNERS GP, L.L.C.",95809,2025-09-30,-44730
GENEVA CAPITAL MANAGEMENT LLC,94568,2025-09-30,-2398
"DZ BANK AG Deutsche Zentral Genossenschafts Bank, Frankfurt am Main",92244,2025-09-30,16278
SEI INVESTMENTS CO,88201,2025-09-30,-5808
MILLENNIUM MANAGEMENT LLC,87319,2025-09-30,-214496
Capital World Investors,82506,2025-09-30,0
"Copeland Capital Management, LLC",81519,2025-09-30,-1320
CI INVESTMENTS INC.,78914,2025-09-30,57835
"Sumitomo Mitsui Trust Holdings, Inc.",77441,2025-09-30,-11582
HRT FINANCIAL LP,75238,2025-09-30,21013
RHUMBLINE ADVISERS,73630,2025-09-30,-5611
BARCLAYS PLC,73532,2025-09-30,-19802
BENJAMIN EDWARDS INC,73246,2025-09-30,2300
Waratah Capital Advisors Ltd.,71891,2025-09-30,59070
HSBC HOLDINGS PLC,70261,2025-09-30,-21703
BRIDGES INVESTMENT MANAGEMENT INC,69906,2025-09-30,-2296
Man Group plc,69595,2025-09-30,44711
"D. E. Shaw & Co., Inc.",69592,2025-09-30,69592
