holder,shares,dateReported,change
VANGUARD GROUP INC,10082185,2025-09-30,509902
"BlackRock, Inc.",7625081,2025-09-30,38138
BAMCO INC /NY/,4322113,2025-09-30,669352
STATE STREET CORP,3510206,2025-09-30,96809
Independent Franchise Partners LLP,3196127,2025-09-30,3196127
Capital International Investors,3119843,2025-09-30,3119843
MORGAN STANLEY,2359342,2025-09-30,416533
"GEODE CAPITAL MANAGEMENT, LLC",2238451,2025-09-30,-19782
"Sustainable Growth Advisers, LP",1466771,2025-09-30,305258
Invesco Ltd.,1362791,2025-09-30,451895
AQR CAPITAL MANAGEMENT LLC,1245952,2025-09-30,585766
DEUTSCHE BANK AG\,1058936,2025-09-30,761216
NORTHERN TRUST CORP,973295,2025-09-30,2628
GOLDMAN SACHS GROUP INC,935148,2025-09-30,-210512
JPMORGAN CHASE & CO,917211,2025-09-30,-223506
BESSEMER GROUP INC,911560,2025-09-30,171276
UBS Group AG,868929,2025-09-30,203540
"Madison Asset Management, LLC",715811,2025-09-30,12998
"Pacer Advisors, Inc.",712252,2025-09-30,428089
UBS ASSET MANAGEMENT AMERICAS INC,659295,2025-09-30,-183698
DIMENSIONAL FUND ADVISORS LP,641076,2025-09-30,-20437
Legal & General Group Plc,623087,2025-09-30,17745
BANK OF AMERICA CORP /DE/,568590,2025-09-30,-229864
HSBC HOLDINGS PLC,561448,2025-09-30,85650
"VOLORIDGE INVESTMENT MANAGEMENT, LLC",545595,2025-09-30,81921
ALLIANCEBERNSTEIN L.P.,538847,2025-09-30,-92574
Amundi,523933,2025-09-30,35665
"Nuveen, LLC",500179,2025-09-30,209907
BNP Paribas Asset Management Holding S.A.,484034,2025-09-30,171484
FIRST TRUST ADVISORS LP,482243,2025-09-30,66815
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,469126,2025-09-30,-93462
Bank of New York Mellon Corp,450642,2025-09-30,-12468
FAYEZ SAROFIM & CO,426066,2025-09-30,30313
"ARROWSTREET CAPITAL, LIMITED PARTNERSHIP",423010,2025-09-30,-4114
ROYAL BANK OF CANADA,415693,2025-09-30,-106267
PRICE T ROWE ASSOCIATES INC /MD/,370892,2025-09-30,88918
FMR LLC,362263,2025-09-30,-1501491
"BNP PARIBAS ARBITRAGE, SNC",354504,2025-09-30,35169
"NATIXIS ADVISORS, L.P.",329796,2025-09-30,96251
VICTORY CAPITAL MANAGEMENT INC,327236,2025-09-30,282725
Bollard Group LLC,301347,2025-09-30,-63042
"D. E. Shaw & Co., Inc.",269679,2025-09-30,269679
"TWO SIGMA INVESTMENTS, LP",264954,2025-09-30,-271055
MASSACHUSETTS FINANCIAL SERVICES CO /MA/,262901,2025-09-30,-339411
"NZS Capital, LLC",258038,2025-09-30,258038
BARCLAYS PLC,252521,2025-09-30,24116
"Resona Asset Management Co.,Ltd.",248028,2025-09-30,83789
CALIFORNIA PUBLIC EMPLOYEES RETIREMENT SYSTEM,238836,2025-09-30,-50182
