date,label,adjDividend,dividend,recordDate,paymentDate,declarationDate,unadjustedVolume,changePercent,low,open,volume,changeOverTime,adjClose,close,high,change,vwap
2026-01-14,"January 14, 26",0.4,0.4,2026-01-14,2026-01-30,,,,,,,,,,,,
2026-01-02,"January 02, 26",,,,,,286140,3.6,614.95,616.48,286140,0.036,638.65,638.65,641,22.17,627.77
2025-12-31,"December 31, 25",,,,,,265549,-1.06,610,618.33,265549,-0.0106,611.79,611.79,620,-6.54,615.03
2025-12-30,"December 30, 25",,,,,,200000,-0.90857,616.66,622.96,200000,-0.0090857,617.3,617.3,623.53,-5.66,620.1125
2025-12-29,"December 29, 25",,,,,,251957,0.05455012,621.5,623.28,251957,0.0005455012,623.62,623.62,629.82,0.34,624.555
2025-12-26,"December 26, 25",,,,,,151301,-0.20529,624.22,628.38,151301,-0.0020529,627.09,627.09,629.03,-1.29,627.18
2025-12-24,"December 24, 25",,,,,,97545,0.51859,618.41,622.84,97545,0.0051859,626.07,626.07,626.63,3.23,623.4875
2025-12-23,"December 23, 25",,,,,,197900,1.06,618.59,619.15,197900,0.0106,625.69,625.69,627.72,6.54,622.7875
2025-12-22,"December 22, 25",,,,,,263400,0.42473,613.85,619.21,263400,0.0042473,621.84,621.84,627.96,2.63,620.715
2025-12-19,"December 19, 25",,,,,,891300,-0.38938,608.85,613.8,891300,-0.0038938,611.41,611.41,623.65,-2.39,614.4275
2025-12-18,"December 18, 25",,,,,,477300,0.82588,602.3,607.84,477300,0.0082588,612.86,612.86,617.6,5.02,610.15
2025-12-17,"December 17, 25",,,,,,591117,-3.97,591.25,621.16,591117,-0.0397,596.47,596.47,625.34,-24.69,608.555
2025-12-16,"December 16, 25",,,,,,311924,-0.0704,620.47,625,311924,-0.000704,624.56,624.56,630.91,-0.44,625.235
2025-12-15,"December 15, 25",,,,,,280539,-0.00320456,618.48,624.11,280539,-3.20456e-05,624.09,624.09,632.32,-0.02,624.75
2025-12-12,"December 12, 25",,,,,,534633,-2.76,604.98,641.35,534633,-0.0276,623.65,623.65,641.77,-17.7,627.9375
