date,label,adjDividend,dividend,recordDate,paymentDate,declarationDate,unadjustedVolume,changePercent,low,open,volume,changeOverTime,adjClose,close,high,change,vwap
2025-12-11,"December 11, 25",,,,,,306791,2.57,618.33,623.58,306791,0.0257,639.58,639.58,642.2,16,630.9225
2025-12-10,"December 10, 25",,,,,,330495,0.51136,611.15,623.83,330495,0.0051136,627.02,627.02,633.77,3.19,623.9425
2025-12-09,"December 09, 25",,,,,,408685,-0.32599,622.54,625.78,408685,-0.0032599,623.74,623.74,636.31,-2.04,627.0925
2025-12-08,"December 08, 25",,,,,,475700,0.38609,621.77,626.8,475700,0.0038609,629.22,629.22,645.32,2.42,630.7775
2025-12-05,"December 05, 25",,,,,,387716,-1.52,622.64,633.26,387716,-0.0152,623.62,623.62,637.81,-9.64,629.3325
2025-12-04,"December 04, 25",,,,,,508581,4.33,607,608.99,508581,0.0433,635.36,635.36,638.95,26.37,622.575
2025-12-03,"December 03, 25",,,,,,355175,1.2,590.99,604.75,355175,0.012,612,612,612.74,7.25,605.12
2025-12-02,"December 02, 25",,,,,,341231,-0.88106,602.51,611.76,341231,-0.0088106,606.37,606.37,618.15,-5.39,609.6975
2025-12-01,"December 01, 25",,,,,,273811,0.36163,601,605.59,273811,0.0036163,607.78,607.78,610.87,2.19,606.31
2025-11-28,"November 28, 25",,,,,,146000,-0.29988,613.02,616.92,146000,-0.0029988,615.07,615.07,619.4,-1.85,616.1025
2025-11-26,"November 26, 25",,,,,,237600,0.20838,609.45,609.45,237600,0.0020838,610.72,610.72,617.99,1.27,611.9025
2025-11-25,"November 25, 25",,,,,,310183,0.88792,587.54,600.28,310183,0.0088792,605.61,605.61,608.84,5.33,600.5675
2025-11-24,"November 24, 25",,,,,,582636,2.16,585.12,590.07,582636,0.0216,602.84,602.84,614,12.77,598.0075
2025-11-21,"November 21, 25",,,,,,545750,-0.44336,564.92,584.17,545750,-0.0044336,581.58,581.58,585.29,-2.59,578.99
2025-11-20,"November 20, 25",,,,,,666747,-6.49,577.88,623.53,666747,-0.0649,583.08,583.08,626.6,-40.45,602.7725
2025-11-19,"November 19, 25",,,,,,673163,-2,603.58,618.18,673163,-0.02,605.84,605.84,625.14,-12.34,613.185
2025-11-18,"November 18, 25",,,,,,381910,1.99,602.61,602.61,381910,0.0199,614.59,614.59,624.07,11.98,610.97
2025-11-17,"November 17, 25",,,,,,382400,-1.49,606.66,620.64,382400,-0.0149,611.4,611.4,626.88,-9.24,616.395
2025-11-14,"November 14, 25",,,,,,489033,2.75,601,603.28,489033,0.0275,619.86,619.86,630.43,16.58,613.6425
2025-11-13,"November 13, 25",,,,,,497428,-3.53,615.52,641.61,497428,-0.0353,618.96,618.96,644.12,-22.65,630.0525
2025-11-12,"November 12, 25",,,,,,329109,-0.35313,640.85,645.66,329109,-0.0035313,643.38,643.38,655.97,-2.28,646.465
2025-11-11,"November 11, 25",,,,,,299200,-1.51,639.71,650.65,299200,-0.0151,640.85,640.85,655.45,-9.8,646.665
2025-11-10,"November 10, 25",,,,,,290535,-1.23,646,664.52,290535,-0.0123,656.33,656.33,666,-8.19,658.2125
2025-11-07,"November 07, 25",,,,,,578178,0.65102,636.11,645.14,578178,0.0065102,649.34,649.34,655.63,4.2,646.555
2025-11-06,"November 06, 25",,,,,,337540,-2.39,653.17,669.74,337540,-0.0239,653.75,653.75,672.71,-15.99,662.3425
2025-11-05,"November 05, 25",,,,,,314614,2.76,657.31,657.31,314614,0.0276,675.42,675.42,679.3,18.11,667.335
2025-11-04,"November 04, 25",,,,,,449748,-0.98486,646.21,661.01,449748,-0.0098486,654.5,654.5,664.5,-6.51,656.555
2025-11-03,"November 03, 25",,,,,,428191,0.074292,670.08,673.02,428191,0.00074292,673.52,673.52,681.84,0.5,674.615
2025-10-31,"October 31, 25",,,,,,962955,2.78,657.49,657.49,962955,0.0278,675.78,675.78,682.12,18.29,668.22
2025-10-30,"October 30, 25",,,,,,1422798,-2.56,632.06,665,1422798,-0.0256,648,648,715.83,-17,665.2225
2025-10-29,"October 29, 25",,,,,,684700,2.81,755.79,755.79,684700,0.0281,777,777,778.64,21.21,766.805
2025-10-28,"October 28, 25",,,,,,399113,-0.48339,747.01,755.09,399113,-0.0048339,751.44,751.44,758.72,-3.65,753.065
2025-10-27,"October 27, 25",,,,,,477640,0.66412,741.5,749.87,477640,0.0066412,754.85,754.85,755.57,4.98,750.4475
2025-10-24,"October 24, 25",,,,,,690122,2.5,729.89,730,690122,0.025,748.24,748.24,752.52,18.24,740.1625
2025-10-23,"October 23, 25",,,,,,470720,4.55,665.66,666,470720,0.0455,696.28,696.28,698.1,30.28,681.51
2025-10-22,"October 22, 25",,,,,,569201,-4.62,646.55,695.03,569201,-0.0462,662.93,662.93,700.29,-32.1,676.2
2025-10-21,"October 21, 25",,,,,,384592,-1.22,680.5,698.44,384592,-0.0122,689.95,689.95,701.24,-8.49,692.5325
2025-10-20,"October 20, 25",,,,,,289555,0.02571429,693.36,700,289555,0.0002571429,700.18,700.18,704.09,0.18,699.4075
2025-10-17,"October 17, 25",,,,,,524706,0.89176,675.35,682.92,524706,0.0089176,689.01,689.01,692.11,6.09,684.8475
2025-10-16,"October 16, 25",,,,,,416549,-0.804,683.05,692.79,416549,-0.00804,687.22,687.22,695.91,-5.57,689.7425
2025-10-15,"October 15, 25",0.25,0.25,2025-10-15,2025-10-30,2025-10-03,662960,0.66611,680,686.07,662960,0.0066611,690.64,690.64,692.57,4.57,687.32
2025-10-14,"October 14, 25",,,,,,452030,0.91916,661.01,668,452030,0.0091916,673.89,674.14,681.02,6.14,671.0425
2025-10-13,"October 13, 25",,,,,,241700,0.32304,672.5,674.84,241700,0.0032304,676.77,677.02,686.91,2.18,677.8175
2025-10-10,"October 10, 25",,,,,,423666,-3.52,663.66,687.98,423666,-0.0352,663.49,663.74,697.91,-24.24,678.3225
2025-10-09,"October 09, 25",,,,,,415042,-2.04,678.68,695,415042,-0.0204,680.58,680.83,697.5,-14.17,688.0025
2025-10-08,"October 08, 25",,,,,,417682,2.68,672.95,676.87,417682,0.0268,694.77,695.03,695.4,18.16,685.0625
2025-10-07,"October 07, 25",,,,,,485366,-1.13,663.3,680.77,485366,-0.0113,672.83,673.08,685.82,-7.69,675.7425
2025-10-06,"October 06, 25",,,,,,592414,1.88,657.5,657.64,592414,0.0188,669.75,670,679.02,12.36,666.04
2025-10-03,"October 03, 25",,,,,,321673,-1.3,649.94,663,321673,-0.013,654.17,654.41,663.25,-8.59,657.65
2025-10-02,"October 02, 25",,,,,,342516,1.11,649.66,653.03,342516,0.0111,660.04,660.28,664.17,7.25,656.785
2025-10-01,"October 01, 25",,,,,,407918,1.62,640.98,644.47,407918,0.0162,654.68,654.92,657.88,10.45,649.5625
2025-09-30,"September 30, 25",,,,,,301054,1.39,640.17,640.63,301054,0.0139,649.3,649.54,651.18,8.91,645.38
2025-09-29,"September 29, 25",,,,,,410400,-0.52329,636.16,644,410400,-0.0052329,640.39,640.63,650.91,-3.37,642.925
2025-09-26,"September 26, 25",,,,,,396453,1.75,626.52,629.58,396453,0.0175,640.33,640.57,645.95,10.99,635.655
2025-09-25,"September 25, 25",,,,,,357472,1.56,609,615.4,357472,0.0156,624.77,625,628,9.6,619.35
2025-09-24,"September 24, 25",,,,,,462996,-3.89,625.51,651.9,462996,-0.0389,626.34,626.57,653.09,-25.33,639.2675
2025-09-23,"September 23, 25",,,,,,546572,-2.32,641.72,660,546572,-0.0232,644.46,644.7,660.43,-15.3,651.7125
2025-09-22,"September 22, 25",,,,,,837794,4.91,622.59,625.11,837794,0.0491,655.59,655.83,655.92,30.72,639.8625
2025-09-19,"September 19, 25",,,,,,10505243,0.74119,613.81,627.37,10505243,0.0074119,631.79,632.02,634.72,4.65,626.98
2025-09-18,"September 18, 25",,,,,,706300,1.7,616.52,618.39,706300,0.017,628.69,628.92,639.11,10.53,625.735
2025-09-17,"September 17, 25",,,,,,381639,-0.78667,611.24,621.61,381639,-0.0078667,616.49,616.72,626.1,-4.89,618.9175
2025-09-16,"September 16, 25",,,,,,431291,-0.82514,613.55,624.14,431291,-0.0082514,618.76,618.99,627.62,-5.15,621.075
2025-09-15,"September 15, 25",,,,,,523615,0.11943,616.15,628,523615,0.0011943,628.52,628.75,630.34,0.75,625.81
2025-09-12,"September 12, 25",,,,,,455512,-1.35,628.59,637.69,455512,-0.0135,628.85,629.08,640.55,-8.61,633.9775
2025-09-11,"September 11, 25",,,,,,666621,-0.31153,634.91,642,666621,-0.0031153,639.76,640,648.19,-2,641.275
2025-09-10,"September 10, 25",,,,,,767793,0.42424,628,631.72,767793,0.0042424,634.17,634.4,641.85,2.68,633.9925
2025-09-09,"September 09, 25",,,,,,560919,-1.36,618.39,631.6,560919,-0.0136,622.8,623.03,631.6,-8.57,626.155
2025-09-08,"September 08, 25",,,,,,577527,-1.42,619.62,630.56,577527,-0.0142,621.35,621.58,637.55,-8.98,627.3275
2025-09-05,"September 05, 25",,,,,,429837,-2.37,612.5,640.59,429837,-0.0237,625.17,625.4,640.59,-15.19,629.77
2025-09-04,"September 04, 25",,,,,,330236,1.45,626.5,631.39,330236,0.0145,640.33,640.57,642.08,9.18,635.135
2025-09-03,"September 03, 25",,,,,,303382,0.65953,620.22,623.17,303382,0.0065953,627.05,627.28,627.97,4.11,624.66
2025-09-02,"September 02, 25",,,,,,298700,2.4,596.17,605.86,298700,0.024,620.18,620.41,621.57,14.55,611.0025
2025-08-29,"August 29, 25",,,,,,353400,-2.09,611.64,633.25,353400,-0.0209,619.77,620,633.25,-13.25,624.535
2025-08-28,"August 28, 25",,,,,,322934,1.48,624,624,322934,0.0148,633.02,633.25,634.27,9.25,628.88
2025-08-27,"August 27, 25",,,,,,372800,1.36,615.6,615.6,372800,0.0136,623.77,624,628.33,8.4,620.8825
2025-08-26,"August 26, 25",,,,,,422956,1.45,608.46,610,422956,0.0145,618.61,618.84,619.79,8.84,614.2725
2025-08-25,"August 25, 25",,,,,,279330,-0.17698,605.72,610.24,279330,-0.0017698,608.93,609.16,620.07,-1.08,611.2975
2025-08-22,"August 22, 25",,,,,,222927,-0.55245,609.66,613.63,222927,-0.0055245,610.01,610.24,625.26,-3.39,614.6975
2025-08-21,"August 21, 25",,,,,,225100,0.96694,601.79,605,225100,0.0096694,610.62,610.85,611.67,5.85,607.3275
2025-08-20,"August 20, 25",,,,,,302700,0.855,589.3,600,302700,0.00855,604.91,605.13,607.44,5.13,600.4675
2025-08-19,"August 19, 25",,,,,,229524,-0.77958,604.89,611.87,229524,-0.0077958,606.88,607.1,611.87,-4.77,608.9325
2025-08-18,"August 18, 25",,,,,,261915,1.38,604.46,604.6,261915,0.0138,612.69,612.92,613.35,8.32,608.8325
2025-08-15,"August 15, 25",,,,,,233200,-0.67733,596.86,609.75,233200,-0.0067733,605.4,605.62,613.37,-4.13,606.4
2025-08-14,"August 14, 25",,,,,,239208,0.88851,604.38,604.38,239208,0.0088851,609.52,609.75,618.14,5.37,609.1625
2025-08-13,"August 13, 25",,,,,,364069,-3.07,602.89,636.25,364069,-0.0307,616.48,616.71,640.38,-19.54,624.0575
2025-08-12,"August 12, 25",,,,,,347430,2.29,615.34,618.41,347430,0.0229,632.34,632.57,633.78,14.16,625.025
2025-08-11,"August 11, 25",,,,,,299142,-0.70591,611.29,619.06,299142,-0.0070591,614.46,614.69,624,-4.37,617.26
2025-08-08,"August 08, 25",,,,,,321494,-0.30478,610,620.11,321494,-0.0030478,617.99,618.22,620.45,-1.89,617.195
2025-08-07,"August 07, 25",,,,,,220100,-0.50913,613.49,620.67,220100,-0.0050913,617.28,617.51,624.94,-3.16,619.1525
2025-08-06,"August 06, 25",,,,,,299332,-0.08349524,615.8,622.79,299332,-0.0008349524,622.04,622.27,625.71,-0.52,621.6425
2025-08-05,"August 05, 25",,,,,,404739,-1.67,613.78,635.62,404739,-0.0167,624.77,625,635.62,-10.62,627.505
2025-08-04,"August 04, 25",,,,,,340127,-0.34526,621.02,631.4,340127,-0.0034526,628.99,629.22,634.84,-2.18,629.12
2025-08-01,"August 01, 25",,,,,,508828,2.61,595.62,608.77,508828,0.0261,624.44,624.67,632.3,15.9,615.34
2025-07-31,"July 31, 25",,,,,,731434,-6.01,616.04,667.64,731434,-0.0601,627.26,627.49,667.64,-40.15,644.7025
2025-07-30,"July 30, 25",,,,,,560885,0.75805,632.69,634.52,560885,0.0075805,639.09,639.33,642.55,4.81,637.2725
2025-07-29,"July 29, 25",,,,,,418000,-0.04713054,628.34,636.53,418000,-0.0004713054,635.99,636.23,637.22,-0.3,634.58
2025-07-28,"July 28, 25",,,,,,578783,-0.53538,626.65,635.06,578783,-0.0053538,631.43,631.66,641.96,-3.4,633.8325
2025-07-25,"July 25, 25",,,,,,658238,4.62,605.9,607.01,658238,0.0462,634.83,635.06,636.38,28.05,621.0875
2025-07-24,"July 24, 25",,,,,,253909,0.36588,569.04,576.69,253909,0.0036588,578.59,578.8,580.48,2.11,576.2525
2025-07-23,"July 23, 25",,,,,,231858,1.56,563.2,564.86,231858,0.0156,573.45,573.66,574.02,8.8,568.935
2025-07-22,"July 22, 25",,,,,,315051,-0.11793,540,559.64,315051,-0.0011793,558.77,558.98,561.89,-0.66,555.1275
2025-07-21,"July 21, 25",,,,,,263613,-0.77723,558.7,564.83,263613,-0.0077723,560.23,560.44,566.32,-4.39,562.5725
2025-07-18,"July 18, 25",,,,,,415100,0.6245,560.08,562.05,415100,0.006245,565.35,565.56,570,3.51,564.4225
2025-07-17,"July 17, 25",,,,,,287837,0.92944,554.1,554.1,287837,0.0092944,559.04,559.25,562.03,5.15,557.37
2025-07-16,"July 16, 25",,,,,,258505,0.28819,546.44,551.71,258505,0.0028819,553.1,553.3,555.58,1.59,551.7575
2025-07-15,"July 15, 25",0.25,0.25,2025-07-15,2025-07-31,2025-07-03,341600,-2.23,546.91,562.28,341600,-0.0223,549.56,549.76,562.77,-12.52,555.43
2025-07-14,"July 14, 25",,,,,,283946,0.58887,552,553.6,283946,0.0058887,556.4,556.86,560.01,3.26,555.6175
2025-07-11,"July 11, 25",,,,,,215600,1.2,542,547.63,215600,0.012,553.76,554.22,556.61,6.59,550.115
2025-07-10,"July 10, 25",,,,,,383300,0.29121,537.11,546,383300,0.0029121,547.14,547.59,550.86,1.59,545.39
2025-07-09,"July 09, 25",,,,,,389111,-0.03659786,539.44,546.48,389111,-0.0003659786,545.83,546.28,548.09,-0.2,545.0725
2025-07-08,"July 08, 25",,,,,,416919,-2.04,532.25,552.59,416919,-0.0204,540.89,541.34,552.59,-11.25,544.6925
2025-07-07,"July 07, 25",,,,,,481117,0.51063,545.1,548.34,481117,0.0051063,550.68,551.14,553.97,2.8,549.6375
2025-07-03,"July 03, 25",,,,,,302500,1.81,533.08,537.47,302500,0.0181,546.77,547.22,550.18,9.75,541.9875
2025-07-02,"July 02, 25",,,,,,389114,2.28,529.04,529.74,389114,0.0228,541.35,541.8,541.8,12.06,535.595
2025-07-01,"July 01, 25",,,,,,635634,-0.10913,516.91,531.46,635634,-0.0010913,530.44,530.88,535.86,-0.58,528.7775
2025-06-30,"June 30, 25",,,,,,421530,0.98552,523.5,529.67,421530,0.0098552,534.45,534.89,538.3,5.22,531.59
2025-06-27,"June 27, 25",,,,,,681300,2.2,517.65,519.18,681300,0.022,530.18,530.62,532.49,11.44,524.985
2025-06-26,"June 26, 25",,,,,,340400,0.90839,504.58,506.39,340400,0.0090839,510.57,510.99,512.72,4.6,508.67
2025-06-25,"June 25, 25",,,,,,266750,-0.35095,499.31,504.34,266750,-0.0035095,502.15,502.57,505.66,-1.77,502.97
2025-06-24,"June 24, 25",,,,,,359700,0.30855,493.47,499.11,359700,0.0030855,500.23,500.65,503.37,1.54,499.15
2025-06-23,"June 23, 25",,,,,,389430,1.92,483.57,485.28,389430,0.0192,494.19,494.6,496.23,9.32,489.92
2025-06-20,"June 20, 25",,,,,,1452509,-0.55155,478.16,487.72,1452509,-0.0055155,484.63,485.03,489.32,-2.69,485.0575
2025-06-18,"June 18, 25",,,,,,541500,0.79563,481.14,481.38,541500,0.0079563,484.81,485.21,493.39,3.83,485.28
2025-06-17,"June 17, 25",,,,,,571500,-0.37252,479.4,483.19,571500,-0.0037252,480.99,481.39,486.92,-1.8,482.725
2025-06-16,"June 16, 25",,,,,,376700,0.58178,480.02,483,376700,0.0058178,485.41,485.81,489.68,2.81,484.6275
2025-06-13,"June 13, 25",,,,,,401014,0.80361,470.02,474.11,401014,0.0080361,477.52,477.92,481.46,3.81,475.8775
2025-06-12,"June 12, 25",,,,,,380755,1.57,466.49,467.57,380755,0.0157,474.54,474.93,476.12,7.36,471.2775
2025-06-11,"June 11, 25",,,,,,329948,0.74079,464.21,468.42,329948,0.0074079,471.5,471.89,472.38,3.47,469.225
2025-06-10,"June 10, 25",,,,,,404819,-1.79,455.14,474.42,404819,-0.0179,465.54,465.93,474.43,-8.49,467.48
2025-06-09,"June 09, 25",,,,,,488957,-2.15,471.86,484.21,488957,-0.0215,473.4,473.79,486.75,-10.42,479.1525
2025-06-06,"June 06, 25",,,,,,336302,-0.24082,484.06,490,336302,-0.0024082,488.41,488.82,491.73,-1.18,488.6525
2025-06-05,"June 05, 25",,,,,,350953,0.04960523,480,483.82,350953,0.0004960523,483.66,484.06,488.8,0.24,484.17
2025-06-04,"June 04, 25",,,,,,340406,0.01243317,480.47,482.58,340406,0.0001243317,482.24,482.64,490,0.06,483.9225
2025-06-03,"June 03, 25",,,,,,435329,2.45,468.83,472.19,435329,0.0245,483.38,483.78,486.57,11.59,477.8425
2025-06-02,"June 02, 25",,,,,,330900,0.2605,457.3,468.33,330900,0.002605,469.16,469.55,470.13,1.22,466.3275
2025-05-30,"May 30, 25",,,,,,807400,0.94342,464.16,467.45,807400,0.0094342,471.47,471.86,472.03,4.41,468.875
2025-05-29,"May 29, 25",,,,,,343822,-0.85959,464.8,472.32,343822,-0.0085959,467.87,468.26,477,-4.06,470.595
2025-05-28,"May 28, 25",,,,,,280831,-1.61,468.06,476.84,280831,-0.0161,468.75,469.14,476.84,-7.7,472.72
2025-05-27,"May 27, 25",,,,,,340500,1.28,466.95,469.6,340500,0.0128,475.2,475.59,476.02,5.99,472.04
2025-05-23,"May 23, 25",,,,,,397634,2.3,450.68,452.92,397634,0.023,462.94,463.32,465.28,10.4,458.05
2025-05-22,"May 22, 25",,,,,,455756,-0.36739,451.99,460,455756,-0.0036739,457.93,458.31,462.2,-1.69,458.125
2025-05-21,"May 21, 25",,,,,,355153,-0.78513,463.26,467.44,355153,-0.0078513,463.39,463.77,475.74,-3.67,467.5525
2025-05-20,"May 20, 25",,,,,,564800,-0.02327402,471.4,472.63,564800,-0.0002327402,472.13,472.52,478.16,-0.11,473.6775
2025-05-19,"May 19, 25",,,,,,298811,1.95,460.12,461.02,298811,0.0195,469.6,469.99,470.89,8.97,465.505
2025-05-16,"May 16, 25",,,,,,424096,0.95931,463,465.96,424096,0.0095931,470.04,470.43,472.33,4.47,467.93
2025-05-15,"May 15, 25",,,,,,489900,0.1294,461,463.69,489900,0.001294,463.9,464.29,469.43,0.6,464.6025
2025-05-14,"May 14, 25",,,,,,599575,-1.95,465.91,475.83,599575,-0.0195,466.18,466.57,478.75,-9.26,471.765
2025-05-13,"May 13, 25",,,,,,750110,3.23,457.06,457.6,750110,0.0323,471.99,472.38,474.3,14.78,465.335
2025-05-12,"May 12, 25",,,,,,441855,-0.25737,451.77,458.49,441855,-0.0025737,456.93,457.31,465,-1.18,458.1425
2025-05-09,"May 09, 25",,,,,,219900,-0.4418,436.62,441.38,219900,-0.004418,439.07,439.43,444.02,-1.95,440.3625
2025-05-08,"May 08, 25",,,,,,312400,-0.02043922,435.02,440.33,312400,-0.0002043922,439.87,440.24,448.44,-0.09,441.0075
2025-05-07,"May 07, 25",,,,,,430400,0.01612606,427.9,434.08,430400,0.0001612606,433.79,434.15,437.46,0.07,433.3975
2025-05-06,"May 06, 25",,,,,,411839,0.33362,429.73,431.63,411839,0.0033362,432.71,433.07,437.29,1.44,432.93
2025-05-05,"May 05, 25",,,,,,551420,2.28,426.28,426.28,551420,0.0228,435.63,435.99,439.64,9.71,432.0475
2025-05-02,"May 02, 25",,,,,,678618,3.25,415.72,416.66,678618,0.0325,429.83,430.19,433.83,13.53,424.1
2025-05-01,"May 01, 25",,,,,,606964,0.25518,407.48,411.47,606964,0.0025518,412.18,412.52,418.95,1.05,412.605
2025-04-30,"April 30, 25",,,,,,1128446,4.08,374.64,385,1128446,0.0408,400.37,400.7,400.8,15.7,390.285
2025-04-29,"April 29, 25",,,,,,501129,1.01,406.56,408.88,501129,0.0101,412.68,413.02,414.84,4.14,410.825
2025-04-28,"April 28, 25",,,,,,689300,-0.14604,404.1,410.86,689300,-0.0014604,409.92,410.26,417.32,-0.6,410.635
2025-04-25,"April 25, 25",,,,,,524514,1.23,404.43,405.24,524514,0.0123,409.9,410.24,414.65,5,408.64
2025-04-24,"April 24, 25",,,,,,331896,4.53,382.31,383.25,331896,0.0453,400.29,400.62,402.7,17.37,392.22
2025-04-23,"April 23, 25",,,,,,404705,-2.18,382.13,392.7,404705,-0.0218,383.81,384.13,397.51,-8.57,389.1175
2025-04-22,"April 22, 25",,,,,,370609,0.66625,365.87,370.73,370609,0.0066625,372.89,373.2,376.34,2.47,371.535
2025-04-21,"April 21, 25",,,,,,400608,-3.04,356.97,374.07,400608,-0.0304,362.41,362.71,375.71,-11.36,367.365
2025-04-17,"April 17, 25",0.25,0.25,2025-04-17,2025-04-30,2025-04-07,359206,-0.85584,374.12,382.08,359206,-0.0085584,378.5,378.81,383.95,-3.27,379.74
2025-04-16,"April 16, 25",,,,,,498400,-0.11754,375,382.85,498400,-0.0011754,381.83,382.4,389.31,-0.45,382.39
2025-04-15,"April 15, 25",,,,,,395799,0.93666,386.01,386.48,395799,0.0093666,389.52,390.1,395.68,3.62,389.5675
2025-04-14,"April 14, 25",,,,,,388500,-1.8,378.99,392.85,388500,-0.018,385.22,385.79,393,-7.06,387.6575
2025-04-11,"April 11, 25",,,,,,455213,2.25,366.98,375.28,455213,0.0225,383.16,383.73,385.27,8.45,377.815
2025-04-10,"April 10, 25",,,,,,643623,-0.21542,365.86,376.01,643623,-0.0021542,374.64,375.2,386.23,-0.81,375.825
2025-04-09,"April 09, 25",,,,,,931535,11.48,349.78,350.72,931535,0.1148,390.42,391,396.67,40.28,372.0425
2025-04-08,"April 08, 25",,,,,,819300,-4.03,347.68,369.15,819300,-0.0403,353.73,354.26,375.55,-14.89,361.66
2025-04-07,"April 07, 25",,,,,,1144110,7.58,324.8,325.8,1144110,0.0758,349.96,350.48,361.99,24.68,340.7675
2025-04-04,"April 04, 25",,,,,,1172100,0.59412,320.89,340,1172100,0.0059412,341.51,342.02,347.76,2.02,337.6675
2025-04-03,"April 03, 25",,,,,,491219,-2.1,352.18,362.15,491219,-0.021,354.01,354.54,367.65,-7.61,359.13
2025-04-02,"April 02, 25",,,,,,400000,5.55,362.8,364.7,400000,0.0555,384.38,384.95,385.05,20.25,374.375
2025-04-01,"April 01, 25",,,,,,408300,1.89,365.96,368.52,408300,0.0189,374.94,375.5,377.09,6.98,371.7675
2025-03-31,"March 31, 25",,,,,,775936,2.34,352.1,361.18,775936,0.0234,369.08,369.63,369.7,8.45,363.1525
2025-03-28,"March 28, 25",,,,,,400400,-2.33,366.72,379.72,400400,-0.0233,370.32,370.87,380.29,-8.85,374.4
2025-03-27,"March 27, 25",,,,,,637146,-2.4,377.38,388.67,637146,-0.024,378.76,379.33,389.93,-9.34,383.8275
2025-03-26,"March 26, 25",,,,,,296600,-4.74,391.13,411.76,296600,-0.0474,391.67,392.25,411.86,-19.51,401.75
2025-03-25,"March 25, 25",,,,,,359430,0.13358,407.14,411.73,359430,0.0013358,411.67,412.28,416.8,0.55,411.9875
2025-03-24,"March 24, 25",,,,,,560918,1.94,404.44,405,560918,0.0194,412.23,412.85,415.52,7.85,409.4525
2025-03-21,"March 21, 25",,,,,,1255904,0.32754,390.44,393.85,1255904,0.0032754,394.55,395.14,395.89,1.29,393.83
2025-03-20,"March 20, 25",,,,,,559663,2.25,390.72,390.72,559663,0.0225,398.92,399.52,406.55,8.8,396.8775
2025-03-19,"March 19, 25",,,,,,412300,2.54,386.12,388.67,412300,0.0254,397.95,398.54,401.88,9.87,393.8025
2025-03-18,"March 18, 25",,,,,,359700,-0.5915,383.12,388.84,359700,-0.005915,385.96,386.54,392.56,-2.3,387.765
2025-03-17,"March 17, 25",,,,,,391234,2.4,384.33,385.83,391234,0.024,394.5,395.09,398.65,9.26,390.975
2025-03-14,"March 14, 25",,,,,,330500,2.02,379.3,380.82,330500,0.0202,387.93,388.51,390.3,7.69,384.7325
2025-03-13,"March 13, 25",,,,,,335806,-1.93,369.72,380.25,335806,-0.0193,372.36,372.92,382.52,-7.33,376.3525
2025-03-12,"March 12, 25",,,,,,530117,-0.80674,377.61,385.5,530117,-0.0080674,381.82,382.39,390,-3.11,383.875
2025-03-11,"March 11, 25",,,,,,620400,2.87,360,362.19,620400,0.0287,372.04,372.6,379.99,10.41,368.695
2025-03-10,"March 10, 25",,,,,,640181,-1.01,355.53,364.84,640181,-0.0101,360.62,361.16,369.99,-3.68,362.88
2025-03-07,"March 07, 25",,,,,,583600,-0.13303,363.8,375.85,583600,-0.0013303,374.79,375.35,382.62,-0.5,374.405
2025-03-06,"March 06, 25",,,,,,689258,-1.41,370.21,380.22,689258,-0.0141,374.31,374.87,387.37,-5.35,378.1675
2025-03-05,"March 05, 25",,,,,,522745,0.88655,384.8,389.15,522745,0.0088655,392.02,392.6,396.2,3.46,390.6875
