date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,paymentDate,declarationDate,recordDate,dividend,adjDividend
2026-01-05,243.27,244.1455,242.54,243.56,243.56,26711,26711,0.29,0.11920911,243.42,"January 05, 26",0.0011920911,,,,,
2026-01-02,241.75,245.34,240,244.81,244.81,961307,961307,3.06,1.27,242.975,"January 02, 26",0.0127,,,,,
2025-12-31,242.5,243.01,240.8,240.87,240.87,525000,525000,-1.63,-0.67216,241.795,"December 31, 25",-0.0067216,,,,,
2025-12-30,242.41,243.65,240.9,243.08,243.08,675100,675100,0.67,0.27639,242.51,"December 30, 25",0.0027639,,,,,
2025-12-29,244,245.52,242.2,242.85,242.85,755051,755051,-1.15,-0.47131,243.6425,"December 29, 25",-0.0047131,,,,,
2025-12-26,244.29,245.99,243.5,244.76,244.76,305200,305200,0.47,0.19239,244.635,"December 26, 25",0.0019239,,,,,
2025-12-24,244.5,245.46,244.09,244.44,244.44,201328,201328,-0.06,-0.02453988,244.6225,"December 24, 25",-0.0002453988,,,,,
2025-12-23,246.02,247.45,243.13,244.6,244.6,718511,718511,-1.42,-0.57719,245.3,"December 23, 25",-0.0057719,,,,,
2025-12-22,243.95,247.21,243.07,246.67,246.67,908444,908444,2.72,1.11,245.225,"December 22, 25",0.0111,,,,,
2025-12-19,242.93,245.9,242.02,244.94,244.94,2957036,2957036,2.01,0.8274,243.9475,"December 19, 25",0.008274,,,,,
2025-12-18,246.1,247.78,241.66,242.55,242.55,1103234,1103234,-3.55,-1.44,244.5225,"December 18, 25",-0.0144,,,,,
2025-12-17,247.01,249.75,245.03,245.94,245.94,918811,918811,-1.07,-0.43318,246.9325,"December 17, 25",-0.0043318,,,,,
2025-12-16,248.01,249.92,243.62,247.34,247.34,1333404,1333404,-0.67,-0.27015,247.2225,"December 16, 25",-0.0027015,,,,,
2025-12-15,255,255.83,250.86,253.07,253.07,1183200,1183200,-1.93,-0.75686,253.69,"December 15, 25",-0.0075686,,,,,
2025-12-12,252.92,252.93,250.37,252.27,252.27,973600,973600,-0.65,-0.257,252.1225,"December 12, 25",-0.00257,,,,,
2025-12-11,251.5,255.61,251.29,252.39,252.39,766094,766094,0.89,0.35388,252.6975,"December 11, 25",0.0035388,,,,,
2025-12-10,257.4,259.99,248.94,251.5,251.5,1167951,1167951,-5.9,-2.29,254.4575,"December 10, 25",-0.0229,,,,,
2025-12-09,250.23,251.94,245.97,246.52,246.52,806218,806218,-3.71,-1.48,248.665,"December 09, 25",-0.0148,,,,,
2025-12-08,256.07,256.55,249.57,250.04,250.04,760600,760600,-6.03,-2.35,253.0575,"December 08, 25",-0.0235,,,,,
2025-12-05,255,257.98,254.4,256.55,256.55,708400,708400,1.55,0.60784,255.9825,"December 05, 25",0.0060784,,,,,
2025-12-04,251.25,252.75,250.34,251.51,251.51,489100,489100,0.26,0.10348,251.4625,"December 04, 25",0.0010348,,,,,
2025-12-03,251.47,254.1,250.1,251.44,251.44,549929,549929,-0.03,-0.01192985,251.7775,"December 03, 25",-0.0001192985,,,,,
2025-12-02,249.31,252.84,248.75,250.85,250.85,1086100,1086100,1.54,0.6177,250.4375,"December 02, 25",0.006177,,,,,
2025-12-01,244.16,253.89,237.63,248.38,248.38,1296102,1296102,4.22,1.73,246.015,"December 01, 25",0.0173,,,,,
2025-11-28,256,258.09,255.7,255.83,255.83,335100,335100,-0.17,-0.06640625,256.405,"November 28, 25",-0.0006640625,,,,,
2025-11-26,255.82,257.17,254.98,255.04,255.04,606170,606170,-0.78,-0.3049,255.7525,"November 26, 25",-0.003049,,,,,
2025-11-25,251.59,257,250.25,255.8,255.8,812400,812400,4.21,1.67,253.66,"November 25, 25",0.0167,,,,,
2025-11-24,249.23,251.57,248.45,250.52,250.52,1217600,1217600,1.29,0.51759,249.9425,"November 24, 25",0.0051759,,,,,
2025-11-21,244.28,254,243.04,250.75,250.75,1187300,1187300,6.47,2.65,248.0175,"November 21, 25",0.0265,,,,,
2025-11-20,244.57,246.88,241.81,243.92,243.92,1120401,1120401,-0.65,-0.26577,244.295,"November 20, 25",-0.0026577,,,,,
2025-11-19,246,248.05,242.6,244.99,244.99,942846,942846,-1.01,-0.41057,245.41,"November 19, 25",-0.0041057,,,,,
2025-11-18,245.19,247.31,243.79,246.22,246.22,1175600,1175600,1.03,0.42008,245.6275,"November 18, 25",0.0042008,,,,,
2025-11-17,244.28,247.26,243.2,244.71,244.71,1037918,1037918,0.43,0.17603,244.8625,"November 17, 25",0.0017603,,,,,
2025-11-14,250.04,251.17,244.29,244.46,244.46,1008400,1008400,-5.58,-2.23,247.49,"November 14, 25",-0.0223,,,,,
2025-11-13,251.01,255.1,249.73,252.11,252.11,1124347,1124347,1.1,0.43823,251.9875,"November 13, 25",0.0043823,2025-12-18,2025-10-30,2025-11-13,0.6,0.6
2025-11-12,252.05,256,251.26,252.86,252.26,1270218,1270218,0.81,0.32136,253.0425,"November 12, 25",0.0032136,,,,,
2025-11-11,250.25,254.75,248.16,252.43,251.83,1316800,1316800,2.18,0.87113,251.3975,"November 11, 25",0.0087113,,,,,
