date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,paymentDate,declarationDate,recordDate,dividend,adjDividend
2025-11-10,250,252.27,245.76,250.1,249.51,981521,981521,0.1,0.04,249.5325,"November 10, 25",0.0004,,,,,
2025-11-07,248.66,251.54,245.85,251.49,250.89,1683100,1683100,2.83,1.14,249.385,"November 07, 25",0.0114,,,,,
2025-11-06,242.56,250.7,242.02,249.65,249.06,2225900,2225900,7.09,2.92,246.2325,"November 06, 25",0.0292,,,,,
2025-11-05,245.3,246.1,241.62,245.22,244.64,1214688,1214688,-0.08,-0.03261313,244.56,"November 05, 25",-0.0003261313,,,,,
2025-11-04,247.71,247.71,243.14,246.4,245.82,1447258,1447258,-1.31,-0.52884,246.24,"November 04, 25",-0.0052884,,,,,
2025-11-03,247.54,252.15,243.12,248.95,248.36,1596212,1596212,1.41,0.5696,247.94,"November 03, 25",0.005696,,,,,
2025-10-31,254.51,257.17,239.41,246.88,246.29,2567500,2567500,-7.63,-3,249.4925,"October 31, 25",-0.03,,,,,
2025-10-30,255.27,257.1,251.05,252.26,251.66,1777200,1777200,-3.01,-1.18,253.92,"October 30, 25",-0.0118,,,,,
2025-10-29,256.47,258.35,252.9,253.62,253.02,1172473,1172473,-2.85,-1.11,255.335,"October 29, 25",-0.0111,,,,,
2025-10-28,259.68,264,256.57,256.57,255.96,1171878,1171878,-3.11,-1.2,259.205,"October 28, 25",-0.012,,,,,
2025-10-27,259.7,260.92,258.05,259.21,258.59,1228254,1228254,-0.49,-0.18868,259.47,"October 27, 25",-0.0018868,,,,,
2025-10-24,266.83,266.97,259.41,259.49,258.87,1110300,1110300,-7.34,-2.75,263.175,"October 24, 25",-0.0275,,,,,
2025-10-23,266.49,267.19,263.84,265.26,264.63,716000,716000,-1.23,-0.46156,265.695,"October 23, 25",-0.0046156,,,,,
2025-10-22,269.68,270.56,265.9,266.48,265.85,891227,891227,-3.2,-1.19,268.155,"October 22, 25",-0.0119,,,,,
2025-10-21,268.02,270.81,266.31,268.22,267.58,791600,791600,0.2,0.0746213,268.34,"October 21, 25",0.000746213,,,,,
2025-10-20,268.37,271.72,266.78,271.41,270.77,619500,619500,3.04,1.13,269.57,"October 20, 25",0.0113,,,,,
2025-10-17,269.04,270.54,263.1,268.09,267.45,2278218,2278218,-0.95,-0.35311,267.6925,"October 17, 25",-0.0035311,,,,,
2025-10-16,270.98,273.75,269.62,270,269.36,1062839,1062839,-0.98,-0.36165,271.0875,"October 16, 25",-0.0036165,,,,,
2025-10-15,270.96,272.05,267.61,269.7,269.06,667100,667100,-1.26,-0.46501,270.08,"October 15, 25",-0.0046501,,,,,
2025-10-14,268.56,272.18,267,270.07,269.43,971820,971820,1.51,0.56226,269.4525,"October 14, 25",0.0056226,,,,,
2025-10-13,274.29,277.33,271.13,273.01,272.36,768874,768874,-1.28,-0.46666,273.94,"October 13, 25",-0.0046666,,,,,
2025-10-10,277.84,277.85,271.4,272,271.36,606130,606130,-5.84,-2.1,274.7725,"October 10, 25",-0.021,,,,,
2025-10-09,283.63,284.05,277.04,277.88,277.22,754300,754300,-5.75,-2.03,280.65,"October 09, 25",-0.0203,,,,,
2025-10-08,284.06,284.87,279.25,282.35,281.68,888263,888263,-1.71,-0.60199,282.6325,"October 08, 25",-0.0060199,,,,,
2025-10-07,282.43,283.99,280,283.28,282.61,666900,666900,0.85,0.30096,282.425,"October 07, 25",0.0030096,,,,,
2025-10-06,279.35,283.04,278.32,281.38,280.71,911900,911900,2.03,0.72669,280.5225,"October 06, 25",0.0072669,,,,,
2025-10-03,278.3,281.5,277.24,278.59,277.93,591048,591048,0.29,0.1042,278.9075,"October 03, 25",0.001042,,,,,
2025-10-02,269.77,277.35,269.77,276.64,275.98,1032132,1032132,6.87,2.55,273.3825,"October 02, 25",0.0255,,,,,
2025-10-01,274.36,276.9,267.64,270.85,270.21,1314500,1314500,-3.51,-1.28,272.4375,"October 01, 25",-0.0128,,,,,
2025-09-30,271.01,275.7,270.74,273.73,273.08,1174123,1174123,2.72,1,272.795,"September 30, 25",0.01,,,,,
2025-09-29,271.1,271.98,268.07,271.05,270.41,978117,978117,-0.05,-0.01844338,270.55,"September 29, 25",-0.0001844338,,,,,
2025-09-26,269.21,271.66,267.4,270.27,269.63,755000,755000,1.06,0.39374,269.635,"September 26, 25",0.0039374,,,,,
2025-09-25,268.66,268.89,264.14,267.31,266.68,881407,881407,-1.35,-0.50249,267.25,"September 25, 25",-0.0050249,,,,,
2025-09-24,275.08,277.43,273.11,274.19,273.54,692845,692845,-0.89,-0.32354,274.9525,"September 24, 25",-0.0032354,,,,,
2025-09-23,273.53,277.1,273.26,275.61,274.96,771800,771800,2.08,0.76043,274.875,"September 23, 25",0.0076043,,,,,
2025-09-22,272.4,275.53,270.6,274.41,273.76,549218,549218,2.01,0.73789,273.235,"September 22, 25",0.0073789,,,,,
2025-09-19,272.92,274.02,271.32,273.19,272.54,1536212,1536212,0.27,0.09893009,272.8625,"September 19, 25",0.0009893009,,,,,
2025-09-18,273.42,273.79,270.49,273.29,272.64,552905,552905,-0.13,-0.0475459,272.7475,"September 18, 25",-0.000475459,,,,,
2025-09-17,274.51,275.75,270.02,271.71,271.07,847500,847500,-2.8,-1.02,272.9975,"September 17, 25",-0.0102,,,,,
2025-09-16,270.42,273.7,270.08,272.6,271.95,840847,840847,2.18,0.80615,271.7,"September 16, 25",0.0080615,,,,,
2025-09-15,271,273.41,271,271.19,270.55,940946,940946,0.19,0.0701107,271.65,"September 15, 25",0.000701107,,,,,
2025-09-12,273.15,273.56,269,270.14,269.5,1257700,1257700,-3.01,-1.1,271.4625,"September 12, 25",-0.011,,,,,
2025-09-11,271.33,275.35,270.42,274.61,273.96,727300,727300,3.28,1.21,272.9275,"September 11, 25",0.0121,,,,,
2025-09-10,278.3,279.67,265.68,270.47,269.83,1093935,1093935,-7.83,-2.81,273.53,"September 10, 25",-0.0281,,,,,
2025-09-09,280.25,281.32,278.66,279.19,278.53,613516,613516,-1.06,-0.37823,279.855,"September 09, 25",-0.0037823,,,,,
2025-09-08,276.47,279.73,273.37,279.46,278.8,688500,688500,2.99,1.08,277.2575,"September 08, 25",0.0108,,,,,
2025-09-05,274.27,278.06,274.05,277.05,276.39,944000,944000,2.78,1.01,275.8575,"September 05, 25",0.0101,,,,,
2025-09-04,270.3,274.24,267.57,273.81,273.16,1179300,1179300,3.51,1.3,271.48,"September 04, 25",0.013,,,,,
2025-09-03,270.13,270.49,265.49,269.21,268.57,1804400,1804400,-0.92,-0.34058,268.83,"September 03, 25",-0.0034058,,,,,
2025-09-02,270.77,273.64,268.97,270.99,270.35,1034039,1034039,0.22,0.08124977,271.0925,"September 02, 25",0.0008124977,,,,,
2025-08-29,275.4,275.4,271.33,274.51,273.86,1325206,1325206,-0.89,-0.32317,274.16,"August 29, 25",-0.0032317,,,,,
2025-08-28,281.32,281.96,274.67,275.38,274.73,1299000,1299000,-5.94,-2.11,278.3325,"August 28, 25",-0.0211,,,,,
2025-08-27,284.73,285.08,279.63,281.96,281.29,1045100,1045100,-2.77,-0.97285,282.85,"August 27, 25",-0.0097285,,,,,
2025-08-26,285.84,286.91,284.21,285.17,284.49,851700,851700,-0.67,-0.2344,285.5325,"August 26, 25",-0.002344,,,,,
2025-08-25,293.38,293.58,285.1,285.8,285.12,847951,847951,-7.58,-2.58,289.465,"August 25, 25",-0.0258,,,,,
2025-08-22,288.21,293.81,288.21,293.73,293.03,627100,627100,5.52,1.92,290.99,"August 22, 25",0.0192,,,,,
2025-08-21,288.25,289.66,286.31,288.34,287.66,907900,907900,0.09,0.0312229,288.14,"August 21, 25",0.000312229,,,,,
2025-08-20,287.65,290.3,287.12,289.06,288.37,812522,812522,1.41,0.49018,288.5325,"August 20, 25",0.0049018,,,,,
2025-08-19,285.14,287.73,283.91,286.04,285.36,1144137,1144137,0.9,0.31563,285.705,"August 19, 25",0.0031563,,,,,
2025-08-18,285.23,287.83,284.42,286.12,285.44,550700,550700,0.89,0.31203,285.9,"August 18, 25",0.0031203,,,,,
2025-08-15,285,286.89,283.15,284.89,284.21,1014600,1014600,-0.11,-0.03859649,284.9825,"August 15, 25",-0.0003859649,,,,,
2025-08-14,286.34,287.26,283.68,284.72,284.05,904000,904000,-1.62,-0.56576,285.5,"August 14, 25",-0.0056576,2025-09-18,2025-07-31,2025-08-14,0.6,0.6
2025-08-13,283.51,290.1,282.72,288.28,287,756000,756000,4.77,1.68,286.1525,"August 13, 25",0.0168,,,,,
2025-08-12,284.96,286.47,281.58,283.29,282.03,1436274,1436274,-1.67,-0.58605,284.075,"August 12, 25",-0.0058605,,,,,
2025-08-11,284.16,286.34,283.27,284.32,283.06,835248,835248,0.16,0.05630631,284.5225,"August 11, 25",0.0005630631,,,,,
2025-08-08,280.75,284.74,279.61,283.9,282.64,827400,827400,3.15,1.12,282.25,"August 08, 25",0.0112,,,,,
2025-08-07,282.83,282.96,277.54,280.17,278.93,929027,929027,-2.66,-0.94049,280.875,"August 07, 25",-0.0094049,,,,,
2025-08-06,284.67,285.49,279.45,280.46,279.21,985900,985900,-4.21,-1.48,282.5175,"August 06, 25",-0.0148,,,,,
2025-08-05,286.41,287.5,276.66,285,283.73,1624400,1624400,-1.41,-0.4923,283.8925,"August 05, 25",-0.004923,,,,,
2025-08-04,279,293.08,278.22,291.44,290.15,1583617,1583617,12.44,4.46,285.435,"August 04, 25",0.0446,,,,,
2025-08-01,281.9,281.9,271.11,279.2,277.96,1797022,1797022,-2.7,-0.95779,278.5275,"August 01, 25",-0.0095779,,,,,
2025-07-31,275.64,277.3,271.94,271.94,270.73,1444241,1444241,-3.7,-1.34,274.205,"July 31, 25",-0.0134,,,,,
2025-07-30,273.35,278.86,271.64,277.44,276.21,1714421,1714421,4.09,1.5,275.3225,"July 30, 25",0.015,,,,,
2025-07-29,272.58,278.1,271.8,277.7,276.47,1492821,1492821,5.12,1.88,275.045,"July 29, 25",0.0188,,,,,
2025-07-28,273.05,274.61,270.87,273.5,272.29,1021021,1021021,0.45,0.1648,273.0075,"July 28, 25",0.001648,,,,,
2025-07-25,273,275.8,271.53,275.16,273.94,1063990,1063990,2.16,0.79121,273.8725,"July 25, 25",0.0079121,,,,,
2025-07-24,273.37,274,271.01,273.5,272.29,880800,880800,0.13,0.0475546,272.97,"July 24, 25",0.000475546,,,,,
2025-07-23,269.5,273.38,268.29,273.37,272.16,1080963,1080963,3.87,1.44,271.135,"July 23, 25",0.0144,,,,,
2025-07-22,261.92,268.65,261.06,267.4,266.21,1372276,1372276,5.48,2.09,264.7575,"July 22, 25",0.0209,,,,,
2025-07-21,258.65,261.89,258.22,261.07,259.91,1012600,1012600,2.42,0.93563,259.9575,"July 21, 25",0.0093563,,,,,
2025-07-18,258.09,260.37,256.53,257.92,256.77,894200,894200,-0.17,-0.0658685,258.2275,"July 18, 25",-0.000658685,,,,,
2025-07-17,254.25,256.7,253.09,256.42,255.28,802122,802122,2.17,0.85349,255.115,"July 17, 25",0.0085349,,,,,
2025-07-16,253.77,254.45,250.18,254.25,253.12,829606,829606,0.48,0.18915,253.1625,"July 16, 25",0.0018915,,,,,
2025-07-15,258.85,258.85,251.35,252.01,250.89,1019805,1019805,-6.84,-2.64,255.265,"July 15, 25",-0.0264,,,,,
2025-07-14,252.82,255.62,252.32,254.11,252.98,925027,925027,1.29,0.51024,253.7175,"July 14, 25",0.0051024,,,,,
2025-07-11,257.06,257.54,252.64,254.4,253.27,517806,517806,-2.66,-1.03,255.41,"July 11, 25",-0.0103,,,,,
2025-07-10,256.15,261.08,255.6,258.07,256.92,637800,637800,1.92,0.74956,257.725,"July 10, 25",0.0074956,,,,,
2025-07-09,256.79,256.79,251.4,255.98,254.84,792500,792500,-0.81,-0.31543,255.24,"July 09, 25",-0.0031543,,,,,
2025-07-08,256.09,259.49,255.35,256.59,255.45,535223,535223,0.5,0.19524,256.88,"July 08, 25",0.0019524,,,,,
2025-07-07,258,258.38,255.38,256.41,255.27,858313,858313,-1.59,-0.61628,257.0425,"July 07, 25",-0.0061628,,,,,
2025-07-03,255.88,257.63,253.94,256.96,255.82,391900,391900,1.08,0.42207,256.1025,"July 03, 25",0.0042207,,,,,
2025-07-02,255.49,257.55,254.54,255.88,254.74,579331,579331,0.39,0.15265,255.865,"July 02, 25",0.0015265,,,,,
2025-07-01,256.99,258.24,254.83,256.26,255.12,905400,905400,-0.73,-0.28406,256.58,"July 01, 25",-0.0028406,,,,,
2025-06-30,255.97,258.24,255.31,258,256.85,958200,958200,2.03,0.79306,256.88,"June 30, 25",0.0079306,,,,,
2025-06-27,255.92,256.37,250.88,255.16,254.03,1498403,1498403,-0.76,-0.29697,254.5825,"June 27, 25",-0.0029697,,,,,
2025-06-26,257.91,259.52,255.68,256.21,255.07,1120100,1120100,-1.7,-0.65914,257.33,"June 26, 25",-0.0065914,,,,,
2025-06-25,256.77,260.23,255.73,257.91,256.76,945226,945226,1.14,0.44398,257.66,"June 25, 25",0.0044398,,,,,
2025-06-24,255.16,256.82,252.35,255.91,254.77,994030,994030,0.75,0.29393,255.06,"June 24, 25",0.0029393,,,,,
2025-06-23,253.57,255.47,250.84,254.52,253.39,591314,591314,0.95,0.37465,253.6,"June 23, 25",0.0037465,,,,,
2025-06-20,251.92,254.06,251.86,253.68,252.55,964362,964362,1.76,0.69863,252.88,"June 20, 25",0.0069863,,,,,
2025-06-18,250.25,253.73,249.6,250.88,249.77,635900,635900,0.63,0.25175,251.115,"June 18, 25",0.0025175,,,,,
2025-06-17,250.42,252.83,248.72,250.09,248.98,668500,668500,-0.33,-0.13178,250.515,"June 17, 25",-0.0013178,,,,,
2025-06-16,250.72,254.03,249.61,251.68,250.56,645900,645900,0.96,0.3829,251.51,"June 16, 25",0.003829,,,,,
2025-06-13,250.64,251.94,248.2,249.34,248.23,427416,427416,-1.3,-0.51867,250.03,"June 13, 25",-0.0051867,,,,,
2025-06-12,250.68,252.21,250.26,252.21,251.09,573049,573049,1.53,0.61034,251.34,"June 12, 25",0.0061034,,,,,
2025-06-11,252.68,254.98,250.77,251.36,250.24,620300,620300,-1.32,-0.5224,252.4475,"June 11, 25",-0.005224,,,,,
2025-06-10,253.45,254.75,252.11,252.66,251.54,861900,861900,-0.79,-0.3117,253.2425,"June 10, 25",-0.003117,,,,,
2025-06-09,252,252.42,248.57,250.98,249.87,976800,976800,-1.02,-0.40476,250.9925,"June 09, 25",-0.0040476,,,,,
2025-06-06,250.64,252.48,249.65,252.2,251.08,458653,458653,1.56,0.62241,251.2425,"June 06, 25",0.0062241,,,,,
2025-06-05,250.85,251.81,248.64,249.69,248.58,643313,643313,-1.16,-0.46243,250.2475,"June 05, 25",-0.0046243,,,,,
2025-06-04,247.32,250.56,246.96,249.94,248.83,703739,703739,2.62,1.06,248.695,"June 04, 25",0.0106,,,,,
2025-06-03,243.72,247.35,241.99,247.05,245.95,833237,833237,3.33,1.37,245.0275,"June 03, 25",0.0137,,,,,
2025-06-02,243.78,244.42,239.94,244.03,242.95,640651,640651,0.25,0.10255,243.0425,"June 02, 25",0.0010255,,,,,
2025-05-30,244.5,245.79,242.14,244.79,243.7,1060300,1060300,0.29,0.11861,244.305,"May 30, 25",0.0011861,,,,,
2025-05-29,245.15,246.24,243.64,245.12,244.03,562836,562836,-0.03,-0.01223741,245.0375,"May 29, 25",-0.0001223741,,,,,
2025-05-28,245.81,247,244.61,244.76,243.67,656927,656927,-1.05,-0.42716,245.545,"May 28, 25",-0.0042716,,,,,
2025-05-27,246.35,247.48,244,246.22,245.13,1056207,1056207,-0.13,-0.05277045,246.0125,"May 27, 25",-0.0005277045,,,,,
2025-05-23,242.54,245.5,242.22,242.84,241.76,558148,558148,0.3,0.12369,243.275,"May 23, 25",0.0012369,,,,,
2025-05-22,244.59,247.07,243.87,245.49,244.4,644423,644423,0.9,0.36796,245.255,"May 22, 25",0.0036796,,,,,
2025-05-21,247,249,244.39,245.78,244.69,847104,847104,-1.22,-0.49393,246.5425,"May 21, 25",-0.0049393,,,,,
2025-05-20,243.47,251.49,243.2,248.14,247.04,1432300,1432300,4.67,1.92,246.575,"May 20, 25",0.0192,,,,,
2025-05-19,248.93,253.43,248.09,253.35,252.23,658700,658700,4.42,1.78,250.95,"May 19, 25",0.0178,,,,,
2025-05-16,249.24,251.94,247.71,251.69,250.57,839610,839610,2.45,0.98299,250.145,"May 16, 25",0.0098299,,,,,
2025-05-15,249.6,249.97,246.2,248.58,247.48,1442200,1442200,-1.02,-0.40865,248.5875,"May 15, 25",-0.0040865,,,,,
2025-05-14,248.03,249.4,246.44,246.99,245.89,1074900,1074900,-1.04,-0.4193,247.715,"May 14, 25",-0.004193,,,,,
2025-05-13,248.1,248.85,245.96,247.65,246.55,2145961,2145961,-0.45,-0.18138,247.64,"May 13, 25",-0.0018138,,,,,
2025-05-12,247.88,249.99,246.63,247.66,246.56,894319,894319,-0.22,-0.08875262,248.04,"May 12, 25",-0.0008875262,,,,,
2025-05-09,243.86,245.41,242.49,245.04,243.95,693839,693839,1.18,0.48388,244.2,"May 09, 25",0.0048388,,,,,
2025-05-08,245.74,247.35,242.77,243.09,242.01,737950,737950,-2.65,-1.08,244.7375,"May 08, 25",-0.0108,2025-06-12,2025-04-23,2025-05-08,0.53,0.53
2025-05-07,242.25,245.32,241.54,244.7,243.09,750159,750159,2.45,1.01,243.4525,"May 07, 25",0.0101,,,,,
2025-05-06,238.01,242.47,237,241.95,240.36,898644,898644,3.94,1.66,239.8575,"May 06, 25",0.0166,,,,,
2025-05-05,240.89,241.75,238.69,240.66,239.08,766020,766020,-0.23,-0.09547926,240.4975,"May 05, 25",-0.0009547926,,,,,
2025-05-02,240,241,238.22,239.95,238.37,608800,608800,-0.05,-0.02083333,239.7925,"May 02, 25",-0.0002083333,,,,,
2025-05-01,236.59,238.81,233.87,236.49,234.93,732200,732200,-0.1,-0.04226721,236.44,"May 01, 25",-0.0004226721,,,,,
2025-04-30,237.12,237.4,233.54,236.59,235.03,1321162,1321162,-0.53,-0.22352,236.1625,"April 30, 25",-0.0022352,,,,,
2025-04-29,235.02,237.96,233.62,237.74,236.18,718104,718104,2.72,1.16,236.085,"April 29, 25",0.0116,,,,,
2025-04-28,236,236.82,230.91,234.14,232.6,1117954,1117954,-1.86,-0.78814,234.4675,"April 28, 25",-0.0078814,,,,,
2025-04-25,238.56,238.94,230.51,235.88,234.33,1194900,1194900,-2.68,-1.12,235.9725,"April 25, 25",-0.0112,,,,,
2025-04-24,233.19,239.66,227.4,236.1,234.55,2257946,2257946,2.91,1.25,234.0875,"April 24, 25",0.0125,,,,,
2025-04-23,214.29,221.53,210.34,214.36,212.95,1691746,1691746,0.07,0.03266601,215.13,"April 23, 25",0.0003266601,,,,,
2025-04-22,212.47,215.08,211.1,214.08,212.67,1365825,1365825,1.61,0.75775,213.1825,"April 22, 25",0.0075775,,,,,
2025-04-21,211.62,214.14,209.31,210.87,209.48,941754,941754,-0.75,-0.35441,211.485,"April 21, 25",-0.0035441,,,,,
2025-04-17,209,214.32,202,212.91,211.51,1109600,1109600,3.91,1.87,209.5575,"April 17, 25",0.0187,,,,,
2025-04-16,211.77,214.81,210.54,211.49,210.1,938300,938300,-0.28,-0.13222,212.1525,"April 16, 25",-0.0013222,,,,,
2025-04-15,215.87,217.38,212.05,213.97,212.56,1769529,1769529,-1.9,-0.88016,214.8175,"April 15, 25",-0.0088016,,,,,
2025-04-14,214.06,215.33,210.24,214.53,213.12,1745100,1745100,0.47,0.21956,213.54,"April 14, 25",0.0021956,,,,,
2025-04-11,212.16,214,206.74,213.99,212.58,2305935,2305935,1.83,0.86256,211.7225,"April 11, 25",0.0086256,,,,,
2025-04-10,214.15,214.71,206.97,210.55,209.16,1044500,1044500,-3.6,-1.68,211.595,"April 10, 25",-0.0168,,,,,
2025-04-09,203.99,218.14,201.9,216.44,215.02,1772029,1772029,12.45,6.1,210.1175,"April 09, 25",0.061,,,,,
2025-04-08,215.58,216.6,201.84,204.54,203.19,1527918,1527918,-11.04,-5.12,209.64,"April 08, 25",-0.0512,,,,,
2025-04-07,200.87,218.87,199.92,213,211.6,2203396,2203396,12.13,6.04,208.165,"April 07, 25",0.0604,,,,,
2025-04-04,209.66,211.55,204.51,205.17,203.82,2065636,2065636,-4.49,-2.14,207.7225,"April 04, 25",-0.0214,,,,,
2025-04-03,217,218.53,211.72,213.35,211.95,1512127,1512127,-3.65,-1.68,215.15,"April 03, 25",-0.0168,,,,,
2025-04-02,219.74,223.56,219.09,223,221.53,625900,625900,3.26,1.48,221.3475,"April 02, 25",0.0148,,,,,
2025-04-01,222.86,223.1,219.46,222.3,220.84,766900,766900,-0.56,-0.25128,221.93,"April 01, 25",-0.0025128,,,,,
2025-03-31,219.11,225.25,215.05,223.85,222.38,1086600,1086600,4.74,2.16,220.815,"March 31, 25",0.0216,,,,,
2025-03-28,221.74,223.14,219.7,219.94,218.49,542428,542428,-1.8,-0.81176,221.13,"March 28, 25",-0.0081176,,,,,
2025-03-27,223.62,224.72,221.29,222.62,221.16,484700,484700,-1,-0.44719,223.0625,"March 27, 25",-0.0044719,,,,,
2025-03-26,221.49,224.06,220.74,221.88,220.42,492341,492341,0.39,0.17608,222.0425,"March 26, 25",0.0017608,,,,,
2025-03-25,223.31,227,219.56,221.29,219.83,1060414,1060414,-2.02,-0.90457,222.79,"March 25, 25",-0.0090457,,,,,
2025-03-24,221.51,224.11,220.35,222.91,221.44,753895,753895,1.4,0.63203,222.22,"March 24, 25",0.0063203,,,,,
2025-03-21,220.09,221.2,217.03,219.7,218.25,1171800,1171800,-0.39,-0.1772,219.505,"March 21, 25",-0.001772,,,,,
2025-03-20,223.9,225.56,220.54,221.11,219.66,671414,671414,-2.79,-1.25,222.7775,"March 20, 25",-0.0125,,,,,
2025-03-19,221.86,223.99,220.42,222.05,220.59,801882,801882,0.19,0.08563959,222.08,"March 19, 25",0.0008563959,,,,,
2025-03-18,223,224.1,219.12,220.25,218.8,710600,710600,-2.75,-1.23,221.6175,"March 18, 25",-0.0123,,,,,
2025-03-17,222.4,226.95,220.77,224.74,223.26,806500,806500,2.34,1.05,223.715,"March 17, 25",0.0105,,,,,
2025-03-14,219.89,224.64,219.19,224.16,222.69,746952,746952,4.27,1.94,221.97,"March 14, 25",0.0194,,,,,
2025-03-13,221.76,222.82,217.52,219.72,218.27,1173332,1173332,-2.04,-0.91991,220.455,"March 13, 25",-0.0091991,,,,,
2025-03-12,222.94,222.94,217.67,220.22,218.77,775600,775600,-2.72,-1.22,220.9425,"March 12, 25",-0.0122,,,,,
