holder,shares,dateReported,change
VANGUARD GROUP INC,7014935,2025-09-30,29763
"BlackRock, Inc.",4665995,2025-09-30,207927
Invesco Ltd.,3911199,2025-09-30,-191591
AMERIPRISE FINANCIAL INC,2662843,2025-09-30,596760
STATE STREET CORP,2341149,2025-09-30,-3478
Capital World Investors,2308033,2025-09-30,-253418
"GEODE CAPITAL MANAGEMENT, LLC",1446189,2025-09-30,27902
CITADEL ADVISORS LLC,1378010,2025-09-30,-282921
BAILLIE GIFFORD & CO,1293857,2025-09-30,221544
MASSACHUSETTS FINANCIAL SERVICES CO /MA/,1059169,2025-09-30,-424611
"Senvest Management, LLC",968404,2025-09-30,524798
"BRANDES INVESTMENT PARTNERS, LP",822550,2025-09-30,814828
DIMENSIONAL FUND ADVISORS LP,774685,2025-09-30,125853
JPMORGAN CHASE & CO,731606,2025-09-30,112974
Aikya Investment Management Ltd,704821,2025-09-30,347091
BARCLAYS PLC,698613,2025-09-30,582966
"Alyeska Investment Group, L.P.",644988,2025-09-30,284840
FMR LLC,612953,2025-09-30,-82985
MORGAN STANLEY,529880,2025-09-30,53901
"Point72 Asset Management, L.P.",522144,2025-09-30,126585
BANK OF AMERICA CORP /DE/,505167,2025-09-30,19698
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,497182,2025-09-30,-54927
NORTHERN TRUST CORP,469359,2025-09-30,-10319
TD ASSET MANAGEMENT INC,458623,2025-09-30,18072
Van Berkom & Associates Inc.,369435,2025-09-30,361249
UBS Group AG,365885,2025-09-30,55683
Mitsubishi UFJ Trust & Banking Corp,360437,2025-09-30,-16237
MILLENNIUM MANAGEMENT LLC,335779,2025-09-30,262669
WASATCH ADVISORS LP,318825,2025-09-30,0
GOLDMAN SACHS GROUP INC,307561,2025-09-30,-52997
Bank of New York Mellon Corp,306042,2025-09-30,-17029
SCHRODER INVESTMENT MANAGEMENT GROUP,275888,2025-09-30,-67954
NEW YORK STATE COMMON RETIREMENT FUND,274452,2025-09-30,155456
"ARROWSTREET CAPITAL, LIMITED PARTNERSHIP",273656,2025-09-30,-48994
"Epoch Investment Partners, Inc.",258601,2025-09-30,13648
"Owls Nest Partners IA, LLC",258156,2025-09-30,32639
"VOLORIDGE INVESTMENT MANAGEMENT, LLC",256582,2025-09-30,166082
"FEDERATED HERMES, INC.",237428,2025-09-30,-94953
BESSEMER GROUP INC,223240,2025-09-30,89319
RENAISSANCE TECHNOLOGIES LLC,220900,2025-09-30,93900
UBS ASSET MANAGEMENT AMERICAS INC,197861,2025-09-30,-85226
"ARGA Investment Management, LP",196662,2025-09-30,-280976
"Baird Financial Group, Inc.",190822,2025-09-30,758
VOYA INVESTMENT MANAGEMENT LLC,190193,2025-09-30,-316267
CITIGROUP INC,190109,2025-09-30,6246
HSBC HOLDINGS PLC,187523,2025-09-30,-59071
Fiera Capital Corp,184182,2025-09-30,-4434
ROYAL BANK OF CANADA,174815,2025-09-30,93629
BRITISH COLUMBIA INVESTMENT MANAGEMENT Corp,174614,2025-09-30,-72479
BALYASNY ASSET MANAGEMENT L.P.,155374,2025-09-30,77225
FRONTIER CAPITAL MANAGEMENT CO LLC,154278,2025-09-30,-153483
DEUTSCHE BANK AG\,146594,2025-09-30,-17437
Amundi,142890,2025-09-30,12263
Quantinno Capital Management LP,133717,2025-09-30,108279
Legal & General Group Plc,120401,2025-09-30,-90234
"Nuveen, LLC",117225,2025-09-30,-2249
"Clearbridge Investments, LLC",113207,2025-09-30,113207
ENVESTNET ASSET MANAGEMENT INC,109852,2025-09-30,7565
Swiss National Bank,109792,2025-09-30,1800
RHUMBLINE ADVISERS,108408,2025-09-30,4003
"BNP PARIBAS ARBITRAGE, SNC",102288,2025-09-30,3407
"Wishbone Management, LP",100000,2025-09-30,100000
WELLS FARGO & COMPANY/MN,99693,2025-09-30,41259
GENEVA CAPITAL MANAGEMENT LLC,96649,2025-09-30,-2844
FIRST TRUST ADVISORS LP,96416,2025-09-30,-20904
WINTON GROUP Ltd,96400,2025-09-30,96400
CALIFORNIA PUBLIC EMPLOYEES RETIREMENT SYSTEM,93433,2025-09-30,1376
"Blue Door Asset Management, LLC",93300,2025-09-30,26700
AQR CAPITAL MANAGEMENT LLC,91045,2025-09-30,-53473
PRICE T ROWE ASSOCIATES INC /MD/,82601,2025-09-30,659
WELLINGTON MANAGEMENT GROUP LLP,81069,2025-09-30,7231
NORRIS PERNE & FRENCH LLP/MI,80045,2025-09-30,-37169
SEI INVESTMENTS CO,75867,2025-09-30,537
Distillate Capital Partners LLC,75719,2025-09-30,-1009
CAPITAL FUND MANAGEMENT S.A.,75407,2025-09-30,26461
"Russell Investments Group, Ltd.",75125,2025-09-30,-46609
STATE OF WISCONSIN INVESTMENT BOARD,74741,2025-09-30,-2276
"Cubist Systematic Strategies, LLC",70760,2025-09-30,-73892
Robeco Institutional Asset Management B.V.,69050,2025-09-30,-22891
RAYMOND JAMES FINANCIAL INC,66884,2025-09-30,-121549
"Mitsubishi UFJ Kokusai Asset Management Co., Ltd.",66126,2025-09-30,2345
PRINCIPAL FINANCIAL GROUP INC,65566,2025-09-30,-1086
OPPENHEIMER ASSET MANAGEMENT INC.,65040,2025-09-30,13408
Verition Fund Management LLC,63123,2025-09-30,-5150
ALLIANCEBERNSTEIN L.P.,62039,2025-09-30,-11748
VAN ECK ASSOCIATES CORP,61946,2025-09-30,18126
"JANE STREET GROUP, LLC",60817,2025-09-30,26149
Assenagon Asset Management S.A.,59087,2025-09-30,-207280
CALIFORNIA STATE TEACHERS RETIREMENT SYSTEM,53735,2025-09-30,2
State of New Jersey Common Pension Fund D,52224,2025-09-30,364
"Leeward Investments, LLC - MA",51853,2025-09-30,-1872
LPL Financial LLC,51800,2025-09-30,-1095
NEW YORK STATE TEACHERS RETIREMENT SYSTEM,50821,2025-09-30,-50
STATE BOARD OF ADMINISTRATION OF FLORIDA RETIREMENT SYSTEM,48891,2025-09-30,-848
DANSKE BANK A/S,48049,2025-09-30,-17984
Allianz Asset Management GmbH,43851,2025-09-30,12396
LOS ANGELES CAPITAL MANAGEMENT LLC,43488,2025-09-30,43488
"MANUFACTURERS LIFE INSURANCE COMPANY, THE",42075,2025-09-30,-321
BW Gestao de Investimentos Ltda.,41300,2025-09-30,0
