date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime,dividend,paymentDate,recordDate,declarationDate,adjDividend
2026-01-05,75.115,78.03,74.85,77.125,77.125,608699,608699,2.01,2.6759,76.67,"January 05, 26",0.026759,,,,,
2026-01-02,77.6,78.18,75,75.53,75.53,2922361,2922361,-2.07,-2.67,76.5775,"January 02, 26",-0.0267,,,,,
2025-12-31,78.85,78.99,77.35,77.4,77.4,2248780,2248780,-1.45,-1.84,78.1475,"December 31, 25",-0.0184,,,,,
2025-12-30,79.81,80.09,79.17,79.31,79.31,2576533,2576533,-0.5,-0.62649,79.595,"December 30, 25",-0.0062649,,,,,
2025-12-29,80.21,80.5,79.42,80.04,80.04,2361316,2361316,-0.17,-0.21194,80.0425,"December 29, 25",-0.0021194,,,,,
2025-12-26,80.31,81.1,79.61,80.35,80.35,1612432,1612432,0.04,0.049807,80.3425,"December 26, 25",0.00049807,,,,,
2025-12-24,80.76,81.19,80,81.19,81.19,980138,980138,0.43,0.53244,80.785,"December 24, 25",0.0053244,,,,,
2025-12-23,81.33,81.99,79.74,80.19,80.19,2222227,2222227,-1.14,-1.4,80.8125,"December 23, 25",-0.014,,,,,
2025-12-22,80.63,81.74,79.92,81.29,81.29,2569500,2569500,0.66,0.81855,80.895,"December 22, 25",0.0081855,,,,,
2025-12-19,82.14,82.93,80.18,80.85,80.85,6702500,6702500,-1.29,-1.57,81.525,"December 19, 25",-0.0157,,,,,
2025-12-18,82.69,83.29,81.64,82.12,82.12,3126349,3126349,-0.57,-0.68932,82.435,"December 18, 25",-0.0068932,,,,,
2025-12-17,81.46,83.37,81.46,82.22,82.22,2064600,2064600,0.76,0.93297,82.1275,"December 17, 25",0.0093297,,,,,
2025-12-16,81.8,82.43,80.99,81.44,81.44,2242799,2242799,-0.36,-0.4401,81.665,"December 16, 25",-0.004401,,,,,
2025-12-15,82.2,82.53,81.11,81.63,81.63,2868000,2868000,-0.57,-0.69343,81.8675,"December 15, 25",-0.0069343,,,,,
2025-12-12,83.11,83.42,81.5,82.05,82.05,2559000,2559000,-1.06,-1.28,82.52,"December 12, 25",-0.0128,0.25,2025-12-26,2025-12-12,2025-11-04,0.25
